time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cumulative_outflow_0_t_pL
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.03142872407710091,-0.06705742727215,-0.03562870319504909,0.0,0.0,0.0,1.0,0.007880875986972877,0.256706376109366,0.0,-0.0019869843454434683,0.2596533219301311,0.10239383427632785,0.128353188054683,1.0,4937608.164510875,0.0,0.04458903298618399,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
60.0,0.0016502315156898375,15.325162598843574,113.91860015101355,56.318002394751964,11.59613129146584,10.301233872322511,7.00239853372788,1.4869353726485446,301.55378273134477,-0.02820225170065095,-0.07925554941410816,-0.05105329771345721,1.0,0.05139545027201679,4.958907088952485e-12,2.3,0.00916691058539335,0.3223207528100173,0.0,-7.489806533234922e-05,0.3854994909914835,0.14318305723288607,0.16116037640500866,1.75,5537251.055168912,0.10279090054403359,0.057816313799006536,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10726276940732207
120.0,0.0015989610297882124,16.495855869647364,113.15921642961787,53.99777652811462,14.246593885258534,12.828505744248929,7.058732905911399,1.4976667279903013,301.53975156964833,-0.029221705285878592,-0.07881048771481707,-0.04958878242893847,1.0,0.02610273974722847,2.5185315137532637e-12,2.3,0.005955293865896648,0.34069354113658634,0.0,0.0005762183623648971,0.3744464345865836,0.1392975959866841,0.17034677056829317,1.75,5442726.850521432,0.05220547949445694,0.06041863934604753,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0005762183623648971,0.20452431973994417
180.0,0.0015751974435926188,17.048001085110684,112.91636964724024,52.86565650720156,15.46772184989609,14.050717683124647,7.099047060878323,1.50348215040514,301.53372238507546,-0.029740043494264852,-0.0786288131430701,-0.04888876964880525,1.0,0.014442366654683415,1.3934765432759428e-12,2.3,0.004328728595337847,0.35321049813354816,0.0,0.0008509111760693335,0.3693275036564912,0.1374434309332978,0.17660524906677408,1.75,5379942.459789821,0.02888473330936683,0.061471562128886374,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0008509111760693335,0.2996621407951573
240.0,0.0015637896495090148,17.324479296732115,112.88604635659327,52.30653687312027,16.054077725550748,14.674350000557544,7.129898871715216,1.5074964651442633,301.530812565691,-0.030004205069834852,-0.07855843244697971,-0.04855422737714486,1.0,0.00869827925404851,8.392563626993763e-13,2.3,0.003375013849169066,0.35912395153768684,0.0,0.0009815147588297596,0.3668985740748598,0.1365645757234414,0.17956197576884342,1.75,5350721.998317208,0.01739655850809702,0.06196163242986932,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0009815147588297596,0.3937903413803738
300.0,0.0015583900190793587,17.45624667386965,112.95264815296642,52.02265097636568,16.346922372597668,15.011427800839886,7.154284158779583,1.5105529753925881,301.5294102923303,-0.03014245015853758,-0.0785382395701232,-0.048395789411585614,1.0,0.0056876408634629,5.487739176905015e-13,2.3,0.0027660085118345343,0.36208359466255347,0.0,0.0010489937404800657,0.36577065182184954,0.13615387364047024,0.18104179733127673,1.75,5336201.81379635,0.0113752817269258,0.0621869765747961,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010489937404800657,0.4874350038835369
360.0,0.0015560498263493623,17.510067611617995,113.06088815967254,51.87843101001244,16.50006540349198,15.206058856485518,7.173914570865425,1.513081596257555,301.5287833749025,-0.030215385676245193,-0.07854088822632287,-0.04832550255007767,1.0,0.004016191220732549,3.875035437898082e-13,2.3,0.0023537070713823254,0.3637373298445694,0.0,0.0010863543310138735,0.3652996613927532,0.1359762105920501,0.1818686649222847,1.75,5328118.580750941,0.008032382441465098,0.0622775368398663,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0010863543310138735,0.580857421499846
420.0,0.0015553163829353234,17.521915292261962,113.18322093741683,51.80879397446988,16.58562918694342,15.327588153891625,7.189905020701357,1.5153076132269572,301.52856191639904,-0.03025276334920909,-0.07855340919119896,-0.04830064584198987,1.0,0.0030297859252462816,2.92329901249889e-13,2.3,0.002062260845597805,0.3647512856012061,0.0,0.0011084928364411073,0.3651695009399556,0.13591776863241617,0.18237564280060306,1.75,5323173.122573552,0.006059571850492563,0.06229735815100454,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011084928364411073,0.674192686072901
480.0,0.0015554378956867205,17.51140301934801,113.30607367750815,51.780494680832646,16.63819902326358,15.410324915502867,7.203039943922145,1.5173387502042073,301.5285525045149,-0.0302700364281601,-0.07856955661100548,-0.048299520182845376,1.0,0.0024069912518723787,2.3223935034684107e-13,2.3,0.001849286113917734,0.36541558814181,0.0,0.0011225793052334224,0.365217700718249,0.13592098077997747,0.182707794070905,1.75,5319937.425103684,0.004813982503744757,0.062279773379538085,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0011225793052334224,0.7675122701242744
540.0,0.0015560106306125089,17.48933100315992,113.42302032505755,51.77564791286471,16.67449256994575,15.471559322788295,7.213898046307895,1.5192215560847675,301.5286522154081,-0.03027564182231948,-0.07858635469606227,-0.04831071287374279,1.0,0.0019848791294038294,1.9151172201858492e-13,2.3,0.0016895153978672844,0.3658711852488551,0.0,0.001132211674407033,0.36535782450338405,0.13595572642280127,0.18293559262442755,1.75,5317720.288463063,0.003969758258807659,0.062242746029194315,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001132211674407033,0.8608541449760556
