time_s,wt_q_out_pL_s,wt_cumulative_pL,ae4_5pct_q_out_pL_s,ae4_5pct_flow_ratio,ae4_5pct_instantaneous_deficit_percent,ae4_5pct_cumulative_pL,ae4_5pct_cumulative_lost_pL,ae4_5pct_cumulative_ratio,ae4_5pct_cumulative_deficit_percent,ae4_null_q_out_pL_s,ae4_null_flow_ratio,ae4_null_instantaneous_deficit_percent,ae4_null_cumulative_pL,ae4_null_cumulative_lost_pL,ae4_null_cumulative_ratio,ae4_null_cumulative_deficit_percent
0.0,0.0010776814707374822,0.0,0.0010776814707374822,1.0,0.0,0.0,0.0,,,0.0010776814707374822,1.0,0.0,0.0,0.0,,
60.0,0.0017035970562506,0.10875318328773789,0.001654063311225229,0.9709240252302452,2.9075974769754764,0.10736100974219198,0.0013921735455459106,0.9871987788912577,1.2801221108742267,0.0016502315156898375,0.9686747870542737,3.132521294572632,0.10726276940732207,0.0014904138804158196,0.9862954459321664,1.3704554067833552
120.0,0.001679418382296985,0.21019116901327173,0.0016059278272690632,0.9562404724143801,4.375952758561985,0.2049567022090367,0.005234466804235033,0.9750966378425512,2.4903362157448816,0.0015989610297882124,0.952092132992656,4.790786700734396,0.20452431973994417,0.005666849273327557,0.9730395463333202,2.6960453666679762
180.0,0.001660768878266697,0.3103762992016468,0.0015836610815072845,0.953571024982183,4.642897501781695,0.30056362641937134,0.009812672782275433,0.9683845937737009,3.1615406226299103,0.0015751974435926188,0.9484748083891198,5.152519161088021,0.2996621407951573,0.010714158406489482,0.9654801013026815,3.451989869731853
240.0,0.0016458955405371485,0.40955915891353206,0.0015727997132194166,0.9555890240191813,4.441097598081867,0.39521955839589556,0.014339600517636497,0.9649877186102339,3.5012281389766087,0.0015637896495090148,0.9501147618388115,4.9885238161188505,0.3937903413803738,0.015768817533158286,0.9614980713043034,3.8501928695696575
300.0,0.001634069411995018,0.5079446407967875,0.0015674052615823081,0.9592035993554765,4.0796400644523505,0.48940697572908404,0.018537665067703435,0.9635045562472628,3.6495443752737167,0.0015583900190793587,0.9536865494451285,4.631345055487146,0.4874350038835369,0.020509636913250584,0.959622298837373,4.0377701162626956
360.0,0.0016246358532327643,0.605695249575091,0.0015647697798732985,0.9631510819853311,3.684891801466894,0.5833625164538975,0.02233273312119355,0.963128762959821,3.687123704017903,0.0015560498263493623,0.9577837539735893,4.2216246026410715,0.580857421499846,0.02483782807524504,0.9589928630071487,4.10071369928513
420.0,0.0016170792498818476,0.7029384088697588,0.0015635886031822894,0.9669214438912214,3.3078556108778634,0.6772080404485694,0.025730368421189365,0.9633959844895078,3.6604015510492194,0.0015553163829353234,0.9618059121400284,3.819408785997158,0.674192686072901,0.02874572279685783,0.9591063421287827,4.089365787121735
480.0,0.0016110019969166195,0.7997742909938588,0.0015632003428169368,0.9703279982326696,2.9672001767330425,0.7710088149382596,0.028765476055599204,0.9640330073377914,3.5966992662208597,0.0015554378956867205,0.9655096012691194,3.4490398730880556,0.7675122701242744,0.03226202086958441,0.9596610928447159,4.033890715528409
540.0,0.0016060968448914942,0.8962820486991532,0.0015632543231586917,0.9733250694881372,2.667493051186276,0.8648008289259951,0.0314812197731581,0.9648757667088732,3.5124233291126794,0.0015560106306125089,0.9688149475927965,3.1185052407203484,0.8608541449760556,0.035427903723097565,0.9604723716440411,3.952762835595891
600.0,0.0016021248621457846,0.992524544081835,0.0015635565632603323,0.9759267833633164,2.4073216636683603,0.9586042475091506,0.03392029657268436,0.9658242239197588,3.417577608024125,0.0015568114167525044,0.9717166580059245,2.828334199407545,0.9542380457978495,0.03828649828398545,0.9614251370283206,3.8574862971679447
