quantity,unit,window_start_s,window_end_s,wt,ae4_5pct,ae4_5pct_minus_wt,ae4_5pct_ratio_to_wt,ae4_5pct_relative_change_percent,ae4_null,ae4_null_minus_wt,ae4_null_ratio_to_wt,ae4_null_relative_change_percent
positive_nkcc1_cl_loading,fmol,60,600,156.87217709705752,189.53194593792946,32.65976884087195,1.2081935078944255,20.81935078944255,193.2091846303058,36.33700753324828,1.231634495075353,23.163449507535304
positive_ae4_cl_loading,fmol,60,600,41.05550196187763,4.301680265073695,-36.75382169680394,0.10477719329964713,-89.52228067003529,0.0,-41.05550196187763,0.0,-100.0
positive_ae2_cl_loading,fmol,60,600,0.0,0.43509708838748185,0.43509708838748185,,,0.5114796433602822,0.5114796433602822,,
signed_ae2_cl_flux,fmol,60,600,-0.4184196364937755,0.4345751922290468,0.8529948287228223,-1.038610892812416,-203.86108928124162,0.5113075385342807,0.9297271750280562,-1.2219969952148433,-222.19969952148432
nkcc1_cycles,fmol,60,600,78.43608854852876,94.76597296896473,16.329884420435974,1.2081935078944255,20.81935078944255,96.6045923151529,18.16850376662414,1.231634495075353,23.163449507535304
ae4_signed_cl_flux,fmol,60,600,41.05550196187763,4.301680265073695,-36.75382169680394,0.10477719329964713,-89.52228067003529,0.0,-41.05550196187763,0.0,-100.0
ae4_na_cell_source,fmol,60,600,-20.527750980938816,-2.1508401325368474,18.37691084840197,0.10477719329964713,-89.52228067003529,0.0,20.527750980938816,-0.0,-100.0
ae4_k_cell_source,fmol,60,600,-20.527750980938816,-2.1508401325368474,18.37691084840197,0.10477719329964713,-89.52228067003529,0.0,20.527750980938816,-0.0,-100.0
ae4_tic_cell_source,fmol,60,600,-82.11100392375526,-8.60336053014739,73.50764339360788,0.10477719329964713,-89.52228067003529,0.0,82.11100392375526,-0.0,-100.0
ae4_ta_cell_source,fmol,60,600,-82.11100392375526,-8.60336053014739,73.50764339360788,0.10477719329964713,-89.52228067003529,0.0,82.11100392375526,-0.0,-100.0
nbc_cycles,fmol,60,600,39.11027319901621,8.728138137676543,-30.382135061339667,0.22316740395196455,-77.68325960480354,5.3939272413970105,-33.716345957619204,0.13791586711628212,-86.20841328837179
nbc_bicarbonate_equivalent_influx,fmol,60,600,78.22054639803243,17.456276275353087,-60.764270122679335,0.22316740395196455,-77.68325960480354,10.787854482794021,-67.43269191523841,0.13791586711628212,-86.20841328837179
nbc_current_charge,C,60,600,3.773567698911014e-09,8.421373070029596e-10,-2.9314303919080546e-09,0.22316740395196452,-77.68325960480354,5.20434861317306e-10,-3.253132837593708e-09,0.13791586711628215,-86.20841328837179
nhe1_flux,fmol,60,600,4.056564553635599,1.9026821007376644,-2.153882452897935,0.4690377967811287,-53.096220321887124,1.7621798739234413,-2.294384679712158,0.4344020292599879,-56.5597970740012
pump_cycles,fmol,60,600,32.721489102993985,33.24119511203055,0.5197060090365682,1.0158827126540833,1.5882712654083253,33.32977872136007,0.6082896183660864,1.018589912471631,1.858991247163111
cacc_cl_export,fmol,60,600,207.3272628710079,199.68239664680902,-7.644866224198864,0.963126575259158,-3.6873424740841987,198.6993139249661,-8.627948946041784,0.9583848798919908,-4.161512010800916
paracellular_cl_return,fmol,60,600,76.82345519369225,74.26135868039658,-2.5620965132956712,0.966649553748449,-3.3350446251551036,73.9423049169211,-2.8811502767711517,0.9624964762453471,-3.7503523754652934
water_outflow,pL,60,600,0.8837713607940971,0.8512432377669586,-0.03252812302713848,0.9631939611644454,-3.6806038835554555,0.8469752763905278,-0.036796084403569296,0.9583647015100073,-4.16352984899927
