time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cumulative_outflow_0_t_pL
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.03142872407710091,-0.06705742727215,-0.03562870319504909,0.0,0.0,0.0,1.0,0.007880875986972877,0.256706376109366,0.004933930166208064,-0.0019869843454434683,0.2596533219301311,0.10239383427632785,0.128353188054683,1.0,4937608.164510875,0.0,0.04458903298618399,-0.002466965083104032,-0.002466965083104032,0.002466965083104032,0.002466965083104032,-0.009867860332416128,-0.009867860332416128,0.0,0.0
60.0,0.0017035970562506,14.77425611088334,114.1562940667767,58.21417382458592,8.682264701040706,7.651948277691795,6.972320781686869,1.4682519319768301,301.5596433209368,-0.027426228393172162,-0.07962778794955143,-0.05220155955637927,1.0,0.0759255488880336,7.325701800855218e-12,2.3,0.011350221053746404,0.2891165347971872,0.07048796875931332,-0.0008913229133006845,0.3977148482056074,0.14624051511823347,0.1445582673985936,1.75,5715614.922444201,0.1518510977760672,0.05639329523765386,-0.03524398437965666,-0.03524398437965666,0.03524398437965666,0.03524398437965666,-0.14097593751862664,-0.14097593751862664,0.0,0.10875318328773789
120.0,0.001679418382296985,15.55101816828672,113.35053644017084,57.162845840783255,8.8091440468084,7.814213134330752,6.996792602667955,1.4551180002873119,301.5523496996962,-0.027877803336650634,-0.07949688570080109,-0.051619082364150456,1.0,0.07293143136677245,7.036813377410026e-12,2.3,0.00945225844659443,0.2811661346795087,0.07672421872179341,-0.0007960955203706956,0.39267866250003314,0.14472182314222926,0.14058306733975434,1.75,5759835.661547016,0.1458628627335449,0.058361212352519315,-0.03836210936089671,-0.03836210936089671,0.03836210936089671,0.03836210936089671,-0.15344843744358683,-0.15344843744358683,0.0,0.21019116901327173
180.0,0.001660768878266697,16.016296729799624,112.8043445982932,56.36726491779217,8.70229573808725,7.75010716078583,7.012411551576022,1.4417760030877826,301.5487976011686,-0.028224382627833625,-0.07943548203934135,-0.05121109941150773,1.0,0.0725567814204829,7.000665152913539e-12,2.3,0.008387897815130262,0.2846478040999352,0.07689667810122183,-0.0007820103775923329,0.38887858304379536,0.1436544305090922,0.1423239020499676,1.75,5740396.056099576,0.1451135628409658,0.05941734673146082,-0.038448339050610916,-0.038448339050610916,0.038448339050610916,0.038448339050610916,-0.15379335620244367,-0.15379335620244367,0.0,0.3103762992016468
240.0,0.0016458955405371485,16.38318497479529,112.3622470255977,55.7444273455734,8.606362626373622,7.6855658799689275,7.023433796143478,1.4311777638820913,301.54616659481167,-0.028498813613081393,-0.07938606575215447,-0.05088725213907308,1.0,0.07241356096061526,6.986846479276829e-12,2.3,0.007688369636923558,0.28826224587345717,0.07659013750403422,-0.0007753058421593745,0.3858481109580595,0.14280661506969008,0.14413112293672858,1.75,5720337.6866857195,0.1448271219212305,0.06019110252942112,-0.03829506875201711,-0.03829506875201711,0.03829506875201711,0.03829506875201711,-0.15318027500806844,-0.15318027500806844,0.0,0.40955915891353206
300.0,0.001634069411995018,16.684622595093394,111.99644035763693,55.2564287910191,8.533054801912037,7.6347372875202675,7.031357205369132,1.4229353853123439,301.5440593500178,-0.028715553988523625,-0.07934293553615854,-0.05062738154763491,1.0,0.07229562843927116,6.975467720787196e-12,2.3,0.007207947745683194,0.29096824305371616,0.07631412483278642,-0.0007700414472331302,0.38342987521882227,0.14212560000043462,0.14548412152685808,1.75,5705401.778500833,0.14459125687854232,0.06079040624527418,-0.03815706241639321,-0.03815706241639321,0.03815706241639321,0.03815706241639321,-0.15262824966557284,-0.15262824966557284,0.0,0.5079446407967875
360.0,0.0016246358532327643,16.932826589590814,111.69368344459342,54.87258057782931,8.477012367481564,7.594960669445422,7.037077537515576,1.4164889615054608,301.5423520505512,-0.02888705959719388,-0.07930554122779553,-0.05041848163060164,1.0,0.07219253541175231,6.965520755787784e-12,2.3,0.006870847457681009,0.2929196394862755,0.07609185057765472,-0.0007657761364342068,0.38149493137518725,0.1415776883335775,0.14645981974313774,1.75,5694673.694011008,0.14438507082350463,0.06126054068611444,-0.03804592528882736,-0.03804592528882736,0.03804592528882736,0.03804592528882736,-0.15218370115530944,-0.15218370115530944,0.0,0.605695249575091
420.0,0.0016170792498818476,17.13682098381676,111.4434465563729,54.56899600485167,8.433728624453149,7.563560181492583,7.041208185115292,1.4114054416974686,301.5409655958884,-0.02902332023875884,-0.0792734858869714,-0.050250165648212566,1.0,0.07210448652292258,6.957025329506249e-12,2.3,0.006631043855741336,0.2943350092233962,0.07591252164302423,-0.0007623457974992694,0.37994112709558,0.1411359068308979,0.1471675046116981,1.75,5686914.798411418,0.14420897304584515,0.06163186915791436,-0.037956260821512114,-0.037956260821512114,0.037956260821512114,0.037956260821512114,-0.15182504328604846,-0.15182504328604846,0.0,0.7029384088697588
480.0,0.0016110019969166195,17.304251001141644,111.23676478247643,54.327597252997904,8.400020468459747,7.538589471260631,7.044183545039657,1.4073666360306263,301.539838105582,-0.02913204216692054,-0.07924623234506677,-0.05011419017814622,1.0,0.07203050346778285,6.94988704985984e-12,2.3,0.0064589294081168645,0.2953747219281789,0.0757667858591258,-0.0007595944455792262,0.37868897387457495,0.1407787915777058,0.14768736096408944,1.75,5681227.114900739,0.1440610069355657,0.06192686339104806,-0.0378833929295629,-0.0378833929295629,0.0378833929295629,0.0378833929295629,-0.1515335717182516,-0.1515335717182516,0.0,0.7997742909938588
540.0,0.0016060968448914942,17.441587274501344,111.06607179562108,54.134710996151355,8.373595224936674,7.5186142597039956,7.046316116457917,1.4041372307409048,301.5389198447635,-0.02921913864638351,-0.07922319036450144,-0.050004051718117934,1.0,0.0719689341627316,6.943946515013573e-12,2.3,0.006334754314105528,0.2961482316668508,0.07564769047109193,-0.0007573876707873553,0.37767661229226873,0.14048937694323654,0.1480741158334254,1.75,5677002.200433827,0.1439378683254632,0.06216245971830787,-0.037823845235545966,-0.037823845235545966,0.037823845235545966,0.037823845235545966,-0.15129538094218387,-0.15129538094218387,0.0,0.8962820486991532
