time_s,wt_na_i_mM,wt_k_i_mM,wt_cl_i_mM,wt_ph_i,wt_hco3_i_mM,wt_tic_i_mM,wt_volume_i_pL,wt_nkcc1_x_i_mM4,ae4_5pct_na_i_mM,ae4_5pct_minus_wt_na_i_mM,ae4_5pct_k_i_mM,ae4_5pct_minus_wt_k_i_mM,ae4_5pct_cl_i_mM,ae4_5pct_minus_wt_cl_i_mM,ae4_5pct_ph_i,ae4_5pct_minus_wt_ph_i,ae4_5pct_hco3_i_mM,ae4_5pct_minus_wt_hco3_i_mM,ae4_5pct_tic_i_mM,ae4_5pct_minus_wt_tic_i_mM,ae4_5pct_volume_i_pL,ae4_5pct_minus_wt_volume_i_pL,ae4_5pct_nkcc1_x_i_mM4,ae4_5pct_minus_wt_nkcc1_x_i_mM4,ae4_null_na_i_mM,ae4_null_minus_wt_na_i_mM,ae4_null_k_i_mM,ae4_null_minus_wt_k_i_mM,ae4_null_cl_i_mM,ae4_null_minus_wt_cl_i_mM,ae4_null_ph_i,ae4_null_minus_wt_ph_i,ae4_null_hco3_i_mM,ae4_null_minus_wt_hco3_i_mM,ae4_null_tic_i_mM,ae4_null_minus_wt_tic_i_mM,ae4_null_volume_i_pL,ae4_null_minus_wt_volume_i_pL,ae4_null_nkcc1_x_i_mM4,ae4_null_minus_wt_nkcc1_x_i_mM4
0.0,11.504825605191392,116.97377381898451,60.57229665283094,6.9109830678074875,4.92311254096896,5.685898476324307,1.4533343925874602,4937608.164510875,11.504825605191392,0.0,116.97377381898451,0.0,60.57229665283094,0.0,6.9109830678074875,0.0,4.92311254096896,0.0,5.685898476324307,0.0,1.4533343925874602,0.0,4937608.164510875,0.0,11.504825605191392,0.0,116.97377381898451,0.0,60.57229665283094,0.0,6.9109830678074875,0.0,4.92311254096896,0.0,5.685898476324307,0.0,1.4533343925874602,0.0,4937608.164510875,0.0
60.0,14.77425611088334,114.1562940667767,58.21417382458592,6.972320781686869,7.651948277691795,8.682264701040706,1.4682519319768301,5715614.922444201,15.286086156316127,0.511830045432788,113.9362539802473,-0.22004008652939433,56.44997788279965,-1.7641959417862694,7.000407035405641,0.02808625371877227,10.116305479995617,2.4643572023038223,11.393754730477024,2.711490029436318,1.4856324424634801,0.017380510486650014,5549908.100225525,-165706.8222186761,15.325162598843574,0.5509064879602352,113.91860015101355,-0.23769391576314547,56.318002394751964,-1.8961714298339558,7.00239853372788,0.030077752041011152,10.301233872322511,2.649285594630716,11.59613129146584,2.9138665904251333,1.4869353726485446,0.018683440671714457,5537251.055168912,-178363.86727528926
120.0,15.55101816828672,113.35053644017084,57.162845840783255,6.996792602667955,7.814213134330752,8.8091440468084,1.4551180002873119,5759835.661547016,16.41112870736077,0.86011053907405,113.18396781348551,-0.1665686266853328,54.2602429856776,-2.9026028551056555,7.0540637338416134,0.057271131173658674,12.410767031744726,4.5965538974139735,13.797353610078613,4.988209563270212,1.494106621811862,0.03898862152455007,5468734.44014692,-291101.2214000961,16.495855869647364,0.9448377013606439,113.15921642961787,-0.1913200105529711,53.99777652811462,-3.165069312668635,7.058732905911399,0.06194030324344446,12.828505744248929,5.014292609918177,14.246593885258534,5.437449838450133,1.4976667279903013,0.04254872770298945,5442726.850521432,-317108.8110255841
180.0,16.016296729799624,112.8043445982932,56.36726491779217,7.012411551576022,7.75010716078583,8.70229573808725,1.4417760030877826,5740396.056099576,16.93491496578111,0.9186182359814872,112.92913002922697,0.1247854309337697,53.19691188179021,-3.1703530360019627,7.091888288289725,0.07947673671370303,13.456339311719477,5.706232150933647,14.835676323040163,6.1333805849529135,1.497651621088333,0.05587561800055041,5412050.578115177,-328345.4779843986,17.048001085110684,1.03170435531106,112.91636964724024,0.11202504894704646,52.86565650720156,-3.501608410590613,7.099047060878323,0.08663550930230102,14.050717683124647,6.300610522338817,15.46772184989609,6.765426111808841,1.50348215040514,0.06170614731735746,5379942.459789821,-360453.596309755
240.0,16.38318497479529,112.3622470255977,55.7444273455734,7.023433796143478,7.6855658799689275,8.606362626373622,1.4311777638820913,5720337.6866857195,17.20105635943861,0.8178713846433183,112.87232885983241,0.5100818342347111,52.66706604838813,-3.07736129718527,7.120486742575775,0.09705294643229667,13.954356231448832,6.268790351479905,15.294724065551831,6.688361439178209,1.499670208960847,0.06849244507875563,5385435.833941018,-334901.8527447013,17.324479296732115,0.941294321936823,112.88604635659327,0.5237993309955726,52.30653687312027,-3.4378904724531267,7.129898871715216,0.10646507557173823,14.674350000557544,6.988784120588616,16.054077725550748,7.447715099177126,1.5074964651442633,0.076318701262172,5350721.998317208,-369615.6883685114
300.0,16.684622595093394,111.99644035763693,55.2564287910191,7.031357205369132,7.6347372875202675,8.533054801912037,1.4229353853123439,5705401.778500833,17.335694412384775,0.6510718172913812,112.90394957710528,0.9075092194683521,52.38996047549381,-2.866468315525289,7.142849159061412,0.11149195369227982,14.202987305377926,6.568250017857658,15.499735789379676,6.9666809874676385,1.5010436614595264,0.07810827614718252,5372130.0663181655,-333271.7121826671,17.45624667386965,0.7716240787762558,112.95264815296642,0.9562077953294903,52.02265097636568,-3.233777814653415,7.154284158779583,0.12292695341045068,15.011427800839886,7.376690513319619,16.346922372597668,7.81386757068563,1.5105529753925881,0.08761759008024428,5336201.81379635,-369199.9647044828
360.0,16.932826589590814,111.69368344459342,54.87258057782931,7.037077537515576,7.594960669445422,8.477012367481564,1.4164889615054608,5694673.694011008,17.40044160910587,0.4676150195150548,112.97359723760317,1.2799137930097544,52.23996598169345,-2.632614596135859,7.160673698174743,0.1235961606591669,14.334846256012352,6.739885586566929,15.59182472052097,7.114812353039406,1.502159868807141,0.08567090730168014,5364669.836698621,-330003.8573123878,17.510067611617995,0.5772410220271809,113.06088815967254,1.3672047150791258,51.87843101001244,-2.9941495678168693,7.173914570865425,0.13683703334984898,15.206058856485518,7.6110981870400956,16.50006540349198,8.023053036010417,1.513081596257555,0.09659263475209423,5328118.580750941,-366555.11326006707
420.0,17.13682098381676,111.4434465563729,54.56899600485167,7.041208185115292,7.563560181492583,8.433728624453149,1.4114054416974686,5686914.798411418,17.427353587280884,0.290532603464122,113.05703743647585,1.6135908801029473,52.15793704166719,-2.4110589631844803,7.175058293159652,0.13385010804435993,14.410895040094584,6.847334858602001,15.634066104512025,7.2003374800588755,1.50319033949438,0.09178489779691135,5360062.519405548,-326852.2790058693,17.521915292261962,0.38509430844520054,113.18322093741683,1.7397743810439295,51.80879397446988,-2.760202030381791,7.189905020701357,0.1486968355860645,15.327588153891625,7.764027972399043,16.58562918694342,8.151900562490273,1.5153076132269572,0.10390217152948855,5323173.122573552,-363741.67583786603
480.0,17.304251001141644,111.23676478247643,54.327597252997904,7.044183545039657,7.538589471260631,8.400020468459747,1.4073666360306263,5681227.114900739,17.433464803415276,0.12921380227363244,113.14266850467921,1.9059037222027797,52.11422292518534,-2.2133743278125664,7.186768897835203,0.14258535279554607,14.459670300230128,6.9210808289694965,15.654914410965272,7.254893942505525,1.5041971914052943,0.096830555374668,5357012.497553146,-324214.6173475925,17.51140301934801,0.20715201820636509,113.30607367750815,2.0693088950317247,51.780494680832646,-2.547102572165258,7.203039943922145,0.15885639888248804,15.410324915502867,7.871735444242236,16.63819902326358,8.238178554803834,1.5173387502042073,0.10997211417358099,5319937.425103684,-361289.689797055
540.0,17.441587274501344,111.06607179562108,54.134710996151355,7.046316116457917,7.5186142597039956,8.373595224936674,1.4041372307409048,5677002.200433827,17.42803409653622,-0.01355317796512523,113.22508606913978,2.159014273518693,52.093066735305534,-2.041644260845821,7.196365724356311,0.15004960789839394,14.494642737620854,6.976028477916858,15.66708588318013,7.293490658243456,1.505192480597941,0.10105524985703629,5354894.400583299,-322107.7998505281,17.48933100315992,0.047743728658574014,113.42302032505755,2.3569485294364654,51.77564791286471,-2.3590630832866424,7.213898046307895,0.16758192984997766,15.471559322788295,7.952945063084299,16.67449256994575,8.300897345009075,1.5192215560847675,0.1150843253438627,5317720.288463063,-359281.9119707644
