time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cacc_recruitment_factor,effective_cacc_conductance_S,cumulative_outflow_0_t_pL
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.03142872407710091,-0.06705742727215,-0.03562870319504909,0.0,0.0,0.0,1.0,0.007880875986972877,0.256706376109366,0.0,-0.0019869843454434683,0.2596533219301311,0.10239383427632785,0.128353188054683,1.0,4937608.164510875,0.0,0.04458903298618399,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,3.14e-08,0.0
60.0,0.0011610807362785053,14.457329741060953,115.35896280725704,58.85549940455008,11.33641503324099,10.067160996359233,7.001092672946723,1.5288314373327305,301.44742479132265,-0.04134394357963559,-0.08107653076337286,-0.03973258718373727,1.0,0.053059840926225,5.119496374001188e-12,2.3,0.00949791682855044,0.2780828573522873,0.0,-0.00024235354470385478,0.28259786426937844,0.11320285880608685,0.13904142867614366,1.75,5777148.451229034,0.10611968185245,0.055498879782259786,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,0.06846258242752627
120.0,0.0011483955127685047,14.899066474467984,115.5879990595782,57.659930828336364,13.980510604903335,12.58519100282963,7.057432716757475,1.5616141838872681,301.4401950923319,-0.041658308000946255,-0.08076211038341796,-0.03910380238247171,1.0,0.02975747438483824,2.871159799073511e-12,2.3,0.0063172843360367326,0.2873141279304954,0.0,0.00036621156101975536,0.27911515877083465,0.11151007167056351,0.1436570639652477,1.75,5725587.257531064,0.05951494876967648,0.0567159817621041,0.0,0.0,-0.0,-0.0,0.0,0.0,0.00036621156101975536,0.10511872843288446,3.3007280727925724e-09,0.1376894493579773
180.0,0.0011453469870277816,14.866783098174745,116.13694541227002,57.32113951801138,15.326405661108307,13.920898756847851,7.098547745043064,1.5860360966581615,301.43812209643033,-0.0417612053673882,-0.08068847782103279,-0.03892727245364459,1.0,0.018883723186259475,1.82200230328839e-12,2.3,0.00465382520926406,0.2968717183458926,0.0,0.0006304044623053989,0.278353657028966,0.11102994310859358,0.1484358591729463,1.75,5673055.537929283,0.03776744637251895,0.05663015925679872,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0006304044623053989,0.10511872843288446,3.3007280727925724e-09,0.20646756124730517
240.0,0.0011469420709708938,14.690485179419888,116.74033961366389,57.390618415411545,16.086926611237516,14.706752674770819,7.130728304936168,1.6067591622893709,301.4376756162136,-0.04175331691807891,-0.08070169511600997,-0.03894837819793106,1.0,0.013302361256741491,1.2834827438369235e-12,2.3,0.0036470304821404997,0.30137934764138974,0.0,0.0007620532902966919,0.2787441724408023,0.11108717865318388,0.15068967382069487,1.75,5648575.016720239,0.026604722513482983,0.05615297236518938,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0007620532902966919,0.10511872843288446,3.3007280727925724e-09,0.2752219893918916
300.0,0.0011503826142598816,14.471159151394243,117.31970980945917,57.6340280735761,16.56409341681305,15.217919876291024,7.156799183998359,1.625008347503375,301.43785340379395,-0.04169568296272966,-0.08074549852144743,-0.03904981555871777,1.0,0.010157248845484424,9.800255282820514e-13,2.3,0.002985413688215568,0.30307923307915574,0.0,0.0008349796287636131,0.27958577503032567,0.11136252212745823,0.15153961653957787,1.75,5639391.52564301,0.02031449769096885,0.05553848564226444,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0008349796287636131,0.10511872843288446,3.3007280727925724e-09,0.34413656386241775
360.0,0.0011544067965524264,14.249384655023272,117.84826556713588,57.942187951366755,16.89450206356535,15.581752597281648,7.178347558215588,1.6413155563006054,301.43826800696104,-0.04161829248727826,-0.08079749316820613,-0.03917920068092787,1.0,0.0082167139222614,7.927923717244191e-13,2.3,0.0025258659506328285,0.3033757191263578,0.0,0.0008793707629368094,0.28056889134432167,0.11171321660453765,0.1516878595631789,1.75,5637792.485888823,0.0164334278445228,0.054892888362656475,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0008793707629368094,0.10511872843288446,3.3007280727925724e-09,0.4132791466769465
420.0,0.0011584513153663158,14.041782227022598,118.31922805294442,58.264047253334006,17.143335499376132,15.860490875085603,7.196393099932821,1.6559768043250633,301.43875070180854,-0.041535594445795916,-0.08084859888989715,-0.039313004444101234,1.0,0.006909209908860237,6.666374127431749e-13,2.3,0.0021934039813781133,0.3029670409694764,0.0,0.0009088739781775366,0.2815556430044633,0.1120753666561874,0.1514835204847382,1.75,5639996.820939475,0.013818419817720475,0.054265730301676904,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0009088739781775366,0.10511872843288446,3.3007280727925724e-09,0.4826655879285037
480.0,0.001162272658778718,13.854160860841457,118.73420202054665,58.57583868951357,17.34310102652869,16.086029327788648,7.21164704832941,1.66918614012685,301.4392279529834,-0.04145450876741668,-0.08089538952631997,-0.03944088075890329,1.0,0.00595531783735603,5.746008194174567e-13,2.3,0.001945195873664781,0.3022109338177068,0.0,0.000930088646034402,0.2824865517584292,0.11242102958742506,0.1511054669088534,1.75,5644079.141791432,0.01191063567471206,0.05367939073707389,0.0,0.0,-0.0,-0.0,0.0,0.0,0.000930088646034402,0.10511872843288446,3.3007280727925724e-09,0.5522887469624109
540.0,0.0011657772097033309,13.68745030209595,119.0980434232146,58.867072012037426,17.51070135588541,16.275495854619788,7.2246325949649695,1.6810906121711848,301.43967001791,-0.04137821249098999,-0.08093688721833044,-0.03955867472734045,1.0,0.005212729296593554,5.029519174334831e-13,2.3,0.0017551799811433195,0.3012996529446701,0.0,0.000946369252370935,0.28333893566492413,0.11273908151635541,0.15064982647233505,1.75,5649006.209241623,0.010425458593187107,0.05314242841803832,0.0,0.0,-0.0,-0.0,0.0,0.0,0.000946369252370935,0.10511872843288446,3.3007280727925724e-09,0.6221319261042488
600.0,0.0011689420473021683,13.54050398368057,119.41653116904929,59.13386122855765,17.655345038584954,16.438582655144376,7.235748788420921,1.6918139922313937,301.4400672870383,-0.0413079845881031,-0.08097314791889072,-0.03966516333078762,1.0,0.004606127753878678,4.444237661201339e-13,2.3,0.0016067025498751122,0.3003391423067346,0.0,0.000959496194776683,0.2841074602438941,0.11302632641126514,0.1501695711533673,1.75,5654207.683770495,0.009212255507757356,0.052656387793496864,0.0,0.0,-0.0,-0.0,0.0,0.0,0.000959496194776683,0.10511872843288446,3.3007280727925724e-09,0.6921751966127501
