time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cacc_recruitment_factor,effective_cacc_conductance_S,cumulative_outflow_0_t_pL
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.03142872407710091,-0.06705742727215,-0.03562870319504909,0.0,0.0,0.0,1.0,0.007880875986972877,0.256706376109366,0.0,-0.0019869843454434683,0.2596533219301311,0.10239383427632785,0.128353188054683,1.0,4937608.164510875,0.0,0.04458903298618399,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,3.14e-08,0.0
1e-06,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.039924147576679656,-0.08185926574908314,-0.04193511817240349,1.0,0.10001629763168902,9.650105694406285e-12,2.3,0.018126014770037616,0.4492361581913904,0.0,-0.0019869843454434683,0.2729016169185404,0.1187341806242863,0.2246180790956952,1.75,4937608.164510875,0.20003259526337805,0.04458903298618399,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,1.0776814707374823e-09
1.0,0.0010690724100351574,11.626999269546573,116.9138474011226,60.59130867150243,5.820338403018402,5.042566512783014,6.912955817652974,1.4556341650485827,301.45399363749283,-0.040025272740223605,-0.08185480296833349,-0.04182953022810988,1.0,0.09914096607112693,9.565649038070335e-12,2.3,0.017857890443286853,0.4369472419027689,0.0,-0.001936941801681158,0.27457832664100734,0.11848287457325875,0.21847362095138445,1.75,4990617.245041371,0.19828193214225387,0.0451470442995261,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,0.00107337694469085
2.0,0.001066669270814788,11.741964935356137,116.83859726128306,60.59580109272561,5.952267631734877,5.159945875375285,6.914910432473781,1.4580726082307625,301.45530820721666,-0.04011732849437446,-0.0818453516076654,-0.04172802311329094,1.0,0.09826658339472215,9.481283935137444e-12,2.3,0.017598791934568408,0.42627391480531324,0.0,-0.0018879898335445197,0.2760577939472665,0.11823280359110161,0.21313695740265662,1.75,5037466.558684808,0.1965331667894443,0.0456632769767926,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,0.002141247785115823
3.0,0.0010669192533981438,11.851968194899632,116.76688916230817,60.59612465728268,6.082625947264209,5.276059318114192,6.916846725025726,1.460419229648242,301.45643186287185,-0.04020157801321482,-0.08183493697539079,-0.04163335896217597,1.0,0.09738488163522417,9.396212648041494e-12,2.3,0.01734721307304642,0.4163778861958582,0.0,-0.001840100864958024,0.277382066413862,0.1179996741517406,0.2081889430979291,1.75,5081593.11727224,0.19476976327044834,0.046149206188536365,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,0.003208042047222289
4.0,0.0010691265019631053,11.957318642565413,116.69851099724103,60.592662065111554,6.211424425361248,5.390911574247427,6.918764555405604,1.4626799514281759,301.4573916839191,-0.04027862040723079,-0.08182365589848369,-0.041545035491252894,1.0,0.09649690159949448,9.310535599378185e-12,2.3,0.01710279210595312,0.40718878329316915,0.0,-0.0017932471709034485,0.27856363866642014,0.11778222612152338,0.20359439164658458,1.75,5123174.9129358735,0.19299380319898896,0.04660724874122775,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,0.004276064924902913
5.0,0.0010727392361367329,12.058297825343368,116.63326805707803,60.585759269666546,6.338674020897761,5.504507443199637,6.920663832530971,1.46486020249414,301.4582006777058,-0.04034903647524804,-0.08181160060802997,-0.04146256413278193,1.0,0.09560364331179545,9.224349276820603e-12,2.3,0.016865195867429152,0.3986444616706507,0.0,-0.0017474020093878936,0.27961445467793783,0.11757923055981424,0.19932223083532535,1.75,5162375.140058989,0.1912072866235909,0.04703957506941095,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,0.005346997793952832
6.0,0.0010773221323842174,12.155162717427315,116.5709825483589,60.575730315738156,6.464385736523841,5.616851933971338,6.922544509128778,1.466964949588311,301.45887163015925,-0.040413382507101414,-0.08179885852901889,-0.04138547602191747,1.0,0.09470606464885244,9.137746101422718e-12,2.3,0.016634116217274616,0.390689773671289,0.0,-0.00170253954171185,0.2805458219302818,0.11738950831568694,0.1953448868356445,1.75,5199343.992528836,0.18941212929770487,0.04744813977169704,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,0.006422028478213307
7.0,0.0010825342826522506,12.248148555247958,116.51149158381966,60.56286073970505,6.588570682170184,5.72795031349333,6.9244065770520375,1.4689987451975517,301.45941691922513,-0.040472186107632924,-0.08178551192284203,-0.041313325815209107,1.0,0.09380508116666071,9.050814410908816e-12,2.3,0.01640926713376357,0.38327560129343397,0.0,-0.0016586347658279251,0.28136836870084314,0.11721193982467998,0.19163780064671698,1.75,5234219.967312028,0.18761016233332142,0.04783470731035157,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,0.007501956685731542
8.0,0.0010881111991826232,12.33747125967379,116.4546454757533,60.54741051979015,6.711240124174871,5.8378081457921525,6.926250063029142,1.4709657692893319,301.4598483790483,-0.040525943480015446,-0.08177163769754747,-0.041245694217532027,1.0,0.0929015661747708,8.96363846684092e-12,2.3,0.016190382260259085,0.3763580485931088,0.0,-0.0016156634575789344,0.28209202179031007,0.11704547159862858,0.1881790242965544,1.75,5267130.997033848,0.1858031323495416,0.04820087416382494,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10511872843288446,3.3007280727925724e-09,0.008587279426648978
