ae2_inward_fmol_s,ae4_expression,ae4_hco3_source_fmol_s,ae4_k_branch_before_expression_fmol_s,ae4_k_branch_fmol_s,ae4_k_source_fmol_s,ae4_na_branch_before_expression_fmol_s,ae4_na_branch_fmol_s,ae4_na_source_fmol_s,ae4_net_cl_source_fmol_s,apical_pump_capacity_fraction,calcium_uM,cl_i_mM,cl_l_mM,conservation__ae4_charge_fmol_s,conservation__apical_current_A,conservation__basolateral_current_A,conservation__buffer_site_accounting_fmol_s,conservation__carbon_accounting_fmol_s,conservation__cell_bulk_charge_rate_fmol_s,conservation__cell_speciation_alkalinity_mM,conservation__homeostasis_charge_fmol_s,conservation__lumen_bulk_charge_rate_minus_outflow_fmol_s,conservation__lumen_speciation_alkalinity_mM,conservation__water_volume_accounting_pL_s,current_A__apical_total,current_A__basolateral_total,current_A__cl_apical,current_A__k_apical,current_A__k_basolateral,current_A__para_cl,current_A__para_hco3,current_A__para_k,current_A__para_na,current_A__paracellular_total,current_A__pump_apical,current_A__pump_basolateral,flow_pL_s,hco3_i_mM,hco3_l_mM,k_i_mM,k_l_mM,max_abs_charge_fmol,max_abs_current_A,max_abs_scaled_independent_rhs,max_dimensionless_conservation_ratio,na_i_mM,na_l_mM,nhe1_inward_fmol_s,nkcc1_inward_fmol_s,ph_i,ph_l,phase,pump_apical_fmol_s,pump_basolateral_fmol_s,pump_scale,pump_total_capacity_fmol_s,pump_total_fmol_s,rhs__ae4_effective_activation_fraction,rhs__alk_i_fmol,rhs__alk_l_fmol,rhs__cl_i_fmol,rhs__cl_l_fmol,rhs__k_i_fmol,rhs__k_l_fmol,rhs__na_i_fmol,rhs__na_l_fmol,rhs__tic_i_fmol,rhs__tic_l_fmol,rhs__volume_i_pL,rhs__volume_l_pL,root_id,routing_family,source_path,source_sha256,status,tic_i_mM,tic_l_mM,time_s,v_apical_mV,v_basolateral_mV,v_transepithelial_mV,volume_i_pL,volume_l_pL
-0.0018657386613867392,1.0,-0.00879782114339106,0.07179207477720233,0.07179207477720233,-0.07179207477720233,-0.0673931642055068,-0.0673931642055068,0.0673931642055068,0.00439891057169553,0.094586,0.1,51.727764048467556,145.29487920067712,0.0,3.554291694563791e-26,-9.693522803355793e-27,0.0,0.0,-2.463307335887066e-16,-1.1546319456101628e-13,-1.0408340855860843e-17,3.686287386450715e-16,0.0,0.0,-1.848394355059677e-11,1.8483943550596795e-11,-2.297491807943737e-11,3.8618368241887885e-12,1.2934231860341098e-11,-8.872296130337636e-12,4.890139620763637e-13,4.224662309780761e-13,-1.0523127613313608e-11,-1.8483943550596805e-11,6.291377046518127e-13,5.549711690255697e-12,0.0010059774821377515,4.450673633474581,5.033833896196756,107.07327379549376,22.471137807901556,1.4210854715202004e-14,3.554291694563791e-26,4.228388472693467e-12,0.00011546319456101627,18.603414600683543,127.8618984676637,0.006932082482004249,0.11779253720184102,6.840856842478318,6.93584257518408,REST,0.006520552822156908,0.05751870847429381,1.0,0.08,0.06403926129645071,0.0,-7.28583859910259e-17,1.8214596497756474e-17,2.7755575615628914e-17,-3.608224830031759e-16,-2.3592239273284576e-16,4.85722573273506e-17,-5.551115123125783e-17,-5.551115123125783e-17,-6.505213034913027e-17,-7.806255641895632e-18,4.2283884726934673e-16,1.8431436932253575e-16,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.10_WT_production_radau.json,3342778c97bd24899846e515eac584ab9be1c5e87092c8a1281a653d8a7ff2f6,BASELINE_HASH_VALID_REUSE,5.260513058557183,5.7706194129000155,0.0,-34.87423691292624,-66.58957015065717,-31.715333237730924,1.3,0.10502988741068876
-0.0019446716446854138,1.0,-0.006892366452045967,0.08095962611360868,0.08095962611360868,-0.08095962611360868,-0.0775134428875857,-0.0775134428875857,0.0775134428875857,0.0034461832260229835,0.094586,0.1,53.42229207115484,146.4586789254202,0.0,-3.877409121342317e-26,1.6155871338926322e-26,0.0,0.0,2.2724877535296173e-16,-7.815970093361102e-14,-2.2551405187698492e-17,-3.937822290467352e-16,0.0,0.0,-2.320204373475854e-11,2.320204373475852e-11,-2.882624028029411e-11,4.9652493003012126e-12,1.7397610197102295e-11,-1.0831700976924891e-11,4.4350996470542383e-13,2.9820562085043043e-13,-1.3112058343389465e-11,-2.3202043734758503e-11,6.589472452343562e-13,5.804433537656225e-12,0.0012716346221020693,4.429786515135913,3.915567612836164,104.9020291572555,27.235423092662273,5.684341886080802e-14,3.877409121342317e-26,1.9477785048935832,7.815970093361102e-05,21.222558995884505,123.1414656407105,0.00686218644544604,0.16230214738585202,6.841662171416446,6.840327416077156,DYNAMIC,0.006829506939094279,0.06015871438818471,1.0,0.08,0.06698822132727898,0.004511176181440857,0.0019144916380854863,-0.00038587437884852766,0.027342878901617657,0.00025833085782966947,-0.016455742197343456,7.797836262517233e-05,0.04571311273704683,-0.00020552188364428292,0.001916601888713395,-0.00037931780662732364,0.00019477785048935834,-7.792238803823459e-07,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.10_WT_production_radau.json,3342778c97bd24899846e515eac584ab9be1c5e87092c8a1281a653d8a7ff2f6,BASELINE_HASH_VALID_REUSE,5.234337768196945,4.628905517143754,60.0,-31.5766889948285,-70.91641615767443,-39.33972716284594,1.323537681284763,0.10635817311051035
-0.001928070680243297,1.0,-0.009232731144105027,0.07998689784115673,0.07998689784115673,-0.07998689784115673,-0.07537053226910422,-0.07537053226910422,0.07537053226910422,0.004616365572052514,0.094586,0.1,53.42797400562311,146.49304343160873,0.0,-7.431700815906108e-26,9.693522803355793e-27,0.0,-2.168404344971009e-19,6.487865800153259e-16,-5.861977570020827e-14,1.0408340855860843e-17,-7.251144129583054e-16,1.7763568394002505e-15,0.0,-2.2964896759026872e-11,2.2964896759026807e-11,-2.8474291527716666e-11,4.832700482858837e-12,1.7003515572957724e-11,-1.0749513943093435e-11,4.746196239689228e-13,2.923531010422944e-13,-1.298235554094458e-11,-2.2964896759026798e-11,6.76694285830958e-13,5.961381186069084e-12,0.0012552606612176804,4.465002645282737,3.87372053237073,102.48021489522529,26.778622923131636,4.263256414560601e-14,7.431700815906108e-26,0.8416632920276931,5.861977570020826e-05,23.656363069196054,123.59069859883022,0.0067977280703224756,0.1401318582692412,6.842330917627355,6.831934934124137,DYNAMIC,0.007013442053444403,0.06178536213830762,1.0,0.08,0.06879880419175202,8.262507396250192e-05,-0.0005069323935392549,5.334636837586639e-05,-0.012163224244109483,-0.0001825800711429404,-0.028573862671059908,-0.0005836514240130167,0.01590370603341182,0.0004544177212454925,-0.0005331692046274142,5.382045085090652e-05,-8.416632920276931e-05,-8.38601818816103e-07,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.10_WT_production_radau.json,3342778c97bd24899846e515eac584ab9be1c5e87092c8a1281a653d8a7ff2f6,BASELINE_HASH_VALID_REUSE,5.274706972562988,4.593152911288194,180.0,-31.52367991251888,-70.52838863420615,-39.00470872168728,1.3242626949217484,0.10627630330608841
-0.0018789903827641527,1.0,-0.009112559081973531,0.07460426276272082,0.07460426276272082,-0.07460426276272082,-0.07004798322173406,-0.07004798322173406,0.07004798322173406,0.004556279540986766,0.094586,0.1,51.393320316539885,146.30369718657658,0.0,-1.2924697071141057e-26,2.908056841006738e-26,0.0,-1.0842021724855044e-19,-1.1796119636642288e-16,-2.2382096176443156e-13,2.0816681711721685e-17,-2.177077962350893e-16,0.0,0.0,-2.2182442572049605e-11,2.218244257204962e-11,-2.745042597126291e-11,4.5767579089357934e-12,1.6090668926812692e-11,-1.042694562477174e-11,4.752770649998683e-13,2.7650034618461154e-13,-1.2507274358462331e-11,-2.2182442572049592e-11,6.912254902775077e-13,6.0917736452369305e-12,0.0012064768177988433,4.394719759965494,4.058066890397409,98.84995269433956,25.248273151287098,1.8474111129762605e-13,2.908056841006738e-26,0.391819820989884,0.00022382096176443153,26.703772370195892,125.11631946623594,0.006725848347425628,0.13817373967107976,6.837909094430313,6.852700982832057,DYNAMIC,0.0071640473747638855,0.0631367847463127,1.0,0.08,0.07030083212107657,6.87051193715149e-11,-0.0005077203517837511,2.652346632197721e-05,-0.00547884845480931,-7.607820869978688e-05,-0.010031643683602903,-0.00022052202274562213,0.0040450748770097245,0.00017096728036794517,-0.00033415656119342816,2.6981133488742336e-05,-3.91819820989884e-05,-3.2272317007815687e-07,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.10_WT_production_radau.json,3342778c97bd24899846e515eac584ab9be1c5e87092c8a1281a653d8a7ff2f6,BASELINE_HASH_VALID_REUSE,5.1998032501039635,4.776679296431819,600.0,-32.362626298113064,-70.11162902509832,-37.74900272698526,1.2943100299436325,0.10603238408899422
-0.0018657386613867392,1.0,-0.00879782114339106,0.07179207477720233,0.07179207477720233,-0.07179207477720233,-0.0673931642055068,-0.0673931642055068,0.0673931642055068,0.00439891057169553,0.094586,0.25,51.727764048467556,145.29487920067712,0.0,3.554291694563791e-26,-9.693522803355793e-27,0.0,0.0,-2.463307335887066e-16,-1.1546319456101628e-13,-1.0408340855860843e-17,3.686287386450715e-16,0.0,0.0,-1.848394355059677e-11,1.8483943550596795e-11,-2.297491807943737e-11,3.8618368241887885e-12,1.2934231860341098e-11,-8.872296130337636e-12,4.890139620763637e-13,4.224662309780761e-13,-1.0523127613313608e-11,-1.8483943550596805e-11,6.291377046518127e-13,5.549711690255697e-12,0.0010059774821377515,4.450673633474581,5.033833896196756,107.07327379549376,22.471137807901556,1.4210854715202004e-14,3.554291694563791e-26,4.228388472693467e-12,0.00011546319456101627,18.603414600683543,127.8618984676637,0.006932082482004249,0.11779253720184102,6.840856842478318,6.93584257518408,REST,0.006520552822156908,0.05751870847429381,1.0,0.08,0.06403926129645071,0.0,-7.28583859910259e-17,1.8214596497756474e-17,2.7755575615628914e-17,-3.608224830031759e-16,-2.3592239273284576e-16,4.85722573273506e-17,-5.551115123125783e-17,-5.551115123125783e-17,-6.505213034913027e-17,-7.806255641895632e-18,4.2283884726934673e-16,1.8431436932253575e-16,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.25_WT_production_radau.json,7db9c20468e99da3e3e564d08f93b0d7843598052ff1034aacf4336d0c13dd0b,BASELINE_HASH_VALID_REUSE,5.260513058557183,5.7706194129000155,0.0,-34.87423691292624,-66.58957015065717,-31.715333237730924,1.3,0.10502988741068876
-0.0018937145361259617,1.0,-0.008978087024857001,0.08044660598034513,0.08044660598034513,-0.08044660598034513,-0.07595756246791663,-0.07595756246791663,0.07595756246791663,0.0044890435124285005,0.094586,0.25,51.959114502995504,147.27667964385893,0.0,1.2924697071141057e-26,5.169878828456423e-26,0.0,-4.336808689942018e-19,-6.643990912991171e-16,-1.1901590823981678e-13,1.734723475976807e-18,2.0209528495129803e-16,5.773159728050814e-15,0.0,-2.7219519463094854e-11,2.7219519463094918e-11,-3.3733166212455584e-11,5.849455693646392e-12,2.1373061998625348e-11,-1.2485098518432243e-11,4.1952108143744237e-13,1.5440626512882723e-13,-1.5308348291228893e-11,-2.7219519463094866e-11,6.641910557143414e-13,5.846457464469568e-12,0.0014952373750142106,4.412695045503185,3.1299852954417373,103.94681304561752,31.149378359215852,7.105427357601002e-14,5.169878828456423e-26,1.1108341672722917,0.00011901590823981677,21.788326196855007,119.25893984320294,0.006848075488735954,0.17209017790619138,6.841125780277212,6.752288713509253,DYNAMIC,0.006883855204937043,0.06059426169770817,1.0,0.08,0.06747811690264521,0.004511176340154303,-0.00023629699999508542,-0.0003345134031410837,-0.002843946208710507,7.107391433086585e-06,-0.05554170836361459,-0.0013183971561097144,0.052461465154908335,0.000990991144402209,-0.0003062433838349689,-0.0003369346021715987,-2.0308054670369058e-05,-2.1177038866942045e-06,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.25_WT_production_radau.json,7db9c20468e99da3e3e564d08f93b0d7843598052ff1034aacf4336d0c13dd0b,BASELINE_HASH_VALID_REUSE,5.215128767834202,3.8279054981335516,60.0,-30.05724775920532,-75.86170672129018,-45.804458962084865,1.3025930932137428,0.10747618687507106
-0.001857779701361784,1.0,-0.010162068797373608,0.07688082693284734,0.07688082693284734,-0.07688082693284734,-0.07179979253416054,-0.07179979253416054,0.07179979253416054,0.005081034398686804,0.094586,0.25,50.79604945413324,147.2029830431996,0.0,-2.908056841006738e-26,1.2924697071141057e-26,0.0,4.336808689942018e-19,1.9255430583342559e-16,-1.865174681370263e-13,-1.734723475976807e-18,-3.209238430557093e-16,5.329070518200751e-15,0.0,-2.6381269013877214e-11,2.6381269013877198e-11,-3.2554465481903294e-11,5.487205104101275e-12,2.0341383450174742e-11,-1.216368333966942e-11,4.556422931711493e-13,1.4842184430346218e-13,-1.4821649811682375e-11,-2.6381269013877185e-11,6.859913639248051e-13,6.039885563702456e-12,0.0014388470241733205,4.386691999431275,3.195046824732603,100.08906922494211,29.568585951265927,4.912736883966318e-14,2.908056841006738e-26,1.7265433679676903,0.0001865174681370263,25.326454894506988,120.83117327953059,0.006757900821789477,0.15483352243971774,6.840010889789244,6.760559233460882,DYNAMIC,0.007109799477827667,0.06259900267732484,1.0,0.08,0.0697088021551525,8.262507686944328e-05,-0.0015463882742223472,0.0001227276889128803,-0.024512959204739088,-0.0004670094696863081,-0.05032415680917149,-0.0014316815178662054,0.024264809330210246,0.00108739973709307,-0.0014352981067891585,0.0001206898190924989,-0.00017265433679676903,-2.2541807473146127e-06,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.25_WT_production_radau.json,7db9c20468e99da3e3e564d08f93b0d7843598052ff1034aacf4336d0c13dd0b,BASELINE_HASH_VALID_REUSE,5.186439769601823,3.894070045604808,180.0,-30.57163497685433,-75.10381047341876,-44.53217549656442,1.286201237936683,0.10719423512086661
-0.001778222315305728,1.0,-0.00906896286644418,0.06794288659540856,0.06794288659540856,-0.06794288659540856,-0.06340840516218647,-0.06340840516218647,0.06340840516218647,0.00453448143322209,0.094586,0.25,47.796226033707505,146.85078588467812,0.0,-1.9387045606711586e-26,5.816113682013476e-26,0.0,-2.168404344971009e-19,-3.7816971776294395e-16,-1.5489831639570184e-12,1.0408340855860843e-17,-2.203098814490545e-16,2.220446049250313e-15,0.0,-2.4675144629532058e-11,2.4675144629532097e-11,-3.0275773267905674e-11,4.896862087184707e-12,1.847480608871787e-11,-1.1466839015316554e-11,4.574891395916482e-13,1.3639837341442828e-13,-1.380219312722156e-11,-2.467514462953204e-11,7.037665511889111e-13,6.200338540814225e-12,0.001328481201658427,4.281810784095027,3.5328901550380545,93.68437102878737,26.464880545563496,2.2737367544323206e-13,5.816113682013476e-26,0.43767232306261145,0.0015489831639570184,30.841964568061037,123.92094141921764,0.006634250566814919,0.15246340014328544,6.8304986524691955,6.801222013849163,DYNAMIC,0.0072940263118297394,0.06426198059931831,1.0,0.08,0.07155600691114805,6.870512307225832e-11,-0.0006564899843235321,4.531182810011726e-05,-0.006103218806705751,-0.00014764194913424733,-0.014597743929872314,-0.00040741931251735836,0.007838035138842653,0.00030508919148361513,-0.00031858441492284045,4.757297295651577e-05,-4.3767232306261145e-05,-6.614332334149622e-07,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.25_WT_production_radau.json,7db9c20468e99da3e3e564d08f93b0d7843598052ff1034aacf4336d0c13dd0b,BASELINE_HASH_VALID_REUSE,5.079658857401989,4.236934094640785,600.0,-31.985098424782233,-73.79391932245083,-41.808820897668596,1.2446764860984716,0.10664240600829214
-0.0018657386613867392,1.0,-0.00879782114339106,0.07179207477720233,0.07179207477720233,-0.07179207477720233,-0.0673931642055068,-0.0673931642055068,0.0673931642055068,0.00439891057169553,0.094586,0.5,51.727764048467556,145.29487920067712,0.0,3.554291694563791e-26,-9.693522803355793e-27,0.0,0.0,-2.463307335887066e-16,-1.1546319456101628e-13,-1.0408340855860843e-17,3.686287386450715e-16,0.0,0.0,-1.848394355059677e-11,1.8483943550596795e-11,-2.297491807943737e-11,3.8618368241887885e-12,1.2934231860341098e-11,-8.872296130337636e-12,4.890139620763637e-13,4.224662309780761e-13,-1.0523127613313608e-11,-1.8483943550596805e-11,6.291377046518127e-13,5.549711690255697e-12,0.0010059774821377515,4.450673633474581,5.033833896196756,107.07327379549376,22.471137807901556,1.4210854715202004e-14,3.554291694563791e-26,4.228388472693467e-12,0.00011546319456101627,18.603414600683543,127.8618984676637,0.006932082482004249,0.11779253720184102,6.840856842478318,6.93584257518408,REST,0.006520552822156908,0.05751870847429381,1.0,0.08,0.06403926129645071,0.0,-7.28583859910259e-17,1.8214596497756474e-17,2.7755575615628914e-17,-3.608224830031759e-16,-2.3592239273284576e-16,4.85722573273506e-17,-5.551115123125783e-17,-5.551115123125783e-17,-6.505213034913027e-17,-7.806255641895632e-18,4.2283884726934673e-16,1.8431436932253575e-16,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.50_WT_production_radau.json,d3f18f26432348a9d6bb13f9423cac2ea767c425c530106339c98a4511701c87,BASELINE_HASH_VALID_REUSE,5.260513058557183,5.7706194129000155,0.0,-34.87423691292624,-66.58957015065717,-31.715333237730924,1.3,0.10502988741068876
-0.0018780130465736692,1.0,-0.009579600368588292,0.08026202296746185,0.08026202296746185,-0.08026202296746185,-0.0754722227831677,-0.0754722227831677,0.0754722227831677,0.004789800184294146,0.094586,0.5,51.50752055299518,147.48290901920598,0.0,-3.877409121342317e-26,6.139231108792002e-26,0.0,-2.168404344971009e-19,-2.723515857283587e-16,-1.2612133559741778e-13,-2.2551405187698492e-17,-3.677613769070831e-16,8.43769498715119e-15,0.0,-2.836658058847815e-11,2.8366580588478174e-11,-3.51599951864742e-11,6.127678651030328e-12,2.2507452905213908e-11,-1.295463714299945e-11,4.142052788331865e-13,1.0977046764528779e-13,-1.5935919191957137e-11,-2.8366580588478112e-11,6.657359469657234e-13,5.859127683264267e-12,0.0015614801021695658,4.406490500904627,2.9333139218336424,103.64520177930295,32.27412995377729,9.947598300641403e-14,6.139231108792002e-26,1.3328891497668345,0.00012612133559741778,21.96945413435153,118.14352651273539,0.006843578754612555,0.17514889830803648,6.840948441096332,6.726888311512378,DYNAMIC,0.006899866874456517,0.06072557926190478,1.0,0.08,0.06762544613636129,0.0045111763286682875,-0.0008580085674020684,-0.00028961454084094115,-0.011198087484206531,-0.00014930925925674132,-0.06664445748834173,-0.0018239223052019596,0.05458836143673286,0.001384998505104179,-0.0009440033704153884,-0.0002948529500654681,-7.999864881989209e-05,-2.8563238380619176e-06,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.50_WT_production_radau.json,d3f18f26432348a9d6bb13f9423cac2ea767c425c530106339c98a4511701c87,BASELINE_HASH_VALID_REUSE,5.20812196739906,3.6266782528363715,60.0,-29.66678213371251,-77.31199682350572,-47.64521468979322,1.2962463378768685,0.10780740051084783
