AE4_low_normal_status,AE4_low_pump_status,I,I_reduction_percent,Q_005_1,Q_005_s,Q_1_1,Q_1_s,R_AE4,R_AE4_reduction_percent,R_coupled,R_coupled_reduction_percent,R_pump_AE4,R_pump_AE4_reduction_percent,R_pump_WT,R_pump_WT_reduction_percent,WT_normal_status,WT_pump_status,calcium_uM,complete_factorial_comparison,pump_scale,root_id,routing_family
BASELINE_HASH_VALID_REUSE,BASELINE_HASH_VALID_REUSE,1.0,0.0,1.2090616109782286,1.2090616109782286,1.0401042410522996,1.0401042410522996,1.1624427276202534,-16.244272762025336,1.1624427276202534,-16.244272762025336,1.0,0.0,1.0,0.0,BASELINE_HASH_VALID_REUSE,BASELINE_HASH_VALID_REUSE,0.25,True,1.0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20
BASELINE_HASH_VALID_REUSE,COMPLETE,1.3510115727050753,-35.101157270507535,1.2090616109782286,1.0069047385882808,1.0401042410522996,0.6411472010328546,1.570473577621816,-57.04735776218159,0.9680806008151356,3.1919399184864417,0.8327985351992223,16.72014648007777,0.6164259078341896,38.35740921658104,BASELINE_HASH_VALID_REUSE,COMPLETE,0.25,True,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20
BASELINE_HASH_VALID_REUSE,NOT_RUN_REST_FAILURE,,,1.2090616109782286,,1.0401042410522996,,,,,,,,,,BASELINE_HASH_VALID_REUSE,NOT_RUN_REST_FAILURE,0.25,False,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20
BASELINE_HASH_VALID_REUSE,BASELINE_HASH_VALID_REUSE,1.0,0.0,1.2775439798341002,1.2775439798341002,1.0790057552771866,1.0790057552771866,1.1840010802406804,-18.40010802406804,1.1840010802406804,-18.40010802406804,1.0,0.0,1.0,0.0,BASELINE_HASH_VALID_REUSE,BASELINE_HASH_VALID_REUSE,0.5,True,1.0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20
BASELINE_HASH_VALID_REUSE,COMPLETE,1.3456462646602285,-34.56462646602285,1.2775439798341002,1.0489219561200747,1.0790057552771866,0.6583550441749153,1.593246630979547,-59.3246630979547,0.9721189632122178,2.78810367877822,0.8210456725382448,17.895432746175523,0.6101497058333948,38.985029416660524,BASELINE_HASH_VALID_REUSE,COMPLETE,0.5,True,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20
BASELINE_HASH_VALID_REUSE,NOT_RUN_REST_FAILURE,,,1.2775439798341002,,1.0790057552771866,,,,,,,,,,BASELINE_HASH_VALID_REUSE,NOT_RUN_REST_FAILURE,0.5,False,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20
BASELINE_HASH_VALID_REUSE,BASELINE_HASH_VALID_REUSE,1.0,0.0,0.8417683443817963,0.8417683443817963,0.7380557860508516,0.7380557860508516,1.1405212997324823,-14.052129973248228,1.1405212997324823,-14.052129973248228,1.0,0.0,1.0,0.0,BASELINE_HASH_VALID_REUSE,BASELINE_HASH_VALID_REUSE,0.1,True,1.0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05
BASELINE_HASH_VALID_REUSE,NOT_RUN_REST_FAILURE,,,0.8417683443817963,,0.7380557860508516,,,,,,,,,,BASELINE_HASH_VALID_REUSE,NOT_RUN_REST_FAILURE,0.1,False,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05
BASELINE_HASH_VALID_REUSE,NOT_RUN_REST_FAILURE,,,0.8417683443817963,,0.7380557860508516,,,,,,,,,,BASELINE_HASH_VALID_REUSE,NOT_RUN_REST_FAILURE,0.1,False,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05
BASELINE_HASH_VALID_REUSE,BASELINE_HASH_VALID_REUSE,1.0,0.0,0.9903269620761913,0.9903269620761913,0.8393208597961263,0.8393208597961263,1.1799146304033774,-17.99146304033774,1.1799146304033774,-17.99146304033774,1.0,0.0,1.0,0.0,BASELINE_HASH_VALID_REUSE,BASELINE_HASH_VALID_REUSE,0.25,True,1.0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05
