ae2_inward_fmol_s,ae4_expression,ae4_hco3_source_fmol_s,ae4_k_branch_before_expression_fmol_s,ae4_k_branch_fmol_s,ae4_k_source_fmol_s,ae4_na_branch_before_expression_fmol_s,ae4_na_branch_fmol_s,ae4_na_source_fmol_s,ae4_net_cl_source_fmol_s,apical_pump_capacity_fraction,cl_i_mM,cl_l_mM,conservation__ae4_charge_fmol_s,conservation__apical_current_A,conservation__basolateral_current_A,conservation__buffer_site_accounting_fmol_s,conservation__carbon_accounting_fmol_s,conservation__cell_bulk_charge_rate_fmol_s,conservation__cell_speciation_alkalinity_mM,conservation__homeostasis_charge_fmol_s,conservation__lumen_bulk_charge_rate_minus_outflow_fmol_s,conservation__lumen_speciation_alkalinity_mM,conservation__water_volume_accounting_pL_s,core_state_sha256,current_A__apical_total,current_A__basolateral_total,current_A__cl_apical,current_A__k_apical,current_A__k_basolateral,current_A__para_cl,current_A__para_hco3,current_A__para_k,current_A__para_na,current_A__paracellular_total,current_A__pump_apical,current_A__pump_basolateral,fixed_parameter_rank,flow_pL_s,hco3_i_mM,hco3_l_mM,k_i_mM,k_l_mM,max_abs_charge_fmol,max_abs_current_A,max_abs_scaled_independent_rhs,max_dimensionless_conservation_ratio,na_i_mM,na_l_mM,nhe1_inward_fmol_s,nkcc1_inward_fmol_s,ph_i,ph_l,pump_apical_fmol_s,pump_basolateral_fmol_s,pump_scale,pump_total_capacity_fmol_s,pump_total_fmol_s,resting_gate_pass,resting_source_path,rhs__ae4_effective_activation_fraction,rhs__alk_i_fmol,rhs__alk_l_fmol,rhs__cl_i_fmol,rhs__cl_l_fmol,rhs__k_i_fmol,rhs__k_l_fmol,rhs__na_i_fmol,rhs__na_l_fmol,rhs__tic_i_fmol,rhs__tic_l_fmol,rhs__volume_i_pL,rhs__volume_l_pL,root_id,routing_family,status,tic_i_mM,tic_l_mM,time_s,v_apical_mV,v_basolateral_mV,v_transepithelial_mV,volume_i_pL,volume_l_pL
-0.0018657386613867392,1.0,-0.00879782114339106,0.07179207477720233,0.07179207477720233,-0.07179207477720233,-0.0673931642055068,-0.0673931642055068,0.0673931642055068,0.00439891057169553,0.094586,51.727764048467556,145.29487920067712,0.0,3.554291694563791e-26,-9.693522803355793e-27,0.0,0.0,-2.463307335887066e-16,-1.1546319456101628e-13,-1.0408340855860843e-17,3.686287386450715e-16,0.0,0.0,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,-1.848394355059677e-11,1.8483943550596795e-11,-2.297491807943737e-11,3.8618368241887885e-12,1.2934231860341098e-11,-8.872296130337636e-12,4.890139620763637e-13,4.224662309780761e-13,-1.0523127613313608e-11,-1.8483943550596805e-11,6.291377046518127e-13,5.549711690255697e-12,10,0.0010059774821377515,4.450673633474581,5.033833896196756,107.07327379549376,22.471137807901556,1.4210854715202004e-14,3.554291694563791e-26,4.228388472693467e-12,0.00011546319456101627,18.603414600683543,127.8618984676637,0.006932082482004249,0.11779253720184102,6.840856842478318,6.93584257518408,0.006520552822156908,0.05751870847429381,1.0,0.08,0.06403926129645071,True,inherited_frozen_root,0.0,-7.28583859910259e-17,1.8214596497756474e-17,2.7755575615628914e-17,-3.608224830031759e-16,-2.3592239273284576e-16,4.85722573273506e-17,-5.551115123125783e-17,-5.551115123125783e-17,-6.505213034913027e-17,-7.806255641895632e-18,4.2283884726934673e-16,1.8431436932253575e-16,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,5.260513058557183,5.7706194129000155,0.0,-34.87423691292624,-66.58957015065717,-31.715333237730924,1.3,0.10502988741068876
-0.0005696773467253007,0.05,-0.007373050573323005,0.15015439687047258,0.007507719843523629,-0.007507719843523629,-0.07642389113724253,-0.0038211945568621267,0.0038211945568621267,0.0036865252866615027,0.094586,59.646508645460585,145.7219180423765,8.673617379884035e-19,6.462348535570529e-27,1.9387045606711586e-26,0.0,-1.0842021724855044e-19,-2.5673907444456745e-16,0.0,-1.9949319973733282e-17,4.85722573273506e-17,8.881784197001252e-16,0.0,6c4355d12c29172db8124a380608c83fb9b9bc49bf99e546817f325c251d2612,-1.9991389186583144e-11,1.999138918658317e-11,-2.4771252054362288e-11,4.329220269951299e-12,1.6021906476386483e-11,-9.489976073431224e-12,4.846428746503942e-13,5.636495921336026e-13,-1.1549705579935923e-11,-1.999138918658315e-11,4.506425978278435e-13,3.969482710196685e-12,10,0.0010868595959429212,8.94220150624086,4.617916574953475,119.28007775814548,27.31376455751637,1.4210854715202004e-14,1.9387045606711586e-26,7.914675859144182e-13,2.5673907444456745e-06,11.75757047393432,123.02969748077763,0.006803373226597878,0.1268095440417602,7.141960983204682,6.899667080155335,0.004670581402646505,0.041140789205760205,1.0,0.08,0.04581137060840671,True,inherited_frozen_root,0.0,1.734723475976807e-16,-2.5587171270657905e-16,0.0,3.3306690738754696e-16,-1.6653345369377348e-16,6.591949208711867e-17,8.326672684688674e-17,5.551115123125783e-17,-6.342582709040201e-17,4.2500725161431774e-17,-7.741203511546502e-17,-7.914675859144182e-17,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,9.76028034084797,5.352205311155506,0.0,-31.7142562880011,-65.82187169690651,-34.10761540890541,1.529423191934363,0.10543429797971461
-0.0014011207836358943,1.0,-0.00736788249418386,0.0344932728094385,0.0344932728094385,-0.0344932728094385,-0.03080933156234657,-0.03080933156234657,0.03080933156234657,0.00368394124709193,0.094586,43.56756230856067,142.5347632517147,0.0,-4.0389678347315804e-26,9.693522803355793e-27,0.0,-2.168404344971009e-19,3.0184188481996443e-16,-2.5561774918969604e-12,-1.0408340855860843e-17,-4.119968255444917e-16,0.0,0.0,9e632b8f37e69482823c5ea4f14482a509c5ea17fd425cc386d01d255b0a62ff,-1.2145708983645065e-11,1.2145708983645034e-11,-1.4426103720999243e-11,1.9209326584898364e-12,8.9547456996039e-12,-6.09542511467971e-12,4.506228857149257e-13,3.5927918410359857e-13,-6.860185938783839e-12,-1.2145708983645025e-11,3.5946207886434205e-13,3.190963284041134e-12,10,0.000605756781916017,4.616667695530188,7.700820264493566,63.5735526840424,14.418780187242474,2.842170943040401e-14,4.0389678347315804e-26,1.0583981607803494e-11,0.0025561774918969604,59.85871032665247,135.82597037357814,0.005966761710737178,0.0736166042976325,6.82544696118983,7.0730577032320845,0.0037255619166784294,0.033072003940168786,0.5,0.04,0.036797565856847216,True,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_pump0.50.json,0.0,1.8921322841869426e-13,1.5390466678866233e-14,-5.1514348342607263e-14,-8.049116928532385e-15,-3.659572644920672e-14,-2.348815586472597e-15,1.7459644841011368e-13,9.284240043427872e-15,-1.1512058667451086e-15,-5.516420653606247e-16,1.0583981607803494e-15,7.26415455565288e-17,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,COMPLETE,5.486939380875049,8.524755420519124,0.0,-36.244354222135556,-57.36480480099388,-21.12045057885833,1.1972523008575802,0.10302878390958009
-0.0004024319391287555,0.05,-0.006631542018030085,0.11483022052730464,0.005741511026365232,-0.005741511026365232,-0.0485148003470038,-0.00242574001735019,0.00242574001735019,0.0033157710090150425,0.094586,46.340809786148775,144.33305023987407,0.0,6.462348535570529e-27,-9.693522803355793e-27,0.0,3.2526065174565133e-19,4.0766001685454967e-17,0.0,-4.336808689942018e-18,5.117434254131581e-17,8.881784197001252e-16,0.0,926d653fbcfbc2046b44c24cfeb633c87919e39e3398927cbc0d2f64eacfbd1e,-1.6013641691450594e-11,1.601364169145059e-11,-1.9203739304155557e-11,2.840891916704827e-12,1.29307178893811e-11,-7.808184411445287e-12,4.700362749859941e-13,5.128519621880316e-13,-9.18834551717934e-12,-1.60136416914506e-11,3.4920569600013657e-13,3.082923802069492e-12,10,0.0008182921624572931,7.432870848032063,5.947671738213446,97.4570056837051,20.64043948719013,1.4210854715202004e-14,9.693522803355793e-27,1.0881053003064522e-11,9.693522803355793e-07,29.271832151363295,129.64596448847175,0.006229110079171184,0.09805969674684045,7.042602918734045,6.9798332225832755,0.0036192619989722907,0.031952253615453396,0.5,0.04,0.03557151561442569,True,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_pump0.50.json,0.0,2.698544512846901e-13,1.5955119170296683e-14,-8.953948693601887e-14,-4.898859096158503e-15,9.560408020803379e-14,5.84601811404184e-15,8.475165014232289e-14,5.259681579161679e-15,-6.031308265319613e-15,-5.674280489920136e-15,-1.0881053003064522e-15,-4.445228907190568e-17,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,COMPLETE,8.28528827472865,6.734874364967323,0.0,-36.44229240983281,-64.07869320792632,-27.636400798093515,1.2858239973873797,0.10409146081228647
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,False,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_pump0.10.json,,,,,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,REST_CONTINUATION_FAILURE,,,,,,,,
,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,False,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_pump0.10.json,,,,,,,,,,,,,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,NOT_RUN_PARENT_REST_FAILURE,,,,,,,,
-0.0007970646209798337,1.0,-0.007609800348004125,0.19286482783290362,0.19286482783290362,-0.19286482783290362,-0.18905992765890156,-0.18905992765890156,0.18905992765890156,0.0038049001740020627,0.094586,52.30555987274908,146.01121731489613,0.0,6.462348535570529e-27,-3.2311742677852644e-27,0.0,2.168404344971009e-19,-9.71445146547012e-17,0.0,2.7755575615628914e-17,6.331740687315346e-17,-8.881784197001252e-16,0.0,195fe83a7dd68d6b6e42e5d4ac033716c4e3be60cdc034b1b18e981b02d10710,-2.067499385531354e-11,2.0674993855313544e-11,-2.6710600590164533e-11,4.9459836564461785e-12,1.1061605844066869e-11,-9.811674942562584e-12,5.035565780792086e-13,2.1548601217805248e-13,-1.1582361503008223e-11,-2.0674993855313547e-11,1.089623078404815e-12,9.613388011246675e-12,10,0.001199531279443772,7.147374385507965,4.347613222295458,117.25346909672912,22.043492179818998,2.220446049250313e-15,6.462348535570529e-27,1.2984405217686401e-11,9.71445146547012e-07,14.41423310273199,128.3185880529636,0.006812735727024486,0.13691401582682797,7.046777296541653,6.879978559308944,0.011293147408661424,0.09963574566225655,1.0,0.16,0.11092889307091798,True,inherited_frozen_root,0.0,1.942890293094024e-16,-2.1163626406917047e-16,3.3306690738754696e-16,-2.7755575615628914e-17,3.7470027081099033e-16,-1.2836953722228372e-16,5.551115123125783e-17,-5.551115123125783e-17,-1.0213184464813452e-16,-8.673617379884035e-19,-1.2984405217686401e-15,-1.7932703932910243e-16,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,7.959285563756632,5.070825877192134,0.0,-35.891172288448885,-71.23257578708805,-35.341403498639174,1.3,0.10599765639721886
0.00034960110022486476,0.05,-0.006388922826252655,0.2900269351269315,0.014501346756346576,-0.014501346756346576,-0.22613770686440496,-0.011306885343220248,0.011306885343220248,0.0031944614131263274,0.094586,65.50814090378012,146.1770198315416,0.0,9.693522803355793e-27,3.2311742677852644e-27,0.0,3.2526065174565133e-19,-1.4051260155412137e-16,2.6290081223123707e-13,-1.734723475976807e-18,6.245004513516506e-17,0.0,0.0,df90d2d5780a45154aeeed08b595adb4554aeebd6489000b68ff6dbfd53f9c99,-2.1606080569311124e-11,2.1606080569311137e-11,-2.7206802269246318e-11,5.084826481436116e-12,1.7064127982168903e-11,-1.015574247342079e-11,4.881630634159741e-13,5.582552216077019e-13,-1.249675638091402e-11,-2.1606080569311133e-11,5.158952184990787e-13,4.541952587142234e-12,10,0.0012089573440388108,14.203015859316897,4.1819884999368195,129.32854370966916,29.960404324593306,1.4210854715202004e-14,9.693522803355793e-27,2.7625471354930653e-12,0.00026290081223123707,8.185516160959963,120.40158832719813,0.006738523926477896,0.1392172863496983,7.343280413500073,6.861753412568891,0.005346877159084175,0.04707402138071464,1.0,0.16,0.05242089853979882,True,inherited_frozen_root,0.0,3.7643499428696714e-16,-1.1275702593849246e-16,-2.220446049250313e-16,-5.551115123125783e-17,4.163336342344337e-17,-6.245004513516506e-17,-2.7755575615628914e-17,-5.551115123125783e-17,-2.7430314963883262e-17,-7.806255641895632e-18,2.7625471354930653e-16,1.728218262941894e-16,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,15.029855339790096,4.907331101971611,0.0,-30.063139884601476,-66.75048136283739,-36.68734147823591,1.7084505563219299,0.10604478672019406
-0.0007698299378134241,1.0,-0.006918120008290507,0.11852832494907566,0.11852832494907566,-0.11852832494907566,-0.1150692649449304,-0.1150692649449304,0.1150692649449304,0.0034590600041452535,0.094586,41.55816537993408,144.16421238381673,0.0,-6.462348535570529e-27,9.693522803355793e-27,0.0,4.336808689942018e-19,7.806255641895632e-18,4.618527782440651e-14,-6.071532165918825e-18,-5.551115123125783e-17,0.0,0.0,2fad5d47adff0b864ae5472f39525d6042335ae97a2feb9f59bfb41a326a6035,-1.533812263585432e-11,1.5338122635854322e-11,-1.9062231721992253e-11,3.0105368325354445e-12,9.019329460328966e-12,-7.510523222036715e-12,4.905915991351574e-13,2.664136564352052e-13,-8.58460466938796e-12,-1.5338122635854312e-11,7.135722536024904e-13,6.318793175525355e-12,10,0.0008304767175464551,5.742556630966393,6.1165391721213265,87.2664811822887,16.435767274451496,6.661338147750939e-16,9.693522803355793e-27,1.1401470045857565e-11,4.618527782440651e-05,40.821584055819535,133.8509811387074,0.006148290070477117,0.09743843987866409,6.928776564207655,6.990697758231592,0.0073956552558166215,0.06548967637554062,0.5,0.08,0.07288533163135724,True,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_pump0.50.json,0.0,3.382710778154774e-17,8.673617379884035e-17,-2.498001805406602e-16,1.5265566588595902e-16,-9.71445146547012e-17,6.938893903907228e-18,-1.1102230246251565e-16,1.8041124150158794e-16,-3.5128150388530344e-17,1.1275702593849246e-17,1.1401470045857565e-15,2.7538735181131813e-17,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,COMPLETE,6.596781915212983,6.906237662769288,0.0,-39.2775291504275,-65.75456779161868,-26.477038641191193,1.1368122678617216,0.10415238358773228
0.000325494989084524,0.05,-0.006228649931003905,0.25910250988670636,0.012955125494335319,-0.012955125494335319,-0.1968160105766673,-0.009840800528833366,0.009840800528833366,0.0031143249655019526,0.094586,57.55521404633782,145.72719113483268,0.0,1.2924697071141057e-26,-9.693522803355793e-27,0.0,-4.336808689942018e-19,-4.7704895589362195e-17,-1.0658141036401503e-14,4.336808689942018e-18,1.2836953722228372e-16,0.0,0.0,fcfde39ff43a38b58f4c1763afa92f58922500ff58afd0b29a421a98aa0d805a,-2.001596654313302e-11,2.0015966543133023e-11,-2.4835862191409934e-11,4.3497795616273146e-12,1.5874797040763334e-11,-9.501605898280856e-12,4.852502398541153e-13,5.531227525925068e-13,-1.15527336372988e-11,-2.0015966543133033e-11,4.701160866495966e-13,4.14116950236969e-12,10,0.0010905882832712404,12.358425084817661,4.607957828498885,123.1198992613933,27.145675075263046,1.4210854715202004e-14,1.2924697071141057e-26,1.932048271369169e-12,1.0658141036401503e-05,12.217987830538755,123.19303116011824,0.006554144920088824,0.1269828764758915,7.276234669363825,6.892633783860959,0.004872409891950285,0.04292019741632092,0.5,0.08,0.04779260730827121,True,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_pump0.50.json,0.0,3.946495907847236e-16,-2.47198095326695e-16,0.0,2.7755575615628914e-17,2.914335439641036e-16,-4.85722573273506e-17,5.551115123125783e-17,-2.7755575615628914e-17,9.974659986866641e-18,-2.862293735361732e-17,-1.1275702593849246e-17,-1.932048271369169e-16,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,COMPLETE,13.193748394948088,5.352566254939662,0.0,-32.68957108760957,-66.84273868268428,-34.15316759507471,1.493524865139764,0.10545294141635621
