ae4_expression,attempted_step_count,last_candidate_scaled_residual,last_connected_value,last_optimizer_message,last_rejected_cl_i_mM,last_rejected_k_i_mM,last_rejected_max_abs_charge_fmol,last_rejected_max_abs_current_A,last_rejected_max_dimensionless_conservation_ratio,last_rejected_na_i_mM,last_rejected_ph_i,last_rejected_value,last_rejected_volume_i_pL,leg,root_id,routing_family,search_boundary_hits,source_path,status,target_pump_scale
1.0,26,0.0004929624151900347,0.39638671875,`xtol` termination condition is satisfied.,41.260676252823416,68.61802245972699,1.4210854715202004e-14,2.1002632740604218e-26,0.0005115907697472721,60.0,6.917389523119712,0.3962890625,1.123763939192858,pump_leg,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,"{""na_i_mM"": 1.2688263138573217e-16}",results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00_pump0.10.json,REST_CONTINUATION_FAILURE,0.1
0.05,0,,,,,,,,,,,,,ae4_leg,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00_pump0.10.json,NOT_RUN_PARENT_REST_FAILURE,0.1
1.0,27,0.00023730377028657879,0.5083984375,`xtol` termination condition is satisfied.,43.41949022572014,63.157826367906765,1.4210854715202004e-14,1.1309109937248425e-26,0.0025153212845907547,59.999999999999986,6.825332924938865,0.50830078125,1.1993113902391956,pump_leg,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,"{""na_i_mM"": 1.2688263138573217e-16}",results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00_pump0.50.json,REST_CONTINUATION_FAILURE,0.5
0.05,0,,,,,,,,,,,,,ae4_leg,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00_pump0.50.json,NOT_RUN_PARENT_REST_FAILURE,0.5
1.0,27,0.00023730377028657879,0.5083984375,`xtol` termination condition is satisfied.,43.41949022572014,63.157826367906765,1.4210854715202004e-14,1.1309109937248425e-26,0.0025153212845907547,59.999999999999986,6.825332924938865,0.50830078125,1.1993113902391956,pump_leg,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,"{""na_i_mM"": 1.2688263138573217e-16}",results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00_pump0.10.json,REST_CONTINUATION_FAILURE,0.1
0.05,0,,,,,,,,,,,,,ae4_leg,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00_pump0.10.json,NOT_RUN_PARENT_REST_FAILURE,0.1
1.0,34,0.00028294886480595416,0.40166015625,`xtol` termination condition is satisfied.,41.023885830423055,68.20820420905918,7.771561172376096e-16,1.1309109937248425e-26,0.00045119463720766356,59.999999999999986,6.917602040384279,0.4015625,1.126135701006199,pump_leg,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,"{""na_i_mM"": 2.5376526277146434e-16}",results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1_B00_pump0.10.json,REST_CONTINUATION_FAILURE,0.1
0.05,0,,,,,,,,,,,,,ae4_leg,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1_B00_pump0.10.json,NOT_RUN_PARENT_REST_FAILURE,0.1
1.0,31,2.013737764317014e-05,0.50478515625,`xtol` termination condition is satisfied.,43.492775409098414,63.22422615930272,1.4210854715202004e-14,1.454028420503369e-26,0.0023145929617385264,60.0,6.825879091195373,0.5046875,1.1995740900256733,pump_leg,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,"{""na_i_mM"": 1.2688263138573217e-16}",results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1_B00_pump0.50.json,REST_CONTINUATION_FAILURE,0.5
0.05,0,,,,,,,,,,,,,ae4_leg,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1_B00_pump0.50.json,NOT_RUN_PARENT_REST_FAILURE,0.5
1.0,31,2.013737764317014e-05,0.50478515625,`xtol` termination condition is satisfied.,43.492775409098414,63.22422615930272,1.4210854715202004e-14,1.454028420503369e-26,0.0023145929617385264,60.0,6.825879091195373,0.5046875,1.1995740900256733,pump_leg,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,"{""na_i_mM"": 1.2688263138573217e-16}",results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1_B00_pump0.10.json,REST_CONTINUATION_FAILURE,0.1
0.05,0,,,,,,,,,,,,,ae4_leg,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1_B00_pump0.10.json,NOT_RUN_PARENT_REST_FAILURE,0.1
1.0,30,0.00043392298035627164,0.40078125,`xtol` termination condition is satisfied.,41.09387046711184,67.9974240642581,1.4210854715202004e-14,2.1002632740604218e-26,0.0002984279490192421,59.99999999999999,6.918352180794486,0.40068359375,1.1303418627327475,pump_leg,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,"{""na_i_mM"": 1.2688263138573217e-16}",results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1_B00_pump0.10.json,REST_CONTINUATION_FAILURE,0.1
0.05,0,,,,,,,,,,,,,ae4_leg,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,,results/19_ae4_loss_nak_pump_coupling/resting/N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1_B00_pump0.10.json,NOT_RUN_PARENT_REST_FAILURE,0.1
