parameter,Q_log_elasticity,pH_per_log_parameter,FD_relative_error
NBC_capacity,0.01992262199268006,0.06483205023881446,3.866713194191617e-09
AE4_carrier,0.0008113706550611483,-0.07246091273518405,3.7675807088861165e-09
NKCC_scale,0.055360857241075145,-0.0015580213326500392,1.6690651656903212e-08
NHE_carrier,-0.00326106455205569,0.07083807223374977,2.1231955039340988e-09
pump_capacity,0.5259302872652792,0.12061260035179622,1.658982167046172e-08
CaCC_conductance,0.03246965291235903,-0.0055238989620420564,1.992273989776949e-08
buffer_pool,-0.0015748682629419329,0.001395657487361257,2.3033370293166124e-06
water_apical,0.0021294930950625838,-8.316750312422835e-05,2.0933858691846223e-07
