root_id,supplied_max_abs_amount_or_equivalent_source_fmol_s,supplied_max_abs_volume_source_pL_s,refined_success,refined_max_abs_scaled_residual,refined_max_abs_amount_or_equivalent_source_fmol_s,refined_max_abs_volume_source_pL_s,scaled_jacobian_rank,scaled_jacobian_nullity,max_abs_state_difference_from_frozen,independent_status
G2_LOW_APICAL_K_HEAVY_G10:M00,2.9243968358017014e-14,1.6507520177178048e-15,True,1.767791642237615e-11,2.9243968358017014e-14,1.767791642237615e-15,10,0,1.4210854715202004e-14,PASS
G2_LOW_APICAL_K_BIASED_G10:M00,2.0122792321330962e-16,2.7966995039263587e-16,True,2.6477301254268504e-11,1.249000902703301e-16,2.6477301254268504e-15,10,0,2.842170943040401e-14,PASS
G2_LOW_APICAL_MODERATE_NA_G10:M00,2.636779683484747e-16,1.4256174366011898e-15,True,1.4256174366011898e-11,2.636779683484747e-16,1.4256174366011898e-15,10,0,1.7763568394002505e-15,PASS
G2_BALANCED_APICAL_K_HEAVY_G10:M00,2.919713082416564e-14,3.43908929112402e-16,True,3.3767476662061036e-12,8.326672684688674e-17,3.3767476662061036e-16,10,0,5.069722419648315e-12,PASS
G2_BALANCED_APICAL_K_BIASED_G10:M00,2.1510571102112408e-16,2.5196858488563123e-16,True,3.6374982886888674e-13,1.457167719820518e-16,3.6374982886888674e-17,10,0,2.842170943040401e-14,PASS
G2_BALANCED_APICAL_MODERATE_NA_G10:M00,1.1796119636642288e-16,1.872417151882466e-15,True,1.872417151882466e-11,8.326672684688674e-17,1.872417151882466e-15,10,0,2.842170943040401e-14,PASS
G2_ASYMMETRIC_APICAL_K_HEAVY_G10:M00,2.040034807748725e-14,1.8756697583999227e-16,True,1.8756697583999227e-12,1.977153792249997e-14,1.8756697583999227e-16,10,0,1.7763568394002505e-15,PASS
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,9.71445146547012e-17,1.3379054808471125e-16,True,1.3379054808471125e-12,8.847089727481716e-17,1.3379054808471125e-16,10,0,1.7763568394002505e-15,PASS
G2_ASYMMETRIC_APICAL_MODERATE_NA_G10:M00,1.7520707107365752e-16,7.253312533928025e-16,True,2.6932124065626173e-11,1.1796119636642288e-16,2.6932124065626173e-15,10,0,8.526512829121202e-14,PASS
