artifact,sha256,scope
wt_g5_ae2_independent_validation.csv,b53ae10edb93d56fbfff0a099e2659d3a27cfd7bd9591dae4db4151d4cba3be4,P15_AE2_ONLY
wt_g5_ae2_independent_summary.json,1094b4890f37d45f2e6b1df04ede532402b8853885346a4c90efb954fb35f8bb,P15_AE2_ONLY
