variant_id,conductance_scale,start_id,optimizer_success,admissible_state,converged_root,max_abs_scaled_residual,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_regulatory_rhs_s_inv,max_abs_omitted_charge_rhs_fmol_equivalent_s,cost,optimality,nfev,boundary_hits,message,profile_stage
G2_LOW_APICAL_EQUAL_G10,10.0,upper_quartile,True,True,False,0.06408157262146025,0.0032040786310730124,1.8172082762168973e-11,0.0,0.009411713749699336,0.006794545914274456,4.283301282615565e-06,486,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_NA_BIASED_G10,10.0,preferred,True,True,False,0.2975502330813676,0.014877511654068379,1.710316951540787e-10,0.0,0.039555756616722594,0.11692363591651257,7.429214020876874e-06,233,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_NA_BIASED_G10,10.0,lower_quartile,True,True,False,0.297550226152187,0.01487751130760935,1.7103044967683306e-10,0.0,0.039555756581039714,0.11692363591651274,1.1864114373459746e-05,294,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_LOW_APICAL_NA_BIASED_G10,10.0,upper_quartile,True,True,False,0.2975502184415014,0.014877510922075073,1.710303594170022e-10,0.0,0.03955575605488972,0.11692363591651268,1.4435629925653053e-05,294,nhe1_capacity_fmol_s,`ftol` termination condition is satisfied.,screen
G2_BALANCED_APICAL_K_HEAVY_G10,10.0,preferred,True,True,True,9.21029745526436e-13,1.5723642006471028e-16,9.21029745526436e-17,0.0,9.8879238130678e-17,7.731636252561692e-25,9.590362940954275e-08,308,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_HEAVY_G10,10.0,lower_quartile,True,True,True,9.21029745526436e-13,9.096456227153382e-17,9.21029745526436e-17,0.0,1.1449174941446927e-16,7.731077866436454e-25,9.590391645327643e-08,632,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_HEAVY_G10,10.0,upper_quartile,True,True,True,9.21029745526436e-13,8.874194781793854e-17,9.21029745526436e-17,0.0,6.245004513516506e-17,7.7310970043264335e-25,9.59039128046209e-08,700,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_HEAVY_G10,10.0,latin_000,True,True,True,9.21029745526436e-13,2.9934821982324777e-16,9.21029745526436e-17,0.0,3.0010716134398763e-16,7.732211109076939e-25,9.590403005958983e-08,165,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_HEAVY_G10,10.0,latin_001,True,False,False,inf,inf,inf,inf,inf,6500000000000.0,0.0,1,,`gtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_HEAVY_G10,10.0,latin_002,True,True,True,9.21029745526436e-13,2.914335439641036e-16,9.21029745526436e-17,0.0,3.0010716134398763e-16,7.732276929897101e-25,9.590321621695674e-08,1984,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_HEAVY_G10,10.0,latin_003,True,True,True,3.3767476662061036e-12,1.3975366003338152e-16,3.3767476662061036e-16,0.0,1.474514954580286e-16,7.264838906040459e-24,3.9348112738668723e-07,981,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_BIASED_G10,10.0,preferred,True,True,True,3.209401060882966e-11,1.6653345369377348e-16,3.209401060882966e-15,0.0,9.367506770274758e-17,5.183071919449594e-22,3.565360825660415e-06,274,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_BIASED_G10,10.0,lower_quartile,True,True,True,3.1365968850005643e-11,9.026113190202523e-14,3.1365968850005643e-15,0.0,8.980143018089137e-14,4.98766522678249e-22,3.0955155841793622e-06,626,,`xtol` termination condition is satisfied.,confirm
G2_BALANCED_APICAL_K_BIASED_G10,10.0,upper_quartile,True,True,True,2.5196858488563123e-12,1.8735013540549517e-16,2.5196858488563123e-16,0.0,5.0306980803327406e-17,5.361553677361492e-24,2.2410657250807754e-07,622,,`xtol` termination condition is satisfied.,confirm
