root_id,panel_id,source_class,source_scale,pump_capacity_scale,hydraulic_scale,hydraulic_mode,eligibility,production_h1_eligible_marker,production_passes_numerical_gate,production_passes_wt_gate,independent_direct_scaled_max,independent_amount_source_max_fmol_s,independent_volume_source_max_pL_s,independent_current_residual_max_A,independent_conservation_residual_max,independent_refine_requested,independent_refine_success,independent_refine_scaled_max,independent_jacobian_rank,independent_jacobian_nullity,independent_refined_state_max_abs_difference,independent_pass,independent_wt_observables_json,independent_wt_gate_failures_json,independent_wt_pass,root_table_observable_max_abs_difference,root_table_observable_integrity_issues_json,production_independent_gate_agree,production_independent_wt_gate_agree
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA05_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA05_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,5.88938620094126e-12,2.131975151975496e-15,5.88938620094126e-16,2.5849394142282115e-26,2.2811613709095013e-16,True,True,8.345104121620928e-12,11,0,2.1316282072803006e-14,True,"{""cl_i_mM"":27.520761162712397,""cl_l_mM"":142.29392583960632,""k_i_mM"":88.94111502125128,""k_l_mM"":11.958666301215212,""na_i_mM"":9.898835260428546,""na_l_mM"":138.22667024608535,""ph_i"":6.682929319533848,""ph_l"":7.027923703164786,""tic_i_mM"":4.750737349560692,""tic_l_mM"":8.817791475590884,""v_apical_mV"":-48.306184256139616,""v_basolateral_mV"":-69.05624443331075,""volume_i_pL"":1.3,""volume_l_pL"":0.10287561356226661}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,7.105427357601002e-15,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA05_P2_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA05_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,2.7506209115957247e-12,1.3856971126102735e-14,2.7506209115957247e-16,2.5849394142282115e-26,3.885780586188048e-16,True,True,2.7506209115957247e-12,11,0,5.337952302397753e-12,True,"{""cl_i_mM"":27.46934284716999,""cl_l_mM"":142.48565728683397,""k_i_mM"":91.93849813760578,""k_l_mM"":12.140546376924316,""na_i_mM"":7.091303515482656,""na_l_mM"":138.04883355196873,""ph_i"":6.695082082621126,""ph_l"":7.0191921319868325,""tic_i_mM"":4.847502367161969,""tic_l_mM"":8.626626040320954,""v_apical_mV"":-48.52784482760806,""v_basolateral_mV"":-69.83804209630539,""volume_i_pL"":1.3,""volume_l_pL"":0.10297346334079724}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,3.197442310920451e-13,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA10_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA10_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,6.2759042754323424e-12,5.587490106012671e-15,6.275904275432342e-16,6.462348535570529e-27,5.377642775528102e-17,True,True,3.820186354752675e-12,11,0,5.306866057708248e-14,True,"{""cl_i_mM"":27.584979078795563,""cl_l_mM"":141.4310575860676,""k_i_mM"":75.5028922388838,""k_l_mM"":10.722032636427357,""na_i_mM"":24.490828976883577,""na_l_mM"":139.44715641460488,""ph_i"":6.732369064982058,""ph_l"":7.064409526816893,""tic_i_mM"":5.263544249683396,""tic_l_mM"":9.680361618235777,""v_apical_mV"":-47.55520503140339,""v_basolateral_mV"":-65.8214382528495,""volume_i_pL"":1.3,""volume_l_pL"":0.10252650060389115}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""k_i_mM:outside_[100,160]""]",False,2.859934511434403e-13,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA10_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA10_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,1.0038627915043286e-11,2.7755575615628914e-16,1.0038627915043286e-15,1.454028420503369e-26,1.6653345369377348e-16,True,True,7.582909994363618e-12,11,0,7.105427357601002e-15,True,"{""cl_i_mM"":26.69651548964755,""cl_l_mM"":142.23331852951154,""k_i_mM"":88.49046422953684,""k_l_mM"":11.472492549301943,""na_i_mM"":11.061574385116243,""na_l_mM"":138.71259071361817,""ph_i"":6.754386680247758,""ph_l"":7.030717573812042,""tic_i_mM"":5.432150099035506,""tic_l_mM"":8.879182266682415,""v_apical_mV"":-49.09117348716717,""v_basolateral_mV"":-69.53626908788323,""volume_i_pL"":1.3,""volume_l_pL"":0.10288686875688431}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""k_i_mM:outside_[100,160]""]",False,1.4210854715202004e-14,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA10_P2_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA10_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,5.467631555844399e-12,3.608224830031759e-16,5.467631555844399e-16,1.9387045606711586e-26,3.387047586844716e-16,True,True,5.467631555844399e-12,11,0,1.7763568394002505e-15,True,"{""cl_i_mM"":26.508683564881245,""cl_l_mM"":142.45237210271532,""k_i_mM"":92.12162315090565,""k_l_mM"":11.632897916753008,""na_i_mM"":7.6698874854666395,""na_l_mM"":138.55703842909486,""ph_i"":6.7736517834782495,""ph_l"":7.020979520883927,""tic_i_mM"":5.618766354700574,""tic_l_mM"":8.660676465516525,""v_apical_mV"":-49.47737124504764,""v_basolateral_mV"":-70.54791649907457,""volume_i_pL"":1.3,""volume_l_pL"":0.10300151994830793}","[""cl_i_mM:outside_[47.1,53.1]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,1.4210854715202004e-14,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA20_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA20_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,2.4649336391457943e-12,1.4905611467330715e-15,2.4649336391457943e-16,3.3927329811745276e-26,2.992397996059992e-16,True,True,2.4649336391457943e-12,11,0,0.0,True,"{""cl_i_mM"":28.171018141800936,""cl_l_mM"":140.79287839092098,""k_i_mM"":65.70081753414438,""k_l_mM"":9.806628847380138,""na_i_mM"":36.99679265802314,""na_l_mM"":140.35036611479464,""ph_i"":6.820407054421788,""ph_l"":7.087492760805656,""tic_i_mM"":6.298216900670265,""tic_l_mM"":10.320929466414087,""v_apical_mV"":-46.539113383424855,""v_basolateral_mV"":-63.09976398027782,""volume_i_pL"":1.3,""volume_l_pL"":0.10231834746758225}","[""cl_i_mM:outside_[47.1,53.1]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,1.4210854715202004e-14,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA20_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA20_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,9.504116244007932e-12,2.7755575615628914e-16,9.504116244007932e-16,2.5849394142282115e-26,2.5934115965853266e-16,True,True,9.504116244007932e-12,11,0,7.105427357601002e-15,True,"{""cl_i_mM"":25.67659138287477,""cl_l_mM"":142.15988070636175,""k_i_mM"":88.26260555039889,""k_l_mM"":10.930766263473695,""na_i_mM"":12.671228543348079,""na_l_mM"":139.25355282455115,""ph_i"":6.853329294048224,""ph_l"":7.033652384529753,""tic_i_mM"":6.587200947612327,""tic_l_mM"":8.953962236982322,""v_apical_mV"":-50.09809062200185,""v_basolateral_mV"":-70.18126320265979,""volume_i_pL"":1.3,""volume_l_pL"":0.10289913814905455}","[""cl_i_mM:outside_[47.1,53.1]"",""k_i_mM:outside_[100,160]""]",False,0.0,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA20_P2_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA20_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,9.094287822808411e-12,5.828670879282072e-16,9.094287822808411e-16,1.7771458472818954e-26,3.2395960913866872e-16,True,True,2.0180255036472694e-11,11,0,1.4210854715202004e-13,True,"{""cl_i_mM"":25.302834526977914,""cl_l_mM"":142.42108923549563,""k_i_mM"":92.92846705356327,""k_l_mM"":11.075382056888312,""na_i_mM"":8.344114939786147,""na_l_mM"":139.11509375709244,""ph_i"":6.881273922065844,""ph_l"":7.022435405228121,""tic_i_mM"":6.93300859673213,""tic_l_mM"":8.6931618502207,""v_apical_mV"":-50.72655213136838,""v_basolateral_mV"":-71.53975309549354,""volume_i_pL"":1.3,""volume_l_pL"":0.10303849941317826}","[""cl_i_mM:outside_[47.1,53.1]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,1.4210854715202004e-14,[],True,True
AN_ABS_AE4_NHE_S0.5_PLOW_KHIGH_AE4NA05_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PLOW_KHIGH_AE4NA05_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,5.263801547417124e-12,5.217831375303739e-15,5.263801547417124e-16,3.715850407953054e-26,3.920475055707584e-16,True,True,2.8080836267374565e-12,11,0,9.592326932761353e-14,True,"{""cl_i_mM"":29.14400982158185,""cl_l_mM"":141.65607704255163,""k_i_mM"":82.4054906219447,""k_l_mM"":13.33352108165053,""na_i_mM"":17.9954905646552,""na_l_mM"":136.83863643707326,""ph_i"":6.6786540691237395,""ph_l"":7.055485342650182,""tic_i_mM"":4.744752285261662,""tic_l_mM"":9.453661474809003,""v_apical_mV"":-46.22320886537818,""v_basolateral_mV"":-65.30341665479759,""volume_i_pL"":1.3,""volume_l_pL"":0.10255383805288423}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""k_i_mM:outside_[100,160]""]",False,2.673417043297377e-13,[],True,True
AN_ABS_AE4_NHE_S0.5_PLOW_KHIGH_AE4NA05_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PLOW_KHIGH_AE4NA05_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,3.4098158324669114e-12,1.6735744734486246e-14,3.4098158324669114e-16,2.908056841006738e-26,3.2699537522162814e-16,True,True,3.4098158324669114e-12,11,0,1.7763568394002505e-15,True,"{""cl_i_mM"":29.15464381885412,""cl_l_mM"":142.21734066411713,""k_i_mM"":90.76124653519635,""k_l_mM"":14.263369707376931,""na_i_mM"":9.896872711839904,""na_l_mM"":135.9193201538832,""ph_i"":6.691794992374568,""ph_l"":7.031060327449109,""tic_i_mM"":4.831953787061293,""tic_l_mM"":8.893610490429262,""v_apical_mV"":-46.676385194876794,""v_basolateral_mV"":-67.3180689750135,""volume_i_pL"":1.3,""volume_l_pL"":0.10280316448859424}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,3.7925218521195347e-13,[],True,True
