member_id,family,gain_label,fully_activated_multiplier,timing_label,timing_parameters,kinetic_evidence_status,regulatory_model_class,initial_condition,nearby_fraction,success,positive_core,endpoint_cl_difference_mM,endpoint_ph_difference,endpoint_volume_relative_difference,cumulative_flow_relative_difference
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,cell_volume_down,0.001,True,True,-1.1265326307352552e-06,-2.006966237644292e-08,-1.0959013918565574e-08,1.7931660121206505e-06
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,cell_volume_up,0.001,True,True,1.1266014574573546e-06,2.0069444772730094e-08,1.0959587459780096e-08,-1.7944108833267691e-06
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,cell_nacl_down,0.001,True,True,-0.00044551187917463153,-7.116474692203667e-06,-4.264613760018854e-06,-7.567638982175495e-05
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,cell_nacl_up,0.001,True,True,0.00044556918350835417,7.113691835591851e-06,4.264911086737655e-06,7.564262965709112e-05
