ablation_id,removed_fit_parameter,held_fixed_value,held_fixed_unit,active_fitted_parameters,optimizer_success,exact_root,max_abs_dimensionless_residual,boundary_hits,normalized_jacobian_rank,normalized_jacobian_column_count,nfev,cost,representative_start_id,interpretation_scope
FIX_ae4_carrier_amount_fmol_at_unit_rate_gauge_AT_PREFIT_PREFERRED,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.05,fmol,nhe1_capacity_fmol_s;cell_other_impermeant_osmoles_fmol,True,False,0.6231588538978646,nhe1_capacity_fmol_s,11,12,452,0.3309454151604589,upper_quartile,generation-local necessity relative to the declared pre-fit preferred value; not a structural or global identifiability result
FIX_nhe1_capacity_fmol_s_AT_PREFIT_PREFERRED,nhe1_capacity_fmol_s,0.005,fmol s^-1,ae4_carrier_amount_fmol_at_unit_rate_gauge;cell_other_impermeant_osmoles_fmol,True,False,0.012655242132457167,,12,12,527,0.0002789311239923481,upper_quartile,generation-local necessity relative to the declared pre-fit preferred value; not a structural or global identifiability result
FIX_cell_other_impermeant_osmoles_fmol_AT_PREFIT_PREFERRED,cell_other_impermeant_osmoles_fmol,110.0,fmol osmoles,ae4_carrier_amount_fmol_at_unit_rate_gauge;nhe1_capacity_fmol_s,True,False,0.5755293215053952,,12,12,325,0.1728000634582124,upper_quartile,generation-local necessity relative to the declared pre-fit preferred value; not a structural or global identifiability result
