root_id,profile_id,regulatory_member_id,solver_label,initial_condition,nearby_fraction,success,positive_core,max_dimensionless_conservation_ratio,numerical_gate_pass,individual_shape_gate_pass,common_scale_multiplier_uL_min_per_pL_s,common_scaled_minute_min_uL_min,common_scaled_minute_max_uL_min,common_scale_gate_pass,endpoint_cl_difference_mM,endpoint_ph_difference,endpoint_volume_relative_difference,endpoint_flow_relative_difference,cumulative_flow_relative_difference,output_relative_warning_threshold,output_warning,nearby_gate_pass
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA010_N1_M1P75,R1_G125_P21_PROSE_TREFERENCE,production_bdf,lumen_volume_up,0.001,True,True,0.006275868713601085,True,True,17682.384170524714,9.427803141979417,9.570992204890599,True,-1.6935089774960943e-07,-4.782183538054596e-10,-1.864599807888112e-09,-1.3523202557763625e-09,0.0001548599456100419,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA010_N1_M1P75,R1_G125_P21_PROSE_TREFERENCE,production_bdf,cell_nacl_down,0.001,True,True,0.006256328788367682,True,True,17682.384170524714,9.42775416155193,9.570649266470655,True,-0.0005931865300183858,-2.0455550400200195e-06,-6.525400960466499e-06,-5.1966694777361155e-06,-3.479468501765837e-05,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA010_N1_M1P75,R1_G125_P21_PROSE_TREFERENCE,production_bdf,cell_nacl_up,0.001,True,True,0.006266986929404084,True,True,17682.384170524714,9.427852098762466,9.571335156811639,True,0.000592506698929185,2.0415012045305048e-06,6.5178361010609365e-06,5.19145688948619e-06,3.483640424084555e-05,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA010_N1_M1P75,R1_G125_P21_PROSE_TREFERENCE,production_bdf,lumen_nacl_down,0.001,True,True,0.006268763286243484,True,True,17682.384170524714,9.42780123611681,9.570976653076807,True,-2.195910599311901e-05,-1.2138323697286069e-06,-3.166110592589533e-07,-2.0350573559646534e-07,-0.00017802362558816398,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA010_N1_M1P75,R1_G125_P21_PROSE_TREFERENCE,production_bdf,lumen_nacl_up,0.001,True,True,0.006274092356761685,True,True,17682.384170524714,9.42780506850264,9.571007751064391,True,2.1900059145707473e-05,1.2121639638706938e-06,3.1586386195492366e-07,2.0299255099054392e-07,0.00017810963540298985,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_radau,baseline,0.001,True,True,0.006281197784119286,True,True,15642.24696459222,9.511090197984315,9.835600212138694,True,0.0,0.0,0.0,0.0,0.0,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_radau,cell_volume_down,0.001,True,True,0.006279421427279885,True,True,15642.24696459222,9.511089992462598,9.835599018786214,True,-2.250379544932457e-06,-1.0921080928483207e-08,-2.4769781781230904e-08,-2.1608639211301295e-08,2.45877492011104e-06,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_radau,cell_volume_up,0.001,True,True,0.006277645070440485,True,True,15642.24696459222,9.511090403436526,9.83560140572293,True,2.249621729788487e-06,1.0916012094241978e-08,2.4761346084645197e-08,2.1601331390286305e-08,-2.453172509686574e-06,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_radau,lumen_volume_down,0.001,True,True,0.006284750497798086,True,True,15642.24696459222,9.51109021267011,9.835601093624936,True,1.6231394539545363e-07,4.395648289801102e-10,1.767576307543095e-09,1.544070649117657e-09,-0.00013460629012451708,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_radau,lumen_volume_up,0.001,True,True,0.006274092356761685,True,True,15642.24696459222,9.511090183280633,9.835599337911646,True,-1.6251028256419886e-07,-4.4067238746947623e-10,-1.7697484588907741e-09,-1.5459512558990696e-09,0.00013460329202685806,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_radau,cell_nacl_down,0.001,True,True,0.006272315999922284,True,True,15642.24696459222,9.511062441811653,9.834736500250608,True,-0.0003026283800124929,-1.0661671341338774e-06,-3.291630712998206e-06,-2.9182955985085357e-06,-2.8657243374419217e-05,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_radau,cell_nacl_up,0.001,True,True,0.006281197784119286,True,True,15642.24696459222,9.511117895915687,9.836463178388025,True,0.0003019897716711739,1.0623218145155988e-06,3.2845445907536686e-06,2.9121720848124255e-06,2.8631063703654647e-05,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_radau,lumen_nacl_down,0.001,True,True,0.006281197784119286,True,True,15642.24696459222,9.511088215526804,9.835452855983915,True,-1.898398608801699e-05,-1.2074622359747877e-06,-2.8196406998137746e-07,-2.0843641146406355e-07,-0.000154954375562677,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_radau,lumen_nacl_up,0.001,True,True,0.006284750497798086,True,True,15642.24696459222,9.51109217589917,9.83574739367801,True,1.8937579874034327e-05,1.2058573242157422e-06,2.813628281472802e-07,2.0795879485113744e-07,0.00015494935138127275,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_bdf,baseline,0.001,True,True,0.006282974140958686,True,True,15642.24696459222,9.511090199004679,9.83559997996583,True,0.0,0.0,0.0,0.0,0.0,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_bdf,cell_volume_down,0.001,True,True,0.006282974140958686,True,True,15642.24696459222,9.511089993344983,9.835598739849111,True,-2.251878655101791e-06,-1.0934884997482186e-08,-2.478673399863851e-08,-2.1623146273519467e-08,2.454455451772475e-06,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_bdf,cell_volume_up,0.001,True,True,0.006272315999922284,True,True,15642.24696459222,9.51109040450738,9.835601138795678,True,2.2501678671460468e-06,1.0922082793740628e-08,2.4767591977337133e-08,2.1606640032700852e-08,-2.473851383744119e-06,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_bdf,lumen_volume_down,0.001,True,True,0.006282974140958686,True,True,15642.24696459222,9.511090213566172,9.835600853463621,True,1.6096429789058675e-07,4.269100628562228e-10,1.7522985285012282e-09,1.5310015477609795e-09,-0.00013460083309946302,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_bdf,lumen_volume_up,0.001,True,True,0.006272315999922284,True,True,15642.24696459222,9.511090183795025,9.835598956966319,True,-1.68010259926632e-07,-4.900702066379381e-10,-1.8318617733825704e-09,-1.5991492574585209e-09,0.00013463113437439667,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_bdf,cell_nacl_down,0.001,True,True,0.006263434215725283,True,True,15642.24696459222,9.511062442718874,9.8347362476709,True,-0.00030262960674320993,-1.0661794069832808e-06,-3.291644651071124e-06,-2.918307493993133e-06,-2.865104882476821e-05,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_bdf,cell_nacl_up,0.001,True,True,0.006284750497798086,True,True,15642.24696459222,9.5111178968002,9.836462932633998,True,0.0003019882950283659,1.0623084012451045e-06,3.2845279045456977e-06,2.9121578013491245e-06,2.864339038599617e-05,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_bdf,lumen_nacl_down,0.001,True,True,0.006272315999922284,True,True,15642.24696459222,9.511088216228927,9.835452428091397,True,-1.898744748984882e-05,-1.2074927200345087e-06,-2.820031195227557e-07,-2.084698713655797e-07,-0.00015494731092990932,0.01,False,True
G2_BALANCED_APICAL_K_BIASED_G10:M00,CA012_N1_M2P0,R1_G125_P21_PROSE_TREFERENCE,production_bdf,lumen_nacl_up,0.001,True,True,0.006275868713601085,True,True,15642.24696459222,9.511092176677185,9.835747143233194,True,1.8934945209991838e-05,1.2058338416665038e-06,2.8133308727085193e-07,2.0793331412249927e-07,0.00015495896793860098,0.01,False,True
