root_id,panel_id,source_class,source_scale,pump_capacity_scale,apical_pump_fraction,apical_k_fraction,ae4_cation_fraction,hydraulic_scale,hydraulic_mode,r2_member_id,r3_member_id,arm,solver_label,max_relative_state_difference,max_relative_flow_difference,max_relative_capacity_difference,r2_r3_isomorphism_gate_pass
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TFAST,R3_G170_P21_FIGURE_VISUAL_TFAST,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TFAST,R3_G170_P21_FIGURE_VISUAL_TFAST,CCH_IPR,production_radau,1.0425425288551899e-14,4.894521934785497e-15,4.196295124009148e-15,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TFAST,R3_G170_P21_FIGURE_VISUAL_TFAST,CCH_IPR,production_bdf,1.179158799712615e-12,1.3107931058780822e-13,1.4187731825362899e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TREFERENCE,R3_G170_P21_FIGURE_VISUAL_TREFERENCE,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TREFERENCE,R3_G170_P21_FIGURE_VISUAL_TREFERENCE,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TREFERENCE,R3_G170_P21_FIGURE_VISUAL_TREFERENCE,CCH_IPR,production_radau,1.9753349991493314e-15,7.259256656538726e-15,1.74508270239099e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TREFERENCE,R3_G170_P21_FIGURE_VISUAL_TREFERENCE,CCH_IPR,production_bdf,1.6501449530034888e-15,1.5541949961927356e-14,3.675385044106579e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TSLOW,R3_G170_P21_FIGURE_VISUAL_TSLOW,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TSLOW,R3_G170_P21_FIGURE_VISUAL_TSLOW,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TSLOW,R3_G170_P21_FIGURE_VISUAL_TSLOW,CCH_IPR,production_radau,1.989142588947481e-15,4.828779908808647e-15,2.7781645363761093e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TSLOW,R3_G170_P21_FIGURE_VISUAL_TSLOW,CCH_IPR,production_bdf,2.8055507270935606e-15,1.4515912933856387e-14,2.848980205863641e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_IPR,production_radau,3.074027011040977e-15,5.6272206324662835e-15,1.7764194759677574e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_IPR,production_bdf,1.2919859982843664e-15,1.1026326278642789e-14,1.7857012823328771e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
