root_id,law_id,family,fully_activated_multiplier,tau_activation_s,gain_provenance_status,tau_provenance_status,solver_success,positive_core,conservation_gate_pass,broad_dynamic_ion_gate_pass,WT_flow_shape_gate_pass,WT_flow_max_min_ratio,WT_flow_allowed_max_min_ratio,nkcc1_multiplier_60_s,nkcc1_multiplier_600_s,isolated_NKCC_fractional_Cl_rate_rest_s_inv,isolated_NKCC_fractional_Cl_rate_60_s_s_inv,isolated_NKCC_fractional_Cl_rate_600_s_s_inv,P15_CCh_total_SPQ_uptake_s_inv,P15_CCh_total_SPQ_SEM_s_inv,uptake_observation_map_status,cell_na_endpoint_mM,cell_k_endpoint_mM,cell_cl_endpoint_mM,cell_ph_endpoint,cell_volume_endpoint_pL,flow_60_s_pL_s,flow_600_s_pL_s,cumulative_flow_600_s_pL,source_centered_scale,source_disciplined_acceptance
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M1.75_T30,N2_CCH_EFFECTIVE_DYNAMIC,1.75,30.0,P15_CENTERED_CONTEXT_MISMATCH_SENSITIVITY,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.3348141388673282,1.1111111111111112,1.648498532105506,1.7499999984541348,0.0011650652738649696,0.002576951741019204,0.006157151430696244,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,24.439070491327495,95.27713618514423,29.925024813072863,6.843203353404227,1.0545084955307908,0.001118401369552094,0.0008378704847261554,0.5710978039647673,True,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M2_T30,N2_CCH_EFFECTIVE_DYNAMIC,2.0,30.0,P15_CENTERED_CONTEXT_MISMATCH_SENSITIVITY,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.283564119103782,1.1111111111111112,1.8646647094667714,1.9999999979388465,0.0011650652738649696,0.0028335497295997347,0.005862161882302689,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,26.010818611904714,94.41778522652537,32.26772381634684,6.850113827163197,1.0779679401301474,0.0011233355386168682,0.000875169009399554,0.5861842261938077,True,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M3_T30,N2_CCH_EFFECTIVE_DYNAMIC,3.0,30.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.1839317505380815,1.1111111111111112,2.729329418869419,2.999999995877693,0.0011650652738649696,0.0037174606247637196,0.005087280925878187,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,30.19901807402192,92.14850248165162,38.66156425329896,6.868101112850001,1.1472706193779123,0.0011415352045513806,0.0009641900422322214,0.62612947056895,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M4_T30,N2_CCH_EFFECTIVE_DYNAMIC,4.0,30.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.1463461831073776,1.1111111111111112,3.5939941282026027,3.9999999938165387,0.0011650652738649696,0.004411910794859454,0.00466603432836453,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,32.55838904352871,90.90020460421489,42.41305512411271,6.878221097417196,1.192010797152196,0.0011575847524458033,0.0010098038179949809,0.6493301724642333,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M6_T30,N2_CCH_EFFECTIVE_DYNAMIC,6.0,30.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.120996379987797,1.1111111111111112,5.32332354671202,5.999999989694231,0.0011650652738649696,0.005386394331497885,0.004230913641179663,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,35.094067022710355,89.5990235281303,46.6209391827366,6.889267315321498,1.246337967992332,0.001184538852354486,0.0010566839228931147,0.6756192175899742,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M8_T30,N2_CCH_EFFECTIVE_DYNAMIC,8.0,30.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.1159297827981567,1.1111111111111112,7.05265296521138,7.9999999855719235,0.0011650652738649696,0.005981405807738614,0.004009970075160418,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,36.42922756411062,88.93728570691951,48.9339482435972,6.895203999351502,1.278272704912289,0.0012062201367365106,0.0010809104258441367,0.6903296230939437,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M1.75_T60,N2_CCH_EFFECTIVE_DYNAMIC,1.75,60.0,P15_CENTERED_CONTEXT_MISMATCH_SENSITIVITY,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.329559792232978,1.1111111111111112,1.4740904142568263,1.7499659500521085,0.0011650652738649696,0.002373753815006085,0.006181651557889691,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,24.393218975144688,95.3011439245223,29.875713650876058,6.8424341516504725,1.0539743679699276,0.0011129878766130946,0.0008371100593707382,0.5681863923554221,True,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M2_T60,N2_CCH_EFFECTIVE_DYNAMIC,2.0,60.0,P15_CENTERED_CONTEXT_MISMATCH_SENSITIVITY,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.2765799920775247,1.1111111111111112,1.6321205523411675,1.9999546000694783,0.0011650652738649696,0.0025791686880331133,0.005887173924862016,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,25.963915359180888,94.4417496461481,32.21718198155917,6.849257234297883,1.077392114754226,0.0011163147541796258,0.0008744573478414925,0.5828174035979636,True,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M3_T60,N2_CCH_EFFECTIVE_DYNAMIC,3.0,60.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.1714303375911024,1.1111111111111112,2.2642411046697895,2.999909200138957,0.0011650652738649696,0.003323762016647313,0.00510667039973185,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,30.169219241905406,92.15809907884133,38.62296955464523,6.8671436117539555,1.146750672777704,0.0011289264090547507,0.0009637162132715843,0.6218608338093019,False,False
G2_BALANCED_APICAL_K_BIASED_G10:M00,N2_M4_T60,N2_CCH_EFFECTIVE_DYNAMIC,4.0,60.0,UNBOUNDED_FLOW_SHAPE_PROBE,UNMEASURED_WT_ONLY_SENSITIVITY,True,True,True,True,False,1.1298621056721023,1.1111111111111112,2.8963616569810213,3.9998638002084355,0.0011650652738649696,0.003959423923868837,0.004679416193923879,0.00218,0.0002,MISSING_DEPLETION_STATE_AND_SPQ_MAP_NOT_POINT_FIT,32.54868239318278,90.89347429127771,42.3861882709342,6.8772890982148525,1.191599908079234,0.0011405204185258784,0.001009433286416342,0.6447732371326417,False,False
