calcium_uM,candidate_id,capacities_refitted_after_freeze,condition,max_dimensionless_conservation_ratio,maximum_flow_pL_s,mean_0_600_pL_s,message,minimum_flow_pL_s,numerical_gate_pass,root_id,routing_family,solver_success,source,source_path,source_sha256,status,target_share,total_0_600_pL
0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,0.006544098596350523,0.0024733518807238345,0.0017983429254619775,The solver successfully reached the end of the integration interval.,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.50_WT_production_radau.json,192072ef63d3361104c16209704dbb775998b96e432e2f2d2a1478dfadd8802a,COMPLETE,,1.0790057552771866
0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.003598898956624907,0.0016904107209445602,0.001451028135442623,The solver successfully reached the end of the integration interval.,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.8706168812655739
0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.006298961352513288,0.0024198877987141737,0.0016371670141857209,The solver successfully reached the end of the integration interval.,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.9823002085114325
0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.006323830348264892,0.0027450703278059014,0.0016915650087360576,The solver successfully reached the end of the integration interval.,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,1.0149390052416345
0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.006220801651579677,0.001454348950387563,0.0014104208540908637,The solver successfully reached the end of the integration interval.,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.8462525124545182
0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.006220801651579677,0.0017986291065515414,0.0015578734004570076,The solver successfully reached the end of the integration interval.,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.9347240402742045
0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.006124878382252064,0.0019650039214927167,0.0016087264949734932,The solver successfully reached the end of the integration interval.,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.9652358969840958
0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,0.00024158453015843404,0.0013283260937146796,0.0012300929767514195,The solver successfully reached the end of the integration interval.,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.10_WT_production_radau.json,d9ef71633c1fb1bfcbea3133679305ede63048eca679cce4070674d01c2b8b45,COMPLETE,,0.7380557860508516
0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,0.0014033219031261979,0.0017830955953216628,0.0013988680996602104,The solver successfully reached the end of the integration interval.,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.25_WT_production_radau.json,fc8e5d6ec7a311b3a3bedf0466239635187f8ee876c0b1c943ae258976fe94c1,COMPLETE,,0.8393208597961263
0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,0.002140509991477302,0.00199975795570321,0.0014463266021131499,The solver successfully reached the end of the integration interval.,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.50_WT_production_radau.json,e6ebb85c96b47551ceedd7210dfeee76db4ecc4b800eab8afec5aed7c6ebf2fd,COMPLETE,,0.8677959612678899
0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.00039257486150745535,0.0013018230059752669,0.0011915254103205273,The solver successfully reached the end of the integration interval.,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.7149152461923164
0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.001859845610852062,0.0017678045640749651,0.001352809901378714,The solver successfully reached the end of the integration interval.,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.8116859408272284
0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.0028901325777042075,0.0019980905045636045,0.001402106971152842,The solver successfully reached the end of the integration interval.,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.8412641826917051
0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.00041389114358025836,0.0013535610229931856,0.0011702739769957429,The solver successfully reached the end of the integration interval.,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.7021643861974457
0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.0014903633882568101,0.0019039175804489855,0.0013149136529038905,The solver successfully reached the end of the integration interval.,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.7889481917423343
0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.002120970066243899,0.0021663896708812858,0.0013572088586439625,The solver successfully reached the end of the integration interval.,0.0010035276265941556,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.8143253151863775
0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,1.4210854715202002e-05,0.0015490152708658557,0.0014798140300365263,The solver successfully reached the end of the integration interval.,0.0011833686971691626,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.10_WT_production_radau.json,b512d6165c01fe00c4a4cb2c7c24f32f8ada9019a35c071157b9fad1059141a6,COMPLETE,,0.8878884180219158
0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,0.006462386181738111,0.002087437124441463,0.0017047246401219478,The solver successfully reached the end of the integration interval.,0.0011833686971691626,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.25_WT_production_radau.json,2153a81fec3b635587cff81ba0e91b79ec5995df2689eb3dce1b1cf0673f563f,COMPLETE,,1.0228347840731686
0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,0.006490807891168515,0.0023560558871345144,0.0017740485482171623,The solver successfully reached the end of the integration interval.,0.0011833686971691626,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.50_WT_production_radau.json,a36ec3c2470adf2f917e7f46c5443be6da99d8508fca76f2222bee8893655e49,COMPLETE,,1.0644291289302974
0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.006210143510543276,0.0015733234018516758,0.0014376004241693306,The solver successfully reached the end of the integration interval.,0.0011833686971691626,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.8625602545015983
0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.006298961352513288,0.0022082769330522833,0.0016411428480963216,The solver successfully reached the end of the integration interval.,0.0011833686971691626,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.9846857088577929
0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.006178169087434071,0.002528024901091264,0.0017061166144520328,The solver successfully reached the end of the integration interval.,0.0011833686971691626,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,1.0236699686712196
