pathway,positive_basolateral_loader,positive_loading_denominator_fmol_s,root_id,routing_family,signed_cl_fmol_s
AE4,True,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.0038151466854192406
NKCC1,True,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.2662679982420845
AE2,False,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,-0.0008161273589426067
CaCC_cell_source,False,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,-0.2692670175685662
CaCC_cell_to_lumen,False,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.2692670175685662
paracellular_Cl_lumen_to_bath,False,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.10346130420061767
lumen_outflow_Cl,False,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.16580571336794894
AE4,True,0.24132540689905485,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.0043934036073688815
NKCC1,True,0.24132540689905485,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.23693200329168598
AE2,False,0.24132540689905485,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,-0.0018582204249246942
CaCC_cell_source,False,0.24132540689905485,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,-0.2394671864738571
CaCC_cell_to_lumen,False,0.24132540689905485,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.2394671864738571
paracellular_Cl_lumen_to_bath,False,0.24132540689905485,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.09823803058173153
lumen_outflow_Cl,False,0.24132540689905485,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.14122915589208893
AE4,True,0.2736320715479369,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.003810335683030408
NKCC1,True,0.2736320715479369,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.2698217358649065
AE2,False,0.2736320715479369,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,-0.0008069417951530902
CaCC_cell_source,False,0.2736320715479369,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,-0.2728251297526822
CaCC_cell_to_lumen,False,0.2736320715479369,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.2728251297526822
paracellular_Cl_lumen_to_bath,False,0.2736320715479369,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.1083974539006197
lumen_outflow_Cl,False,0.2736320715479369,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.1644276758520491
AE4,True,0.24129117111575887,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,0.004394412409467793
