AE4_multiplier,CO2_apical_multiplier,CO2_basolateral_multiplier,CaCC_multiplier,K_apical_multiplier,K_basolateral_multiplier,NHE1_multiplier,NKCC1_multiplier,ae4_cancellation_fraction,ae4_capacity_multiplier,ae4_productive_fraction,apical_k_fraction,apical_pump_fraction,candidate_id,complete_state_bytes_sha256,condition,exact_inherited_state_bytes_retained,fixed_wt_feasible,g_cl_apical_S,g_cl_apical_nS,g_k_total_S,g_k_total_nS,inherited_positive_loading_pool_fmol_s,largest_abs_log_fold,largest_fold_multiplier,max_abs_complete_rhs,max_abs_current_A,max_abs_omitted_rhs,max_abs_scaled_independent_rhs,max_conservation_tolerance_ratio,nak_capacity_fmol_s,other_positive_loader_common_multiplier,paracellular_Cl_multiplier,paracellular_HCO3_multiplier,paracellular_K_multiplier,paracellular_Na_multiplier,positive_loading_pool_change_fmol_s,pump_apical_multiplier,pump_basolateral_multiplier,realized_ae4_share,rms_log_fold,root_id,routing_family,state_coordinates_changed,status,sum_squared_log_fold,target_share,v_apical_mV,v_basolateral_mV,v_transepithelial_mV
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.968395279529304,1.0,0.031604720470695916,0.4,0.094586,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,2afe59d050adf1feba4509149fa3b9d3afe585ccc7f1c552a4c1ec325a595765,inherited_baseline,True,True,3.14e-08,31.400000000000002,1.4e-08,14.0,0.23998398497537757,0.0,1.0,4.2283884726934673e-16,3.554291694563791e-26,7.28583859910259e-17,4.228388472693467e-12,0.00011546319456101627,0.08,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.018330017197384484,0.0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,0.0,,-34.87423691292624,-66.58957015065717,-31.715333237730924
5.455532251997507,1.0000000000000353,6.111405517787957,0.7354441441442322,1.3684316642427368,0.42424868326802323,6.654718614997071,0.9168050523767141,0.9683952795293042,5.455532251997507,0.03160472047069585,0.682576049254202,0.02487221325786642,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.10,2afe59d050adf1feba4509149fa3b9d3afe585ccc7f1c552a4c1ec325a595765,share_0.10,True,True,2.3092946126128893e-08,23.092946126128894,1.1226906259210722e-08,11.226906259210722,0.23998398497537757,1.8953261692096863,6.654718614997071,4.2283884726934673e-16,9.693522803355793e-27,9.71445146547012e-17,4.228388472693467e-12,0.00011546319456101627,0.21856626315485925,0.9168050523767142,0.8868404069149558,1.8622331769453588,0.9314179579921198,0.930391717922366,-5.551115123125783e-17,0.7184238032270381,2.9424389898805496,0.09999999999999983,0.9399250499809226,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,12.368427394142953,0.1,-37.49004134330215,-73.73374479064742,-36.243703447345275
16.36659675599252,1.0000000000000353,18.62862504541164,0.5170203244171182,26.97272310274499,26.972723102743355,20.50244680336634,0.713070596293,0.9683952795293042,16.36659675599252,0.031604720470695805,0.4000000000000146,0.0005028559863012157,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.30,2afe59d050adf1feba4509149fa3b9d3afe585ccc7f1c552a4c1ec325a595765,share_0.30,True,True,1.6234438186697512e-08,16.234438186697513,3.776181234384161e-07,377.6181234384161,0.23998398497537757,3.2948260998985246,26.972723102747167,5.773159728050814e-15,3.554291694563791e-25,4.996003610813204e-16,4.228388472693467e-12,0.00011546319456101627,0.5578931523294591,0.713070596293,0.7902841718184984,26.97272310274325,26.972723102747164,0.9244955275474273,-2.498001805406602e-16,0.03707471393299808,7.698310005396617,0.29999999999999927,2.4574531563034374,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,84.54706421596018,0.3,-41.667193295419956,-82.80020689267901,-41.13301359725906
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9900375659883516,1.0,0.00996243401164841,0.4,0.094586,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,c46c2e6d09ab6d8e94bc05b016785a22e6415ead52f9fc62581f8093d346bc8b,inherited_baseline,True,True,3.14e-08,31.400000000000002,1.4e-08,14.0,0.277632931827658,0.0,1.0,1.2984405217686401e-15,6.462348535570529e-27,2.1163626406917047e-16,1.2984405217686401e-11,9.71445146547012e-07,0.16,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.01370478692478734,0.0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,0.0,,-35.891172288448885,-71.23257578708805,-35.341403498639174
7.29672052172761,0.9999999999997563,7.242128380398044,0.5093448464148238,8.033413452690358,8.033413452697076,8.033413292027886,0.9125056961331599,0.9900375659883516,7.29672052172761,0.009962434011648418,0.39999999999979935,0.006781393636106122,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,c46c2e6d09ab6d8e94bc05b016785a22e6415ead52f9fc62581f8093d346bc8b,share_0.10,True,True,1.5993428177425467e-08,15.993428177425468,1.1246778833772143e-07,112.46778833772143,0.277632931827658,2.0836095251435474,8.033413452697078,1.9984014443252818e-15,2.1325750167382745e-25,1.1535911115245767e-16,1.2984405217686401e-11,2.1325750167382745e-05,0.7552266741171084,0.9125056961331598,0.8165478539682562,8.033413452696237,1.8632808496699318,0.9660794911922347,0.0,0.3384148659470846,5.177915743208584,0.10000000000000007,1.464013855108288,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,30.006711951286434,0.1,-44.03505886927069,-88.19393860341292,-44.158879734142225
21.890161565182826,0.9999999999997563,21.70904527637368,0.3224430372378178,0.30151717564581004,10.195742689034148,24.334232402116356,0.7097266525480131,0.9900375659883516,21.890161565182826,0.009962434011648471,0.01933405827762412,0.0032142790188836074,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,c46c2e6d09ab6d8e94bc05b016785a22e6415ead52f9fc62581f8093d346bc8b,share_0.30,True,True,1.012471136926748e-08,10.12471136926748,8.733273477150337e-08,87.33273477150337,0.277632931827658,3.191884119068653,24.33423287027668,1.2984405217686401e-15,1.6155871338926322e-25,1.0269562977782698e-15,1.2984405217686401e-11,1.6155871338926322e-05,2.1326201491714873,0.7097266525480131,0.8224462232354802,6.300919492312309,24.334232870276676,0.9466449696549261,4.440892098500626e-16,0.4529499741459056,14.673986934228134,0.3000000000000014,2.0506352573388478,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,58.8714694209763,0.3,-53.65596226368119,-97.47013829489738,-43.81417603121619
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9680194295617562,1.0,0.0319805704382438,0.2,0.094586,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,33f6a103317c44ef35c464ca232f33f0c74de6b5d03df6512dc71f6411b056c2,inherited_baseline,True,True,3.14e-08,31.400000000000002,1.4000000000000001e-08,14.000000000000002,0.2449985300041539,0.0,1.0,4.544975507059235e-16,6.462348535570529e-27,4.544975507059235e-16,3.3989738107420564e-12,0.00016697754290362354,0.08,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.01789953114568505,0.0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,0.0,,-35.4450782444366,-69.09331965733882,-33.64824141290222
5.58673851209262,1.0000000000004619,6.251479634129124,0.6513504863346474,1.3522435513425943,0.6740659829915551,6.809490106185745,0.9164031873947778,0.9680194295617561,5.58673851209262,0.031980570438243816,0.3340103870173449,0.028259367875519418,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,33f6a103317c44ef35c464ca232f33f0c74de6b5d03df6512dc71f6411b056c2,share_0.10,True,True,2.045240527090793e-08,20.45240527090793,1.1335820953264681e-08,11.335820953264681,0.2449985300041539,1.9183172430829816,6.809490106185745,3.3989738107420564e-16,1.2924697071141057e-26,2.7755575615628914e-17,3.3989738107420564e-12,0.00016697754290362354,0.21945871955382315,0.9164031873947779,0.9123504968416284,1.6364779136872476,1.0246734557081487,0.9382451104884881,2.7755575615628914e-17,0.8195933712919902,2.9441912051346293,0.10000000000000006,0.9218872905388401,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,11.898266470398614,0.1,-39.419720066597876,-76.66765869571817,-37.2479386291203
16.760215536277858,1.0000000000004619,19.044292409529167,0.45854820358951026,3.3759065184795083,6.1034590905063,20.961638534215943,0.7127580346403827,0.9680194295617562,16.760215536277858,0.031980570438243795,0.12148030778823082,0.008355230561006469,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,33f6a103317c44ef35c464ca232f33f0c74de6b5d03df6512dc71f6411b056c2,share_0.30,True,True,1.4398413592710623e-08,14.398413592710623,7.78112800654132e-08,77.8112800654132,0.2449985300041539,3.0426940307397503,20.96163853421594,3.3989738107420564e-16,6.462348535570529e-27,1.3877787807814457e-17,3.3989738107420564e-12,0.00016697754290362354,0.559036883097156,0.7127580346403827,0.8437183786891514,3.9981933045765916,1.2405916827988803,0.8952686389749468,0.0,0.6172797837924162,7.6534878111942835,0.3,1.64198955463076,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,37.74581576523129,0.3,-44.2130366025666,-84.80174392047454,-40.58870731790794
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9900156984517631,1.0,0.009984301548236903,0.2,0.094586,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,d2fa3e2305d338f41694be5579273909549b437d8d7b6e3d3a4b2fd18ae079d1,inherited_baseline,True,True,3.14e-08,31.400000000000002,1.4000000000000001e-08,14.000000000000002,0.2804618121704744,0.0,1.0,6.866070212385722e-13,1.2924697071141057e-26,6.866070212385722e-13,4.868883074493624e-12,2.393918396847994e-06,0.16,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.013552827891842714,0.0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0,FIXED_WT_EXACT_REBALANCE_FEASIBLE,0.0,,-36.16410287202952,-73.382700736646,-37.21859786461649
