class_id,exact_charge_equivalents,chemical_delta_g_over_rt,electrical_delta_g_over_rt,affinity_over_rt,affinity_kJ_mol,forward_direction,inherited_j4_fmol_s,scalar_direction_agrees_at_reference
C0,0,2.10666876439727,0.0,-2.10666876439727,-5.432531166831335,opposed,0.004933930166208064,False
C1,0,-4.8453714358313675,0.0,4.8453714358313675,12.494907497980234,supported,0.004933930166208064,True
C2,0,-6.871880179386998,0.0,6.871880179386998,17.720727567692016,supported,0.004933930166208064,True
C3a,0,-0.7365707451364162,0.0,0.7365707451364162,1.8994175055681322,supported,0.004933930166208064,True
C3b,0,4.949908273930956,0.0,-4.949908273930956,-12.764479839230804,opposed,0.004933930166208064,False
C4a,0,-1.1854011603196253,0.0,1.1854011603196253,3.0568302228930784,supported,0.004933930166208064,True
C4b,0,4.501077858747746,0.0,-4.501077858747746,-11.607067121905855,opposed,0.004933930166208064,False
