G2,G4,Q_star
0.51,1.9983632639126818,0.9999999999999999
0.52,1.9779885034246678,1.0
0.53,1.9576137429366538,0.9999999999999999
0.54,1.93723898244864,1.0
0.55,1.916864221960626,1.0
0.56,1.896489461472612,1.0
0.5700000000000001,1.8761147009845982,1.0
0.58,1.8557399404965844,1.0
0.59,1.8353651800085706,1.0
0.6,1.8149904195205564,1.0
0.61,1.7946156590325426,1.0
0.62,1.7742408985445288,1.0
0.63,1.7538661380565148,1.0
0.64,1.7334913775685008,1.0
0.65,1.713116617080487,1.0
0.66,1.692741856592473,1.0
0.67,1.672367096104459,1.0
0.68,1.6519923356164452,1.0
0.6900000000000001,1.6316175751284312,1.0
0.7000000000000001,1.6112428146404172,0.9999999999999999
0.71,1.5908680541524036,1.0
0.72,1.5704932936643896,0.9999999999999999
0.73,1.5501185331763758,1.0
0.74,1.5297437726883618,0.9999999999999999
0.75,1.5093690122003478,1.0
0.76,1.488994251712334,1.0
0.77,1.46861949122432,1.0
0.78,1.448244730736306,1.0
0.79,1.4278699702482922,1.0
0.8,1.4074952097602782,1.0
0.81,1.3871204492722642,1.0
0.8200000000000001,1.3667456887842504,1.0
0.8300000000000001,1.3463709282962364,1.0
0.84,1.3259961678082228,1.0
0.85,1.3056214073202088,1.0
0.86,1.2852466468321948,1.0
0.87,1.264871886344181,1.0
0.88,1.244497125856167,1.0
0.89,1.224122365368153,1.0
0.9,1.203747604880139,1.0
0.91,1.1833728443921252,1.0
0.92,1.1629980839041112,1.0
0.93,1.1426233234160974,0.9999999999999999
0.9400000000000001,1.1222485629280834,1.0
0.9500000000000001,1.1018738024400694,0.9999999999999999
0.96,1.0814990419520558,1.0
0.97,1.0611242814640418,0.9999999999999999
0.98,1.0407495209760278,1.0
0.99,1.020374760488014,0.9999999999999999
1.0,1.0,1.0
1.01,0.9796252395119861,1.0
1.02,0.9592504790239721,1.0
1.03,0.9388757185359582,1.0
1.04,0.9185009580479443,1.0
1.05,0.8981261975599304,1.0
1.06,0.8777514370719164,1.0
1.07,0.8573766765839025,1.0
1.08,0.8370019160958886,1.0
1.09,0.8166271556078746,1.0
1.1,0.7962523951198607,1.0
1.11,0.7758776346318468,1.0
1.12,0.7555028741438328,1.0
1.1300000000000001,0.7351281136558189,1.0
1.1400000000000001,0.714753353167805,1.0
1.1500000000000001,0.694378592679791,1.0
1.16,0.6740038321917775,1.0
1.17,0.6536290717037636,1.0
1.18,0.6332543112157496,1.0
1.19,0.6128795507277358,1.0
1.2,0.5925047902397218,1.0
1.21,0.5721300297517079,1.0
1.22,0.551755269263694,1.0
1.23,0.53138050877568,1.0
1.24,0.5110057482876661,1.0
1.25,0.4906309877996522,1.0
1.26,0.4702562273116382,1.0
1.27,0.4498814668236243,1.0
1.28,0.4295067063356104,1.0
1.29,0.4091319458475964,1.0
1.3,0.3887571853595825,1.0
1.31,0.3683824248715686,1.0
1.32,0.34800766438355457,1.0
1.33,0.3276329038955407,1.0
1.34,0.3072581434075268,1.0
1.35,0.28688338291951276,1.0
1.36,0.26650862243149886,1.0
1.37,0.24613386194348497,1.0
1.3800000000000001,0.22575910145547107,1.0
1.3900000000000001,0.20538434096745717,1.0
1.4000000000000001,0.18500958047944327,1.0
1.41,0.1646348199914297,1.0
1.42,0.1442600595034158,1.0
1.43,0.1238852990154019,1.0
1.44,0.1035105385273879,1.0
1.45,0.083135778039374,1.0
1.46,0.0627610175513601,1.0
1.47,0.04238625706334609,1.0
1.48,0.02201149657533219,1.0
1.49,0.0016367360873182912,1.0
