G2,G4,min_state_ratio,Q_star,Na_i,K_i,Cl_i,HCO3_i,volume_star,Na_i_mM,K_i_mM,Cl_i_mM,HCO3_i_mM
0.0,0.0,0.9070000081886231,0.9532643412071645,0.9979404628967876,1.0391721020618654,0.9070000081886231,1.1465307897926307,1.0226608407349767,24.94851157241969,124.70065224742385,45.35000040943116,13.873022556490831
0.0,0.025,0.908035136927005,0.9536489998681874,0.9979021647779454,1.038187164117689,0.908035136927005,1.1441547112972053,1.022069794279961,24.947554119448633,124.58245969412268,45.40175684635025,13.844272006696183
0.0,0.05,0.9090702656653868,0.9540336585292103,0.9978638666591031,1.0372022261735125,0.9090702656653868,1.1417786328017796,1.0214787478249456,24.94659666647758,124.4642671408215,45.453513283269345,13.815521456901532
0.0,0.07500000000000001,0.9101053944037686,0.9544183171902331,0.9978255685402609,1.0362172882293361,0.9101053944037686,1.139402554306354,1.0208877013699298,24.945639213506524,124.34607458752033,45.50526972018843,13.786770907106883
0.0,0.1,0.9111405231421504,0.954802975851256,0.9977872704214187,1.0352323502851595,0.9111405231421504,1.1370264758109285,1.0202966549149144,24.944681760535467,124.22788203421914,45.55702615710752,13.758020357312235
0.0,0.125,0.9121756518805322,0.9551876345122787,0.9977489723025764,1.034247412340983,0.9121756518805322,1.1346503973155029,1.0197056084598985,24.94372430756441,124.10968948091796,45.60878259402661,13.729269807517584
0.0,0.15000000000000002,0.913210780618914,0.9555722931733016,0.9977106741837342,1.0332624743968066,0.913210780618914,1.1322743188200772,1.019114562004883,24.942766854593355,123.9914969276168,45.6605390309457,13.700519257722934
0.0,0.17500000000000002,0.9142459093572959,0.9559569518343245,0.997672376064892,1.03227753645263,0.9142459093572959,1.1298982403246516,1.0185235155498673,24.9418094016223,123.8733043743156,45.71229546786479,13.671768707928283
0.0,0.2,0.9152810380956777,0.9563416104953474,0.9976340779460497,1.0312925985084536,0.9152810380956777,1.1275221618292262,1.017932469094852,24.940851948651243,123.75511182101442,45.764051904783884,13.643018158133636
0.0,0.225,0.9163161668340595,0.9567262691563702,0.9975957798272075,1.0303076605642771,0.9163161668340595,1.1251460833338005,1.017341422639836,24.939894495680186,123.63691926771325,45.815808341702976,13.614267608338986
0.0,0.25,0.9173512955724413,0.957110927817393,0.9975574817083652,1.0293227226201007,0.9173512955724413,1.1227700048383749,1.0167503761848204,24.93893704270913,123.51872671441208,45.86756477862207,13.585517058544335
0.0,0.275,0.9183864243108231,0.9574955864784158,0.997519183589523,1.028337784675924,0.9183864243108231,1.1203939263429492,1.0161593297298048,24.937979589738074,123.40053416111088,45.91932121554115,13.556766508749686
0.0,0.30000000000000004,0.9194215530492049,0.9578802451394387,0.9974808854706808,1.0273528467317476,0.9194215530492049,1.1180178478475238,1.0155682832747892,24.93702213676702,123.28234160780971,45.971077652460245,13.528015958955038
0.0,0.325,0.9204566817875868,0.9582649038004616,0.9974425873518385,1.0263679087875712,0.9204566817875868,1.1156417693520981,1.0149772368197736,24.936064683795962,123.16414905450854,46.02283408937934,13.499265409160387
0.0,0.35000000000000003,0.9214918105259685,0.9586495624614843,0.9974042892329963,1.0253829708433946,0.9214918105259685,1.1132656908566725,1.014386190364758,24.935107230824908,123.04595650120734,46.07459052629842,13.470514859365737
0.0,0.375,0.9225269392643504,0.9590342211225071,0.997365991114154,1.0243980328992182,0.9225269392643504,1.1108896123612468,1.0137951439097423,24.93414977785385,122.92776394790619,46.12634696321752,13.441764309571086
