time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_cl_source_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,co3_i_mM,ae4_hco3_cell_source_fmol_s,ae4_co3_cell_source_fmol_s,source_signature_residual_fmol_s,ae4_charge_residual_fmol_s,cell_balance_residual_fmol_s,cumulative_outflow_0_t_pL
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.03142872407710091,-0.06705742727215,-0.03562870319504909,0.0,0.0,0.0,1.0,0.007880875986972877,0.256706376109366,0.004933930166208064,-0.0019869843454434683,0.2596533219301311,0.10239383427632785,0.128353188054683,1.0,4937608.164510875,0.0,0.04458903298618399,-0.002466965083104032,-0.002466965083104032,0.004933930166208064,-0.009867860332416128,-0.009867860332416128,0.002010123919709818,-0.009867860332416128,0.0,0.0,0.0,2.7755575615628914e-17,0.0
1e-06,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.027375559665677795,-0.08036574130031797,-0.05299018163464017,1.0,0.10081428920480762,9.727100176367595e-12,2.3,0.018126014770037616,0.4492361581913904,0.004933930166208064,-0.0019869843454434683,0.6126791038817435,0.14737859532269706,0.2246180790956952,1.75,4937608.164510875,0.20162857840961523,0.04458903298618399,-0.002466965083104032,-0.002466965083104032,0.004933930166208064,-0.009867860332416128,-0.009867860332416128,0.002010123919709818,-0.009867860332416128,0.0,0.0,0.0,2.7755575615628914e-17,1.0776814707374823e-09
1.0,0.0013894694081506538,11.642908412454979,116.86256825027962,60.46467827607541,5.821160477783554,5.0431653411944275,6.912882359430803,1.4535192444479044,301.8408131853496,-0.027275575672568882,-0.08033022757747331,-0.053054651904904424,1.0,0.0999737270884481,9.645998261403155e-12,2.3,0.01785608389825837,0.44068344735752957,0.007720322413398123,-0.001932242131400319,0.5786731523715247,0.14772088259284602,0.22034172367876478,1.75,4974396.514172791,0.1999474541768962,0.045220708670585856,-0.0038601612066990615,-0.0038601612066990615,0.007720322413398123,-0.015440644826796246,-0.015440644826796246,0.0020681668194213487,-0.015440644826796246,0.0,0.0,0.0,8.326672684688674e-17,0.0012335752835500994
5.0,0.002015278403245649,12.127940892055946,116.4253896977812,60.099168576128235,6.3042678689019285,5.473529888735232,6.919997918365045,1.4558548492724384,301.7238129941811,-0.027024820862307616,-0.08019852940559168,-0.05317370854328406,1.0,0.0967807023249504,9.337918206629696e-12,2.3,0.016891623164833246,0.4122900867056667,0.017743068752065078,-0.0017420880390888764,0.5008674215577376,0.14823520520740688,0.20614504335283335,1.75,5100017.8931555785,0.1935614046499008,0.047339424494179466,-0.008871534376032539,-0.008871534376032539,0.017743068752065078,-0.035486137504130155,-0.035486137504130155,0.002281736093413067,-0.035486137504130155,0.0,0.0,0.0,2.7755575615628914e-17,0.008321214422937828
10.0,0.0020963905581616927,12.625299358677347,115.99545261059947,59.769860596565884,6.804011859750758,5.921394776476006,6.9278903283146835,1.4591982716517926,301.6530977254656,-0.026944834392722227,-0.08008101320611892,-0.05313617881339669,1.0,0.09314223580011448,8.9868595555734e-12,2.3,0.01589261378141845,0.38379745112144925,0.028231167001382895,-0.001554630095249375,0.4544485784968147,0.148311151116129,0.19189872556072463,1.75,5231751.820992188,0.18628447160022896,0.04935444813864431,-0.014115583500691448,-0.014115583500691448,0.028231167001382895,-0.05646233400276579,-0.05646233400276579,0.0025137052058613646,-0.05646233400276579,0.0,0.0,0.0,5.551115123125783e-17,0.018747181579782418
15.0,0.001998574202434056,13.030950692001477,115.65318731791986,59.516112768794,7.210076294421565,6.287610147058484,6.934813880218299,1.462236431672787,301.616201396415,-0.02695349717482409,-0.07999194656894267,-0.05303844939411857,1.0,0.08993620817751255,8.677524915620759e-12,2.3,0.015070636396200623,0.3616554326296453,0.03686213551590278,-0.0014080894734980647,0.4307181900979254,0.14817475731436172,0.18082771631482264,1.75,5338298.120126859,0.1798724163550251,0.050883847814891116,-0.01843106775795139,-0.01843106775795139,0.03686213551590278,-0.07372427103180557,-0.07372427103180557,0.0027120612052027064,-0.07372427103180557,0.0,0.0,0.0,2.7755575615628914e-17,0.02900367727153077
20.0,0.0018963426616728563,13.366495272743244,115.37296518883417,59.30664913058248,7.540403873323148,6.587368287024712,6.940917938381131,1.464727096301601,301.59531950725784,-0.02699590250371544,-0.07992068240048313,-0.052924779896767686,1.0,0.08715976960410697,8.409639317754942e-12,2.3,0.01438450786292325,0.3443787725868939,0.04397926101550982,-0.001291981513439576,0.41765282833115314,0.1479601312507668,0.17218938629344696,1.75,5424108.611577261,0.17431953920821394,0.052074388371770745,-0.02198963050775491,-0.02198963050775491,0.04397926101550982,-0.08795852203101964,-0.08795852203101964,0.002881574704283116,-0.08795852203101964,0.0,0.0,0.0,2.7755575615628914e-17,0.038731531661922364
25.0,0.0018227198612161795,13.647396512043194,115.13858802018085,59.12569701941533,7.809046540419397,6.832695073158542,6.946334130690087,1.4666327370690773,301.5828942968612,-0.027051199886525282,-0.07986174526557428,-0.052810545379049,1.0,0.0847837762971787,8.180390814421072e-12,2.3,0.013804014889682789,0.33081901653778617,0.04985669147362687,-0.0011990790612895462,0.410157544104309,0.14771867443520886,0.16540950826889309,1.75,5493172.7395561,0.1695675525943574,0.05302104747282932,-0.024928345736813434,-0.024928345736813434,0.04985669147362687,-0.09971338294725374,-0.09971338294725374,0.00302639889922391,-0.09971338294725374,0.0,0.0,0.0,1.3877787807814457e-17,0.048017212981377906
30.0,0.0017755254899831957,13.885091630000732,114.93909532863415,58.96444566080817,8.027217607712611,7.033273455963551,6.951174135830648,1.4679907257928668,301.5751712007253,-0.027110278813318237,-0.07981196431568457,-0.05270168550236634,1.0,0.08276744073395383,7.985844007937951e-12,2.3,0.013306669932205114,0.3201189431232853,0.054715089385168086,-0.0011241935242334376,0.4057083643499293,0.1474735004920198,0.16005947156164266,1.75,5548773.081358396,0.16553488146790765,0.05378771446462809,-0.027357544692584043,-0.027357544692584043,0.054715089385168086,-0.10943017877033617,-0.10943017877033617,0.0031501529383637424,-0.10943017877033617,0.0,0.0,0.0,2.7755575615628914e-17,0.05700386061063712
35.0,0.0017466440193402378,14.088228102998917,114.76674692296334,58.817632472448,8.203964842058252,7.196974049864304,6.955530947115107,1.4688649409361116,301.5701452290684,-0.027169038425872954,-0.0797693636735274,-0.05260032524765444,1.0,0.08106668115458332,7.821745655066116e-12,2.3,0.012875528924561513,0.31163827755190054,0.05873306626892516,-0.0010634922044270786,0.4029626051802522,0.1472354907688456,0.15581913877595027,1.75,5593550.005731862,0.16213336230916664,0.05441871056267075,-0.02936653313446258,-0.02936653313446258,0.05873306626892516,-0.11746613253785032,-0.11746613253785032,0.0032559736672730854,-0.11746613253785032,0.0,0.0,0.0,1.3877787807814457e-17,0.06580350497935221
