time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_cl_source_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,co3_i_mM,ae4_hco3_cell_source_fmol_s,ae4_co3_cell_source_fmol_s,source_signature_residual_fmol_s,ae4_charge_residual_fmol_s,cell_balance_residual_fmol_s,cumulative_outflow_0_t_pL
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.03142872407710091,-0.06705742727215,-0.03562870319504909,0.0,0.0,0.0,1.0,0.007880875986972877,0.256706376109366,0.00024669650831040323,-0.0019869843454434683,0.2596533219301311,0.10239383427632785,0.128353188054683,1.0,4937608.164510875,0.0,0.04458903298618399,-0.00012334825415520162,-0.00012334825415520162,0.00024669650831040323,-0.0004933930166208065,-0.0004933930166208065,0.002010123919709818,-0.0004933930166208065,0.0,0.0,0.0,2.7755575615628914e-17,0.0
1e-06,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.027375559665677795,-0.08036574130031797,-0.05299018163464017,1.0,0.10081428920480762,9.727100176367595e-12,2.3,0.018126014770037616,0.4492361581913904,0.00024669650831040323,-0.0019869843454434683,0.6126791038817435,0.14737859532269706,0.2246180790956952,1.75,4937608.164510875,0.20162857840961523,0.04458903298618399,-0.00012334825415520162,-0.00012334825415520162,0.00024669650831040323,-0.0004933930166208065,-0.0004933930166208065,0.002010123919709818,-0.0004933930166208065,0.0,0.0,0.0,5.551115123125783e-17,1.0776814707374823e-09
1.0,0.0013893925387707979,11.644675529117125,116.86179686105795,60.45908784439439,5.829264746544009,5.050314419906335,6.912965128156371,1.4535548521850616,301.84157111043095,-0.02727770361378813,-0.08032968297903119,-0.05305197936524306,1.0,0.09993019506361023,9.641798059528818e-12,2.3,0.017846831545257322,0.4407291337654962,0.0003938598419538732,-0.001929032013660452,0.5786092228327586,0.1477141164320854,0.2203645668827481,1.75,4974198.7345735775,0.19986039012722046,0.04522869362332459,-0.0001969299209769366,-0.0001969299209769366,0.0003938598419538732,-0.0007877196839077464,-0.0007877196839077464,0.0020714933583784877,-0.0007877196839077464,0.0,0.0,0.0,2.7755575615628914e-17,0.001233536848898606
5.0,0.0020143545643954235,12.143191349952264,116.41666809746485,60.04845699250997,6.376419018154885,5.537400767906267,6.920733084909354,1.4562094995995838,301.72518745316705,-0.027044036338011394,-0.08019253861338482,-0.05314850227537343,1.0,0.09635519220371153,9.296862721261541e-12,2.3,0.016813073148486193,0.4128615534082333,0.0009557027025451234,-0.0017146919770603816,0.5003506466861042,0.1481696958456653,0.20643077670411664,1.75,5097435.139600321,0.19271038440742305,0.0474034965511868,-0.0004778513512725617,-0.0004778513512725617,0.0009557027025451234,-0.0019114054050902469,-0.0019114054050902469,0.0023122726457971204,-0.0019114054050902469,0.0,0.0,0.0,2.7755575615628914e-17,0.00831954269948021
10.0,0.0020927676955136143,12.668995096812637,115.9702356337553,59.62221863851538,7.01478976423851,6.108700579103914,6.930028773482343,1.4602771970488304,301.65463760226595,-0.0270013203621659,-0.0800612331028258,-0.053059912740659895,1.0,0.09178337749665093,8.8557496608597e-12,2.3,0.01567516855057221,0.38568976660637294,0.0016065765258946624,-0.0014783246964543994,0.45305760309730736,0.1481114288943975,0.19284488330318647,1.75,5222818.97444434,0.18356675499330186,0.049523954309695604,-0.0008032882629473312,-0.0008032882629473312,0.0016065765258946624,-0.003213153051789325,-0.003213153051789325,0.0026060192054284215,-0.003213153051789325,0.0,0.0,0.0,2.7755575615628914e-17,0.018734828238042484
15.0,0.0019908229827995034,13.112218544426291,115.60703029091763,59.23899879137089,7.607996028281237,6.642413197025354,6.938838951704719,1.4643361833987705,301.6174689976616,-0.027060500896539025,-0.0799513432862017,-0.05289084238966267,1.0,0.08719520661187462,8.413058469218743e-12,2.3,0.014679304608518717,0.365492788557898,0.0022012952909467075,-0.0012698773175087402,0.42826833711713586,0.14778651961003952,0.182746394278949,1.75,5319561.619678558,0.17439041322374924,0.0511781826705746,-0.0011006476454733538,-0.0011006476454733538,0.0022012952909467075,-0.004402590581893415,-0.004402590581893415,0.00289177726812006,-0.004402590581893415,0.0,0.0,0.0,1.3877787807814457e-17,0.02896333928689843
20.0,0.0018836312669740036,13.491428319473709,115.30360136543612,58.87806657261081,8.159845815869595,7.141348608445153,6.947173881646034,1.4680840788175287,301.59605137385074,-0.02716282477449541,-0.07985352231715193,-0.05269069754265651,1.0,0.08267430815363053,7.976858079994267e-12,2.3,0.013800773858416453,0.35064232792375866,0.002741732199624206,-0.001084443741451737,0.41407113504469684,0.14734256901416135,0.17532116396187933,1.75,5392720.142769638,0.16534861630726105,0.05250084533116857,-0.001370866099812103,-0.001370866099812103,0.002741732199624206,-0.005483464399248412,-0.005483464399248412,0.003169232606800891,-0.005483464399248412,0.0,0.0,0.0,2.7755575615628914e-17,0.038640258929623104
25.0,0.00180471061065349,13.819821704486857,115.04529285132531,58.53179259759996,8.673353516628532,7.607742456490323,6.955060553794304,1.4714326316330049,301.5829390291946,-0.027284364246369708,-0.07976373138995656,-0.05247936714358685,1.0,0.07828210862467169,7.553075249705366e-12,2.3,0.013020091340899563,0.33985686486530614,0.003230973988830409,-0.000918490416458408,0.4054369696880795,0.14684297348110806,0.16992843243265307,1.75,5446969.5076306565,0.15656421724934338,0.053580170230992,-0.0016154869944152044,-0.0016154869944152044,0.003230973988830409,-0.006461947977660818,-0.006461947977660818,0.0034380829916401197,-0.006461947977660818,0.0,0.0,0.0,4.163336342344337e-17,0.04784919624726261
30.0,0.001752208718498749,14.107139777927303,114.82223989291182,58.197624413866016,9.151160296985896,8.043592127876137,6.96253209425382,1.4743771427088603,301.5744468015194,-0.02741355124421352,-0.07968014614438583,-0.05226659490017231,1.0,0.07406081998223732,7.145782813065701e-12,2.3,0.012321724305757486,0.3321648743687463,0.003672832317226675,-0.0007692911768543544,0.39987773922035197,0.1463210332369929,0.16608243718437316,1.75,5486248.800854338,0.14812163996447464,0.05447624756142089,-0.0018364161586133375,-0.0018364161586133375,0.003672832317226675,-0.00734566463445335,-0.00734566463445335,0.0036981296666806843,-0.00734566463445335,0.0,0.0,0.0,2.7755575615628914e-17,0.0567324863708846
35.0,0.001718198796415338,14.36075947810158,114.62747933142671,57.87508534459662,9.595686407393982,8.450768727738872,6.969622603288657,1.4769470140306467,301.56861227736823,-0.027544333168990652,-0.07960195045628089,-0.05205761728729024,1.0,0.07003711803280248,6.757554594122588e-12,2.3,0.011693187726378326,0.3268310370103849,0.004071405789194833,-0.0006346593914404736,0.39606895521052543,0.14579599602238447,0.16341551850519245,1.75,5513780.075549221,0.14007423606560496,0.05523126599904571,-0.0020357028945974165,-0.0020357028945974165,0.004071405789194833,-0.008142811578389666,-0.008142811578389666,0.003949288129131824,-0.008142811578389666,0.0,0.0,0.0,5.551115123125783e-17,0.0654026298241628
