ae4_expression,ae4_parameters_sha256,both_warm_starts_accepted,boundary_hits,bulk_charge_gate_pass,calcium_uM,conservation_ae4_charge_fmol_s,conservation_apical_current_A,conservation_basolateral_current_A,conservation_buffer_site_accounting_fmol_s,conservation_carbon_accounting_fmol_s,conservation_cell_bulk_charge_rate_fmol_s,conservation_cell_speciation_alkalinity_mM,conservation_gate_pass,conservation_homeostasis_charge_fmol_s,conservation_lumen_bulk_charge_rate_minus_outflow_fmol_s,conservation_lumen_speciation_alkalinity_mM,conservation_water_volume_accounting_pL_s,core_state_sha256,current_gate_pass,finite_observables_gate_pass,full_rhs_gate_pass,independent_jacobian_nullity,independent_jacobian_rank,max_abs_amount_rhs_fmol_s,max_abs_bulk_charge_fmol,max_abs_current_residual_A,max_abs_omitted_rhs_fmol_s,max_abs_regulatory_rhs_s_inv,max_abs_scaled_independent_rhs,max_abs_volume_rhs_pL_s,max_dimensionless_conservation_ratio,positivity_gate_pass,rest_ae4_charge_residual_fmol_s,rest_ae4_cl_source_fmol_s,rest_ae4_hco3_source_fmol_s,rest_ae4_k_source_fmol_s,rest_ae4_na_source_fmol_s,rest_beta_input,rest_cell_cl_mM,rest_cell_k_mM,rest_cell_na_mM,rest_cell_ph,rest_cell_volume_pL,rest_gate_pass,rest_integration_used,rest_lumen_cl_mM,rest_lumen_k_mM,rest_lumen_na_mM,rest_lumen_ph,rest_lumen_volume_pL,rest_method,rest_outflow_pL_s,rest_protocol,rest_protocol_time_invariant_rhs,resting_calcium_uM,root_alias,root_cluster_relative_tolerance,root_id,root_internal_gate_pass,routing_family,routing_gate_pass,selected_seed_id,wall_seconds,warm_start_count,warm_start_root_distance_normalized,warm_starts_same_root,whole_cell_parameters_sha256
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.1,0.0,3.2311742677852644e-27,0.0,0.0,1.0842021724855044e-19,6.938893903907228e-17,0.0,True,4.163336342344337e-17,4.163336342344337e-17,8.881784197001252e-16,0.0,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,True,True,True,0,10,2.7325364193586665e-14,1.4210854715202004e-14,3.2311742677852644e-27,2.7325364193586665e-14,0.0,2.5478751053409354e-12,2.5478751053409354e-16,8.881784197001251e-07,True,0.0,0.004531169509135222,-0.009062339018270443,-0.0041158803782675325,-0.0004152891308676891,0.0,59.863375705793636,116.04198951968796,11.708546542373853,6.886038628238424,1.4460439850698736,True,False,146.03039253342786,22.414727794420795,127.93351701993626,6.876965146207321,0.1054005017531691,direct_charge_manifold_least_squares,0.0010801003506338198,REST,True,0.058,R03,2e-05,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,AE4NA05,True,previous_routed_endpoint,0.856452181998975,2,4.781360492719008e-13,True,4d7828906e45b6a54c7e238178f29b85e2cfd9632e58f19e7f678399b735cc1d
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,True,[],True,0.5,0.0,9.693522803355793e-27,6.462348535570529e-27,0.0,1.0842021724855044e-19,1.48318857196017e-16,1.3500311979441904e-13,True,5.117434254131581e-17,1.1015494072452725e-16,8.881784197001252e-16,0.0,502ac3834ee7d41431d453678dd43cdf8edc52acab7e7de6bcec1fdb04fa719d,True,True,True,0,10,2.498001805406602e-16,1.4210854715202004e-14,9.693522803355793e-27,1.0842021724855044e-16,0.0,8.116337463226486e-12,8.116337463226486e-16,0.00013500311979441904,True,0.0,0.0032021005965370665,-0.006404201193074133,-0.0030188980531582303,-0.0001832025433788363,0.0,66.55841659998501,129.89634720086622,7.882790595702099,7.350372538853184,1.7406182989775274,True,False,146.18716874120105,30.52445718053359,119.83803943082046,6.86118154903619,0.106051109533189,direct_charge_manifold_least_squares,0.0012102219066377985,REST,True,0.058,R02,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,True,AE4NA20,True,inherited_saved_rest,1.5786313040007371,2,1.4107233899570324e-12,True,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,True,[],True,0.5,0.0,1.2924697071141057e-26,6.462348535570529e-27,0.0,4.336808689942018e-19,1.0755285551056204e-16,0.0,True,2.42861286636753e-17,1.48318857196017e-16,1.7763568394002505e-15,0.0,70c23ac407d2b9bf34c65145786e6d53560b24ec9a1b53686facea6f843323cf,True,True,True,0,10,3.021888295151598e-15,1.4210854715202004e-14,1.2924697071141057e-26,3.021888295151598e-15,0.0,5.650861722994449e-12,5.650861722994449e-16,1.7763568394002503e-06,True,0.0,0.003930022998731214,-0.007860045997462428,-0.003701776390668166,-0.00022824660806304784,0.0,67.14772287917664,127.84110149585128,7.882512261148507,7.1490213568585,1.6036487443659457,True,False,146.17698924840263,30.398947036296903,119.96808208022442,6.8687991169401945,0.10602882133433343,direct_charge_manifold_least_squares,0.0012057642668666852,REST,True,0.058,R02,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,True,AE4NA20,True,inherited_saved_rest,1.71012545800113,2,3.906998181769774e-12,True,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.1,0.0,4.52364397489937e-26,3.2311742677852644e-27,0.0,0.0,4.527628272299467e-16,0.0,True,3.209238430557093e-17,4.796510411075872e-16,1.7763568394002505e-15,0.0,b5f6976a19bcbc9779ab0c2f031d8aaf5720a573500f730f91637b542fbbbe87,True,True,True,0,10,7.216449660063518e-16,1.4210854715202004e-14,4.52364397489937e-26,1.0234868508263162e-16,0.0,1.1926223897340549e-11,1.1926223897340549e-15,4.796510411075872e-06,True,0.0,0.003681511238672735,-0.00736302247734547,-0.0033507386138246715,-0.00033077262484806344,0.0,59.10351725699076,118.69195585531045,11.716834498707277,7.140557151067101,1.5303970838029497,True,False,146.04832026470203,22.530629726311897,127.81256337285646,6.867900326116261,0.10542694376711681,direct_charge_manifold_least_squares,0.0010853887534233609,REST,True,0.058,R03,2e-05,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,AE4NA05,True,inherited_saved_rest,0.8849618590011232,2,5.921189464667502e-14,True,4d7828906e45b6a54c7e238178f29b85e2cfd9632e58f19e7f678399b735cc1d
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.25,0.0,9.693522803355793e-27,1.6155871338926322e-26,0.0,1.0842021724855044e-19,1.0234868508263162e-16,0.0,True,1.9081958235744878e-17,1.1535911115245767e-16,0.0,0.0,e3cd5dd78410e9615afa1e1c93c22a33131d4dc2e6b3525c787e4ddc8c5e067e,True,True,True,0,10,4.631711680858075e-16,1.4210854715202004e-14,1.6155871338926322e-26,4.631711680858075e-16,0.0,2.738694687698384e-12,2.738694687698384e-16,1.6155871338926322e-06,True,0.0,0.00453116950914817,-0.00906233901829634,-0.004115880378279298,-0.00041528913086887097,0.0,59.86337570579117,116.0419895196939,11.708546542374302,6.886038628239285,1.4460439850699112,True,False,146.03039253342794,22.414727794421026,127.93351701993693,6.876965146208479,0.10540050175316915,direct_charge_manifold_least_squares,0.001080100350633828,REST,True,0.058,R03,2e-05,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,AE4NA05,True,inherited_saved_rest,0.9086895820000791,2,1.021405182655144e-14,True,4d7828906e45b6a54c7e238178f29b85e2cfd9632e58f19e7f678399b735cc1d
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.5,0.0,6.462348535570529e-27,6.462348535570529e-27,0.0,0.0,5.551115123125783e-17,0.0,True,0.0,9.194034422677078e-17,8.881784197001252e-16,0.0,9b895adbbf9f63a258d2c780c7de947aa716f0133bba779a33a6417829fa09f6,True,True,True,0,10,1.8388068845354155e-16,1.4210854715202004e-14,6.462348535570529e-27,1.1102230246251565e-16,0.0,2.5478751053409354e-12,2.5478751053409354e-16,9.194034422677078e-07,True,0.0,0.004531169509148336,-0.009062339018296672,-0.00411588037827945,-0.000415289130868886,0.0,59.863375705791114,116.04198951969404,11.708546542374307,6.886038628239303,1.4460439850699116,True,False,146.03039253342794,22.414727794421033,127.93351701993696,6.8769651462085175,0.10540050175316915,direct_charge_manifold_least_squares,0.001080100350633828,REST,True,0.058,R03,2e-05,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,AE4NA05,True,previous_routed_endpoint,0.9741101509989676,2,1.0362081563168129e-14,True,4d7828906e45b6a54c7e238178f29b85e2cfd9632e58f19e7f678399b735cc1d
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.25,0.0,2.261821987449685e-26,1.6155871338926322e-26,0.0,2.168404344971009e-19,4.163336342344337e-17,0.0,True,1.734723475976807e-17,2.498001805406602e-16,1.7763568394002505e-15,0.0,0586fb07f79b75d53b55f129f0c88ff616a397f1451a0ba02a342dc74b422cce,True,True,True,0,10,3.0531133177191805e-16,1.4210854715202004e-14,2.261821987449685e-26,1.5265566588595902e-16,0.0,1.1926223897340549e-11,1.1926223897340549e-15,2.4980018054066022e-06,True,0.0,0.0036815112386728317,-0.007363022477345663,-0.0033507386138247604,-0.0003307726248480717,0.0,59.10351725699072,118.6919558553106,11.716834498707273,7.1405571510671155,1.530397083802953,True,False,146.04832026470203,22.530629726311908,127.81256337285646,6.867900326116271,0.10542694376711681,direct_charge_manifold_least_squares,0.0010853887534233609,REST,True,0.058,R03,2e-05,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,AE4NA05,True,previous_routed_endpoint,1.2863087050009199,2,7.894919286223336e-15,True,4d7828906e45b6a54c7e238178f29b85e2cfd9632e58f19e7f678399b735cc1d
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,True,[],True,0.1,0.0,3.2311742677852644e-27,3.2311742677852644e-27,0.0,2.168404344971009e-19,7.806255641895632e-18,2.2026824808563106e-13,True,2.688821387764051e-17,8.673617379884035e-18,1.7763568394002505e-15,0.0,bd56298423688ebaa13d8b8f8a5a867a087942df15fc8011679d44461bc3e567,True,True,True,0,10,2.7755575615628914e-16,4.263256414560601e-14,3.2311742677852644e-27,2.2985086056692694e-16,0.0,6.331740687315346e-12,6.331740687315346e-16,0.00022026824808563103,True,0.0,0.0031953808514233644,-0.006390761702846729,-0.0030100567614142633,-0.00018532409000910098,0.0,65.55098118451312,129.385394758478,7.966039329044798,7.345863258870751,1.7175921969720098,True,False,146.5016915430095,24.601716695965646,125.75845443250836,6.826206444207917,0.10598323381524227,direct_charge_manifold_least_squares,0.0011966467630484534,REST,True,0.058,R04,2e-05,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,True,AE4NA20,True,previous_routed_endpoint,0.7120649429998593,2,1.6776703483224588e-14,True,adc7691008282d06d56b61ef842ca21e6814da1f4208991948013f9c0b3985b3
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.5,0.0,2.261821987449685e-26,2.5849394142282115e-26,0.0,3.2526065174565133e-19,1.9949319973733282e-17,0.0,True,3.729655473350135e-17,2.8622937353617317e-16,8.881784197001252e-16,0.0,3fbf54b16784bf5e5891b951f51fa2143ef42e6dfbd5005dbd75de6fb4bbce3b,True,True,True,0,10,3.3306690738754696e-16,2.842170943040401e-14,2.5849394142282115e-26,9.107298248878237e-17,0.0,1.1926223897340549e-11,1.1926223897340549e-15,2.8622937353617317e-06,True,0.0,0.003681511238672738,-0.007363022477345476,-0.003350738613824674,-0.0003307726248480635,0.0,59.10351725699075,118.69195585531047,11.716834498707271,7.140557151067103,1.53039708380295,True,False,146.04832026470203,22.530629726311894,127.81256337285646,6.867900326116261,0.10542694376711681,direct_charge_manifold_least_squares,0.0010853887534233609,REST,True,0.058,R03,2e-05,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,AE4NA05,True,previous_routed_endpoint,1.4528265809985896,2,9.86864910777917e-16,True,4d7828906e45b6a54c7e238178f29b85e2cfd9632e58f19e7f678399b735cc1d
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,True,[],True,0.1,0.0,1.6155871338926322e-26,3.2311742677852644e-27,0.0,1.0842021724855044e-19,1.1796119636642288e-16,0.0,True,6.245004513516506e-17,1.3704315460216776e-16,1.7763568394002505e-15,0.0,e2e87dd6e18af7dded891cddb7802f1de9641f7474effd551fe84a4d17e4e60d,True,True,True,0,10,3.0531133177191805e-16,1.6653345369377348e-16,1.6155871338926322e-26,2.1510571102112408e-16,0.0,1.599415044850616e-11,1.5994150448506161e-15,1.7763568394002503e-06,True,0.0,0.0039217710987091425,-0.007843542197418285,-0.0036908284138881344,-0.00023094268482100826,0.0,66.13605924355087,127.30912255382938,7.965992256414674,7.145050181793937,1.5855055733659442,True,False,146.49134806176113,24.51249514588446,125.85227269509755,6.833985077564352,0.10596304011792307,direct_charge_manifold_least_squares,0.0011926080235846127,REST,True,0.058,R04,2e-05,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,True,AE4NA20,True,previous_routed_endpoint,1.4176608260004286,2,1.973729821555834e-15,True,adc7691008282d06d56b61ef842ca21e6814da1f4208991948013f9c0b3985b3
