D_AE2,R_AE2,ae2_expression_for_loss,ae2_reuse_scope,ae2_source_path,ae2_source_sha256,calcium_uM,candidate_id,condition,exclusion_reason,fixed_wt_feasible,genotype_numerical_status,new_genotype_simulation,paired_numerical_gate_pass,root_id,routing_family,status,target_share,wt_source_path,wt_source_sha256,wt_status,wt_total_0_600_pL
-0.00148881518450672,1.0014888151845067,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.50_WT_production_radau.json,e6ebb85c96b47551ceedd7210dfeee76db4ecc4b800eab8afec5aed7c6ebf2fd,FIXED_WT_FEASIBLE,0.8677959612678899
,,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NATIVE_K_SOURCE_BOUND,
,,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NATIVE_K_SOURCE_BOUND,
,,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NATIVE_K_SOURCE_BOUND,
,,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,share_0.30,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.3,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
,,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,share_0.30,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.3,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
,,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,share_0.30,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.3,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
-0.0003179501472343471,1.0003179501472343,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.10_WT_production_radau.json,b512d6165c01fe00c4a4cb2c7c24f32f8ada9019a35c071157b9fad1059141a6,FIXED_WT_FEASIBLE,0.8878884180219158
-0.000392643527121983,1.000392643527122,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.25_WT_production_radau.json,2153a81fec3b635587cff81ba0e91b79ec5995df2689eb3dce1b1cf0673f563f,FIXED_WT_FEASIBLE,1.0228347840731686
-0.00041646420393726125,1.0004164642039373,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.50_WT_production_radau.json,a36ec3c2470adf2f917e7f46c5443be6da99d8508fca76f2222bee8893655e49,FIXED_WT_FEASIBLE,1.0644291289302974
,,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
