alk_i_fmol,alk_l_fmol,apical_current_fmol_charge_s,basolateral_current_fmol_charge_s,cl_i_fmol,cl_l_fmol,include_in_rhs_sum,k_i_fmol,k_l_fmol,na_i_fmol,na_l_fmol,pathway,root_id,tic_i_fmol,tic_l_fmol,volume_i_pL,volume_l_pL
0.1347863284110136,0.0,0.0,0.0,-0.0673931642055068,0.0,True,0.0,0.0,0.0673931642055068,0.0,AE4_Na_branch,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.1347863284110136,0.0,0.0,0.0
-0.14358414955440466,0.0,0.0,0.0,0.07179207477720233,0.0,True,-0.07179207477720233,0.0,0.0,0.0,AE4_K_branch,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,-0.14358414955440466,0.0,0.0,0.0
-0.00879782114339106,0.0,0.0,0.0,0.00439891057169553,0.0,False,-0.07179207477720233,0.0,0.0673931642055068,0.0,AE4_total,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,-0.00879782114339106,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.23558507440368204,0.0,True,0.11779253720184102,0.0,0.11779253720184102,0.0,NKCC1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0018657386613867392,0.0,0.0,0.0,-0.0018657386613867392,0.0,True,0.0,0.0,0.0,0.0,AE2,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0018657386613867392,0.0,0.0,0.0
0.006932082482004249,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.006932082482004249,0.0,NHE1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.006520552822156908,0.0,0.0,0.0,True,0.013041105644313817,-0.013041105644313817,-0.019561658466470726,0.019561658466470726,pump_apical,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.05751870847429381,0.0,0.0,True,0.11503741694858761,0.0,-0.17255612542288143,0.0,pump_basolateral,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.040025118215748834,0.0,0.0,0.0,True,-0.040025118215748834,0.040025118215748834,0.0,0.0,K_apical,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.13405386680179152,0.0,0.0,True,-0.13405386680179152,0.0,0.0,0.0,K_basolateral,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,-0.2381182463139908,0.0,-0.2381182463139908,0.2381182463139908,True,0.0,0.0,0.0,0.0,CaCC,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.10906453221538237,-0.10906453221538237,0.0,0.0,True,0.0,0.0,0.0,0.10906453221538237,paracellular_Na,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,-0.004378553938671731,0.004378553938671731,0.0,0.0,True,0.0,-0.004378553938671731,0.0,0.0,paracellular_K,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.0,0.09195486956818526,-0.09195486956818526,0.0,-0.09195486956818526,True,0.0,0.0,0.0,0.0,paracellular_Cl,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.0,0.0,0.0
0.0,0.005068272568810469,-0.005068272568810469,0.005068272568810469,0.0,0.0,True,0.0,0.0,0.0,0.0,paracellular_HCO3,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,0.0,0.005068272568810469,0.0,0.0
