cohort,coordinate,residual,required_source,working_SE,unknown_correlation_SE_upper_bound
AE4_WT,Na_i,0.10056431349686085,-0.10056431349686085,0.03362451753454808,0.047476504416270326
AE4_WT,K_i,0.12998912366168877,-0.12998912366168877,0.03736080029736273,0.05184323885661091
AE4_WT,Cl_i,0.27035742533771234,-0.27035742533771234,0.06393185150608706,0.08362061654688946
AE4_WT,TIC_i,-0.03980398817912799,0.03980398817912799,0.06790207917040972,0.07074276019441994
AE4_WT,TA_i,-0.03980398817916242,0.03980398817916242,0.06790207916963305,0.07074276019363758
AE4_WT,V_i,3.765325724824908e-15,-3.765325724824908e-15,2.379769558497058e-12,2.379769558497058e-12
AE4_WT,Na_l,-0.006264018026657603,0.006264018026657603,0.0013578968395592753,0.0016425497008573653
AE4_WT,K_l,-0.015684637337966417,0.015684637337966417,0.003400073144752993,0.00411282283293516
AE4_WT,Cl_l,-0.022992658369159286,0.022992658369159286,0.004984286124288776,0.006029130817347683
AE4_WT,TIC_l,0.0014480485955182566,-0.0014480485955182566,0.000981352538058833,0.0011762102632582785
AE4_WT,TA_l,0.0010440030045351179,-0.0010440030045351179,0.00022631613992476902,0.0002737582834721076
AE4_WT,V_l,-1.9826978600590017e-13,1.9826978600590017e-13,1.8409752888803865e-13,1.8409752888803865e-13
AE4_WT,charge_i,-3.0531133177191805e-16,3.0531133177191805e-16,7.530318520513607e-13,7.684824998577255e-13
AE4_WT,charge_l,1.48318857196017e-16,-1.48318857196017e-16,5.87973544113028e-14,8.304988641238964e-14
AE4_WT,current_a_minus_para,1.6744380709425412e-16,-1.6744380709425412e-16,5.0233142128276236e-14,5.0233142128276236e-14
AE4_WT,current_b_plus_para,1.6744380709425412e-16,-1.6744380709425412e-16,5.860533248298894e-13,5.860533248298894e-13
AE4_KO,Na_i,0.4584142997742249,-0.4584142997742249,0.05425779293812096,0.0566845819552686
AE4_KO,K_i,0.5452352257089532,-0.5452352257089532,0.06272529037095796,0.06472137591850835
AE4_KO,Cl_i,0.994254687125413,-0.994254687125413,0.11705031216912958,0.1203906969770685
AE4_KO,TIC_i,0.009394838357764992,-0.009394838357764992,0.0011282669494127949,0.0012309418875103282
AE4_KO,TA_i,0.009394838357764957,-0.009394838357764957,0.0011282669494110682,0.0012309418875085935
AE4_KO,V_i,3.220622553368191e-15,-3.220622553368191e-15,0.0,0.0
AE4_KO,Na_l,-0.021040477497628718,0.021040477497628718,0.0018882554214079644,0.0019897805061536156
AE4_KO,K_l,-0.05268379777499012,0.05268379777499012,0.004728051765085459,0.00498226306006877
AE4_KO,Cl_l,-0.07723102152222341,0.07723102152222341,0.006931016423293749,0.007303673650080333
AE4_KO,TIC_l,0.0008588039710981507,-0.0008588039710981507,0.00042823560292042166,0.0006051687303014822
AE4_KO,TA_l,0.0035067462496046944,-0.0035067462496046944,0.00031470923690419465,0.0003316300843634462
AE4_KO,V_l,-2.2898349882893854e-16,2.2898349882893854e-16,0.0,0.0
