ae2_reduction_percent,ae2_to_wt_total_ratio,ae4_5pct_endpoint_cell_volume_pL,ae4_5pct_endpoint_cl_mM,ae4_5pct_endpoint_k_mM,ae4_5pct_endpoint_lumen_volume_pL,ae4_5pct_endpoint_na_mM,ae4_5pct_endpoint_ph,ae4_5pct_mean_0_600_pL_s,ae4_5pct_reduction_fraction,ae4_5pct_reduction_percent,ae4_5pct_rest_cell_volume_pL,ae4_5pct_rest_cl_mM,ae4_5pct_rest_k_mM,ae4_5pct_rest_lumen_volume_pL,ae4_5pct_rest_na_mM,ae4_5pct_rest_ph,ae4_5pct_to_wt_total_ratio,ae4_5pct_total_0_600_pL,ae4_expression,ae4_minus_ae2_reduction_percentage_points,ae4_to_ae2_effect_magnitude_ratio,all_flow_nonnegative,calcium_uM,complete_matching_time_grid,max_abs_cell_charge_fmol,max_abs_lumen_charge_fmol,max_abs_residual__ae4_charge_fmol_s,max_abs_residual__apical_current_A,max_abs_residual__basolateral_current_A,max_abs_residual__buffer_site_accounting_fmol_s,max_abs_residual__carbon_accounting_fmol_s,max_abs_residual__cell_bulk_charge_rate_fmol_s,max_abs_residual__cell_speciation_alkalinity_mM,max_abs_residual__homeostasis_charge_fmol_s,max_abs_residual__lumen_bulk_charge_rate_minus_outflow_fmol_s,max_abs_residual__lumen_speciation_alkalinity_mM,max_abs_residual__water_volume_accounting_pL_s,max_dimensionless_conservation_ratio,message,numerical_gate_pass,positive_core,root_id,routing_family,solver_label,solver_success,status,time_sample_count,trajectory_path,wt_total_0_600_pL
-0.13209015690949233,1.001320901569095,1.5324763346256223,60.302223869471774,115.90657472672721,0.1070947098615614,15.119327196798652,7.130797546882384,0.0014284003368828812,-0.1509540065104833,-15.09540065104833,1.529423191934363,59.646508645460585,119.28007775814548,0.10543429797971461,11.75757047393432,7.141960983204682,1.1509540065104833,0.8570402021297288,0.05,-14.963310494138838,114.28104110279497,True,0.1,True,3.836930773104541e-13,3.4638958368304884e-14,1.734723475976807e-18,8.401053096241687e-26,6.139231108792002e-26,0.0,8.673617379884035e-19,1.0868042576994696e-15,1.0658141036401503e-14,6.591949208711867e-17,8.161873954470877e-16,4.440892098500626e-15,2.168404344971009e-19,1.0868042576994696e-05,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.7446346224799579
-0.034163904532369394,1.0003416390453237,1.7595716503283942,68.3132372980634,128.26244965498668,0.10828285276319752,9.591950595342986,7.333214340902685,0.0016496061850331993,-0.09207377516382143,-9.207377516382142,1.7084505563219299,65.50814090378012,129.32854370966916,0.10604478672019406,8.185516160959963,7.343280413500073,1.0920737751638214,0.9897637110199196,0.05,-9.173213611849771,269.50600765373275,True,0.1,True,1.8474111129762605e-13,2.5646151868841116e-14,2.6020852139652106e-18,9.370405376577267e-26,5.816113682013476e-26,0.0,8.673617379884035e-19,9.54097911787244e-16,3.055333763768431e-13,6.765421556309548e-17,9.983333604246525e-16,7.993605777301127e-15,2.168404344971009e-19,0.0003055333763768431,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.9063157943440641
-0.1254612282601819,1.0012546122826018,1.5343715997256513,59.89640860751422,115.04680193496239,0.10698268051665823,15.341768034279172,7.125564955098447,0.0014029472406363271,-0.14052129973248229,-14.052129973248228,1.5197835873965793,58.60573463585122,118.25516590242381,0.10541132032567631,11.997560488438557,7.137383878142642,1.1405212997324823,0.8417683443817963,0.05,-13.926668744988046,112.0037653712976,True,0.1,True,2.4158453015843406e-13,1.226796442210798e-14,1.734723475976807e-18,6.139231108792002e-26,5.492996255234949e-26,0.0,8.673617379884035e-19,6.904199434387692e-16,1.0658141036401503e-14,6.505213034913027e-17,6.062858548538941e-16,7.105427357601002e-15,2.168404344971009e-19,1.0658141036401503e-05,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.7380557860508516
-0.03179501472343471,1.0003179501472343,1.7570089908600088,68.19595118337563,127.95902437939694,0.10805249250054552,9.616335399466255,7.3273776163183495,0.0016015833644817295,-0.08228691712173974,-8.228691712173974,1.6879431288883548,64.55772624520677,128.8291140437813,0.10597761985373692,8.265984548495894,7.33900604857434,1.0822869171217397,0.9609500186890377,0.05,-8.19689669745054,258.8044630188193,True,0.1,True,2.4158453015843406e-13,1.3600232051658168e-14,2.6020852139652106e-18,5.816113682013476e-26,6.462348535570529e-26,0.0,8.673617379884035e-19,7.095019016745141e-16,4.050093593832571e-13,6.418476861114186e-17,6.401129626354418e-16,1.2434497875801753e-14,2.168404344971009e-19,0.0004050093593832571,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.8878884180219158
-0.13919277856357937,1.0013919277856358,1.5328753510949493,60.719997449095146,116.51588542590805,0.1069230891702643,14.948420074779227,7.131802059471214,0.0013945967980207965,-0.16317970175312402,-16.317970175312404,1.5292074320498106,60.02915505230174,119.78588394653484,0.10530866040917113,11.683710203193241,7.143002941126565,1.163179701753124,0.8367580788124779,0.05,-16.178777396748824,117.23287905959009,True,0.1,True,1.7053025658242404e-13,3.036459972349803e-14,1.734723475976807e-18,9.370405376577267e-26,6.139231108792002e-26,0.0,8.673617379884035e-19,8.005748841632965e-16,1.0658141036401503e-14,6.678685382510707e-17,9.168013570537425e-16,5.329070518200751e-15,2.168404344971009e-19,1.0658141036401503e-05,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.7193712867851209
-0.038676150747285476,1.0003867615074729,1.7565643229482795,68.72203935723833,128.87031173221862,0.10806975870166097,9.535508852692905,7.33400363650665,0.0016069399133362436,-0.12493288728498264,-12.493288728498264,1.7049374613814168,65.90140767738043,129.92350628627014,0.1059032671982871,8.155022626082074,7.344189929050091,1.1249328872849826,0.9641639480017462,0.05,-12.454612577750979,323.02306426849157,True,0.1,True,2.7000623958883807e-13,2.4702462297909733e-14,2.6020852139652106e-18,8.724170523020214e-26,6.785465962349055e-26,0.0,8.673617379884035e-19,8.873110579621368e-16,3.055333763768431e-13,6.505213034913027e-17,8.517492267046123e-16,9.325873406851315e-15,2.168404344971009e-19,0.0003055333763768431,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.8570857505364154
-0.13223665626935777,1.0013223665626936,1.5348145459586255,60.27481948525989,115.59628230582001,0.1068235592975289,15.184593620472327,7.1264312290092455,0.0013714980143384172,-0.15185457049164808,-15.185457049164807,1.5195131192952662,58.94594606993674,118.70891227454244,0.10529459478097673,11.931004521852689,7.138298747142688,1.151854570491648,0.8228988086030503,0.05,-15.053220392895449,114.83545846949566,True,0.1,True,1.9895196601282805e-13,1.3988810110276972e-14,1.734723475976807e-18,6.462348535570529e-26,6.462348535570529e-26,0.0,8.673617379884035e-19,8.283304597789254e-16,1.4210854715202004e-14,6.678685382510707e-17,6.184289191857317e-16,7.105427357601002e-15,2.168404344971009e-19,1.4210854715202002e-05,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.7144120704854355
-0.036090122216436704,1.0003609012221644,1.754123521757833,68.55908144197782,128.50305937820858,0.10785898260514432,9.567050394107696,7.3280280664992805,0.0015625601424911918,-0.11294850875019802,-11.294850875019801,1.6845141025778756,64.90437498519839,129.36621068051718,0.10584729938117085,8.239756308527165,7.339780880620649,1.112948508750198,0.937536085494715,0.05,-11.258760752803365,312.96238919012944,True,0.1,True,2.8421709430404007e-13,1.5265566588595902e-14,2.6020852139652106e-18,7.108583389127582e-26,5.169878828456423e-26,0.0,8.673617379884035e-19,7.129713486264677e-16,4.085620730620576e-13,6.505213034913027e-17,7.337880303381894e-16,1.4210854715202004e-14,2.168404344971009e-19,0.0004085620730620576,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.8423894529923357
-0.13307213047200062,1.00133072130472,1.5322195336257851,60.14964677590266,115.5861655840201,0.1069860038523645,15.214916329539024,7.1279586447042265,0.0014055859193360296,-0.15307414226316074,-15.307414226316073,1.522681542105224,59.137554398696125,118.85247887852175,0.10538879377611349,11.879673351596214,7.139510123453439,1.1530741422631607,0.8433515516016178,0.05,-15.174342095844072,115.03095480640005,True,0.1,True,1.8474111129762605e-13,1.6431300764452317e-14,1.734723475976807e-18,6.462348535570529e-26,5.816113682013476e-26,0.0,8.673617379884035e-19,9.17668718791731e-16,1.4210854715202004e-14,6.505213034913027e-17,6.852157730108388e-16,6.217248937900877e-15,2.168404344971009e-19,1.4210854715202002e-05,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.7313940367671029
-0.03547521787987673,1.0003547521787988,1.7535224935480274,68.28328230177654,128.2811764232887,0.10811415199950736,9.60117694613263,7.3298952408507905,0.0016145918576126305,-0.10489849913433336,-10.489849913433336,1.6927027177455043,65.02379248246933,129.2448594606509,0.10597678188954766,8.228219194391365,7.340847619465612,1.1048984991343334,0.9687551145675783,0.05,-10.454374695553458,295.69515116026076,True,0.1,True,4.405364961712621e-13,1.454392162258955e-14,2.6020852139652106e-18,6.785465962349055e-26,6.785465962349055e-26,0.0,8.673617379884035e-19,8.326672684688674e-16,3.730349362740526e-13,6.765421556309548e-17,6.600622826091751e-16,1.1102230246251565e-14,2.168404344971009e-19,0.0003730349362740526,The solver successfully reached the end of the integration interval.,True,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,production_radau,True,COMPLETE,602,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1_B00_ca0.10_AE4_5pct_production_radau.json,0.8767819988230405
