time_s,na_i_fmol,k_i_fmol,cl_i_fmol,tic_i_fmol,alk_i_fmol,volume_i_pL,na_l_fmol,k_l_fmol,cl_l_fmol,tic_l_fmol,alk_l_fmol,volume_l_pL,ae4_effective_activation_fraction
0.0,16.720358732745492,170.0020085218768,88.0318019635695,8.263511808402752,20.628803085107954,1.4533343925874602,13.127768668225414,2.7189726089909274,15.378687854537976,0.5402623164056106,0.4680534226783657,0.10538840735368742,0.0
1e-06,16.720358732745492,170.0020085218768,88.0318019635695,8.263511808402752,20.628803085107954,1.4533343925874602,13.127768668225414,2.7189726089909274,15.378687854537976,0.5402623164056106,0.4680534226783657,0.10538840735368742,0.0
1.0,16.92633353551702,169.86519379377867,87.8802823038114,8.473794628057426,20.849482819539404,1.4535567472650526,13.164387370627638,2.940010866273061,15.645694791632991,0.5309443622258472,0.4587034452677067,0.10694694215074663,0.032783867281320475
2.0,17.125417638505734,169.75443588877627,87.75002684475862,8.681691133694658,21.068064476578535,1.454112753915828,13.16855151194676,3.1208722966459876,15.84066882268743,0.5210887806026011,0.44875498590531604,0.10818688700744943,0.06449298375591048
3.0,17.317954261539555,169.66397108184898,87.6356215195056,8.887233071491277,21.284541617938107,1.4547591356047613,13.150300437452193,3.269709837569478,15.98143365258106,0.511079558849949,0.4385766224406113,0.10906401189337739,0.09516255183028963
4.0,17.504223840086368,169.58972037781953,87.53327560421224,9.090444017816504,21.498906407748887,1.4554706991190904,13.117145056514913,3.3926844329386903,16.08140191958164,0.5011833699246321,0.4284275698719627,0.10966945421493934,0.12482665184274001
5.0,17.684498706374303,169.5286397860852,87.44022380903428,9.2913436113252,21.711152477480518,1.45622911588814,13.074541949788518,3.4945901565995303,16.150648802677615,0.4915773038746004,0.4184833037104357,0.11007151843718108,0.1535182469518337
6.0,17.859040798610753,169.47838845642735,87.35439210245912,9.489948848961436,21.921274946634433,1.4570206495780118,13.026451384916475,3.579217406075665,16.196808432711492,0.4823757847115257,0.4088603582806517,0.11032183264369733,0.1812692197173917
7.0,18.028100569823515,169.43712356796914,87.27419151219623,9.686274958425352,22.12927041965204,1.4578347876339137,12.975731873764031,3.6495972650222486,16.225695725164897,0.47364906181659955,0.39963341362138877,0.1104596191525537,0.2081104071117527
8.0,18.191916628106917,169.40336663020707,87.19838408861047,9.880336006761759,22.335136963759144,1.4586633518247212,12.924426360595023,3.7081751948979744,16.241754205782733,0.4654362096544454,0.3908473497102707,0.11051476460805383,0.23407163620690363
9.0,18.35071574431311,169.37591413744283,87.12599359429487,10.07214533208948,22.53887408151652,1.4594999056412419,12.87396976707324,3.756936544869581,16.24838055161225,0.4577542787066599,0.38252576033057367,0.11051004147192463,0.2591817544085495
10.0,18.50471319366967,169.35377359246579,87.05624191570232,10.261715861331616,22.740482664488507,1.460339332387561,12.825346244965358,3.797503595442268,16.24817264429031,0.45060497246933784,0.3746771961173216,0.11046280309730898,0.2834686657852121
11.0,18.654113122956254,169.33611918799028,86.98850515004396,10.449060342497141,22.939964954957905,1.4611775438100656,12.779203143947234,3.83120694326843,16.24311051360844,0.44397934677094153,0.36729957360723386,0.11038621872219413,0.30695935687676773
12.0,18.799109108793463,169.32225760839466,86.92228002196137,10.634191519705402,23.137324489282083,1.4620112572252257,12.735939777772304,3.8591437121921772,16.234700007931536,0.4378613089651175,0.36038348203295534,0.11029025239831672,0.3296799309539025
13.0,18.93988469507095,169.3116030489766,86.85715949338969,10.817122262418987,23.332566044713168,1.4628378336745855,12.695772671100235,3.8822218741922696,16.224080005730254,0.4322300968012491,0.35391453956226293,0.11018239251381572,0.35165563691710605
14.0,19.076613898947972,169.30365821558163,86.79281431923594,10.997865664628964,23.525695589348963,1.4636551554458703,12.65878488621375,3.901195091345862,16.212104859721936,0.42706208066982393,0.3478751178376864,0.11006821219953616,0.37291089365999114
15.0,19.2094617869942,169.29799889435043,86.72897825444744,11.176435116267536,23.716720220952496,1.4644615278264494,12.624964140983197,3.9166915533639797,16.19941007879519,0.4223320775822007,0.3422456155519992,0.10995181498385526,0.39346932020635
16.0,19.33858498926764,169.2942620706497,86.66543674332276,11.352844355920048,23.90564811064989,1.4652556039278817,12.594231089968144,3.9292365004291248,16.186462221914006,0.4180142797167044,0.3370053684832741,0.10983617292350562,0.41335376117357114
17.0,19.464132194913642,169.29213634438833,86.60201788759929,11.527107507639903,24.092488445757983,1.4660363246107233,12.56646071056558,3.9392704525970115,16.1735978563621,0.41408291381606066,0.3321333068005047,0.10972339024538799,0.4325863116497855
18.0,19.586244651794267,169.29135396817807,86.53858504492294,11.699239103760782,24.277251369104714,1.4668028691935926,12.541498449308252,3.9471642332902976,16.16105426099839,0.41051269683586045,0.3276084216001735,0.10961491077025927,0.451188344387972
19.0,19.7050565854166,169.29168459841713,86.47503105226264,11.869254100084971,24.45994792562638,1.4675546169570715,12.519172060288483,3.953230705903134,16.148992673851886,0.4072791482243719,0.32341009233974627,0.10951167478729644,0.46918053090363615
20.0,19.82069561416151,169.2929299574294,86.41127335884715,12.037167882056444,24.640590006799037,1.4682911146578963,12.499300520282407,3.957734602848436,16.137516809343488,0.40435879563021393,0.3195183137873702,0.10941424377782191,0.48658286393783595
21.0,19.933283160280464,169.29491928586117,86.34724994697723,12.202996262365637,24.819190293219673,1.4690120492445617,12.481700501970098,3.9609006730642378,16.126687332933585,0.40172929552146386,0.31591384210076323,0.10932289770057002,0.5034146816313985
22.0,20.04293475909485,169.2975058104517,86.28291615575694,12.366755478266468,24.9957622078449,1.469717226604317,12.466191043234842,3.962919945875919,16.11653269314569,0.39936951193223774,0.31257829596508696,0.10923770773847578,0.5196946826402488
23.0,20.14976053603152,169.30056304429294,86.21824152750953,12.528462170452697,25.17031984687023,1.4704065503299917,12.452596653294172,3.963955837598423,16.10705830545648,0.3972595113439154,0.3094941854361287,0.10915859759928152,0.5354409620550789
24.0,20.25386543391638,169.30398246062165,86.1532077475408,12.688133375124414,25.342877941052524,1.471080007894437,12.440749513034955,3.964148054130882,16.098252621086775,0.39538057653588327,0.3066449460790768,0.1090853841277468,0.5506710220254808
25.0,20.355349408126713,169.30767140937624,86.0878067937357,12.845786514283137,25.513451817822563,1.4717376582066766,12.430491170343307,3.963616008261357,16.090092216459645,0.39371520978318897,0.30401496214503676,0.1090178113198809,0.5654017782591789
