time_s,na_i_fmol,k_i_fmol,cl_i_fmol,tic_i_fmol,alk_i_fmol,volume_i_pL,na_l_fmol,k_l_fmol,cl_l_fmol,tic_l_fmol,alk_l_fmol,volume_l_pL,ae4_effective_activation_fraction
0.0,16.720358732745492,170.0020085218768,88.0318019635695,8.263511808402752,20.628803085107954,1.4533343925874602,13.127768668225414,2.7189726089909274,15.378687854537976,0.5402623164056106,0.4680534226783657,0.10538840735368742,0.0
1e-06,16.720358732745492,170.0020085218768,88.0318019635695,8.263511808402752,20.628803085107954,1.4533343925874602,13.127768668225414,2.7189726089909274,15.378687854537976,0.5402623164056106,0.4680534226783657,0.10538840735368742,0.0
1.0,16.92319143884771,169.86199190738813,87.88657348362675,8.461168779477955,20.8368476566642,1.4535192444479037,13.164385004811717,2.940033901800878,15.645716276112104,0.5309390160720728,0.4587026305004949,0.10694734704075316,0.03278386728133027
2.0,17.117836389529074,169.74658501109283,87.76517041523476,8.65115759918492,21.037488779442313,1.454016644412861,13.168546543170375,3.1209753201867922,15.840770499306746,0.5210650839821682,0.4487513640504261,0.10818783417153587,0.06449298375582356
3.0,17.30470957201969,169.65005524593116,87.66201100425367,8.833788404836197,21.230991607752344,1.4545869171082249,13.150289392555639,3.2699609740734017,15.981682871092797,0.5110212903850339,0.43856749553624624,0.10906587193622139,0.095162551830322
4.0,17.48415916551424,169.56835402478578,87.57314780351932,9.009345713539934,21.41760318083593,1.4552055447207624,13.11712008106609,3.3931604433902445,16.081870940322464,0.5010716865624489,0.4284095841338738,0.10967262006069053,0.1248266518427891
5.0,17.656521559389148,169.49846816994818,87.49566600879807,9.1780989480533,21.59756151459455,1.4558548492724384,13.074490686462248,3.495374294594598,16.151412456523843,0.4913912821979391,0.41845252453300313,0.11007639201622828,0.1535182469518384
6.0,17.822119483107013,169.43808812033942,87.42734894630887,9.340304621595779,21.771096451192946,1.4565217241640078,13.026357014517886,3.5803975914223956,16.19794226135612,0.48209289069537026,0.4088123445841659,0.11032881446953594,0.18126921971715954
7.0,17.98126121959495,169.38540280077223,87.36647161028553,9.496207813031187,21.938430204137155,1.457196267903005,12.97557327934767,3.651264536524432,16.227274525725967,0.4732455580808255,0.3995632901461369,0.11046910029243048,0.20811040711188689
8.0,18.134240481469497,169.3389658548825,87.31166638226347,9.646043238529188,22.099777748144188,1.4578708960018991,12.924178379676201,3.7104224045515286,16.24385090813477,0.46488750760149666,0.39074987609296097,0.11052712062167812,0.23407163620703203
9.0,18.28133659499287,169.29760620503296,87.26183351220655,9.79003601865465,22.255347081875094,1.4585397491119214,12.87360351250373,3.7598572573882647,16.251065373096313,0.4570352441099927,0.382395396795684,0.11052562799705955,0.25918175440791
10.0,18.422815003268465,169.2603639688542,87.21607727937756,9.928402346046612,22.405339486800703,1.4591982716517928,12.824829469903552,3.8011911693535865,16.25151247441451,0.4496901884343433,0.3745081648426332,0.11048195279080836,0.28346866578506535
11.0,18.558927748112325,169.2264460325575,87.17366188727257,10.061349953560267,22.549949687452706,1.459842920620327,12.77850063672084,3.83575375767545,16.247168478323328,0.44284334169900075,0.3670859160729659,0.1104092392548113,0.3069593568772747
12.0,18.68991415023449,169.19519174403092,87.13397762690596,10.18907859391214,22.68936606141487,1.4604709429486415,12.735013772522112,3.8646405284352197,16.23953518924171,0.4364787516049053,0.3601191117156246,0.11031742535375019,0.32967993095332293
13.0,18.8160014455289,169.16604783032105,87.09651626128166,10.311780424289282,22.82377080862374,1.4610802137508943,12.694583264331309,3.8887573093204866,16.22974728346936,0.4305759633725627,0.3535932901824377,0.11021397299137664,0.35165563691518426
14.0,18.937405372869033,169.13854930166144,87.06085237910895,10.429640322732102,22.95334008947695,1.461669113852436,12.657290450606533,3.908855185497237,16.218654848832283,0.42511179753708495,0.3474907872714901,0.11010442895731369,0.3729108936572908
15.0,19.05433084117626,169.11230393533955,87.0266283620766,10.542836232843545,23.078244208494677,1.462236431672787,12.62312172724137,3.9255594224419386,16.206889144527505,0.42006164116575284,0.34179200515580954,0.10999287101217,0.3934693202038252
16.0,19.166972520157955,169.08698031724148,86.99354286222848,10.651539452295,23.19864776922641,1.4627812881267852,12.591996812472612,3.9393920603442965,16.194912554679835,0.41540035671141334,0.3364763181370802,0.10988224633864936,0.41335376116811234
17.0,19.275515409285337,169.06229818759903,86.96134156122488,10.755914904618773,23.314709829714946,1.4633030766482735,12.563790113027624,3.9507902075314587,16.1830575947623,0.4111029237421207,0.33152272579678677,0.10977463543499548,0.432586311644022
18.0,19.38013541421662,169.03802042318767,86.92980955050534,10.856121421962209,23.426584080954427,1.463801414105601,12.53834684412586,3.9601211171666546,16.17155764584317,0.40714487857600445,0.32691031544935,0.10967145968203497,0.45118834438607613
19.0,19.48099982762941,169.01394673592932,86.89876537336691,10.952311968522995,23.53441898424731,1.4642761024247983,12.515494843223447,3.9676939708261494,16.160570228120733,0.4035026127759664,0.3226185859288644,0.10957363833601032,0.46918053091131906
20.0,19.57826780857428,168.9899082927467,86.86805597241599,11.044633870313968,23.63835792296048,1.464727096301601,12.495053457581372,3.9737697474929363,16.15019553403128,0.40015356633256355,0.3186276710430306,0.10948171330836437,0.4865828639400185
21.0,19.67209086162968,168.96576313327037,86.83755241737208,11.133229054301063,23.73853937158345,1.4651544761883148,12.476839987782082,3.9785694094115613,16.140490914944667,0.397076336970065,0.3149184822489795,0.10939594648596263,0.5034146816285442
22.0,19.76261319250866,168.94139260506986,86.80714659265966,11.218234207664482,23.835096998974347,1.4655584271710917,12.460674330658616,3.982280193620347,16.131481717306134,0.39425074934342896,0.31147280697283514,0.10931639246707989,0.5196946826391301
23.0,19.84997227708698,168.91669766044575,86.77674779978196,11.299781103494933,23.928159931806256,1.4659392183724962,12.446382052389536,3.9850617437631866,16.1231704616799,0.3916578410840367,0.30827333447282185,0.10924295979404133,0.5354409620564621
24.0,19.93429912442269,168.89159650590565,86.74628059408576,11.37799671583807,24.01785283029805,1.466297189228414,12.433796565648825,3.9870500345092665,16.115542912390737,0.38927986961936495,0.3053036877673552,0.10917545154297131,0.5506710220198223
25.0,20.015718500324866,168.86602249030668,86.71568285070214,11.453003301475112,24.104295933984858,1.466632737069077,12.422760800273135,3.9883608107596884,16.1085731664502,0.3871003083928322,0.30254844458262936,0.10911359930608089,0.5654017782631923
