time_s,na_i_fmol,k_i_fmol,cl_i_fmol,tic_i_fmol,alk_i_fmol,volume_i_pL,na_l_fmol,k_l_fmol,cl_l_fmol,tic_l_fmol,alk_l_fmol,volume_l_pL,ae4_effective_activation_fraction
0.0,15.055185106002481,154.74735938078015,72.87499588744348,6.836686123489921,18.865786393394316,1.259615564408113,14.216378018882194,2.5915944350789935,16.33651274594835,0.5446105834960513,0.4714597080128371,0.10491258831956275,0.0
1e-06,15.055185106002481,154.74735938078015,72.87499588744348,6.836686123489921,18.865786393394316,1.259615564408113,14.216378018882194,2.5915944350789935,16.33651274594835,0.5446105834960513,0.4714597080128371,0.10491258831956275,0.0
1.0,15.241962242854594,154.92487414463727,73.2391266800126,6.8368833839891465,18.86594750153439,1.261716522728199,14.218826796676348,2.5974839339098104,16.345258883828997,0.544196719680817,0.47105184675716444,0.10494446213219703,0.03278386725429748
2.0,15.41466651208085,155.07579771838215,73.56226257873472,6.83747648714616,18.866439445783403,1.2637461445149312,14.22292243080271,2.6111574403549564,16.364061956920608,0.5431404909505558,0.47001791423706185,0.10505218548654822,0.06449298376307562
5.0,15.861725803511844,155.43554240249335,74.36605744400488,6.8410754530873366,18.86944855605543,1.2688053295642652,14.226999676278833,2.66571558986017,16.42756006331584,0.5381290297507334,0.4651552028231583,0.10541476289227095,0.15351824687323404
10.0,16.425885465157442,155.85214810881803,75.33845222606497,6.851043657924125,18.87781914196562,1.2749560587816196,14.199983062982637,2.7567405995046936,16.501783079325627,0.5275436925054505,0.45494058316171015,0.10581315046467461,0.2834686655173718
20.0,17.128780117214436,156.32788535541593,76.49549548858072,6.876923155391094,18.899407778104766,1.2823528438423089,14.09900259364296,2.894643839519082,16.558162893776494,0.5074811494592656,0.4354835393855493,0.10604426127415095,0.4865828636757853
30.0,17.513929022375958,156.56485054313174,77.09688706749255,6.902463374261664,18.920130292070237,1.286264257389776,14.008770583841757,2.983985893277976,16.571696097873954,0.49282480258950134,0.42106037924578144,0.10604016523338464,0.6321205457395208
40.0,17.732215820042292,156.68659422071838,77.42053594425121,6.923750929685463,18.936511890564564,1.2884091043627677,13.944834097761255,3.041637592441783,16.575162993381497,0.4830729863006831,0.4113086968215447,0.10600240967993686,0.736402850876667
50.0,17.85845843096058,156.74880743980165,77.59751698379941,6.940054732721851,18.94798668101797,1.2896044811482024,13.902134722756447,3.0787881002258746,16.575977951382264,0.47680631349013736,0.4049448716000585,0.1059690273441837,0.8111243842395841
60.0,17.93248841199459,156.77923482579317,77.69481262504587,6.951902833061729,18.955148406797015,1.2902734176327915,13.874192524782897,3.102657281471015,16.575980978373998,0.4728522615732009,0.400868827879917,0.1059445909842945,0.8646646974538037
70.0,17.976384290181308,156.7923979493256,77.74809275403979,6.960201255637848,18.958927279522232,1.2906450346083476,13.856083396449419,3.1179350773061008,16.575728437981816,0.4703892425417876,0.39829003577371197,0.10592766582378409,0.903028010155535
