label,background,genotype,numerical_pass,admissible,ae2_cl_in_hco3_out_fmol_s,ae4_cl_cell_fmol_s,ae4_hco3_cell_fmol_s,ae4_k_cell_fmol_s,ae4_na_cell_fmol_s,cacc_cl_cell_to_lumen_fmol_s,co2_bath_to_cell_fmol_s,co2_lumen_to_cell_fmol_s,k_apical_cell_to_lumen_fmol_s,k_basolateral_cell_to_bath_fmol_s,nhe1_model,nhe1_na_in_h_out_fmol_s,nkcc1_cl_in_fmol_s,nkcc1_cycle_in_fmol_s,pump_apical_cycles_fmol_s,pump_basolateral_cycles_fmol_s,water_bath_to_cell_pL_s,water_bath_to_lumen_pL_s,water_cell_to_lumen_pL_s,water_lumen_outflow_pL_s,paracellular_cl_lumen_to_bath_fmol_s
Task31_cached_R09_WT,R09,WT,True,True,-0.001983554393538192,0.004937067441546469,-0.009874134883092939,-0.004489648165232279,-0.00044741927631419,0.2591979178212792,0.008627352435529976,-0.0007367719459750211,0.03917708701720211,0.17483237627078485,cha_2009_eight_state_mod2,0.007890580489555009,0.2562444047732706,0.1281222023866353,0.003661555226404882,0.04152689930688717,0.0010098322614000778,6.587512394893224e-05,0.0010098322614005882,0.0010757073853493032,
AE4_initial_1,R09,WT,True,True,-0.0013811040124646582,0.0034835319413662313,-0.0069670638827324625,-0.0031726207115845245,-0.00031091122978170677,0.2597132723158605,0.006431622925894471,-0.0008456630556266476,0.039317203312990594,0.17570257872488174,cha_2009_eight_state_mod2,0.005585959870267893,0.25761084438695914,0.12880542219347957,0.0036215462699439233,0.041071944008044654,0.0010124922831945752,6.604864708945684e-05,0.001012492283194788,0.0010785409302840694,0.10237979072207816
AE4_initial_2,R09,WT,False,False,-0.0002517629052626802,0.0008778637295007745,-0.001755727459001549,-0.0008014669766315918,-7.639675286918257e-05,0.2606743219591567,0.00254598058216581,-0.0010421023307629674,0.03958020850500071,0.1770928952660818,cha_2009_eight_state_mod2,0.0025779607248204513,0.25969505819156985,0.12984752909578492,0.003565606163255696,0.04043561202481858,0.0010175147848159724,6.637264242105629e-05,0.0010174542852525246,0.0010838315809748617,0.10264075706909263
