label,background,genotype,admissible,ae4_signed_cl_fmol_s,nkcc1_signed_cl_fmol_s,ae2_signed_cl_fmol_s,ae4_positive_cl_fmol_s,nkcc1_positive_cl_fmol_s,ae2_positive_cl_fmol_s,total_positive_basolateral_cl_fmol_s,net_basolateral_cl_fmol_s,ae4_over_positive_nkcc1,ae4_over_positive_ae2,ae4_fraction_positive_basolateral,ae4_over_net_basolateral
Task31_cached_R09_WT,R09,WT,True,0.004937067441546469,0.2562444047732706,-0.001983554393538192,0.004937067441546469,0.2562444047732706,0,0.2611814722148171,0.2591979178212789,0.019267025346035832,,0.018902824153950018,0.01904748110264781
AE4_initial_1,R09,WT,True,0.0034835319413662313,0.25761084438695914,-0.0013811040124646582,0.0034835319413662313,0.25761084438695914,0,0.2610943763283254,0.2597132723158607,0.013522458457275162,,0.013342041258620218,0.013412991605333107
AE4_initial_2,R09,WT,False,0.0008778637295007745,0.25969505819156985,-0.0002517629052626802,0.0008778637295007745,0.25969505819156985,0,0.2605729219210706,0.26032115901580793,0.0033803636296120764,,0.003368975268146571,0.003372233485820745
