label,background,genotype,ae4_expression,carrier_amount_fmol,ae4_activity,ae4_carrier_amount_fmol,numerical_pass,admissible,wt_calibration_pass,actual_residual_evaluations,max_abs_scaled_independent_rhs,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_current_residual_A,max_abs_bulk_charge_fmol,max_dimensionless_conservation_ratio,independent_jacobian_rank,cl_i_mM,cl_l_mM,hco3_i_mM,hco3_l_mM,k_i_mM,k_l_mM,na_i_mM,na_l_mM,osm_bath_mOsm,osm_cell_mOsm,osm_lumen_mOsm,ph_i,ph_l,tic_i_mM,tic_l_mM,v_apical_mV,v_basolateral_mV,v_transepithelial_mV,volume_i_pL,volume_l_pL
Task31_cached_R09_WT,R09,WT,1.0,2.339370005697548e-05,1.0,0.1501264265070657,True,True,False,0,5.104423828061755e-12,3.3306690738754696e-16,5.104423828061755e-16,1.6155871338926322e-26,6.661338147750939e-16,0.0004014566457044566,10,60.30496692587399,145.91441438704814,4.909374551508538,4.447012642264572,116.76320932871538,25.67998080632129,11.636125748680639,124.68503924961041,301.1615928036609,301.1812011970861,301.4149586650029,6.910000223494689,6.911304792909554,5.671746232991451,5.1355242220230615,-31.531295131004576,-67.10109365819838,-35.56979852719381,1.4484260832245268,0.10537853692674652
AE4_initial_1,R09,WT,1.0,2.339370005697548e-05,0.09999999999999998,0.015012642650706566,True,True,False,883,2.1272046624165597e-12,2.220446049250313e-16,2.1272046624165597e-16,2.5849394142282115e-26,1.4210854715202004e-14,2.4868995751603507e-05,10,60.21127596553527,145.87622701749802,6.435943355980252,4.436453669282376,117.629959512468,25.791077378206317,11.527528405035264,124.52469533600646,301.1615928036609,301.18125284799476,301.41562606169725,6.9690140091756465,6.851838971224818,7.309105019768299,5.223626329986468,-31.58159295620692,-67.21360988668239,-35.63201693047547,1.4803288040163722,0.10539270465142035
AE4_initial_2,R09,WT,1.0,2.339370005697548e-05,0.009999999999999995,0.0015012642650706564,False,False,False,2400,0.0075078944843876005,0.0010739961710815827,6.049956344776099e-08,6.462348535570529e-27,1.4210854715202004e-14,0.00032862601528904634,10,59.92787163796189,145.80862595699065,10.211986787755182,4.4178287918904005,119.36884619135398,25.97420288220164,11.378375539672698,124.25470205285087,301.1615928036609,301.1813503722981,301.416872197588,7.081988939317955,6.7628335848720695,11.282608654088145,5.379341305544834,-31.724648274860908,-67.46977127804551,-35.74512300318461,1.5590977750261055,0.10541915790487431
