model_id,gauge_id,capacity,state,solver_success,nfev,cost,active_bound_count,max_abs_raw_rhs,cl_z_wt,pH_i,volume_pL,calibration_valid,calibration_target_ids,heldout_target_read,failure_reason
SR2_SHARED_123,slow_common,6.154614959010691e-06,"(118.55765157098838, 5.557403704081555, 199.9999938699664, 19.431841065994995, 125.39906494494774, 50.09945211041055, 82.53396604241041)",True,65,0.0006521092904320364,0,3.054362556721392e-05,-0.00036525972629893505,7.520423379152756,9.059233171810334,False,E15-05,False,raw closure 3.05436e-05 exceeds 1e-8
SR5_COORDINATION_112,unit_common,3.941242204519138e-05,"(118.55728014543156, 5.557279058622182, 199.99999050306886, 19.412571918108892, 125.41788553517809, 50.09959071933971, 82.53337866215001)",True,82,0.0006513143930668735,0,3.0505896272660757e-05,-0.0002728537735284438,7.520543398545966,9.059233019302779,False,E15-05,False,raw closure 3.05059e-05 exceeds 1e-8
SR5_COORDINATION_112,fast_common,1.8992713187923642e-05,"(118.5602686728704, 5.558281319316941, 199.9999830648239, 19.566632962784123, 125.26743323872074, 50.09851463179888, 82.53806310696714)",True,70,0.0007045166877462314,0,3.075658204402508e-05,-0.0009902454674156995,7.519641541051554,9.059232682378791,False,E15-05,False,raw closure 3.07566e-05 exceeds 1e-8
SR6_PKA_EDGE_112,unit_common,5.138352138563904e-05,"(118.55877290151192, 5.557778661511665, 199.99998644771492, 19.489587000441944, 125.34267251733785, 50.09904545162669, 82.53572577797264)",True,65,0.0006652823813564497,0,3.064305858243535e-05,-0.000636365582209919,7.520098082200323,9.059232835610787,False,E15-05,False,raw closure 3.06431e-05 exceeds 1e-8
SR6_PKA_EDGE_112,fast_common,3.395271584915034e-05,"(118.55914602490479, 5.557904648006427, 199.99998405589588, 19.50895752453354, 125.32375297575865, 50.09891030584665, 82.5363117684761)",True,80,0.0006726850041339893,0,3.0672671223706825e-05,-0.0007264627689001676,7.519981841492736,9.059232727270555,False,E15-05,False,raw closure 3.06727e-05 exceeds 1e-8
