model_id,gauge_id,capacity_attempt,capacity_calibration_valid,na_loaded_energy_lump_mM,k_loaded_energy_lump_mM,k_attempt_scale,pka_barrier_fold,common_barrier_multiplier,heldout_target_read
SR2_SHARED_123,slow_common,6.154614959010691e-06,False,58.06159101325025,74.17835667688657,1.1026527100857708,1.25,0.1,False
SR5_COORDINATION_112,unit_common,3.941242204519138e-05,False,653.9409644818204,1049.6774200600705,1.0805656661011502,1.25,1.0,False
SR5_COORDINATION_112,fast_common,1.8992713187923642e-05,False,573.8985487218021,912.5764246282816,1.058629531208295,1.25,10.0,False
SR6_PKA_EDGE_112,unit_common,5.138352138563904e-05,False,653.9409644329778,1049.6774201480116,1.080565671029095,200.07370323363844,1.0,False
SR6_PKA_EDGE_112,fast_common,3.395271584915034e-05,False,573.8985487061484,912.5764260668601,1.0586295291692012,98.98514003505596,10.0,False
