model_id,gauge_id,scenario,capacity,root_id,solver_success,nfev,cost,max_abs_raw_rhs,na_l_mM,k_l_mM,height_um,na_i_mM,k_i_mM,cl_i_mM,hco3_i_mM,pH_i,volume_pL,cl_z_wt,ph_z_wt,positivity_pass,wt_physiology_gate_pass,alternate_root_count,initial_start_count,calibration_target_ids,heldout_target_read,failure_reason
SR2_SHARED_123,slow_common,wt,6.154614959010691e-06,SR2_SHARED_123:slow_common:wt:r0,True,21,7.101708585888691e-22,3.291832229948137e-14,118.56527814444966,5.559346615361515,65.65655554735125,21.13253833525745,123.70725877964416,48.782025809571266,58.902292102989534,7.378461424384649,2.9739903209601635,-0.8786494602858236,6.692306062637839,True,False,1,10,E15-05;E15-07_WT,False,WT pH 6.692 SEM from E15-07
SR5_COORDINATION_112,unit_common,wt,3.941242204519138e-05,SR5_COORDINATION_112:unit_common:wt:r0,True,22,1.937152133676835e-19,5.935981664751237e-13,118.56528076300874,5.559347411317122,65.65231298018017,21.13253187875644,123.70726835547326,48.78213411517035,58.89978586339083,7.378447316197826,2.973798148928024,-0.8785772565531005,6.692104517111793,True,False,1,10,E15-05;E15-07_WT,False,WT pH 6.692 SEM from E15-07
SR5_COORDINATION_112,fast_common,wt,1.8992713187923642e-05,SR5_COORDINATION_112:fast_common:wt:r0,True,24,3.047124677586922e-20,2.343658361826108e-13,118.56527894911437,5.559346859953048,65.65606417258336,21.13241853823184,123.70737953544065,48.78217197488401,58.90186882203538,7.378459200006798,2.9739680635664962,-0.8785520167439955,6.692274285811399,True,False,1,10,E15-05;E15-07_WT,False,WT pH 6.692 SEM from E15-07
SR6_PKA_EDGE_112,unit_common,wt,5.138352138563904e-05,SR6_PKA_EDGE_112:unit_common:wt:r0,True,22,6.141440222019647e-20,3.348047226016632e-13,118.56528199551843,5.559347785959231,65.64976560597887,21.132607687688292,123.70719401460211,48.78210954335083,58.89837008424605,7.378439240420863,2.9736827626401605,-0.8785936377661159,6.691989148869468,True,False,1,10,E15-05;E15-07_WT,False,WT pH 6.692 SEM from E15-07
SR6_PKA_EDGE_112,fast_common,wt,3.395271584915034e-05,SR6_PKA_EDGE_112:fast_common:wt:r0,True,25,2.9260298512066285e-20,2.310464888092064e-13,118.56528071689321,5.55934739729945,65.65241118829235,21.13252587582415,123.70727430347597,48.78213806852866,58.899837438857226,7.378447614779043,2.9738025973790982,-0.8785746209808943,6.692108782557757,True,False,1,10,E15-05;E15-07_WT,False,WT pH 6.692 SEM from E15-07
