record_type,label,scenario,topology_model_id,apical_pump_fraction,apical_k_fraction,fraction_provenance,continuation_path,root_success,failure_at_fraction,failure_reason,max_abs_raw_rhs,na_l_mM,k_l_mM,height_um,na_i_mM,k_i_mM,cl_i_mM,hco3_i_mM,pH_i,cl_target_residual_mM,pH_target_residual,normalized_ionic_distance,wt_cl_residual_mM,wt_cl_z,wt_pH_residual,wt_pH_z,optimizer_cost,attempted_capacity,calibration_valid,wt_gate2_pass,derived_height_boundary_hit,ae2_test_status,target_stage,conditional_slice,raw_rhs_vector,acid_base_full_rank,acid_base_cl_ph_rank,acid_base_flux_nullity,valid_wt_capacity_available,wt_gate_evaluable,secretion_target_read,interpretation
resolved_null_root,M1_pump_20pct,ae4_knockout,M1_APICAL_PUMP_ONLY,0.2,0.0,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,pump-line,True,,,1.0820485983315138e-13,120.84997454719655,3.3189664580204834,62.996608397547,21.642824083057654,123.2374776263909,48.2648417148555,57.891139458748185,7.372056109809034,11.7648417148555,0.4820561098090339,25.199448901174282,,,,,,,,,,,LOC-B,re-solved model root; not a target-manifold slice,-4.85722573274e-15;-1.3595895243e-16;-3.27429056091e-17;-3.46454354369e-14;6.41636445857e-17;2.28830299773e-17;-1.08204859833e-13,,,,False,False,False,ionic sensitivity only; absolute flow/time uncertified and no WT-valid denominator
conditional_target_slice,M1_pump_20pct,ae4_knockout,M1_APICAL_PUMP_ONLY,0.2,0.0,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.006545010622425635,,,,,,,,,,,,,,,,,,,,,,LOC-B,model_anchored,-7.82940192924e-05;-0.00630911437823;4.3071105819e-08;0.00240003545442;0.00122505361775;0.00253129167997;-0.00654501062243,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
conditional_target_slice,M1_pump_20pct,ae4_knockout,M1_APICAL_PUMP_ONLY,0.2,0.0,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.027084900445559272,,,,,,,,,,,,,,,,,,,,,,LOC-B,wt_reference_cations,0.0270849004456;-0.00802589098815;0.000203197446689;0.00381615005168;0.00187203336739;0.00402884334633;-0.00180648185387,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
resolved_null_root,M1_k_20pct,ae4_knockout,M1_APICAL_K_ONLY,0.0,0.2,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,k-line,True,,,4.3034634561611516e-13,113.86238100542236,10.275878656045949,65.42914257224837,21.156205662533576,123.69605377333889,48.73700931580502,58.83062900170905,7.378026049731833,12.237009315805018,0.4880260497318334,25.5718100282001,,,,,,,,,,,LOC-B,re-solved model root; not a target-manifold slice,-1.2129186544e-14;-1.10068204551e-15;-1.07552855511e-16;-4.30346345616e-13;2.04711064411e-16;8.15989454503e-17;-3.0729570879e-13,,,,False,False,False,ionic sensitivity only; absolute flow/time uncertified and no WT-valid denominator
conditional_target_slice,M1_k_20pct,ae4_knockout,M1_APICAL_K_ONLY,0.0,0.2,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.013820579918228812,,,,,,,,,,,,,,,,,,,,,,LOC-B,model_anchored,-0.0138205799182;0.0106944506903;4.3071105819e-08;0.00240213288469;0.00117328752727;0.00248162301976;-0.00654501062243,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
conditional_target_slice,M1_k_20pct,ae4_knockout,M1_APICAL_K_ONLY,0.0,0.2,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.011203075990666039,,,,,,,,,,,,,,,,,,,,,,LOC-B,wt_reference_cations,0.0107341230434;0.0112030759907;0.000203197446689;0.00382679294903;0.00176110511893;0.00392855799523;-0.00180648185387,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
resolved_null_root,M1_coupled_20pct,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.2,0.2,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,diagonal,True,,,8.582487079080423e-14,116.76261989725758,7.556382114843084,63.35389605567757,21.284833349110063,123.73262508214358,48.30658490389355,58.20494087114651,7.374312748893879,11.806584903893551,0.48431274889387943,25.314984561984392,,,,,,,,,,,LOC-B,re-solved model root; not a target-manifold slice,3.21964677141e-15;2.02095284951e-16;2.60208521397e-17;2.48782855663e-14;-5.12578407944e-17;-2.11548983321e-17;-8.58248707908e-14,,,,False,False,False,ionic sensitivity only; absolute flow/time uncertified and no WT-valid denominator
conditional_target_slice,M1_coupled_20pct,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.2,0.2,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.007343135618127432,,,,,,,,,,,,,,,,,,,,,,LOC-B,model_anchored,-0.00734313561813;0.00476496617853;4.3071105819e-08;0.00240003545442;0.0011670396344;0.00247327769662;-0.00654501062243,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
conditional_target_slice,M1_coupled_20pct,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.2,0.2,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.02043451005366815,,,,,,,,,,,,,,,,,,,,,,LOC-B,wt_reference_cations,0.0204345100537;0.00233591343163;0.000203197446689;0.00381615005168;0.00174271580544;0.00389952578438;-0.00180648185387,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
resolved_null_root,M1_coupled_40pct,ae4_knockout,M1_COUPLED_APICAL_PUMP_K,0.4,0.4,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,diagonal,True,,,7.994919055044511e-13,116.11263657254332,8.26055695567537,63.5596955534027,21.140948183499205,123.92604166094357,48.336357089774864,58.34937822943356,7.375324238564863,11.836357089774864,0.4853242385648633,25.368786916420195,,,,,,,,,,,LOC-B,re-solved model root; not a target-manifold slice,4.01068067646e-15;2.94035629178e-16;3.45318391937e-17;2.10777913145e-13;-6.74379101273e-17;-2.66977189093e-17;-7.99491905504e-13,,,,False,False,False,ionic sensitivity only; absolute flow/time uncertified and no WT-valid denominator
