snapshot_id,state_index,state_id,effective_state_energy,agent_e_occupancy
SR5_COORDINATION_112|unit_common|k_assay_150,8,EiNa1B2RNae,12.920768728742743,3.709725331067237e-11
SR5_COORDINATION_112|unit_common|k_assay_150,9,EoNa1B2RNae,12.920768728742743,1.8592059934163552e-11
SR5_COORDINATION_112|unit_common|k_assay_150,10,EiK1B2RKe,13.393989826696139,0.16109429477716528
SR5_COORDINATION_112|unit_common|k_assay_150,11,EoK1B2RKe,13.393989826696139,0.27558251014084006
SR5_COORDINATION_112|fast_common|physiology_basal,0,Eo,0.0,0.004020856035872264
SR5_COORDINATION_112|fast_common|physiology_basal,1,EoCl1,0.0,0.43787988709437164
SR5_COORDINATION_112|fast_common|physiology_basal,2,EiCl1,0.0,0.4404138928757594
SR5_COORDINATION_112|fast_common|physiology_basal,3,Ei,0.0,0.00931507901379273
SR5_COORDINATION_112|fast_common|physiology_basal,4,EiNa1B2,12.790204286047732,0.00010810706818039777
SR5_COORDINATION_112|fast_common|physiology_basal,5,EoNa1B2,12.790204286047732,0.0006499084083797946
SR5_COORDINATION_112|fast_common|physiology_basal,6,EiK1B2,13.254023484703254,0.0001953302411283203
SR5_COORDINATION_112|fast_common|physiology_basal,7,EoK1B2,13.254023484703254,1.713002711061239e-05
SR5_COORDINATION_112|fast_common|physiology_basal,8,EiNa1B2RNae,12.790204286047732,0.04047679359087692
SR5_COORDINATION_112|fast_common|physiology_basal,9,EoNa1B2RNae,12.790204286047732,0.06579697622286207
SR5_COORDINATION_112|fast_common|physiology_basal,10,EiK1B2RKe,13.254023484703254,0.0007204298998819788
SR5_COORDINATION_112|fast_common|physiology_basal,11,EoK1B2RKe,13.254023484703254,0.0004056095217838607
SR5_COORDINATION_112|fast_common|na_assay_150,0,Eo,0.0,0.013670335361572776
SR5_COORDINATION_112|fast_common|na_assay_150,1,EoCl1,0.0,0.20793248397879724
SR5_COORDINATION_112|fast_common|na_assay_150,2,EiCl1,0.0,0.22325759823204783
SR5_COORDINATION_112|fast_common|na_assay_150,3,Ei,0.0,0.007530174815291072
SR5_COORDINATION_112|fast_common|na_assay_150,4,EiNa1B2,12.790204286047732,0.0003086494429666878
SR5_COORDINATION_112|fast_common|na_assay_150,5,EoNa1B2,12.790204286047732,0.003316853719798216
SR5_COORDINATION_112|fast_common|na_assay_150,6,EiK1B2,13.254023484703254,0.0001582206362139067
SR5_COORDINATION_112|fast_common|na_assay_150,7,EoK1B2,13.254023484703254,2.0924014720504848e-07
SR5_COORDINATION_112|fast_common|na_assay_150,8,EiNa1B2RNae,12.790204286047732,0.19670763028657948
SR5_COORDINATION_112|fast_common|na_assay_150,9,EoNa1B2RNae,12.790204286047732,0.34711784412815583
SR5_COORDINATION_112|fast_common|na_assay_150,10,EiK1B2RKe,13.254023484703254,1.0555015345910007e-10
SR5_COORDINATION_112|fast_common|na_assay_150,11,EoK1B2RKe,13.254023484703254,5.287967070429322e-11
SR5_COORDINATION_112|fast_common|k_assay_150,0,Eo,0.0,0.019589181497136027
SR5_COORDINATION_112|fast_common|k_assay_150,1,EoCl1,0.0,0.2237786918859082
SR5_COORDINATION_112|fast_common|k_assay_150,2,EiCl1,0.0,0.23832088847564464
SR5_COORDINATION_112|fast_common|k_assay_150,3,Ei,0.0,0.00767485708746018
SR5_COORDINATION_112|fast_common|k_assay_150,4,EiNa1B2,12.790204286047732,5.34037587924111e-05
SR5_COORDINATION_112|fast_common|k_assay_150,5,EoNa1B2,12.790204286047732,8.905454088040577e-08
SR5_COORDINATION_112|fast_common|k_assay_150,6,EiK1B2,13.254023484703254,0.00034343163406646334
SR5_COORDINATION_112|fast_common|k_assay_150,7,EoK1B2,13.254023484703254,0.003037911996311178
SR5_COORDINATION_112|fast_common|k_assay_150,8,EiNa1B2RNae,12.790204286047732,3.563219070856755e-11
SR5_COORDINATION_112|fast_common|k_assay_150,9,EoNa1B2RNae,12.790204286047732,1.7860622624723974e-11
SR5_COORDINATION_112|fast_common|k_assay_150,10,EiK1B2RKe,13.254023484703254,0.1862387632222056
SR5_COORDINATION_112|fast_common|k_assay_150,11,EoK1B2RKe,13.254023484703254,0.32096278133444167
SR6_PKA_EDGE_112|unit_common|physiology_basal,0,Eo^U,0.0,0.004016442605643974
SR6_PKA_EDGE_112|unit_common|physiology_basal,1,EoCl1^U,0.0,0.4344092380510916
SR6_PKA_EDGE_112|unit_common|physiology_basal,2,EiCl1^U,0.0,0.45673146476311177
SR6_PKA_EDGE_112|unit_common|physiology_basal,3,Ei^U,0.0,0.00958107382950263
SR6_PKA_EDGE_112|unit_common|physiology_basal,4,EiNa1B2^U,12.920768728668055,9.42689283253594e-05
SR6_PKA_EDGE_112|unit_common|physiology_basal,5,EoNa1B2^U,12.920768728668055,0.0005719247890726623
SR6_PKA_EDGE_112|unit_common|physiology_basal,6,EiK1B2^U,13.393989826779919,0.00017470461029536877
SR6_PKA_EDGE_112|unit_common|physiology_basal,7,EoK1B2^U,13.393989826779919,1.485536669438891e-05
SR6_PKA_EDGE_112|unit_common|physiology_basal,8,EiNa1B2RNae^U,12.920768728668055,0.03553895431013934
SR6_PKA_EDGE_112|unit_common|physiology_basal,9,EoNa1B2RNae^U,12.920768728668055,0.057861404869063285
SR6_PKA_EDGE_112|unit_common|physiology_basal,10,EiK1B2RKe^U,13.393989826779919,0.0006435341042037234
SR6_PKA_EDGE_112|unit_common|physiology_basal,11,EoK1B2RKe^U,13.393989826779919,0.00036113377384199247
SR6_PKA_EDGE_112|unit_common|physiology_basal,12,Eo^P,0.0,4.016442661853916e-09
SR6_PKA_EDGE_112|unit_common|physiology_basal,13,EoCl1^P,0.0,4.3440924403980054e-07
SR6_PKA_EDGE_112|unit_common|physiology_basal,14,EiCl1^P,0.0,4.5673147097338954e-07
SR6_PKA_EDGE_112|unit_common|physiology_basal,15,Ei^P,0.0,9.581073958139574e-09
SR6_PKA_EDGE_112|unit_common|physiology_basal,16,EiNa1B2^P,12.920768728668055,9.426892961347958e-11
SR6_PKA_EDGE_112|unit_common|physiology_basal,17,EoNa1B2^P,12.920768728668055,5.719247970745596e-10
SR6_PKA_EDGE_112|unit_common|physiology_basal,18,EiK1B2^P,13.393989826779919,1.7470461269412556e-10
SR6_PKA_EDGE_112|unit_common|physiology_basal,19,EoK1B2^P,13.393989826779919,1.4855367007649687e-11
SR6_PKA_EDGE_112|unit_common|physiology_basal,20,EiNa1B2RNae^P,12.920768728668055,3.553895480449097e-08
SR6_PKA_EDGE_112|unit_common|physiology_basal,21,EoNa1B2RNae^P,12.920768728668055,5.786140567717211e-08
SR6_PKA_EDGE_112|unit_common|physiology_basal,22,EiK1B2RKe^P,13.393989826779919,6.435341561118035e-10
SR6_PKA_EDGE_112|unit_common|physiology_basal,23,EoK1B2RKe^P,13.393989826779919,3.611338649447416e-10
SR6_PKA_EDGE_112|unit_common|na_assay_150,0,Eo^U,0.0,0.013399995425927196
SR6_PKA_EDGE_112|unit_common|na_assay_150,1,EoCl1^U,0.0,0.18618171217192328
SR6_PKA_EDGE_112|unit_common|na_assay_150,2,EiCl1^U,0.0,0.3187634426401378
SR6_PKA_EDGE_112|unit_common|na_assay_150,3,Ei^U,0.0,0.009026903462167052
SR6_PKA_EDGE_112|unit_common|na_assay_150,4,EiNa1B2^U,12.920768728668055,0.0002628773908236528
SR6_PKA_EDGE_112|unit_common|na_assay_150,5,EoNa1B2^U,12.920768728668055,0.0028660089139391836
SR6_PKA_EDGE_112|unit_common|na_assay_150,6,EiK1B2^U,13.393989826779919,0.00016491075324533928
SR6_PKA_EDGE_112|unit_common|na_assay_150,7,EoK1B2^U,13.393989826779919,2.0336328882795526e-07
SR6_PKA_EDGE_112|unit_common|na_assay_150,8,EiNa1B2RNae^U,12.920768728668055,0.16958818477932444
SR6_PKA_EDGE_112|unit_common|na_assay_150,9,EoNa1B2RNae^U,12.920768728668055,0.29974476093510094
SR6_PKA_EDGE_112|unit_common|na_assay_150,10,EiK1B2RKe^U,13.393989826779919,1.1000828992650214e-10
SR6_PKA_EDGE_112|unit_common|na_assay_150,11,EoK1B2RKe^U,13.393989826779919,5.510582660766506e-11
SR6_PKA_EDGE_112|unit_common|na_assay_150,12,Eo^P,0.0,1.339999553742322e-08
SR6_PKA_EDGE_112|unit_common|na_assay_150,13,EoCl1^P,0.0,1.8618171367007938e-07
SR6_PKA_EDGE_112|unit_common|na_assay_150,14,EiCl1^P,0.0,3.1876344519046587e-07
SR6_PKA_EDGE_112|unit_common|na_assay_150,15,Ei^P,0.0,9.026903534217048e-09
SR6_PKA_EDGE_112|unit_common|na_assay_150,16,EiNa1B2^P,12.920768728668055,2.628773929935255e-10
SR6_PKA_EDGE_112|unit_common|na_assay_150,17,EoNa1B2^P,12.920768728668055,2.866008937784815e-09
SR6_PKA_EDGE_112|unit_common|na_assay_150,18,EiK1B2^P,13.393989826779919,1.6491075459129472e-10
SR6_PKA_EDGE_112|unit_common|na_assay_150,19,EoK1B2^P,13.393989826779919,2.0336334971749815e-13
SR6_PKA_EDGE_112|unit_common|na_assay_150,20,EiNa1B2RNae^P,12.920768728668055,1.695881861885933e-07
SR6_PKA_EDGE_112|unit_common|na_assay_150,21,EoNa1B2RNae^P,12.920768728668055,2.997447634281577e-07
SR6_PKA_EDGE_112|unit_common|na_assay_150,22,EiK1B2RKe^P,13.393989826779919,1.3402500956752436e-16
SR6_PKA_EDGE_112|unit_common|na_assay_150,23,EoK1B2RKe^P,13.393989826779919,1.0313926454375392e-16
SR6_PKA_EDGE_112|unit_common|k_assay_150,0,Eo^U,0.0,0.019206610943104344
SR6_PKA_EDGE_112|unit_common|k_assay_150,1,EoCl1^U,0.0,0.20295707775505328
SR6_PKA_EDGE_112|unit_common|k_assay_150,2,EiCl1^U,0.0,0.32908771173768914
SR6_PKA_EDGE_112|unit_common|k_assay_150,3,Ei^U,0.0,0.009104366914406498
SR6_PKA_EDGE_112|unit_common|k_assay_150,4,EiNa1B2^U,12.920768728668055,5.5602391191335795e-05
SR6_PKA_EDGE_112|unit_common|k_assay_150,5,EoNa1B2^U,12.920768728668055,8.686647095785625e-08
SR6_PKA_EDGE_112|unit_common|k_assay_150,6,EiK1B2^U,13.393989826779919,0.0003107068853811854
SR6_PKA_EDGE_112|unit_common|k_assay_150,7,EoK1B2^U,13.393989826779919,0.0026004688983099285
SR6_PKA_EDGE_112|unit_common|k_assay_150,8,EiNa1B2RNae^U,12.920768728668055,3.7097216284543186e-11
SR6_PKA_EDGE_112|unit_common|k_assay_150,9,EoNa1B2RNae^U,12.920768728668055,1.8592041377750518e-11
SR6_PKA_EDGE_112|unit_common|k_assay_150,10,EiK1B2RKe^U,13.393989826779919,0.16109413345361495
SR6_PKA_EDGE_112|unit_common|k_assay_150,11,EoK1B2RKe^U,13.393989826779919,0.2755822341000521
SR6_PKA_EDGE_112|unit_common|k_assay_150,12,Eo^P,0.0,1.920661165605127e-08
SR6_PKA_EDGE_112|unit_common|k_assay_150,13,EoCl1^P,0.0,2.0295708507289444e-07
SR6_PKA_EDGE_112|unit_common|k_assay_150,14,EiCl1^P,0.0,3.2908772352158377e-07
SR6_PKA_EDGE_112|unit_common|k_assay_150,15,Ei^P,0.0,9.104367239405466e-09
SR6_PKA_EDGE_112|unit_common|k_assay_150,16,EiNa1B2^P,12.920768728668055,5.5602393176176706e-11
SR6_PKA_EDGE_112|unit_common|k_assay_150,17,EoNa1B2^P,12.920768728668055,8.686647405877405e-14
SR6_PKA_EDGE_112|unit_common|k_assay_150,18,EiK1B2^P,13.393989826779919,3.1070689683212e-10
SR6_PKA_EDGE_112|unit_common|k_assay_150,19,EoK1B2^P,13.393989826779919,2.600468995085769e-09
SR6_PKA_EDGE_112|unit_common|k_assay_150,20,EiNa1B2RNae^P,12.920768728668055,3.709721760880407e-17
SR6_PKA_EDGE_112|unit_common|k_assay_150,21,EoNa1B2RNae^P,12.920768728668055,1.859204204143142e-17
SR6_PKA_EDGE_112|unit_common|k_assay_150,22,EiK1B2RKe^P,13.393989826779919,1.6109413954583346e-07
SR6_PKA_EDGE_112|unit_common|k_assay_150,23,EoK1B2RKe^P,13.393989826779919,2.75582244566849e-07
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,0,Eo^U,0.0,0.00800391827364759
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,1,EoCl1^U,0.0,0.11120774007045921
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,2,EiCl1^U,0.0,0.19039980704632806
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,3,Ei^U,0.0,0.005391837480443939
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,4,EiNa1B2^U,12.920768728668055,0.00015701864704156394
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,5,EoNa1B2^U,12.920768728668055,0.0017118887275386853
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,6,EiK1B2^U,13.393989826779919,9.850243596855775e-05
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,7,EoK1B2^U,13.393989826779919,1.2147042531744126e-07
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,8,EiNa1B2RNae^U,12.920768728668055,0.10129630108109064
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,9,EoNa1B2RNae^U,12.920768728668055,0.1790398051059467
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,10,EiK1B2RKe^U,13.393989826779919,6.570878078747762e-11
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,11,EoK1B2RKe^U,13.393989826779919,3.291512560639752e-11
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,12,Eo^P,0.0,0.003093902015134838
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,13,EoCl1^P,0.0,0.09811445324505053
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,14,EiCl1^P,0.0,0.18385329842956175
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,15,Ei^P,0.0,0.00539184287228146
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,16,EiNa1B2^P,12.920768728668055,0.00018941598398647286
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,17,EoNa1B2^P,12.920768728668055,0.0005532392405267263
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,18,EiK1B2^P,13.393989826779919,8.231806041902417e-05
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,19,EoK1B2^P,13.393989826779919,1.6305939921107634e-05
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,20,EiNa1B2RNae^P,12.920768728668055,0.055631120099347155
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,21,EoNa1B2RNae^P,12.920768728668055,0.05576716357763271
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,22,EiK1B2RKe^P,13.393989826779919,4.939431744875596e-11
SR6_PKA_EDGE_112|unit_common|na_assay_150_pka,23,EoK1B2RKe^P,13.393989826779919,4.922975937621495e-11
SR6_PKA_EDGE_112|fast_common|physiology_basal,0,Eo^U,0.0,0.004020852014995662
SR6_PKA_EDGE_112|fast_common|physiology_basal,1,EoCl1^U,0.0,0.43787944921469063
SR6_PKA_EDGE_112|fast_common|physiology_basal,2,EiCl1^U,0.0,0.4404134524623042
SR6_PKA_EDGE_112|fast_common|physiology_basal,3,Ei^U,0.0,0.009315069698768793
SR6_PKA_EDGE_112|fast_common|physiology_basal,4,EiNa1B2^U,12.790204286020458,0.00010810696007689975
SR6_PKA_EDGE_112|fast_common|physiology_basal,5,EoNa1B2^U,12.790204286020458,0.0006499077584853289
SR6_PKA_EDGE_112|fast_common|physiology_basal,6,EiK1B2^U,13.254023486279646,0.00019533004549182763
SR6_PKA_EDGE_112|fast_common|physiology_basal,7,EoK1B2^U,13.254023486279646,1.7130009952991543e-05
SR6_PKA_EDGE_112|fast_common|physiology_basal,8,EiNa1B2RNae^U,12.790204286020458,0.04047675311506858
SR6_PKA_EDGE_112|fast_common|physiology_basal,9,EoNa1B2RNae^U,12.790204286020458,0.06579691042735582
SR6_PKA_EDGE_112|fast_common|physiology_basal,10,EiK1B2RKe^U,13.254023486279646,0.0007204291783214093
SR6_PKA_EDGE_112|fast_common|physiology_basal,11,EoK1B2RKe^U,13.254023486279646,0.0004056091155361322
SR6_PKA_EDGE_112|fast_common|physiology_basal,12,Eo^P,0.0,4.020851820220784e-09
SR6_PKA_EDGE_112|fast_common|physiology_basal,13,EoCl1^P,0.0,4.378794283077089e-07
SR6_PKA_EDGE_112|fast_common|physiology_basal,14,EiCl1^P,0.0,4.4041343146301454e-07
SR6_PKA_EDGE_112|fast_common|physiology_basal,15,Ei^P,0.0,9.315069260321413e-09
SR6_PKA_EDGE_112|fast_common|physiology_basal,16,EiNa1B2^P,12.790204286020458,1.0810695492305828e-10
SR6_PKA_EDGE_112|fast_common|physiology_basal,17,EoNa1B2^P,12.790204286020458,6.499077270091462e-10
SR6_PKA_EDGE_112|fast_common|physiology_basal,18,EiK1B2^P,13.254023486279646,1.9533003610360963e-10
SR6_PKA_EDGE_112|fast_common|physiology_basal,19,EoK1B2^P,13.254023486279646,1.7130008737838855e-11
SR6_PKA_EDGE_112|fast_common|physiology_basal,20,EiNa1B2RNae^P,12.790204286020458,4.047675116236928e-08
