case,ae4_expression,cacc_stimulated_fraction,cumulative_0_600_pL,ratio_to_WT,deficit_percent,absolute_deficit_pL,endpoint_flow_pL_s,endpoint_deficit_percent,mean_60_600_pL_s,mean_flow_relative_to_own_WT_rest,NKCC1_compensation_percent,AE2_positive_loading_share_percent,Na_i_difference_at_600_mM,Na_i_difference_max_on_saved_grid_mM,Na_i_higher_than_WT_on_saved_grid,Cl_i_difference_at_600_mM,peak_cumulative_deficit_percent,peak_cumulative_deficit_time_s,within_20_35_percent
wt,1.0,1.0,0.992524544081835,1.0,0.0,0.0,0.0016021248621457846,0.0,0.0016366136311001798,1.5186431942457055,0.0,0.0,0.0,0.0,False,0.0,0.0,1e-06,
ae4_5pct,0.05,0.14986279201124025,0.7626224586023684,0.7683663473610676,23.163365263893244,0.22990208547946656,0.0012799547316181825,20.108927720908575,0.0012689023213828946,1.1774372630853118,5.682303231427088,0.21090318487499296,-3.230851887982759,0.0,False,3.610467537983567,34.52933644821684,14.0,True
ae4_null,0.0,0.10511872843288446,0.6921751966127494,0.6973884935541489,30.26115064458511,0.3003493474690856,0.0011689420473021683,27.038018389118477,0.0011550233596022649,1.071766928322388,2.79462157721011,0.24967602029063035,-4.013732229730948,0.0,False,5.153942030284938,43.66195714847182,15.0,True
