time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,nkcc1_unrestricted_demand_fmol_s,nkcc1_finite_capacity_fmol_s,nkcc1_capacity_constraint_active,cumulative_outflow_0_t_pL
0.0,0.000986443658562211,10.840906598145207,115.46796949077347,52.63496105172438,5.396560277363248,4.659296011839902,6.901795684420944,1.3240367983674797,301.39393400594406,-0.03450385182283003,-0.06785036102968445,-0.03334650920685442,0.0,0.0,0.0,1.0,0.008468417534965094,0.2365066564674329,0.005136335379180054,-0.0018042532245834129,0.23983873862510122,0.09628951012613347,0.11825332823371645,1.0,3467973.2850237326,0.0,0.041384526026267715,-0.002568167689590027,-0.002568167689590027,0.002568167689590027,0.002568167689590027,-0.010272670758360108,-0.010272670758360108,0.0,0.26088597423325033,0.11825332823371645,1.0,0.0
1e-06,0.000986443658562211,10.840906598145207,115.46796949077347,52.63496105172438,5.396560277363248,4.659296011839902,6.901795684420944,1.3240367983674797,301.39393400594406,-0.030730091043658495,-0.08043616481604166,-0.04970607377238316,1.0,0.10297860283126008,9.935924695427701e-12,2.3,0.01947736033041971,0.2365066564674329,0.005136335379180054,-0.0018042532245834129,0.5611984596498165,0.1386782447816305,0.11825332823371645,1.75,3467973.2850237326,0.20595720566252015,0.041384526026267715,-0.002568167689590027,-0.002568167689590027,0.002568167689590027,0.002568167689590027,-0.010272670758360108,-0.010272670758360108,0.0,0.4565504549081881,0.11825332823371645,1.0,9.864436585622111e-10
1.0,0.0012675083985241532,10.931254272546214,115.37815333775141,52.43556669875364,5.551663767738155,4.796241933997681,6.903820393149922,1.3233319504852423,301.75606794197415,-0.03067306329465139,-0.0804084736505246,-0.049735410355873214,1.0,0.10217109096703485,9.85801164501709e-12,2.3,0.01920761154588171,0.2365066564674329,0.008450283673963818,-0.0017325923074884327,0.526509917173273,0.1389123002311263,0.11825332823371645,1.75,3467731.8894152353,0.2043421819340697,0.0418385281455285,-0.004225141836981909,-0.004225141836981909,0.004225141836981909,0.004225141836981909,-0.016900567347927636,-0.016900567347927636,0.0,0.4566018464488307,0.11825332823371645,1.0,0.0011269758880108121
2.0,0.0014860160907581273,11.016646361560749,115.28842465358974,52.251108141931326,5.699274159061785,4.9267835388482215,6.905789197421378,1.3228711416778387,301.7180598822976,-0.030624938302748313,-0.08038045925012066,-0.049755520947372345,1.0,0.10137983886895033,9.781667423542758e-12,2.3,0.018949464041618094,0.2365066564674329,0.011615386042855363,-0.0016654187187272226,0.5005492641826674,0.13902124024487433,0.11825332823371645,1.75,3467577.0848775986,0.20275967773790066,0.04226243982559005,-0.005807693021427682,-0.005807693021427682,0.005807693021427682,0.005807693021427682,-0.023230772085710727,-0.023230772085710727,0.0,0.4566348064192104,0.11825332823371645,1.0,0.0025037381326519525
3.0,0.0016371351984781374,11.098193275589482,115.20486455973334,52.08174471595772,5.840128115032939,5.051541337170063,6.907703244251087,1.3225312358046901,301.68760903430524,-0.030599553904249895,-0.0803558413281478,-0.0497562874238979,1.0,0.10060175422371682,9.706593668129931e-12,2.3,0.018701829506399995,0.2365066564674329,0.01464581944833955,-0.0016023283802894337,0.47969953489298783,0.13907440963379827,0.11825332823371645,1.75,3468120.2748681875,0.20120350844743365,0.04266267155537995,-0.007322909724169775,-0.007322909724169775,0.007322909724169775,0.007322909724169775,-0.0292916388966791,-0.0292916388966791,0.0,0.4565191646205082,0.11825332823371645,1.0,0.004065313777270084
4.0,0.001738439696385935,11.176224430490413,115.12662047348006,51.92520907445228,5.9745717298212595,5.170800458255009,6.909563824069923,1.3222843258657282,301.66271714877155,-0.03058983315889206,-0.08033387535983608,-0.049744042200944014,1.0,0.09983804468273438,9.632906899425028e-12,2.3,0.018464127888770717,0.2365066564674329,0.017548074673747527,-0.001542984581889198,0.4626148854275085,0.139089107987821,0.11825332823371645,1.75,3469184.3474468626,0.19967608936546877,0.04304149260502388,-0.008774037336873763,-0.008774037336873763,0.008774037336873763,0.008774037336873763,-0.035096149347495054,-0.035096149347495054,0.0,0.4562927165506338,0.11825332823371645,1.0,0.005753101224702121
5.0,0.0018029645098949028,11.25100939888048,115.05303137949603,51.77976337351419,6.102918949865469,5.284819921497335,6.911372350906043,1.3221097687227061,301.6420553947757,-0.030591238282651766,-0.08031404582115582,-0.049722807538504055,1.0,0.09908973324848136,9.56070582216193e-12,2.3,0.018235827013935592,0.2365066564674329,0.020328002676946816,-0.001487095631996285,0.44840400962280746,0.13907643681783585,0.11825332823371645,1.75,3470640.8657618593,0.19817946649696272,0.0434007629166816,-0.010164001338473408,-0.010164001338473408,0.010164001338473408,0.010164001338473408,-0.04065600535389363,-0.04065600535389363,0.0,0.45598293645301147,0.11825332823371645,1.0,0.0075238033278425395
6.0,0.0018404658339178177,11.322776107458026,114.9835689532146,51.644031771201185,6.225459400952123,5.393839190677205,6.91313031309946,1.3219918225661513,301.624703094122,-0.030600718845069774,-0.08029597954132697,-0.049695260696257196,1.0,0.09835766854095085,9.490072315722518e-12,2.3,0.018016433366943176,0.2365066564674329,0.022991019410306693,-0.0014344043092722023,0.4364471585416402,0.1390438653042395,0.11825332823371645,1.75,3472393.8916665833,0.1967153370819017,0.04374205646251911,-0.011495509705153346,-0.011495509705153346,0.011495509705153346,0.011495509705153346,-0.045982038820613386,-0.045982038820613386,0.0,0.45561037734663384,0.11825332823371645,1.0,0.009345518499748899
7.0,0.0018582836756952327,11.391721915620387,114.91780014039291,51.516896963747485,6.342463115543387,5.498082089926673,6.914839239989352,1.3219182098730324,301.609996780394,-0.030616146001738766,-0.08027939643012728,-0.04966325042838852,1.0,0.09764253829916923,9.421072736835164e-12,2.3,0.017805486349573258,0.2365066564674329,0.025542214641495697,-0.001384681008960232,0.42629634698554086,0.138996609453456,0.11825332823371645,1.75,3474370.035347261,0.19528507659833846,0.0440667352217896,-0.012771107320747849,-0.012771107320747849,0.012771107320747849,0.012771107320747849,-0.051084429282991395,-0.051084429282991395,0.0,0.4551907717534508,0.11825332823371645,1.0,0.011194893254555425
8.0,0.0018619538735328068,11.458020821798538,114.85536283190855,51.397433074268534,6.454183620629093,5.597759329880836,6.916500678624358,1.3218791867127695,301.59744262293884,-0.030635988335230176,-0.08026407991625294,-0.04962809158102276,1.0,0.09694488371236458,9.353759302322276e-12,2.3,0.01760255434033863,0.2365066564674329,0.027986412979689484,-0.0013377189819028267,0.41761732020732445,0.13893842326403383,0.11825332823371645,1.75,3476512.094807769,0.19388976742472916,0.04437599701284475,-0.013993206489844742,-0.013993206489844742,0.013993206489844742,0.013993206489844742,-0.05597282595937897,-0.05597282595937897,0.0,0.4547363801476755,0.11825332823371645,1.0,0.013055012029169444
