case,initial_Cl_i_amount_fmol,final_Cl_i_amount_fmol,delta_Cl_i_amount_fmol,integrated_net_Cl_i_source_fmol,one_second_quadrature_difference_fmol,Na_i_amount_initial_fmol,Na_i_amount_final_fmol
wt,88.0318019635695,75.65506111202545,-12.376740851544056,-12.379821707653754,-0.0030808561096975495,16.720358732745492,24.602978908183974
ae4_5pct,88.0318019635695,93.84322624266117,5.811424279091668,5.812424791903125,0.0010005128114576323,16.720358732745492,23.339877920381817
ae4_null,88.0318019635695,100.04349384114334,12.011691877573838,12.013151997486357,0.0014601199125188202,16.720358732745492,22.908014101455713
