time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,nkcc1_unrestricted_demand_fmol_s,nkcc1_finite_capacity_fmol_s,nkcc1_capacity_constraint_active
0.0,0.000986443658562211,10.840906598145207,115.46796949077347,52.63496105172438,5.396560277363248,4.659296011839902,6.901795684420944,1.3240367983674797,301.39393400594406,-0.03450385182283003,-0.06785036102968445,-0.03334650920685442,0.0,0.0,0.0,1.0,0.008468417534965094,0.2365066564674329,0.0,-0.0018042532245834129,0.23983873862510122,0.09628951012613347,0.11825332823371645,1.0,3467973.2850237326,0.0,0.041384526026267715,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.26088597423325033,0.11825332823371645,1.0
60.0,0.0014133431455339907,13.528093254121544,113.27971658718748,46.1787549660673,12.17790103178736,10.813367758220258,7.000707992134729,1.333345969188798,301.4931725860756,-0.033109039732321065,-0.07962896364197848,-0.04651992390965742,1.0,0.052030530495191,5.020183015208292e-12,2.3,0.009805050375957153,0.2365066564674329,0.0,0.000540510568468503,0.33743308323135757,0.1311926894473439,0.11825332823371645,1.75,3267933.282173344,0.104061060990382,0.052621149496404174,0.0,0.0,-0.0,-0.0,0.0,0.0,0.000540510568468503,0.5012585429753786,0.11825332823371645,1.0
120.0,0.0013300209902132932,13.76029454675136,113.27332488181159,42.31691205709785,15.274823877578074,13.767334178898443,7.062899224907407,1.3272465055594145,301.4698965936669,-0.035268874287534585,-0.07944584742386142,-0.04417697313632683,1.0,0.026995648470351217,2.604684108456607e-12,2.3,0.00629661499338491,0.2365066564674329,0.0,0.0013318406356044366,0.3188901377493226,0.12497433122756174,0.11825332823371645,1.75,2791150.8992027678,0.053991296940702434,0.05338393283634249,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0013318406356044366,0.6282185498886047,0.11825332823371645,1.0
180.0,0.0012645636405255456,13.286393180973038,113.80573592913379,39.4012156793421,16.907533140452387,15.390857937866079,7.109219939557674,1.3134729819514956,301.4537467091785,-0.037045455130919655,-0.07954356394895325,-0.04249810881803359,1.0,0.01631018852793483,1.573693957057606e-12,2.3,0.004518331747931572,0.2365066564674329,0.0,0.001745344467920839,0.3048237444686452,0.12051429983852274,0.11825332823371645,1.75,2347418.349865677,0.03262037705586966,0.05178993768157357,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001745344467920839,0.7815614545304778,0.11825332823371645,1.0
240.0,0.001209943041941125,12.680573789558991,114.41029340361074,37.058435651198494,17.906865397436228,16.419909978222382,7.146453470817378,1.2986548983198043,301.4412196877412,-0.03857732461574634,-0.07971670403353272,-0.04113937941778638,1.0,0.011220581827457294,1.0826215642018536e-12,2.3,0.003448029794039855,0.2365066564674329,0.0,0.002015705077605542,0.293169921943782,0.11690884992941047,0.11825332823371645,1.75,1992407.5093458951,0.022441163654914588,0.04956218703772726,0.0,0.0,-0.0,-0.0,0.0,0.0,0.002015705077605542,0.9400547539423526,0.11825332823371645,1.0
300.0,0.0011636528911771304,12.144036487473501,114.92823701735442,35.140067643605605,18.586634152627067,17.13938502920958,7.1773471378896,1.2850952363659776,301.4309981388931,-0.03990744010261752,-0.07988960336195859,-0.03998216325934107,1.0,0.008405954005752633,8.110512640304873e-13,2.3,0.0027417260084297824,0.2365066564674329,0.0,0.0022128128690171596,0.283275564336994,0.11383809463699465,0.11825332823371645,1.75,1723435.3413234097,0.016811908011505266,0.04740094308803326,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0022128128690171596,1.0905034220945304,0.11825332823371645,1.0
360.0,0.0011247394229432772,11.726927672780398,115.32585661314093,33.56889210280776,19.0755533058481,17.668616098819577,7.203315342489044,1.2734410455574314,301.4225702421544,-0.041052411946162486,-0.08003953890654598,-0.0389871269603835,1.0,0.006592304883650315,6.360607261352987e-13,2.3,0.0022503271131597497,0.2365066564674329,0.0,0.002363298414226928,0.2749062235245127,0.11119611085633802,0.11825332823371645,1.75,1523999.9475515636,0.01318460976730063,0.04559395169427782,0.0,0.0,-0.0,-0.0,0.0,0.0,0.002363298414226928,1.2250958747521523,0.11825332823371645,1.0
420.0,0.0010924935664675202,11.420445385391503,115.61751718133401,32.29030862569037,19.43389093796548,18.064770478192386,7.225241888108593,1.2637137962707927,301.41566039481177,-0.042024403183264586,-0.0801634159404596,-0.038139012757195015,1.0,0.005294033894762189,5.107966185906669e-13,2.3,0.0018971157391205272,0.2365066564674329,0.0,0.0024800220910644803,0.2679165000520071,0.10894248120481372,0.11825332823371645,1.75,1376737.278339059,0.010588067789524378,0.044194283690854506,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0024800220910644803,1.3407256863601797,0.11825332823371645,1.0
480.0,0.0010661276264769981,11.199859909817764,115.82915427566208,31.25789781673563,19.696396863674313,18.361579500190253,7.243768736040583,1.2557239687399826,301.4100493457194,-0.04283770250126481,-0.08026417424434468,-0.037426471743079864,1.0,0.0043203227618924854,4.168477765467922e-13,2.3,0.0016374387384229343,0.2365066564674329,0.0,0.00257087480088072,0.26215726445067766,0.10704766047944302,0.11825332823371645,1.75,1267505.959783398,0.008640645523784971,0.04314903993641742,0.0,0.0,-0.0,-0.0,0.0,0.0,0.00257087480088072,1.4374299996473363,0.11825332823371645,1.0
540.0,0.001044800053214659,11.041469416353925,115.98406943003546,30.430209850747197,19.88727649889477,18.5829728182502,7.259408817457311,1.2492307160871867,301.40553455338943,-0.04350934641920632,-0.08034580212298963,-0.036836455703783307,1.0,0.0035817102727375002,3.4558250522269354e-13,2.3,0.001443129323125447,0.2365066564674329,0.0,0.0026415556166877875,0.25746726509573414,0.10547762266824157,0.11825332823371645,1.75,1185864.6164166336,0.0071634205454750004,0.0423790110645476,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0026415556166877875,1.5168570938723651,0.11825332823371645,1.0
577.752874225345,0.0010335922739043908,10.965256802616803,116.06049436572638,29.997677798125974,19.97913492721966,18.692098654788985,7.267966078544138,1.2458052195280003,301.4031709840303,-0.043867644087714326,-0.08038899519014268,-0.03652135110242836,1.0,0.0032117525263379585,3.09887009190967e-13,2.3,0.001345722725002706,0.2365066564674329,0.0,0.002677714397940264,0.2549911774859947,0.10463874529055671,0.11825332823371645,1.75,1145192.5010240749,0.006423505052675917,0.04200271326200749,0.0,0.0,-0.0,-0.0,0.0,0.0,0.002677714397940264,1.5589879506411741,0.11825332823371645,1.0
