case,time_s,q_out_pL_s,cumulative_pL,WT_cumulative_pL,deficit_pL,deficit_percent
wt,0.0,0.0010776814707374822,0.0,0.0,0.0,
wt,60.0,0.0017035970562506,0.10875318328773789,0.10875318328773789,0.0,0.0
wt,120.0,0.001679418382296985,0.21019116901327173,0.21019116901327173,0.0,0.0
wt,180.0,0.001660768878266697,0.3103762992016468,0.3103762992016468,0.0,0.0
wt,240.0,0.0016458955405371485,0.40955915891353206,0.40955915891353206,0.0,0.0
wt,300.0,0.001634069411995018,0.5079446407967875,0.5079446407967875,0.0,0.0
wt,360.0,0.0016246358532327643,0.605695249575091,0.605695249575091,0.0,0.0
wt,420.0,0.0016170792498818476,0.7029384088697588,0.7029384088697588,0.0,0.0
wt,480.0,0.0016110019969166195,0.7997742909938588,0.7997742909938588,0.0,0.0
wt,540.0,0.0016060968448914942,0.8962820486991532,0.8962820486991532,0.0,0.0
wt,600.0,0.0016021248621457846,0.992524544081835,0.992524544081835,0.0,0.0
ae4_5pct,0.0,0.0010776814707374822,0.0,0.0,0.0,
ae4_5pct,60.0,0.0012832340634001905,0.07741520505560534,0.10875318328773789,0.03133797823213255,28.815688226080603
ae4_5pct,120.0,0.0012660529361736062,0.15381070767786573,0.21019116901327173,0.056380461335406,26.823420603291893
ae4_5pct,180.0,0.001260922837772352,0.22958002857236115,0.3103762992016468,0.08079627062928563,26.031714031358277
ae4_5pct,240.0,0.0012612414288859482,0.30522806334625496,0.40955915891353206,0.1043310955672771,25.47399888310249
ae4_5pct,300.0,0.0012637938011169831,0.3809725794216991,0.5079446407967875,0.12697206137508837,24.997224338446333
ae4_5pct,360.0,0.001267142332339677,0.4568987569891948,0.605695249575091,0.14879649258589622,24.56623073901939
ae4_5pct,420.0,0.0012706425259781746,0.5330324703000511,0.7029384088697588,0.1699059385697077,24.170814459106914
ae4_5pct,480.0,0.0012740095680837727,0.6093730923356787,0.7997742909938588,0.19040119865818006,23.806866612525567
ae4_5pct,540.0,0.0012771263024760893,0.6859085622080097,0.8962820486991532,0.2103734864911435,23.471795156053343
ae4_5pct,600.0,0.0012799547316181825,0.7626224586023684,0.992524544081835,0.22990208547946656,23.163365263893244
ae4_null,0.0,0.0010776814707374822,0.0,0.0,0.0,
ae4_null,60.0,0.0011610807362785053,0.06846258242752627,0.10875318328773789,0.04029060086021162,37.047743930043154
ae4_null,120.0,0.0011483955127685047,0.1376894493579773,0.21019116901327173,0.07250171965529442,34.49322823392098
ae4_null,180.0,0.0011453469870277816,0.20646756124730517,0.3103762992016468,0.1039087379543416,33.4783094655155
ae4_null,240.0,0.0011469420709708938,0.2752219893918916,0.40955915891353206,0.1343371695216405,32.80043104835128
ae4_null,300.0,0.0011503826142598816,0.34413656386241775,0.5079446407967875,0.16380807693436972,32.24919878619295
ae4_null,360.0,0.0011544067965524264,0.4132791466769465,0.605695249575091,0.19241610289814454,31.76780782631675
ae4_null,420.0,0.0011584513153663158,0.4826655879285037,0.7029384088697588,0.22027282094125505,31.33600585226628
ae4_null,480.0,0.001162272658778718,0.5522887469624109,0.7997742909938588,0.24748554403144785,30.944423547786716
ae4_null,540.0,0.0011657772097033309,0.6221319261042488,0.8962820486991532,0.27415012259490434,30.5874833700843
ae4_null,600.0,0.0011689420473021683,0.6921751966127501,0.992524544081835,0.3003493474690849,30.261150644585044
