quantity,case,integral_60_600,difference_from_WT,percent_change_from_WT
positive_nkcc1_cl_loading,wt,156.87217709705752,0.0,0.0
positive_ae4_cl_loading,wt,41.05550196187763,0.0,0.0
positive_ae2_cl_loading,wt,0.0,0.0,
signed_ae2_cl_flux,wt,-0.4184196364937755,0.0,0.0
nkcc1_cycles,wt,78.43608854852876,0.0,0.0
ae4_signed_cl_flux,wt,41.05550196187763,0.0,0.0
ae4_na_cell_source,wt,-20.527750980938816,0.0,0.0
ae4_k_cell_source,wt,-20.527750980938816,0.0,0.0
ae4_tic_cell_source,wt,-82.11100392375526,0.0,0.0
ae4_ta_cell_source,wt,-82.11100392375526,0.0,0.0
nbc_cycles,wt,39.11027319901621,0.0,0.0
nbc_bicarbonate_equivalent_influx,wt,78.22054639803243,0.0,0.0
nbc_current_charge,wt,3.773567698911014e-09,0.0,0.0
nhe1_flux,wt,4.056564553635599,0.0,0.0
pump_cycles,wt,32.721489102993985,0.0,0.0
cacc_cl_export,wt,207.3272628710079,0.0,0.0
paracellular_cl_return,wt,76.82345519369225,0.0,0.0
water_outflow,wt,0.8837713607940971,0.0,0.0
positive_nkcc1_cl_loading,ae4_5pct,165.78612988545365,8.91395278839613,5.682303231427088
positive_ae4_cl_loading,ae4_5pct,4.178313448309359,-36.87718851356827,-89.82276857267715
positive_ae2_cl_loading,ae4_5pct,0.3592180264042906,0.3592180264042906,
signed_ae2_cl_flux,ae4_5pct,0.3569152679233258,0.7753349044171013,-185.3007929824143
nkcc1_cycles,ae4_5pct,82.89306494272682,4.456976394198065,5.682303231427088
ae4_signed_cl_flux,ae4_5pct,4.178313448309359,-36.87718851356827,-89.82276857267715
ae4_na_cell_source,ae4_5pct,-2.0891567241546793,18.438594256784135,-89.82276857267715
ae4_k_cell_source,ae4_5pct,-2.0891567241546793,18.438594256784135,-89.82276857267715
ae4_tic_cell_source,ae4_5pct,-8.356626896618717,73.75437702713654,-89.82276857267715
ae4_ta_cell_source,ae4_5pct,-8.356626896618717,73.75437702713654,-89.82276857267715
nbc_cycles,ae4_5pct,10.085143450898075,-29.02512974811814,-74.21356941287804
nbc_bicarbonate_equivalent_influx,ae4_5pct,20.17028690179615,-58.05025949623628,-74.21356941287804
nbc_current_charge,ae4_5pct,9.730684153377437e-10,-2.8004992835732706e-09,-74.21356941287804
nhe1_flux,ae4_5pct,1.9820523620797021,-2.0745121915558973,-51.13963217217054
pump_cycles,ae4_5pct,30.571642572208887,-2.149846530785098,-6.570136597445952
cacc_cl_export,ae4_5pct,165.07234045870553,-42.25492241230236,-20.380784382704153
paracellular_cl_return,ae4_5pct,64.61322026974668,-12.210234923945578,-15.893889298730901
water_outflow,ae4_5pct,0.685207253546763,-0.1985641072473341,-22.467814194490053
positive_nkcc1_cl_loading,ae4_null,161.25616080685114,4.383983709793625,2.79462157721011
positive_ae4_cl_loading,ae4_null,0.0,-41.05550196187763,-100.0
positive_ae2_cl_loading,ae4_null,0.40362572141410125,0.40362572141410125,
signed_ae2_cl_flux,ae4_null,0.4015693262557484,0.8199889627495239,-195.9728682001573
nkcc1_cycles,ae4_null,80.62808040342557,2.1919918548968127,2.79462157721011
ae4_signed_cl_flux,ae4_null,0.0,-41.05550196187763,-100.0
ae4_na_cell_source,ae4_null,0.0,20.527750980938816,-100.0
ae4_k_cell_source,ae4_null,0.0,20.527750980938816,-100.0
ae4_tic_cell_source,ae4_null,0.0,82.11100392375526,-100.0
ae4_ta_cell_source,ae4_null,0.0,82.11100392375526,-100.0
nbc_cycles,ae4_null,7.468569428018563,-31.64170377099765,-80.9038167797651
nbc_bicarbonate_equivalent_influx,ae4_null,14.937138856037127,-63.2834075419953,-80.9038167797651
nbc_current_charge,ae4_null,7.206074017236494e-10,-3.052960297187365e-09,-80.90381677976511
nhe1_flux,ae4_null,1.8725178905047142,-2.1840466631308852,-53.83981036795002
pump_cycles,ae4_null,29.721301462999016,-3.0001876399949694,-9.168860349086172
cacc_cl_export,ae4_null,151.59437770029842,-55.732885170709466,-26.881599843135252
paracellular_cl_return,ae4_null,60.40874600135974,-16.414709192332516,-21.366793710262954
water_outflow,ae4_null,0.6237126141852231,-0.26005874660887407,-29.426021044085758
