time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,nkcc1_unrestricted_demand_fmol_s,nkcc1_finite_capacity_fmol_s,nkcc1_capacity_constraint_active,cumulative_outflow_0_t_pL
0.0,0.000986443658562211,10.840906598145207,115.46796949077347,52.63496105172438,5.396560277363248,4.659296011839902,6.901795684420944,1.3240367983674797,301.39393400594406,-0.03450385182283003,-0.06785036102968445,-0.03334650920685442,0.0,0.0,0.0,1.0,0.008468417534965094,0.2365066564674329,0.00025681676895900274,-0.0018042532245834129,0.23983873862510122,0.09628951012613347,0.11825332823371645,1.0,3467973.2850237326,0.0,0.041384526026267715,-0.00012840838447950137,-0.00012840838447950137,0.00012840838447950137,0.00012840838447950137,-0.0005136335379180055,-0.0005136335379180055,0.0,0.26088597423325033,0.11825332823371645,1.0,0.0
60.0,0.0014189983798032241,13.497519915153257,113.28683171965852,46.37027864007286,11.913442398675112,10.572022168016122,6.998305350830452,1.3322426461947974,301.49424899646414,-0.03301011210460723,-0.07965502114719411,-0.046644909042586884,1.0,0.05415112798441502,5.22478956824891e-12,2.3,0.00997292227768888,0.2365066564674329,0.006523863350237283,0.00047442220865089025,0.33876351579075004,0.1315250154460317,0.11825332823371645,1.75,3287856.234344728,0.10830225596883004,0.052518300159008074,-0.0032619316751186416,-0.0032619316751186416,0.0032619316751186416,0.0032619316751186416,-0.013047726700474566,-0.013047726700474566,0.00047442220865089025,0.49660693109701487,0.11825332823371645,1.0,0.09318252722367075
120.0,0.0013426436811188993,13.742490554365165,113.23843261122828,42.78672609293629,14.671183277711078,13.20620377432145,7.057190549201042,1.3251259015628982,301.47277755581223,-0.03500085393843966,-0.07948687985976821,-0.044486025921328554,1.0,0.03148921648882995,3.038247511123338e-12,2.3,0.006567676411751864,0.2365066564674329,0.008538541618266405,0.0012087125066928958,0.32176810052599275,0.12579807361512144,0.11825332823371645,1.75,2848901.345765465,0.0629784329776599,0.053326573554631655,-0.004269270809133203,-0.004269270809133203,0.004269270809133203,0.004269270809133203,-0.01707708323653281,-0.01707708323653281,0.0012087125066928958,0.6110469645753276,0.11825332823371645,1.0,0.1759110610709025
180.0,0.0012836172629616062,13.320426299743533,113.69279661220006,40.13057376470147,16.018475016792948,14.554526259151078,7.1002063922591665,1.310814831371448,301.4582389074801,-0.036596700279130236,-0.07957880536322594,-0.0429821050840957,1.0,0.022374778935866226,2.1588379767386332e-12,2.3,0.004835539895259277,0.2365066564674329,0.009484830870338835,0.0015803565513191745,0.30913254922625866,0.12180516040103723,0.11825332823371645,1.75,2438943.903538255,0.04474955787173245,0.051908928432760154,-0.004742415435169418,-0.004742415435169418,0.004742415435169418,0.004742415435169418,-0.01896966174067767,-0.01896966174067767,0.0015803565513191745,0.7464326293931306,0.11825332823371645,1.0,0.25463583770319326
240.0,0.0012349015271266334,12.778827741698413,114.20815525163653,38.01518773714609,16.782060465802385,15.35252619895287,7.13418083889504,1.2956928888200034,301.44713249828635,-0.037950851323821255,-0.07973738150559151,-0.041786530181770254,1.0,0.018384883652219196,1.773871605171928e-12,2.3,0.0037862725360995496,0.2365066564674329,0.010082713780216888,0.0018180588500077938,0.29879559585797705,0.11863538595511705,0.11825332823371645,1.75,2109125.4476892794,0.03676976730443839,0.049938852297180265,-0.005041356890108444,-0.005041356890108444,0.005041356890108444,0.005041356890108444,-0.020165427560433775,-0.020165427560433775,0.0018180588500077938,0.8835943842386847,0.11825332823371645,1.0,0.3301486339562278
300.0,0.001193922996258079,12.302131798135031,114.64136075727205,36.29016962500612,17.265549337247442,15.877176569997427,7.161895967762034,1.2818979523821814,301.4381552127627,-0.039113746727542704,-0.07989365966724883,-0.04077991293970613,1.0,0.0164037896472992,1.582725092146281e-12,2.3,0.003088775879945253,0.2365066564674329,0.01052093069263776,0.0019891254314037383,0.2900924307621508,0.11596706439270345,0.11825332823371645,1.75,1857375.4638544326,0.0328075792945984,0.04805697732164234,-0.00526046534631888,-0.00526046534631888,0.00526046534631888,0.00526046534631888,-0.02104186138527552,-0.02104186138527552,0.0019891254314037383,1.011695593204361,0.11825332823371645,1.0,0.4029779126469039
360.0,0.0011596282672325542,11.9341147498876,114.96486980435843,34.87916529063762,17.590782548174143,16.242233800506988,7.184809869219463,1.2700030617087652,301.43079436721666,-0.04010712181878614,-0.08002779699094466,-0.03992067517215852,1.0,0.01526202372875295,1.4725614282920491e-12,2.3,0.0025997619071249554,0.2365066564674329,0.010862134081901405,0.0021187630856560813,0.28276847619066353,0.11368839740694606,0.11825332823371645,1.75,1669119.870634418,0.0305240474575059,0.04650587136221998,-0.005431067040950702,-0.005431067040950702,0.005431067040950702,0.005431067040950702,-0.02172426816380281,-0.02172426816380281,0.0021187630856560813,1.1249547730821925,0.11825332823371645,1.0,0.47355295626362653
420.0,0.0011312643113154247,11.665942442313238,115.19341568100523,33.73002230302468,17.813493166700066,16.501100431922097,7.203847320506989,1.2600093047551917,301.4247763900572,-0.040946287397304285,-0.08013760951274931,-0.03919132211544503,1.0,0.01452204924640542,1.401164744602423e-12,2.3,0.002245523818463212,0.2365066564674329,0.011132796361766,0.002218843385995855,0.27666702882849403,0.11175296046037528,0.11825332823371645,1.75,1528905.8490401714,0.02904409849281084,0.04532054813000977,-0.005566398180883,-0.005566398180883,0.005566398180883,0.005566398180883,-0.022265592723532,-0.022265592723532,0.002218843385995855,1.2215016808058508,0.11825332823371645,1.0,0.5422519631469495
480.0,0.0011080683225096395,11.475058572687193,115.35125332642542,32.79982964232144,17.964760226042138,16.68432847863334,7.219681419138892,1.2517300676377086,301.41989301393954,-0.04164673479476763,-0.08022616685216875,-0.03857943205740112,1.0,0.014014906007673656,1.352232860780976e-12,2.3,0.001983150389176508,0.2365066564674329,0.01134786204192343,0.002296476496630922,0.2716408942015544,0.11012821926276757,0.11825332823371645,1.75,1424034.151383773,0.02802981201534731,0.04444830765660099,-0.005673931020961715,-0.005673931020961715,0.005673931020961715,0.005673931020961715,-0.02269572408384686,-0.02269572408384686,0.002296476496630922,1.301876097345122,0.11825332823371645,1.0,0.6094080552711487
540.0,0.0010892683720496261,11.33997601756185,115.45991242317427,32.05115982617436,18.065337943227384,16.8127258068733,7.232844470852173,1.2449344710543726,301.41595951269045,-0.042225063690389475,-0.08029735157388015,-0.03807228788349068,1.0,0.013663950825701343,1.3183708334891424e-12,2.3,0.0017855163428036394,0.2365066564674329,0.011518118403184886,0.0023567164998157288,0.26754084051594645,0.10878088258129423,0.11825332823371645,1.75,1345026.557323339,0.027327901651402687,0.04381665657352685,-0.005759059201592443,-0.005759059201592443,0.005759059201592443,0.005759059201592443,-0.02303623680636977,-0.02303623680636977,0.0023567164998157288,1.3677579374836548,0.11825332823371645,1.0,0.675308064629284
600.0,0.001074134912678418,11.244097339820513,115.53539437272003,31.451426562706178,18.13035328014212,16.90168254805282,7.243775127806578,1.2393967731578857,301.412810131704,-0.04269818778183308,-0.08035458607484214,-0.037656398293009055,1.0,0.013424018311195317,1.2952208651406417e-12,2.3,0.001634580784142792,0.2365066564674329,0.011652317117005234,0.002403441274186126,0.26422242424542625,0.10767550298428938,0.11825332823371645,1.75,1285050.945076519,0.026848036622390634,0.04336106895845666,-0.005826158558502617,-0.005826158558502617,0.005826158558502617,0.005826158558502617,-0.02330463423401047,-0.02330463423401047,0.002403441274186126,1.4211952527629599,0.11825332823371645,1.0,0.7401935470007617
