quantity,case,initial,final_600,minimum_all_monitored,maximum_all_monitored
na_i_mM,wt,11.504825605191392,17.554236213411517,11.504825605191392,17.554236213411517
k_i_mM,wt,116.97377381898451,110.9250542345229,110.9250542345229,116.97377381898451
cl_i_mM,wt,60.57229665283094,53.97991919827271,53.97991919827271,60.57229665283094
tic_i_mM,wt,5.685898476324307,8.352764494160434,5.685898476324307,8.826411852982437
hco3_i_mM,wt,4.92311254096896,7.5025551896128375,4.92311254096896,7.818109018636752
ph_i,wt,6.9109830678074875,7.047833031619992,6.9109830678074875,7.047833031619992
volume_i_pL,wt,1.4533343925874602,1.401540836586623,1.401540836586623,1.469440222991976
v_apical_V,wt,-0.03142872407710091,-0.029289166665918243,-0.03142872407710091,-0.02694185994955283
v_basolateral_V,wt,-0.06705742727215,-0.07920378267824116,-0.08036583892129126,-0.06705742727215
v_transepithelial_V,wt,-0.03562870319504909,-0.049914616012322915,-0.05317567533155258,-0.03562870319504909
na_i_mM,ae4_5pct,11.504825605191392,14.323384325428759,11.504825605191392,15.265027689270145
k_i_mM,ae4_5pct,116.97377381898451,117.8981255857837,114.9632640177451,117.8981255857837
cl_i_mM,ae4_5pct,60.57229665283094,57.59038673625628,56.47636551294439,60.57764069591039
tic_i_mM,ae4_5pct,5.685898476324307,16.438127382619673,5.685898476324307,16.438127382619673
hco3_i_mM,ae4_5pct,4.92311254096896,15.25635963297505,4.92311254096896,15.25635963297505
ph_i,ae4_5pct,6.9109830678074875,7.215559455115095,6.9109830678074875,7.215559455115095
volume_i_pL,ae4_5pct,1.4533343925874602,1.629494635492381,1.4533343925874602,1.629494635492381
v_apical_V,ae4_5pct,-0.03142872407710091,-0.03800309172836578,-0.038311553347433046,-0.03142872407710091
v_basolateral_V,ae4_5pct,-0.06705742727215,-0.0804480792466141,-0.08158702199063425,-0.06705742727215
v_transepithelial_V,ae4_5pct,-0.03562870319504909,-0.042444987518248316,-0.04405377004595744,-0.03562870319504909
na_i_mM,ae4_null,11.504825605191392,13.54050398368057,11.504825605191392,14.91576935421916
k_i_mM,ae4_null,116.97377381898451,119.41653116904929,115.34686479204231,119.41653116904929
cl_i_mM,ae4_null,60.57229665283094,59.13386122855765,57.312379926814245,60.59613850292118
tic_i_mM,ae4_null,5.685898476324307,17.655345038584954,5.685898476324307,17.655345038584954
hco3_i_mM,ae4_null,4.92311254096896,16.438582655144376,4.92311254096896,16.438582655144376
ph_i,ae4_null,6.9109830678074875,7.235748788420921,6.9109830678074875,7.235748788420921
volume_i_pL,ae4_null,1.4533343925874602,1.6918139922313937,1.4533343925874602,1.6918139922313937
v_apical_V,ae4_null,-0.03142872407710091,-0.0413079845881031,-0.041767043950244304,-0.03142872407710091
v_basolateral_V,ae4_null,-0.06705742727215,-0.08097314791889072,-0.08186117103890972,-0.06705742727215
v_transepithelial_V,ae4_null,-0.03562870319504909,-0.03966516333078762,-0.04193511817240349,-0.03562870319504909
