time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,nkcc1_unrestricted_demand_fmol_s,nkcc1_finite_capacity_fmol_s,nkcc1_capacity_constraint_active
0.0,0.000986443658562211,10.840906598145207,115.46796949077347,52.63496105172438,5.396560277363248,4.659296011839902,6.901795684420944,1.3240367983674797,301.39393400594406,-0.03450385182283003,-0.06785036102968445,-0.03334650920685442,0.0,0.0,0.0,1.0,0.008468417534965094,0.2365066564674329,0.0,-0.0018042532245834129,0.23983873862510122,0.09628951012613347,0.11825332823371645,1.0,3467973.2850237326,0.0,0.041384526026267715,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.26088597423325033,0.11825332823371645,1.0
1e-06,0.000986443658562211,10.840906598145207,115.46796949077347,52.63496105172438,5.396560277363248,4.659296011839902,6.901795684420944,1.3240367983674797,301.39393400594406,-0.030730091043658495,-0.08043616481604166,-0.04970607377238316,1.0,0.10297860283126008,9.935924695427701e-12,2.3,0.01947736033041971,0.2365066564674329,0.0,-0.0018042532245834129,0.5611984596498165,0.1386782447816305,0.11825332823371645,1.75,3467973.2850237326,0.20595720566252015,0.041384526026267715,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.4565504549081881,0.11825332823371645,1.0
1.0,0.0012674156038938761,10.933458649899825,115.37721511817638,52.428847790817635,5.561733364943237,4.805086426447268,6.903917262703466,1.3233724940300917,301.7569222667547,-0.030676013305786346,-0.08040793667600911,-0.049731923370222766,1.0,0.10212172739803084,9.853248784667109e-12,2.3,0.01919609989378848,0.2365066564674329,0.0,-0.0017282561138849534,0.5264241401111657,0.1389034409264577,0.11825332823371645,1.75,3467514.18104819,0.20424345479606168,0.04184950173820701,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.4566482001837752,0.11825332823371645,1.0
2.0,0.0014857840068673994,11.021987121122681,115.28574550142103,52.23436477280989,5.724069038087045,4.948583836159064,6.906027575307793,1.3229762290647942,301.7191480007403,-0.030632270724485874,-0.08037899533958433,-0.04974672461509845,1.0,0.10125485840703188,9.769608642166046e-12,2.3,0.018921458657723243,0.2365066564674329,0.0,-0.0016548849396988662,0.5003446679745444,0.13899860681268544,0.11825332823371645,1.75,3466954.536966275,0.20250971681406377,0.0422887302104756,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.45676737972042114,0.11825332823371645,1.0
3.0,0.0016366645079276766,11.107544716029802,115.19994293906504,52.051962289023415,5.884049920622295,5.090196049853468,6.908124958488917,1.3227209923075005,301.6888753509621,-0.030612635257016577,-0.08035309945600817,-0.0497404641989916,1.0,0.10037444544584125,9.684661705202814e-12,2.3,0.018652810208361858,0.2365066564674329,0.0,-0.0015839209818425334,0.47934677933305336,0.13903347632474503,0.11825332823371645,1.75,3466925.802487072,0.2007488908916825,0.04270820369974601,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.4567734997537235,0.11825332823371645,1.0
4.0,0.0017376235945504666,11.190385137244988,115.11901348023761,51.879544647635555,6.041769819927438,5.22999577168892,6.91020807805752,1.3225777727680064,301.66411050717966,-0.03060996898206847,-0.0803294986330422,-0.04971952965097373,1.0,0.09948155312292721,9.598510692879057e-12,2.3,0.018390009731306275,0.2365066564674329,0.0,-0.0015151949243066595,0.46208764531953156,0.13902548291087907,0.11825332823371645,1.75,3467243.9912841152,0.19896310624585442,0.043109707417774146,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.4567057347466054,0.11825332823371645,1.0
5.0,0.0018016929223016122,11.270705991754802,115.04235096019369,51.71553708002111,6.197300662663541,5.368037319925356,6.912275873251114,1.322524850620319,301.6435287329417,-0.030619674962318846,-0.0803076751496893,-0.04968800018737045,1.0,0.09857726451843668,9.511260106542456e-12,2.3,0.018132925589518113,0.2365066564674329,0.0,-0.0014485671443495555,0.44767878524637833,0.13898586846608335,0.11825332823371645,1.75,3467775.2904755855,0.19715452903687336,0.04349465814337323,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.45659260621358616,0.11825332823371645,1.0
6.0,0.0018386286940431402,11.348666864237165,114.9694783709295,51.5587187298938,6.350700056157948,5.5043630716319445,6.914327496377597,1.3225454341623575,301.6262132208301,-0.030638645503889186,-0.08028725688017127,-0.049648611376282084,1.0,0.09766266652477516,9.423014815367738e-12,2.3,0.01788143308410162,0.2365066564674329,0.0,-0.0013839186333859652,0.435503087029692,0.13892224760305855,0.11825332823371645,1.75,3468419.6751799113,0.19532533304955033,0.04386422439779667,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.4564554368904681,0.11825332823371645,1.0
7.0,0.001855773442916703,11.424400286676734,114.90001064065427,51.40811957164704,6.502015814046934,5.639007316132426,6.916362270758297,1.3226262231930088,301.6115041524235,-0.030664696420235484,-0.0802679676087796,-0.04960327118854412,1.0,0.09673883979840721,9.333879086852793e-12,2.3,0.017635411255293245,0.2365066564674329,0.0,-0.001321145447131868,0.42511501399233814,0.13883998548104026,0.11825332823371645,1.75,3469100.7835625857,0.19347767959681442,0.044219397565123775,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.4563104958608043,0.11825332823371645,1.0
8.0,0.0018586673752525958,11.498018836073795,114.8336304940723,51.26295364499246,6.651288845123394,5.771998712315398,6.9183796599956,1.3227564790962114,301.59891112184596,-0.030696242884636817,-0.08024959708406626,-0.04955335419942944,1.0,0.0958068512080668,9.24395585818175e-12,2.3,0.01739474119961249,0.2365066564674329,0.0,-0.0012601551175855372,0.41618257416531484,0.1387429877969228,0.11825332823371645,1.75,3469759.409924605,0.1916137024161336,0.04456103708372784,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.4561703836053924,0.11825332823371645,1.0
