time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_cl_source_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,co3_i_mM,ae4_hco3_cell_source_fmol_s,ae4_co3_cell_source_fmol_s,source_signature_residual_fmol_s,ae4_charge_residual_fmol_s,cell_balance_residual_fmol_s,cumulative_outflow_0_t_pL
0.0,0.0010799400042899477,11.40177146832681,116.64434335982212,60.99517069248227,5.946774383294407,5.031264112357434,6.840843854589356,1.456772585234196,301.4159555914522,-0.031242021389299213,-0.06691156015199645,-0.03566953876269724,0.0,0.0,0.0,1.0,0.011296389505623372,0.25532364899507004,0.0,-0.0019557928604068717,0.25999394731767683,0.10247071016134802,0.12766182449753502,1.0,4947968.391269685,0.0,0.04411070760671444,-0.0,0.0,0.0,-0.0,-0.0,0.0017479176608417202,0.0,-0.0,0.0,0.0,0.0,0.0
1e-06,0.0010799400042899477,11.40177146832681,116.64434335982212,60.99517069248227,5.946774383294407,5.031264112357434,6.840843854589356,1.456772585234196,301.4159555914522,-0.027185361887705508,-0.08026093363103143,-0.05307557174332592,1.0,0.10038295513386301,9.685482765277833e-12,2.3,0.02598169586293375,0.4468163857413725,0.0,-0.0019557928604068717,0.6137708394713931,0.14757091502715233,0.22340819287068625,1.75,4947968.391269685,0.20076591026772603,0.04411070760671444,-0.0,0.0,0.0,-0.0,-0.0,0.0017479176608417202,0.0,-0.0,0.0,0.0,2.7755575615628914e-17,1.0799400042899476e-09
1.0,0.0013923746237580249,11.546588745803419,116.53091265338361,60.87990464632251,6.08743156199149,5.155233923456214,6.8435808549140695,1.4569798249684691,301.84286738834066,-0.02708865115901264,-0.08022519277280689,-0.05313654161379425,1.0,0.0995021163249305,9.600494740253794e-12,2.3,0.025538324839001786,0.43776959791044456,0.0,-0.0018999620522072457,0.5797418020710364,0.1479051480958102,0.21888479895522228,1.75,4987039.0942274975,0.199004232649861,0.04478247122269732,-0.0,0.0,0.0,-0.0,-0.0,0.001802308917378645,0.0,-0.0,0.0,0.0,2.7755575615628914e-17,0.0012361571578066767
5.0,0.002019511885642614,12.062750268761517,116.08208828080141,60.45743460702973,6.625489050042338,5.631706846988294,6.85423151028292,1.459553172061801,301.7263723454882,-0.026859453626956662,-0.08008943500008857,-0.05322998137313191,1.0,0.09593846176213107,9.256654346201137e-12,2.3,0.02389743807376639,0.4082975679827896,0.0,-0.0016923738666048767,0.5014681075539662,0.14835428157561542,0.2041487839913948,1.75,5118126.064345394,0.19187692352426214,0.04706389429838239,-0.0,0.0,0.0,-0.0,-0.0,0.0020177694867440643,0.0,-0.0,0.0,0.0,2.7755575615628914e-17,0.00833893734431363
10.0,0.0020987779743414426,12.606640019880816,115.63368784233258,60.010938786672746,7.256752917984313,6.194779187797149,6.86684748719476,1.4634853276338013,301.65555593437387,-0.026823714080165983,-0.07995987764636243,-0.05313616356619645,1.0,0.09136705798602682,8.815580934609096e-12,2.3,0.022093742585433555,0.379986769615832,0.0,-0.0014612080526506847,0.45402424437086936,0.1482829930270125,0.189993384807916,1.75,5249821.895850058,0.18273411597205363,0.049281732142164365,-0.0,0.0,0.0,-0.0,-0.0,0.0022849321993551794,0.0,-0.0,0.0,0.0,2.7755575615628914e-17,0.018782788157819686
15.0,0.0019965454535564447,13.064889391121076,115.27032823511021,59.60356673131948,7.847262624912473,6.72525769236861,6.8787020213022965,1.4673959552419953,301.6181306476939,-0.026891404486405392,-0.07985153416532792,-0.052960129678922524,1.0,0.08675634053427023,8.370714329964882e-12,2.3,0.020517194307878024,0.3592357475079978,0.0,-0.0012552261721401482,0.42905508865118025,0.1479398854251271,0.1796178737539989,1.75,5350172.26043083,0.17351268106854045,0.051007270332614416,-0.0,0.0,0.0,-0.0,-0.0,0.002549241331548947,0.0,-0.0,0.0,0.0,2.7755575615628914e-17,0.029040922380505832
20.0,0.0018885932614688074,13.456991848769354,114.96786422412146,59.21597116881477,8.400286099117674,7.225251122081144,6.889841947896652,1.4709967788016423,301.5964923060011,-0.027003457531132098,-0.07975493160709639,-0.05275147407596429,1.0,0.08218662460325239,7.929803770666571e-12,2.3,0.01912825140418646,0.3441958201199196,0.0,-0.0010702409939756284,0.414679552991372,0.14747343709336058,0.1720979100599598,1.75,5425030.265893838,0.16437324920650478,0.05238421233105739,-0.0,0.0,0.0,-0.0,-0.0,0.002809926072361155,0.0,-0.0,0.0,0.0,2.7755575615628914e-17,0.03874465798845706
25.0,0.0018087677826912842,13.796737012123252,114.71123473640297,58.84143425381127,8.918259767446994,7.696321661033002,6.9003251630492395,1.4742070221621266,301.58319526855604,-0.027135648984247064,-0.07966598799198796,-0.052530339007740894,1.0,0.07771954941260435,7.498796537291882e-12,2.3,0.017896012229780846,0.33346011033916023,0.0,-0.0009032635399309674,0.4058769113463803,0.14694788184279606,0.16673005516958012,1.75,5479599.793516111,0.1554390988252087,0.05350628587248425,-0.0,0.0,0.0,-0.0,-0.0,0.0030662557343958596,0.0,-0.0,0.0,0.0,2.7755575615628914e-17,0.04797616326267336
30.0,0.0017553588469551434,14.09425802796885,114.49032918676838,58.47805476691477,9.40327368490073,8.13985341483934,6.910210660721846,1.4770259667144645,301.574548368096,-0.027276157169383336,-0.07958288709744286,-0.05230672992805953,1.0,0.0733996601797493,7.081990589938252e-12,2.3,0.016795931745765578,0.32598051954706575,0.0,-0.0007519778861013912,0.40016024500704955,0.14639728601649907,0.16299025977353288,1.75,5518192.63750342,0.1467993203594986,0.054437043110892536,-0.0,0.0,0.0,-0.0,-0.0,0.0033176246162433995,0.0,-0.0,0.0,0.0,2.7755575615628914e-17,0.05687745783603433
35.0,0.0017204918214589722,14.35720012490618,114.29803075202942,58.12584534374564,9.857249647619376,8.557175071050748,6.919554207451316,1.4794850777699213,301.5685823747578,-0.027418715438788287,-0.07950484880647612,-0.05208613336768784,1.0,0.06925703705480732,6.682288221880231e-12,2.3,0.015808279044436324,0.3209719318603601,0.0,-0.0006145056643606096,0.3962038945658268,0.1458415864147685,0.16048596593018005,1.75,5544304.395964627,0.13851407410961464,0.05522092620178976,-0.0,0.0,0.0,-0.0,-0.0,0.0035635645072313216,0.0,-0.0,0.0,0.0,2.7755575615628914e-17,0.06556118497641021
