ae4_expression,ae4_parameters_sha256,calcium_uM,co2_factor,cumulative_flow_sha256,cumulative_t000_pL,cumulative_t030_pL,cumulative_t060_pL,cumulative_t120_pL,cumulative_t300_pL,cumulative_t600_pL,endpoint_ae4_capacity_multiplier,endpoint_cell_cl_mM,endpoint_cell_k_mM,endpoint_cell_na_mM,endpoint_cell_ph,endpoint_cell_volume_pL,endpoint_flow_pL_s,endpoint_lumen_cl_mM,endpoint_lumen_k_mM,endpoint_lumen_na_mM,endpoint_lumen_ph,endpoint_lumen_volume_pL,exact_time_grid,flow_sha256,flow_t000_pL_s,flow_t030_pL_s,flow_t060_pL_s,flow_t120_pL_s,flow_t300_pL_s,flow_t600_pL_s,initial_ae4_capacity_multiplier,initial_cell_cl_mM,initial_cell_k_mM,initial_cell_na_mM,initial_cell_ph,initial_cell_volume_pL,initial_lumen_cl_mM,initial_lumen_k_mM,initial_lumen_na_mM,initial_lumen_ph,initial_lumen_volume_pL,initial_max_abs_amount_rhs_fmol_s,initial_max_abs_volume_rhs_pL_s,max_ae4_charge_residual_fmol_s,max_ae4_expression_scaling_residual_fmol_s,max_dimensionless_conservation_ratio,max_nkcc1_chloride_stoichiometry_residual_fmol_s,maximum_ae4_capacity_multiplier,maximum_cell_cl_mM,maximum_cell_k_mM,maximum_cell_na_mM,maximum_cell_ph,maximum_cell_volume_pL,maximum_flow_pL_s,maximum_flow_time_s,maximum_lumen_cl_mM,maximum_lumen_k_mM,maximum_lumen_na_mM,maximum_lumen_ph,maximum_lumen_volume_pL,minimum_ae4_capacity_multiplier,minimum_cell_cl_mM,minimum_cell_k_mM,minimum_cell_na_mM,minimum_cell_ph,minimum_cell_volume_pL,minimum_flow_pL_s,minimum_flow_time_s,minimum_lumen_cl_mM,minimum_lumen_k_mM,minimum_lumen_na_mM,minimum_lumen_ph,minimum_lumen_volume_pL,negative_net_cycle_samples,nhe1_factor,nonnegative_flow,onset_rest_rhs_match,opposing_cation_samples,positive_core,resting_state_sha256,root_alias,root_id,routing_family,sample_count,solver,solver_message,solver_success,states_sha256,time_grid_sha256,total_0_600_pL,trajectory_path,trajectory_sha256,valid,wall_seconds,whole_cell_parameters_sha256
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.1,1.0,7c1e03c63152594fcd01a9f42c810cb01fafd068efef6134f8962471481083ba,0.0,0.04381508630573833,0.08702005153249678,0.1730212945233862,0.4309497119381507,0.8590320091143627,1.2499999994847115,62.222172943714476,113.52841200010175,14.334065663766832,6.7628167463810005,1.4631669695666187,0.001424328812642442,146.9248207378343,32.53683986147127,117.75836768506045,6.669905402312249,0.10712164406321222,True,d4ad5944c656ce0c352297158180f8961df957a660c5b030d4e53e02d4fde3b0,0.0010850542406226043,0.0014593339849051175,0.0014326482303738813,0.0014344390319827593,0.0014303992987863253,0.001424328812642442,1.0,61.50684030386831,116.48029872948631,11.208315307912745,6.763511340188785,1.4522172371884294,145.60892450814185,27.568213673425408,122.66706583303129,6.78820833834089,0.10542527120311303,1.6653345369377348e-16,9.085614205428527e-17,0.0,0.0,0.0006989964163039986,5.551115123125783e-17,1.2499999994847115,62.9534165587021,116.48029872948631,14.334065663766832,6.764461724700199,1.4768814546432056,0.0015225754554090837,12.0,146.95370806842308,33.090338672078126,122.66706583303129,6.78820833834089,0.10761287727704542,1.0,61.50684030386831,113.52841200010175,11.208315307912745,6.7628167463810005,1.4522172371884294,0.0010850542406226043,0.0,145.60892450814185,27.568213673425408,117.20632454935595,6.665402637933374,0.10542527120311303,0,0.25,True,True,0,True,2c3b590e90a864c6313196f320249711190358c2827eb97e0e0bc82974f06229,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,5c1bc9e1f44b0800415f9bddc0490801106ccafdc938e495885cd46bfca04439,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,0.8590320091143627,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_co2x1_nhe1x0p25_ca0.10_e1.00_production_radau.npz,55fb47073404c30f7f5308046a4dfefae43f675ffd9a766ee544c9406f059c59,True,0.8552996969992819,cae8a4e0e8624f4b9a30fd5f7541955da802788f726b9141c8ba845e803271f4
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.1,1.0,e6086f53f9527e56a74b7e59f8a2cec861ea1117468ba77e80f2a21a070b1f12,0.0,0.043926773131580214,0.0872469191316069,0.17348795007492637,0.43214178025349764,0.8613664490088483,1.2499999994847115,61.90091736428956,114.60975177536054,14.342846342318717,6.876528751851363,1.4940660727480295,0.0014280436222065763,146.93575457096205,32.632497605103055,117.66443166348918,6.669975821008122,0.10714021811103289,True,de338cce6cb2987bf13dc1eaac0f595b69e9904bd7e2b1be94759f0f2d855657,0.0010875100526657356,0.0014631904764463495,0.0014365226823860877,0.0014385183198323327,0.0014343289249935639,0.0014280436222065763,1.0,61.161253009649826,117.61692125143978,11.216568707644003,6.8813232266575985,1.4846116050639417,145.61867340840348,27.63536460638248,122.5999224349838,6.787039075974916,0.10543755026332868,4.440892098500626e-16,5.104423828061755e-16,4.336808689942018e-19,0.0,0.004879652237832488,5.551115123125783e-17,1.2499999994847115,62.647230941515694,117.61692125143978,14.342846342318717,6.881435504703664,1.509122845128087,0.0015264722046383072,12.0,146.9675780279084,33.19381392574818,122.5999224349838,6.787039075974916,0.10763236102319154,1.0,61.161253009649826,114.60975177536054,11.216568707644003,6.876528751851363,1.4846116050639417,0.0010875100526657356,0.0,145.61867340840348,27.63536460638248,117.1050364033537,6.667333196967683,0.10543755026332868,0,0.25,True,True,0,True,20fe536553869c61acb6713e8a4daa1715b0911dc16bc63dac4080d390dc3ae5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,722ee604329a30503309513978e656141ff564772a1df9a21d52459435cb6c83,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,0.8613664490088483,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_co2x1_nhe1x0p25_ca0.10_e0.05_production_radau.npz,5ec67daae39244ca806038fd02dbeb9c97a6d2368597688cd4aec7da3f78ea63,True,0.7808594260022801,cae8a4e0e8624f4b9a30fd5f7541955da802788f726b9141c8ba845e803271f4
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.25,1.0,9c811f68e56b20f57e117b29fec49c3cb47252e02056c0c38b68d12faa571404,0.0,0.0579747323215143,0.1107491946977466,0.21487015222044728,0.5198721231339146,1.012861243442808,1.2499999994847115,56.20236218796317,109.20721816489137,16.8892907027916,6.749194330074023,1.3592983383016708,0.001625327188039605,147.54265687049323,34.66671758832137,115.66825453214602,6.604430884811701,0.10812663594019803,True,3bd54da89ba6e30a27b67cc6bba5b71111c2e64bb55a894df480b76aeb541a0c,0.0010850542406226043,0.0017968925919810087,0.00174545031926881,0.0017246382501865277,0.0016687564483030327,0.001625327188039605,1.0,61.50684030386831,116.48029872948631,11.208315307912745,6.763511340188785,1.4522172371884294,145.60892450814185,27.568213673425408,122.66706583303129,6.78820833834089,0.10542527120311303,1.6653345369377348e-16,9.085614205428527e-17,0.0,0.0,0.0006674660824046441,0.0,1.2499999994847115,61.50684030386831,116.48029872948631,16.8892907027916,6.763679756841507,1.4522172371884294,0.002159651940578597,8.0,147.7703648605928,38.85321614621084,122.66706583303129,6.78820833834089,0.11079825970289299,1.0,56.20236218796317,109.20721816489137,11.208315307912745,6.749194330074023,1.3592983383016708,0.0010850542406226043,0.0,145.60892450814185,27.568213673425408,111.49126899549806,6.563938840933332,0.10542527120311303,0,0.25,True,True,0,True,2c3b590e90a864c6313196f320249711190358c2827eb97e0e0bc82974f06229,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,371a2039304a1df996bf673a7fec6cdbddb6a78ac8e68c3b96fb3acc4c90ba14,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,1.012861243442808,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_co2x1_nhe1x0p25_ca0.25_e1.00_production_radau.npz,848224b45f06df72145e36a30cb62ae7bf6349c4a0acbda1c5d600cb60090335,True,0.776956441000948,cae8a4e0e8624f4b9a30fd5f7541955da802788f726b9141c8ba845e803271f4
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.25,1.0,cb4b90bc1a52701be81f09048151da51019c552d085cd91f46480610a8fe17ce,0.0,0.05816542400479975,0.11110462952620845,0.2155518584917074,0.5215698513432674,1.0163740130161683,1.2499999994847115,55.825083651813934,110.51613025271006,16.910563684801136,6.880905482488161,1.3914011246069928,0.001631476384180397,147.55122670299622,34.81326180479237,115.51889659559039,6.599229475391453,0.10815738192090199,True,30c8df5051aa8b730105aaa39fb9d04c83e9f2b26d8465de9c7d71ee20fa1695,0.0010875100526657356,0.0018027826573385642,0.0017508198180011536,0.0017301377023061977,0.001674578333663218,0.001631476384180397,1.0,61.161253009649826,117.61692125143978,11.216568707644003,6.8813232266575985,1.4846116050639417,145.61867340840348,27.63536460638248,122.5999224349838,6.787039075974916,0.10543755026332868,4.440892098500626e-16,5.104423828061755e-16,8.673617379884035e-19,0.0,0.005972111694063642,0.0,1.2499999994847115,61.161253009649826,117.61692125143978,16.910563684801136,6.884080866619517,1.4846116050639417,0.0021666922356724655,8.0,147.77476800830303,38.980121886003744,122.5999224349838,6.787039075974916,0.11083346117836233,1.0,55.825083651813934,110.51613025271006,11.216568707644003,6.880905482488161,1.3914011246069928,0.0010875100526657356,0.0,145.61867340840348,27.63536460638248,111.36317801051524,6.557826387769319,0.10543755026332868,0,0.25,True,True,0,True,20fe536553869c61acb6713e8a4daa1715b0911dc16bc63dac4080d390dc3ae5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,cde356b2b8eebf31a27dcdc5e7ed0f68541a933c5d1962dcef65582e131ab097,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,1.0163740130161683,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_co2x1_nhe1x0p25_ca0.25_e0.05_production_radau.npz,ed9c2ab4ccc77786e66fd56547f26ca9ab2e5e1e3bd755820cb2f28c98db701b,True,1.0436680159982643,cae8a4e0e8624f4b9a30fd5f7541955da802788f726b9141c8ba845e803271f4
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.5,1.0,5377552041dff255cc4aa0473c28efb7727431d0c91746ae30c11d9309421e08,0.0,0.0631651681847291,0.11884336068687074,0.22847854890239347,0.5466311807240367,1.0560137787346942,1.2499999994847115,54.55965083001319,107.83680063208143,17.772612443970516,6.74515234292889,1.333390415446732,0.001674381853284157,147.67749767169175,35.11287740550395,115.23201073601905,6.588773103758567,0.10837190926642079,True,b3fae222faa00583e76061ec7f220ff93a8a16b85941a720f3d093903e63d028,0.0010850542406226043,0.001888530096465646,0.0018432609783996636,0.0018106286354136166,0.0017318726022974825,0.001674381853284157,1.0,61.50684030386831,116.48029872948631,11.208315307912745,6.763511340188785,1.4522172371884294,145.60892450814185,27.568213673425408,122.66706583303129,6.78820833834089,0.10542527120311303,1.6653345369377348e-16,9.085614205428527e-17,0.0,0.0,0.0006488143355909415,5.551115123125783e-17,1.2499999994847115,61.50684030386831,116.48029872948631,17.772612443970516,6.763673967732325,1.4522172371884294,0.0024582699383427307,7.0,147.97475994175952,40.882781675344134,122.66706583303129,6.78820833834089,0.11229134969171366,1.0,54.55965083001319,107.83680063208143,11.208315307912745,6.74515234292889,1.333390415446732,0.0010850542406226043,0.0,145.60892450814185,27.568213673425408,109.47899544358158,6.533906245248783,0.10542527120311303,0,0.25,True,True,0,True,2c3b590e90a864c6313196f320249711190358c2827eb97e0e0bc82974f06229,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,2078a8175f4c4755ab8eaaef3b0937b7eb36a96048f2631b6b6c0af899b569b9,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,1.0560137787346942,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_co2x1_nhe1x0p25_ca0.50_e1.00_production_radau.npz,55ef479df173c5846f8e704cd1df031c6eaef6caffa5750021a0b35da25298d4,True,0.9615380549985275,cae8a4e0e8624f4b9a30fd5f7541955da802788f726b9141c8ba845e803271f4
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.5,1.0,6bcde2aa52b5bc24550e6a509679e56833c1964eff843b9597868a2b19a516a5,0.0,0.06339471447796415,0.11925242136199138,0.2292426786686028,0.5485196361215275,1.059970577654941,1.2499999994847115,54.16899435357322,109.20840562113325,17.79812243537013,6.881780221983483,1.3656123765946218,0.0016813815423647933,147.68613678222448,35.278241041073294,115.06315610982526,6.582574921600557,0.10840690771182397,True,1fe03ba4393c0c65034a4b528a22a094770f2fbe14d193b9585394074d8e2167,0.0010875100526657356,0.0018949579539213836,0.0018491284951472982,0.0018166043327050602,0.0017384405796056852,0.0016813815423647933,1.0,61.161253009649826,117.61692125143978,11.216568707644003,6.8813232266575985,1.4846116050639417,145.61867340840348,27.63536460638248,122.5999224349838,6.787039075974916,0.10543755026332868,4.440892098500626e-16,5.104423828061755e-16,8.673617379884035e-19,0.0,0.006050271394997253,5.551115123125783e-17,1.2499999994847115,61.161253009649826,117.61692125143978,17.79812243537013,6.885500170046662,1.4846116050639417,0.002467278851508628,7.0,147.9772695377985,41.02270887698764,122.5999224349838,6.787039075974916,0.11233639425754315,1.0,54.16899435357322,109.20840562113325,11.216568707644003,6.8813232266575985,1.3656123765946218,0.0010875100526657356,0.0,145.61867340840348,27.63536460638248,109.33791158863184,6.5260715333643935,0.10543755026332868,0,0.25,True,True,0,True,20fe536553869c61acb6713e8a4daa1715b0911dc16bc63dac4080d390dc3ae5,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,7df603cdf3deaa49062059f80374964dea78f9d01f2d6f0d3a28050a597ec4af,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,1.059970577654941,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_co2x1_nhe1x0p25_ca0.50_e0.05_production_radau.npz,a063465d319df67821149b411969b3cee59ed186f40beeb804ca551f124c3021,True,0.7786875089987007,cae8a4e0e8624f4b9a30fd5f7541955da802788f726b9141c8ba845e803271f4
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0.1,1.0,41f190dbf8355ddb8ee4880e4b33988d848d57be9d6b32464e262e7c9968b74c,0.0,0.04937081131131368,0.09859091334803946,0.1968980767098922,0.49334628895205374,0.9894265137189184,1.2499999994847115,70.25189381893574,126.29191279732879,9.127592457469289,7.024765111140173,1.6550322420038999,0.0016560126747330124,147.44348586438085,37.4750069140245,112.85896950160665,6.614092329776858,0.10828006337366507,True,79df1ef851f3a723f81ee08b210dd992afc8119fa1e116ea193bd7e300758436,0.0012039206850212787,0.0016584730119286852,0.001634746165225476,0.0016420960012930642,0.001650316044982203,0.0016560126747330124,1.0,67.54663842057292,127.1112760855263,7.773549219899428,7.025268018558845,1.5977978448401222,146.05822968916092,30.48298703548725,119.77297087184608,6.75228983724732,0.1060196034251064,1.1102230246251565e-16,7.88865500700453e-16,0.0,0.0,0.0022737367544323206,0.0,1.2499999994847115,70.25189381893574,127.1112760855263,9.252984357212402,7.025274222257447,1.6550322420038999,0.0017143193488183468,13.0,147.44348586438085,37.4750069140245,119.77297087184608,6.75228983724732,0.10857159674409174,1.0,67.54663842057292,125.8922069669762,7.773549219899428,7.023951701772797,1.5977978448401222,0.0012039206850212787,0.0,146.05822968916092,30.48298703548725,112.85896950160665,6.614092329776858,0.1060196034251064,0,0.25,True,True,0,True,0675a550e493809c710a9e4c89d6155960375a17e3450a3ca2b3587681b23876,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,20a8e9340c9b5b6eab71da0836848bb9f35456e63e809cb699ad6ec4ae3b165e,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,0.9894265137189184,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_co2x1_nhe1x0p25_ca0.10_e1.00_production_radau.npz,026c5f70c6e11444887712bffd8a1efae7f95ddece9e98534f2b4ec015ba546e,True,0.7468649559996265,e4bf685e6437cb26f9297d62b8e4fe1d25ec2be44c60d614b8dbea583d79d554
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0.1,1.0,6e2b42d8947cf4608e0ff63243f328f25c1d651f84de4c7afb92c1669d8f3cd3,0.0,0.04943941852502518,0.0987132958174779,0.1971365741523025,0.4940714934389792,0.9910309478310132,1.2499999994847115,70.08429528041817,126.98845561932878,9.12509567788178,7.094835535679072,1.6935459850339099,0.0016588214794784424,147.4530267701289,37.550093605987314,112.78803945747084,6.617097175185474,0.10829410739739222,True,6f55e2a427b85b122d8bb61ad68151fb6877479a5cc6455f2cb8cc729f86ecbc,0.0012055962072051564,0.001660492432291566,0.0016364552876833806,0.0016443115633655665,0.0016532702953503898,0.0016588214794784424,1.0,67.31848140925163,127.87779584226233,7.775323489832768,7.0999515048127835,1.63839647347224,146.0637700670276,30.528054543141938,119.72787940894875,6.751510525646509,0.10602798103602579,2.498001805406602e-16,1.3743346738426254e-15,4.336808689942018e-19,0.0,0.0006723510637129948,0.0,1.2499999994847115,70.08429528041817,127.87779584226233,9.258359330563872,7.10016415226005,1.6935459850339099,0.0017168096069130334,13.0,147.4530267701289,37.550093605987314,119.72787940894875,6.751510525646509,0.10858404803456517,1.0,67.31848140925163,126.65014275852383,7.775323489832768,7.094835535679072,1.63839647347224,0.0012055962072051564,0.0,146.0637700670276,30.528054543141938,112.78803945747084,6.617097175185474,0.10602798103602579,0,0.25,True,True,0,True,78071d7b3612e97cb20a04f92eca833d95026471e3d027be348120829c899418,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,e57c018d977c5ea66adb9e112aacc5cdabaa734987ce7ae819a5d543b1547c3e,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,0.9910309478310132,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_co2x1_nhe1x0p25_ca0.10_e0.05_production_radau.npz,9c5d9fd12daed2d234365e555b61c47f81eb2493f60ada84250dcd12c10a1b55,True,0.7865004100021906,e4bf685e6437cb26f9297d62b8e4fe1d25ec2be44c60d614b8dbea583d79d554
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0.25,1.0,a8346452be75f98fdb94853e112196b088acc9d69b85ee50259c2ce270cae1ae,0.0,0.06725715834740467,0.12897703406497057,0.25126434912500484,0.6142851223673371,1.2117176911688798,1.2499999994847115,63.80932300902579,123.92984848227347,9.980100743288457,7.011013230982083,1.5065025278956683,0.001983546733626712,148.12291281457377,42.08255993895908,108.31204404252834,6.532483052858312,0.10991773366813357,True,52280ce872ab0acfbb33af0c7b7b3e782b9bdadd63ef832e8b091e9b0fb9cc81,0.0012039206850212787,0.0021048480461093285,0.002042220337191292,0.00203304160680729,0.0020034093801821,0.001983546733626712,1.0,67.54663842057292,127.1112760855263,7.773549219899428,7.025268018558845,1.5977978448401222,146.05822968916092,30.48298703548725,119.77297087184608,6.75228983724732,0.1060196034251064,1.1102230246251565e-16,7.88865500700453e-16,0.0,0.0,0.0056559201766503975,5.551115123125783e-17,1.2499999994847115,67.54663842057292,127.1112760855263,9.980100743288457,7.025419513431154,1.5977978448401222,0.0024891590541243763,8.0,148.19896397301633,44.32642435593658,119.77297087184608,6.75228983724732,0.11244579527062189,1.0,63.80932300902579,123.92984848227347,7.773549219899428,7.011013230982083,1.5065025278956683,0.0012039206850212787,0.0,146.05822968916092,30.48298703548725,106.06259909550309,6.508862164890452,0.1060196034251064,0,0.25,True,True,0,True,0675a550e493809c710a9e4c89d6155960375a17e3450a3ca2b3587681b23876,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,d845858af5ebf2768b0a7d40f4f2a9c8007298faf0ecbd1dd58c5fd5e3cc122e,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,1.2117176911688798,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_co2x1_nhe1x0p25_ca0.25_e1.00_production_radau.npz,c69599330db5303e1358545f612e4f6082dbdbf6c77bf7d4226eae27d70b88de,True,0.8780317429991555,e4bf685e6437cb26f9297d62b8e4fe1d25ec2be44c60d614b8dbea583d79d554
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0.25,1.0,4ec775e71b80dacc7e9c8b126f20d43b92a2815eb2a47c7da5c4d3f7076bde13,0.0,0.06738236671064768,0.12916379601106506,0.2515142527169677,0.6148341139019267,1.2134893360435566,1.2499999994847115,63.502529794588725,124.93752965060364,9.987830301593313,7.106328430850048,1.5539855060483179,0.0019887278175891145,148.12339631670395,42.18539555720783,108.20374805508202,6.52516312193142,0.10994363908794558,True,a2950dcfaac36b4bcb5ce1e3af5f1ae8d0cfb17d14f2829be4f5f144d0a4a9af,0.0012055962072051564,0.0021079603768041828,0.0020436128249214955,0.002034001940355193,0.0020060233081070356,0.0019887278175891145,1.0,67.31848140925163,127.87779584226233,7.775323489832768,7.0999515048127835,1.63839647347224,146.0637700670276,30.528054543141938,119.72787940894875,6.751510525646509,0.10602798103602579,2.498001805406602e-16,1.3743346738426254e-15,4.336808689942018e-19,0.0,0.0022595258997171186,0.0,1.2499999994847115,67.31848140925163,127.87779584226233,9.987830301593313,7.106938489505772,1.63839647347224,0.0024941123951253254,8.0,148.1918581659367,44.39951399541035,119.72787940894875,6.751510525646509,0.11247056197562663,1.0,63.502529794588725,124.93752965060364,7.775323489832768,7.0999515048127835,1.5539855060483179,0.0012055962072051564,0.0,146.0637700670276,30.528054543141938,105.98709534743324,6.500296595022695,0.10602798103602579,0,0.25,True,True,0,True,78071d7b3612e97cb20a04f92eca833d95026471e3d027be348120829c899418,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,8621b2ee8e4dec5beba3e19613330baa33b59526a2c2ab37c5d18911cdbe935c,b2141807f0402cff3fe32295641318971ca0356c0955664b0a94da60820e1995,1.2134893360435566,results/ae4_carbon_nhe1_compensation/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_co2x1_nhe1x0p25_ca0.25_e0.05_production_radau.npz,2f81a33cd9c940ce6bafd232c28d93a7ca3b8e2e43058ef31d29b88e01d12020,True,0.846277401997213,e4bf685e6437cb26f9297d62b8e4fe1d25ec2be44c60d614b8dbea583d79d554
