accepted_direct_start_count,ae2_inward_cycle_flux_fmol_s,ae4_charge_residual_fmol_s,ae4_cl_flux_fmol_s,ae4_cl_flux_pre_expression_fmol_s,ae4_expression,ae4_expression_scaling_residual_fmol_s,ae4_flux_per_unit_expression_fmol_s,ae4_hco3_source_fmol_s,ae4_k_source_fmol_s,ae4_na_source_fmol_s,ae4_no_opposing_cation_sources,ae4_parameters_sha256,alternate_root_count,apical_chloride_cell_to_lumen_fmol_s,apical_k_cell_to_lumen_fmol_s,basolateral_k_cell_to_bath_fmol_s,boundary_hits,branch_step_distance_normalized,bulk_charge_gate_pass,candidate_root_cluster_count,cell_cl_mM,cell_hco3_mM,cell_k_mM,cell_na_mM,cell_ph,cell_tic_mM,cell_volume_pL,changed_parameter_paths,co2_apical_lumen_to_cell_fmol_s,co2_apical_permeability_fmol_s_mM,co2_basolateral_bath_to_cell_fmol_s,co2_basolateral_permeability_fmol_s_mM,co2_factor,conservation_ae4_charge_fmol_s,conservation_apical_current_A,conservation_basolateral_current_A,conservation_buffer_site_accounting_fmol_s,conservation_carbon_accounting_fmol_s,conservation_cell_bulk_charge_rate_fmol_s,conservation_cell_speciation_alkalinity_mM,conservation_gate_pass,conservation_homeostasis_charge_fmol_s,conservation_lumen_bulk_charge_rate_minus_outflow_fmol_s,conservation_lumen_speciation_alkalinity_mM,conservation_water_volume_accounting_pL_s,coordinates_json,core_state_json,core_state_sha256,current_gate_pass,direct_start_count,finite_observables_gate_pass,full_rhs_gate_pass,independent_jacobian_nullity,independent_jacobian_rank,lumen_hco3_mM,lumen_ph,lumen_tic_mM,max_abs_amount_rhs_fmol_s,max_abs_bulk_charge_fmol,max_abs_current_residual_A,max_abs_omitted_rhs_fmol_s,max_abs_regulatory_rhs_s_inv,max_abs_scaled_independent_rhs,max_abs_volume_rhs_pL_s,max_dimensionless_conservation_ratio,nhe1_capacity_fmol_s,nhe1_factor,nhe1_inward_na_flux_fmol_s,nkcc1_chloride_influx_fmol_s,nkcc1_inward_cycle_flux_fmol_s,positivity_gate_pass,predecessor_co2_factor,predecessor_nhe1_factor,rest_ae4_charge_residual_fmol_s,rest_ae4_cl_source_fmol_s,rest_ae4_hco3_source_fmol_s,rest_ae4_k_source_fmol_s,rest_ae4_na_source_fmol_s,rest_beta_input,rest_cell_cl_mM,rest_cell_k_mM,rest_cell_na_mM,rest_cell_ph,rest_cell_volume_pL,rest_gate_pass,rest_integration_used,rest_lumen_cl_mM,rest_lumen_k_mM,rest_lumen_na_mM,rest_lumen_ph,rest_lumen_volume_pL,rest_method,rest_outflow_pL_s,rest_protocol,rest_protocol_time_invariant_rhs,resting_calcium_uM,root_alias,root_id,root_internal_gate_pass,routing_family,routing_gate_pass,selected_cluster_id,selected_seed_id,task24_anchor_distance_normalized,task24_baseline_rest_reproduced,v_apical_V,v_apical_mV,v_basolateral_V,v_basolateral_mV,v_transepithelial_V,v_transepithelial_mV,wall_seconds,whole_cell_parameters_sha256
3,-0.0020540574612737984,0.0,0.0019245248951507282,0.0019245248951507282,1.0,0.0,0.0019245248951507282,-0.0038490497903014564,-0.001755592982110626,-0.00016893191304010228,True,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0,0.2562268161534251,0.044720205285981786,0.16823853260885613,[],0.0216691151300916,True,1,61.50684030386831,4.841308980971346,116.48029872948631,11.208315307912745,6.763511340188785,5.893350587870895,1.4522172371884294,homeostasis.nhe1_capacity_fmol_s,-0.0010271135985181511,0.01,0.0028221059275458237,0.02,1.0,0.0,1.9387045606711586e-26,9.693522803355793e-27,0.0,6.505213034913027e-19,7.32920668600201e-17,0.0,True,1.7780915628762273e-17,1.9949319973733282e-16,1.4477308241112041e-13,0.0,"[11.208315307912745,116.48029872948631,5.893350587870895,6.763511340188785,1.4522172371884294,122.66706583303129,27.568213673425408,5.572956154335046,6.788208338340811,0.10542527120311303]","[16.276908689993828,169.15469760781752,89.32129369427358,8.558425308500677,18.04855039759292,1.4522172371884294,12.932208683137443,2.9063864031062425,15.350860355864466,0.58753041397383,0.48773473037921994,0.10542527120311303]",2c3b590e90a864c6313196f320249711190358c2827eb97e0e0bc82974f06229,True,3,True,True,0,10,4.623610540887692,6.78820833834089,5.572956154335046,1.6653345369377348e-16,1.4210854715202004e-14,1.9387045606711586e-26,1.6219664500383146e-16,0.0,9.085614205428527e-13,9.085614205428527e-17,0.0001447730824111204,0.0018602451476036205,0.25,0.001794992329027759,0.2563563487195483,0.12817817435977416,True,1.0,0.5,0.0,0.0019245248951507282,-0.0038490497903014564,-0.001755592982110626,-0.00016893191304010228,0.0,61.50684030386831,116.48029872948631,11.208315307912745,6.763511340188785,1.4522172371884294,True,False,145.60892450814185,27.568213673425408,122.66706583303129,6.78820833834089,0.10542527120311303,direct_charge_manifold_least_squares,0.0010850542406226043,REST,True,0.058,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,B00,task24_baseline_anchor,0.0700436718544194,True,-0.030857126681972772,-30.857126681972773,-0.06493783509885531,-64.93783509885532,-0.034080708416882544,-34.080708416882544,2.4990045279992046,cae8a4e0e8624f4b9a30fd5f7541955da802788f726b9141c8ba845e803271f4
3,-0.001446167905982399,4.336808689942018e-19,0.001610614696936319,0.03221229393872638,0.05,0.0,0.03221229393872638,-0.003221229393872638,-0.0014703905175287371,-0.00014022417940758175,True,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0,0.25674164717940917,0.044874445319111764,0.16855938935939402,[],0.04892141925768911,True,1,61.161253009649826,6.35514949198714,117.61692125143978,11.216568707644003,6.8813232266575985,7.409056724269432,1.4846116050639417,homeostasis.nhe1_capacity_fmol_s,-0.001030050930380334,0.01,0.0028051124182705144,0.02,1.0,4.336808689942018e-19,9.693522803355793e-27,6.462348535570529e-27,0.0,4.336808689942018e-19,5.941427905220564e-17,2.2737367544323206e-13,True,1.3010426069826053e-17,5.377642775528102e-17,1.4832579608992091e-13,0.0,"[11.216568707644003,117.61692125143976,7.409056724269432,6.881323226657615,1.4846116050639417,122.59992243498378,27.63536460638248,5.563778146849743,6.787039075974834,0.10543755026332868]","[16.652248072365346,174.61544624177924,90.80070599837806,10.999571595427431,22.40522610982168,1.4846116050639417,12.926635484018801,2.9138051447308673,15.353676196777785,0.5866311380124795,0.4867644319718825,0.10543755026332868]",20fe536553869c61acb6713e8a4daa1715b0911dc16bc63dac4080d390dc3ae5,True,3,True,True,0,10,4.613883402565926,6.787039075974916,5.563778146849742,4.440892098500626e-16,6.106226635438361e-16,9.693522803355793e-27,1.981921571303502e-16,0.0,5.104423828061755e-12,5.104423828061755e-16,0.00022737367544323203,0.0018602451476036205,0.25,0.0017750614878900405,0.25657720038845483,0.12828860019422741,True,1.0,0.5,4.336808689942018e-19,0.001610614696936319,-0.003221229393872638,-0.0014703905175287371,-0.00014022417940758175,0.0,61.161253009649826,117.61692125143978,11.216568707644003,6.8813232266575985,1.4846116050639417,True,False,145.61867340840348,27.63536460638248,122.5999224349838,6.787039075974916,0.10543755026332868,direct_charge_manifold_least_squares,0.0010875100526657356,REST,True,0.058,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,B00,task24_baseline_anchor,0.1466046178217188,True,-0.03102523013269704,-31.025230132697043,-0.06516074395329519,-65.16074395329518,-0.034135513820598144,-34.13551382059814,5.132340399999521,cae8a4e0e8624f4b9a30fd5f7541955da802788f726b9141c8ba845e803271f4
3,-0.0009095440878029896,0.0,0.0013437441595288424,0.0013437441595288424,1.0,0.0,0.0013437441595288424,-0.002687488319057685,-0.001266302821413919,-7.744133811492337e-05,True,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0,0.28084878342300307,0.05241373072378445,0.18113245450962595,[],0.021315243478526254,True,1,67.54663842057292,8.812022243083762,127.1112760855263,7.773549219899428,7.025268018558845,9.863367969659237,1.5977978448401222,homeostasis.nhe1_capacity_fmol_s,-0.0011235487041529968,0.01,0.002901492935407761,0.02,1.0,0.0,0.0,6.462348535570529e-27,0.0,2.168404344971009e-19,2.1467203015212988e-16,9.983125437429408e-13,True,2.0383000842727483e-17,2.949029909160572e-17,3.206324095117452e-13,0.0,"[7.773549219899428,127.1112760855263,9.863367969659237,7.025268018558922,1.5977978448401222,119.77297087184608,30.48298703548725,5.130969683438091,6.752289837247138,0.1060196034251064]","[12.42056019031392,203.0981229843317,107.92587329458641,15.75966808478662,29.531047674114358,1.5977978448401222,12.698282872879942,3.231794196715018,15.485035588617942,0.5439833710243501,0.4450414809770185,0.1060196034251064]",0675a550e493809c710a9e4c89d6155960375a17e3450a3ca2b3587681b23876,True,3,True,True,0,10,4.195471185368101,6.75228983724732,5.130969683438091,1.1102230246251565e-16,4.996003610813204e-16,6.462348535570529e-27,8.153200337090993e-17,0.0,7.88865500700453e-12,7.88865500700453e-16,0.0009983125437429408,0.0018602451476036205,0.25,0.001777944231254771,0.2804145833512771,0.14020729167563856,True,1.0,0.5,0.0,0.0013437441595288424,-0.002687488319057685,-0.001266302821413919,-7.744133811492337e-05,0.0,67.54663842057292,127.1112760855263,7.773549219899428,7.025268018558845,1.5977978448401222,True,False,146.05822968916092,30.48298703548725,119.77297087184608,6.75228983724732,0.1060196034251064,direct_charge_manifold_least_squares,0.0012039206850212787,REST,True,0.058,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,True,AE4NA20,True,B00,continuation_predecessor,0.06875185461093015,True,-0.029187899580276712,-29.187899580276714,-0.06580025458559695,-65.80025458559695,-0.036612355005320237,-36.61235500532024,4.382660881001357,e4bf685e6437cb26f9297d62b8e4fe1d25ec2be44c60d614b8dbea583d79d554
3,-0.00047839367118044637,0.0,0.0011206388246857671,0.022412776493715342,0.05,0.0,0.022412776493715342,-0.0022412776493715343,-0.0010564063955304408,-6.423242915532637e-05,True,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0,0.28119296494783297,0.05252613495661061,0.18134215950915586,[],0.04638111680843802,True,1,67.31848140925163,10.471958844610318,127.87779584226233,7.775323489832768,7.0999515048127835,11.525878291569802,1.63839647347224,homeostasis.nhe1_capacity_fmol_s,-0.001125645911433637,0.01,0.0028885298896247627,0.02,1.0,0.0,9.693522803355793e-27,3.2311742677852644e-27,0.0,4.336808689942018e-19,3.122502256758253e-17,3.090860900556436e-13,True,3.252606517456513e-17,1.5612511283791264e-16,3.277378368693462e-13,0.0,"[7.775323489832767,127.87779584226233,11.525878291569803,7.099951504812759,1.63839647347224,119.72787940894874,30.528054543141938,5.125847903564585,6.7515105256463235,0.10602798103602579]","[12.739062585847877,209.51452974336567,110.29436254042443,18.88395834657821,33.89746758284425,1.63839647347224,12.6945053274556,3.2368279881670143,15.486846642717234,0.5434833043126984,0.444486672905381,0.10602798103602579]",78071d7b3612e97cb20a04f92eca833d95026471e3d027be348120829c899418,True,3,True,True,0,10,4.189914676546356,6.751510525646509,5.125847903564586,2.498001805406602e-16,1.4210854715202004e-14,9.693522803355793e-27,1.8041124150158794e-16,0.0,1.3743346738426254e-11,1.3743346738426254e-15,0.0003277378368693462,0.0018602451476036205,0.25,0.0017628839781911746,0.28055071979432766,0.14027535989716383,True,1.0,0.5,0.0,0.0011206388246857671,-0.0022412776493715343,-0.0010564063955304408,-6.423242915532637e-05,0.0,67.31848140925163,127.87779584226233,7.775323489832768,7.0999515048127835,1.63839647347224,True,False,146.0637700670276,30.528054543141938,119.72787940894875,6.751510525646509,0.10602798103602579,direct_charge_manifold_least_squares,0.0012055962072051564,REST,True,0.058,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,True,AE4NA20,True,B00,continuation_predecessor,0.13912279668912547,True,-0.02928985341358607,-29.28985341358607,-0.06593700159054125,-65.93700159054124,-0.03664714817695518,-36.64714817695518,7.972026657000242,e4bf685e6437cb26f9297d62b8e4fe1d25ec2be44c60d614b8dbea583d79d554
3,-0.0020335486366239324,0.0,0.0019138781962900059,0.0019138781962900059,1.0,0.0,0.0019138781962900059,-0.0038277563925800118,-0.0017413404910376616,-0.00017253770525234416,True,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0,0.26272152882364125,0.035256084788502,0.18311802080757547,[],0.021668721270212566,True,1,60.42481037912065,4.803216237242835,115.43490491725353,11.437667534266682,6.759998075537359,5.8554353658217035,1.4441385408856888,homeostasis.nhe1_capacity_fmol_s,-0.0010239012008182546,0.01,0.002818108956774372,0.02,1.0,0.0,1.9387045606711586e-26,9.693522803355793e-27,0.0,0.0,8.586881206085195e-17,0.0,True,2.5153490401663703e-17,1.5265566588595902e-16,3.312905505481467e-13,0.0,"[11.43766753426668,115.43490491725353,5.855435365821703,6.759998075537359,1.4441385408856888,127.6988063181615,22.53561456067197,5.261271467864032,6.757625978670003,0.10540417324447927]","[16.5175765040715,166.70399515448074,87.26179749419772,8.456059885448214,17.898011958409672,1.4441385408856888,13.459987104272699,2.375347821323878,15.380626917632899,0.5545599692849762,0.45470800796367855,0.10540417324447927]",778366b3d9173f67e4a677de04cb7e78afeb51d814d266a4a4f3b631a03f0613,True,3,True,True,0,10,4.311591018268227,6.757625978670187,5.261271467864032,1.691355389077387e-16,1.4210854715202004e-14,1.9387045606711586e-26,1.691355389077387e-16,0.0,1.199344443203465e-11,1.199344443203465e-15,0.0003312905505481467,0.0018602451476036205,0.25,0.0017942077559562487,0.2628411992639752,0.1314205996319876,True,1.0,0.5,0.0,0.0019138781962900059,-0.0038277563925800118,-0.0017413404910376616,-0.00017253770525234416,0.0,60.42481037912065,115.43490491725353,11.437667534266682,6.759998075537359,1.4441385408856888,True,False,145.9204739641415,22.53561456067197,127.6988063181615,6.757625978670187,0.10540417324447927,direct_charge_manifold_least_squares,0.0010808346488958536,REST,True,0.058,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,AE4NA05,True,B00,inherited_saved_rest,0.0700225292783695,True,-0.03158694920964869,-31.58694920964869,-0.0682242784887771,-68.2242784887771,-0.03663732927912841,-36.63732927912841,2.3469398339984764,c1ce35e8f49b2cdef4450c0c11a258df9cd9ebe7b986be996ea77847b810967d
3,-0.0014262785783657362,0.0,0.0016002136317327048,0.03200427263465409,0.05,0.0,0.03200427263465409,-0.0032004272634654097,-0.001457145405945829,-0.00014306822578687592,True,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0,0.26323066467359335,0.03536409681536447,0.1834800861017535,[],0.04886317340310124,True,1,60.08162510377056,6.297336831366311,116.57752371387005,11.446036487720901,6.877266197079161,7.351413209477908,1.4756062771186198,homeostasis.nhe1_capacity_fmol_s,-0.0010266932919300665,0.01,0.002800841977029691,0.02,1.0,0.0,3.2311742677852644e-27,3.2311742677852644e-27,0.0,2.168404344971009e-19,5.854691731421724e-17,3.4141578453272814e-12,True,1.2576745200831851e-17,3.642919299551295e-17,3.446132268436486e-13,0.0,"[11.446036487720901,116.57752371387005,7.351413209477908,6.877266197078908,1.4756062771186198,127.65093080586946,22.583461967505013,5.252018173692267,6.756367197972822,0.10541553025399947]","[16.889843289409722,172.0225257631314,88.65682314261149,10.84779147759834,22.193783703984803,1.4756062771186198,13.456390558317326,2.380647618275571,15.38331893805756,0.5536442806834122,0.4537192385353356,0.10541553025399947]",9a53dbea9809c76200130d14c7d8a56c1178220cb7442092067bbccb3bf5c5c9,True,3,True,True,0,10,4.30175997522243,6.756367197973014,5.252018173692267,3.885780586188048e-16,1.4210854715202004e-14,3.2311742677852644e-27,1.9125326322644298e-16,0.0,3.992032399091627e-12,3.9920323990916273e-16,0.0034141578453272814,0.0018602451476036205,0.25,0.0017741486850998648,0.2630567296202261,0.13152836481011304,True,1.0,0.5,0.0,0.0016002136317327048,-0.0032004272634654097,-0.001457145405945829,-0.00014306822578687592,0.0,60.08162510377056,116.57752371387005,11.446036487720901,6.877266197079161,1.4756062771186198,True,False,145.93029035656647,22.583461967505013,127.65093080586946,6.756367197973014,0.10541553025399947,direct_charge_manifold_least_squares,0.0010831060507998924,REST,True,0.058,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,AE4NA05,True,B00,inherited_saved_rest,0.14627275221566274,True,-0.03175652315344159,-31.756523153441588,-0.06845652974085877,-68.45652974085877,-0.03670000658741718,-36.70000658741718,5.949893200999213,c1ce35e8f49b2cdef4450c0c11a258df9cd9ebe7b986be996ea77847b810967d
3,-0.0008936038501916518,0.0,0.0013357134350624744,0.0013357134350624744,1.0,0.0,0.0013357134350624744,-0.002671426870124949,-0.0012576305256431271,-7.808290941934723e-05,True,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0,0.28711210752444466,0.040703041894573716,0.198064152603104,[],0.021328701029185285,True,1,66.51446312729877,8.734742342580025,126.56287303493013,7.857949651774819,7.021231749444266,9.786512211219614,1.5791842039560975,homeostasis.nhe1_capacity_fmol_s,-0.0011135075593226018,0.01,0.0028913305792560217,0.02,1.0,0.0,1.9387045606711586e-26,1.9387045606711586e-26,0.0,4.336808689942018e-19,4.9439619065339e-17,4.629185923477053e-12,True,2.168404344971009e-17,1.5959455978986625e-16,6.799005802804459e-13,0.0,"[7.857949651774819,126.56287303493015,9.786512211219614,7.0212317494439125,1.5791842039560975,125.66260191690505,24.590979192911988,4.814267458195628,6.717350896005499,0.10595491759867197]","[12.40914996556511,199.8660899040628,105.0385895052505,15.454705495781473,29.17488815843258,1.5791842039560975,13.314570631340393,2.6055351740556465,15.509072822924342,0.5100953118310857,0.4110329824716985,0.10595491759867197]",95a74aea77147b98241192886475167f9349017e06b2a2c5c44abf8b4f4b4d08,True,3,True,True,0,10,3.8774317568110335,6.717350896005108,4.814267458195628,1.227316859253591e-16,1.4210854715202004e-14,1.9387045606711586e-26,8.933825901280557e-17,0.0,1.4597698050344832e-11,1.4597698050344832e-15,0.004629185923477053,0.0018602451476036205,0.25,0.0017778230199333865,0.2866699979395738,0.1433349989697869,True,1.0,0.5,0.0,0.0013357134350624744,-0.002671426870124949,-0.0012576305256431271,-7.808290941934723e-05,0.0,66.51446312729877,126.56287303493013,7.857949651774819,7.021231749444266,1.5791842039560975,True,False,146.37426156724916,24.590979192911988,125.66260191690505,6.717350896005108,0.10595491759867197,direct_charge_manifold_least_squares,0.0011909835197343927,REST,True,0.058,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,True,AE4NA20,True,B00,continuation_predecessor,0.06878801797223567,True,-0.02984849864220422,-29.84849864220422,-0.06940436506212934,-69.40436506212934,-0.03955586641992512,-39.55586641992512,4.187383502001467,69a0ade0d259f9329739e61fe539fc90ad57e2b75605c54a2eb61d02e08d15ad
3,-0.0004640447988995434,0.0,0.0011134324588045336,0.02226864917609067,0.05,0.0,0.02226864917609067,-0.002226864917609067,-0.0010487023969604082,-6.473006184412548e-05,True,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0,0.2874469577747073,0.040779343796871995,0.19830198893974646,[],0.04638820458151117,True,1,66.28897586083335,10.371699365588261,127.3348774657676,7.859612524166333,7.095561251949832,11.426001708749467,1.618320246151221,homeostasis.nhe1_capacity_fmol_s,-0.0011154705339559878,0.01,0.0028782906526655695,0.02,1.0,0.0,3.2311742677852644e-27,9.693522803355793e-27,0.0,2.168404344971009e-19,1.0191500421363742e-16,1.8118839761882555e-13,True,9.107298248878237e-18,4.683753385137379e-17,6.581402089977928e-13,0.0,"[7.859612524166333,127.3348774657676,11.426001708749467,7.0955612519498175,1.618320246151221,125.6308766109456,24.62265293068479,4.80912320723059,6.716512171089529,0.10596248443529713]","[12.719370074762079,206.0686102440366,107.27679173221617,18.49092989782771,33.44942638063765,1.618320246151221,13.312159807480057,2.6090774779234103,15.510768745253571,0.5095866429935976,0.41046854014989737,0.10596248443529713]",de2ee089812f0d5f56e4cd49547cd37af9ff4eed32af9d8808202f92ba5aad7c,True,3,True,True,0,10,3.8718352229830164,6.716512171089151,4.80912320723059,4.627374872168133e-16,1.4210854715202004e-14,9.693522803355793e-27,4.627374872168133e-16,0.0,1.276539637884433e-11,1.276539637884433e-15,0.0006581402089977928,0.0018602451476036205,0.25,0.001762820118709061,0.28679757011480217,0.14339878505740108,True,1.0,0.5,0.0,0.0011134324588045336,-0.002226864917609067,-0.0010487023969604082,-6.473006184412548e-05,0.0,66.28897586083335,127.3348774657676,7.859612524166333,7.095561251949832,1.618320246151221,True,False,146.37981383613902,24.62265293068479,125.6308766109456,6.716512171089151,0.10596248443529713,direct_charge_manifold_least_squares,0.0011924968870594245,REST,True,0.058,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,True,AE4NA20,True,B00,inherited_saved_rest,0.13905667051162982,True,-0.029950496777311878,-29.950496777311876,-0.0695465336684661,-69.5465336684661,-0.03959603689115422,-39.59603689115422,9.770720387001347,69a0ade0d259f9329739e61fe539fc90ad57e2b75605c54a2eb61d02e08d15ad
3,-0.002061994967299092,0.0,0.0019286445153611914,0.0019286445153611914,1.0,0.0,0.0019286445153611914,-0.003857289030722383,-0.0017609034204995621,-0.0001677410948616293,True,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0,0.25349994986520263,0.04176917904608081,0.16891603644341147,[],0.021679005250196705,True,1,61.866767154439955,4.8510601475667166,116.97874239291124,11.143224606240295,6.763992075969871,5.9040576144405055,1.4508371422150055,homeostasis.nhe1_capacity_fmol_s,-0.001007782608698854,0.01,0.0028030766721220957,0.02,1.0,0.0,1.9387045606711586e-26,1.6155871338926322e-26,0.0,4.336808689942018e-19,2.957703526540456e-16,0.0,True,9.540979117872439e-18,1.682681771697503e-16,1.5720758028692217e-13,0.0,"[11.143224606240295,116.97874239291124,5.9040576144405055,6.763992075969871,1.4508371422150055,121.76353049859902,28.467514276403698,5.567668579519294,6.786121363193817,0.10530693380075264]","[16.1670041427776,169.71710431323666,89.75860365642883,8.565826076807605,18.06374259364058,1.4508371422150055,12.822544045561893,2.997826641377225,15.334045105277182,0.5863141065279688,0.48632558166193396,0.10530693380075264]",9ea0c3968aa8ef546c6c626d45539be0ff35a2ac9028da3acfbcd4b1b3a32fa7,True,3,True,True,0,10,4.615447725935132,6.786121363193903,5.567668579519294,3.3306690738754696e-16,1.4210854715202004e-14,1.9387045606711586e-26,1.0408340855860843e-16,0.0,6.114900252818245e-12,6.114900252818245e-16,0.00015720758028692217,0.0018602451476036205,0.25,0.0017952940634233092,0.2536333003171409,0.12681665015857044,True,1.0,0.5,0.0,0.0019286445153611914,-0.003857289030722383,-0.0017609034204995621,-0.0001677410948616293,0.0,61.866767154439955,116.97874239291124,11.143224606240295,6.763992075969871,1.4508371422150055,True,False,145.61287231370883,28.4675142764037,121.76353049859902,6.786121363193903,0.10530693380075264,direct_charge_manifold_least_squares,0.0010613867601505262,REST,True,0.058,R05,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,B00,task24_baseline_anchor,0.07008110745645348,True,-0.03061863370648349,-30.61863370648349,-0.064974619568368,-64.974619568368,-0.034355985861884514,-34.35598586188451,2.231050310001592,b1d52fa0ef6af385e18e71904d0eb3e4ea13abaff9eeadaa0b67ba0df88f0aa9
3,-0.0014538219852416915,0.0,0.001614616193488549,0.032292323869770975,0.05,0.0,0.032292323869770975,-0.003229232386977098,-0.001475326681829392,-0.0001392895116591567,True,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0,0.2540118343589514,0.041922370200646,0.1692355838364959,[],0.04895630409498154,True,1,61.52193379326754,6.371293826577223,118.11252092349577,11.151316900108878,6.882032877182471,7.426161215768691,1.4835132845934733,homeostasis.nhe1_capacity_fmol_s,-0.001010701479713334,0.01,0.0027861118814487365,0.02,1.0,0.0,9.693522803355793e-27,3.2311742677852644e-27,0.0,4.336808689942018e-19,3.686287386450715e-17,4.3165471197426086e-13,True,8.673617379884035e-18,5.637851296924623e-17,1.6253665080512292e-13,0.0,"[11.151316900108878,118.11252092349577,7.426161215768691,6.882032877182503,1.4835132845934733,121.69447831870784,28.536572242439124,5.558504671344371,6.784952353191814,0.1053191464047057]","[16.54312676202323,175.22149386683054,91.26860607619254,11.016808817125673,22.43425234671638,1.4835132845934733,12.816758578692275,3.005447429889907,15.336848533016038,0.5854169672725584,0.4853574755661436,0.1053191464047057]",a05588c96f872fc086f26d56ec90160cc6e85088f0cbc6b7bcf92048da5ed057,True,3,True,True,0,10,4.605734232408116,6.784952353191904,5.558504671344371,1.0495077029659683e-16,1.4210854715202004e-14,9.693522803355793e-27,1.0495077029659683e-16,0.0,8.868773770931426e-13,8.868773770931426e-17,0.00043165471197426086,0.0018602451476036205,0.25,0.0017754104017354989,0.2538510401507045,0.12692552007535224,True,1.0,0.5,0.0,0.001614616193488549,-0.003229232386977098,-0.001475326681829392,-0.0001392895116591567,0.0,61.52193379326754,118.11252092349577,11.151316900108878,6.882032877182471,1.4835132845934733,True,False,145.62260573288108,28.536572242439124,121.69447831870784,6.784952353191904,0.1053191464047057,direct_charge_manifold_least_squares,0.0010638292809411394,REST,True,0.058,R05,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,B00,continuation_predecessor,0.14676814457770201,True,-0.030785438187261524,-30.785438187261523,-0.06519593380967373,-65.19593380967373,-0.034410495622412204,-34.410495622412206,4.209259646002465,b1d52fa0ef6af385e18e71904d0eb3e4ea13abaff9eeadaa0b67ba0df88f0aa9
