time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cacc_recruitment_factor,effective_cacc_conductance_S,cumulative_outflow_0_t_pL
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.03142872407710091,-0.06705742727215,-0.03562870319504909,0.0,0.0,0.0,1.0,0.007880875986972877,0.256706376109366,0.004933930166208064,-0.0019869843454434683,0.2596533219301311,0.10239383427632785,0.128353188054683,1.0,4937608.164510875,0.0,0.04458903298618399,-0.002466965083104032,-0.002466965083104032,0.002466965083104032,0.002466965083104032,-0.009867860332416128,-0.009867860332416128,0.0,1.0,3.14e-08,0.0
1e-06,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.027375559665677795,-0.08036574130031797,-0.05299018163464017,1.0,0.10081428920480762,9.727100176367595e-12,2.3,0.018126014770037616,0.4492361581913904,0.004933930166208064,-0.0019869843454434683,0.6126791038817435,0.14737859532269706,0.2246180790956952,1.75,4937608.164510875,0.20162857840961523,0.04458903298618399,-0.002466965083104032,-0.002466965083104032,0.002466965083104032,0.002466965083104032,-0.009867860332416128,-0.009867860332416128,0.0,1.0,3.14e-08,1.0776814707374823e-09
1.0,0.0013894694081506315,11.642908412454984,116.86256825027971,60.46467827607544,5.8211604777835575,5.04316534119443,6.912882359430803,1.4535192444479037,301.84081318535,-0.0272755756725689,-0.08033022757747332,-0.053054651904904424,1.0,0.09997372708844808,9.645998261403154e-12,2.3,0.01785608389825837,0.4406834473575269,0.0077203224133981785,-0.0019322421314003188,0.5786731523715232,0.14772088259284613,0.22034172367876345,1.75,4974396.514172802,0.19994745417689616,0.04522070867058586,-0.0038601612066990892,-0.0038601612066990892,0.0038601612066990892,0.0038601612066990892,-0.015440644826796357,-0.015440644826796357,0.0,1.0,3.14e-08,0.0012335752835500881
2.0,0.001637566834307172,11.77279259856158,116.74322000601123,60.360499140417176,5.949833953020737,5.15755649240501,6.914732606502645,1.454016644412861,301.8024872822219,-0.02718282355333426,-0.08029246328069743,-0.05310963972736317,1.0,0.09915479701425639,9.566983521211713e-12,2.3,0.017598949633304408,0.43309186251178305,0.010379594612860615,-0.0018806380081961209,0.5531049126327306,0.14792274741828226,0.21654593125589153,1.75,5007452.125211305,0.19830959402851278,0.04580322735187344,-0.005189797306430308,-0.005189797306430308,0.005189797306430308,0.005189797306430308,-0.02075918922572123,-0.02075918922572123,0.0,1.0,3.14e-08,0.0027470934047789898
3.0,0.0018131743872442764,11.896648710702088,116.63108835270019,60.26591465467677,6.073056412743014,5.267259328041754,6.91653462546418,1.4545869171082249,301.77134188551145,-0.027114294166991994,-0.08025837514403447,-0.05314408097704248,1.0,0.09834901557730229,9.489237431651066e-12,2.3,0.017352920884259725,0.425827613628242,0.01293301529649804,-0.0018318927093436532,0.5323822021034108,0.14806552535841788,0.212913806814121,1.75,5039442.224137637,0.19669803115460457,0.04634832727145545,-0.00646650764824902,-0.00646650764824902,0.00646650764824902,0.00646650764824902,-0.02586603059299608,-0.02586603059299608,0.0,1.0,3.14e-08,0.004472464015554714
4.0,0.0019345240121381058,12.014906917406813,116.52536278462576,60.17922905889122,6.191115575544846,5.3725127658568095,6.918289367035555,1.4552055447207624,301.7455325953565,-0.027063119154494976,-0.08022723446118812,-0.05316411530669315,1.0,0.0975573703558785,9.41285527954078e-12,2.3,0.017117345619156846,0.41889503850176635,0.015385937322136403,-0.0017857754427916997,0.5152485656045578,0.1481660250195243,0.20944751925088317,1.75,5070305.3401870215,0.195114740711757,0.04685941320135442,-0.007692968661068202,-0.007692968661068202,0.007692968661068202,0.007692968661068202,-0.030771874644272806,-0.030771874644272806,0.0,1.0,3.14e-08,0.006346313215245905
5.0,0.0020152784032456544,12.127940892055944,116.42538969778123,60.09916857612826,6.304267868901933,5.473529888735234,6.919997918365044,1.4558548492724384,301.7238129941811,-0.0270248208623076,-0.08019852940559168,-0.05317370854328408,1.0,0.09678070232495038,9.337918206629695e-12,2.3,0.016891623164833315,0.4122900867056658,0.01774306875206512,-0.0017420880390888768,0.500867421557737,0.14823520520740693,0.2061450433528329,1.75,5100017.893155583,0.19356140464990076,0.047339424494179466,-0.00887153437603256,-0.00887153437603256,0.00887153437603256,0.00887153437603256,-0.03548613750413024,-0.03548613750413024,0.0,1.0,3.14e-08,0.008321214422937786
6.0,0.002065762893907186,12.236082158909289,116.33062886006105,60.02474765454603,6.412746522511901,5.570504780013207,6.921661453397006,1.4565217241640078,301.705315316181,-0.02699633969467487,-0.0801718844508848,-0.05317554475620993,1.0,0.09601971234595083,9.264493835765931e-12,2.3,0.016675196938251015,0.4060038473925341,0.020008677233347733,-0.0017006568813224365,0.4886549744300296,0.1482805560566516,0.20300192369626704,1.75,5128580.137992683,0.19203942469190166,0.04779094184622161,-0.010004338616673866,-0.010004338616673866,0.010004338616673866,0.010004338616673866,-0.040017354466695465,-0.040017354466695465,0.0,1.0,3.14e-08,0.010361735071514206
7.0,0.0020938200584860954,12.3396289269057,116.24062353970218,59.95518485372684,6.516766493436614,5.663616652843246,6.923281199392449,1.457196267903005,301.68941189396594,-0.02697550431927293,-0.08014701379812827,-0.05317150947885535,1.0,0.09527497146320846,9.192637264351191e-12,2.3,0.016467549442136402,0.40002471134369794,0.022186705557405442,-0.0016613276813582825,0.47818822877406314,0.14830739243186608,0.20001235567184897,1.75,5156007.2998244185,0.19054994292641692,0.04821625550049657,-0.011093352778702721,-0.011093352778702721,0.011093352778702721,0.011093352778702721,-0.044373411114810885,-0.044373411114810885,0.0,1.0,3.14e-08,0.012441526547710847
8.0,0.002105424124335623,12.438852117290553,116.15498074574494,59.88984801171978,6.616527749461721,5.753032582463999,6.924858413456165,1.4578708960018991,301.67563411060434,-0.026960724945790618,-0.08012369321495301,-0.05316296826916239,1.0,0.09454693172039369,9.12239210796915e-12,2.3,0.01626819837644346,0.39433967886030474,0.024280842118850038,-0.0016239618785380658,0.4691510611349794,0.14831960380188688,0.19716983943015237,1.75,5182324.023459255,0.18909386344078738,0.048617413400391614,-0.012140421059425019,-0.012140421059425019,0.012140421059425019,0.012140421059425019,-0.048561684237700076,-0.048561684237700076,0.0,1.0,3.14e-08,0.014541148639121705
