activity_ratio_decimal50,affinity_decimal50,cl_i_at_zero_affinity_mM,cl_i_mM,cl_o_mM,hco3_i_at_zero_affinity_mM,hco3_i_mM,hco3_o_mM,independent_affinity,inherited_positive_loading_pool_fmol_s,k_i_mM,k_o_mM,legacy_cl_source_fmol_s,legacy_k_source_fmol_s,legacy_na_source_fmol_s,na_i_mM,na_o_mM,pooled_affinity,pooled_cl_source_at_reference_capacity_fmol_s,pooled_k_source_at_reference_capacity_fmol_s,pooled_na_source_at_reference_capacity_fmol_s,pooled_no_slip,pooled_reference_state_is_accepted_wt,root_id,routing_family
0.071590580987610207244031478983582817544771867332733,-2.6367917641214282124331695367562399920132963415791,3.703220681419808,51.727764048467556,126.16159280366088,16.634042444112453,4.450673633474581,23.778325541863886,-2.636791764121428,0.23998398497537757,107.07327379549376,5.0,0.00439891057169553,-0.07179207477720233,0.0673931642055068,18.603414600683543,145.0,-2.636791764121429,-0.5209172527982914,0.01736390842660971,0.5035533443716816,True,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05
0.19129245087789917262306180933170978439113550680529,-1.6539518655315247021713032267778780986350281650748,10.005658742598868,52.30555987274908,126.16159280366088,16.34171438123214,7.147374385507965,23.778325541863886,-1.6539518655315246,0.277632931827658,117.25346909672912,5.0,0.0038049001740020627,-0.19286482783290362,0.18905992765890156,14.41423310273199,145.0,-1.6539518655315248,-0.2775873868583739,0.009252912895279129,0.2683344739630948,True,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20
0.071476103939317402533095321909389942421681473992284,-2.6383920957819146453153588744252656489109869470767,3.64651217824353,51.0172208230514,126.16159280366088,16.569604257611918,4.429886221962234,23.778325541863886,-2.6383920957819145,0.2449985300041539,105.93491592621889,5.0,0.004385358818456406,-0.07075554052086425,0.06637018170240784,18.98139711993734,145.0,-2.638392095781915,-0.5213985226431298,0.01737995075477099,0.5040185718883589,True,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05
0.19091270008343559882381239601190343561569433659241,-1.6559390230487458781780615786751414728094606188023,9.930043360222825,52.01352951313897,126.16159280366088,16.316393099400116,7.129212663975042,23.778325541863886,-1.6559390230487459,0.2804618121704744,116.87329561535007,5.0,0.003801050670580758,-0.19225188102185686,0.1884508303512761,14.465986422416755,145.0,-1.6559390230487465,-0.2779938071936089,0.00926646023978696,0.26872734695382194,True,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20
0.071659674380108557675464347449635775489401936508607,-2.6358271110717156483943621075912111736314334747659,3.7415501088347844,52.21277016956934,126.16159280366088,16.67804706515445,4.464600569085338,23.778325541863886,-2.6358271110717157,0.23592672746760568,107.77878131867274,5.0,0.004407693092673928,-0.07239630457488788,0.06798861148221395,18.407742948763282,145.0,-2.6358271110717157,-0.5206273125522721,0.0173542437517424,0.5032730688005297,True,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05
0.19203165659666632525934085160469856892497353287225,-1.6500950424376197082244337229178793537905682477187,10.182049763624816,53.02276689207907,126.16159280366088,16.40493922399931,7.188876784913268,23.778325541863886,-1.6500950424376197,0.27008314492750374,118.11570840046096,5.0,0.0038151466854192406,-0.19415304399642236,0.19033789731100312,14.330572580918796,145.0,-1.6500950424376204,-0.27679935776222575,0.009226645258740855,0.2675727125034849,True,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20
0.071532051173849120389794771342297940208126148697328,-2.6376096615586117572782735338956116051055038562168,3.680370634815784,51.450651483083206,126.16159280366088,16.60959017686659,4.4423140329245765,23.778325541863886,-2.6376096615586118,0.24132540689905485,106.57053590437759,5.0,0.0043934036073688815,-0.07129736612866065,0.06690396252129177,18.801211031536752,145.0,-2.6376096615586118,-0.5211631784806094,0.017372105949353643,0.5037910725312558,True,False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,AE4NA05
0.19156820172105735227349319517237675738650089842236,-1.6525113890084471940409007288707349474578078362797,10.087756050548279,52.65882312366784,126.16159280366088,16.373704969027933,7.166525854253288,23.778325541863886,-1.6525113890084473,0.2736320715479369,117.64746639115623,5.0,0.003810335683030408,-0.19340726471632932,0.18959692903329892,14.39203025946811,145.0,-1.6525113890084477,-0.27729294695666207,0.009243098231888734,0.26804984872477333,True,False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,AE4NA20
0.071546047023179764066999239463518153085508216719366,-2.6374140222601915196874613759157778402063889469954,3.684498642300434,51.49828391087373,126.16159280366088,16.613575484647082,4.443814593604029,23.778325541863886,-2.6374140222601916,0.24129117111575887,106.67761375937039,5.0,0.004394412409467793,-0.07141249362190953,0.06701808121244174,18.75000344655174,145.0,-2.6374140222601916,-0.5211043456600345,0.01737014485533448,0.5037342008047,True,False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05
0.19134424168397674367680692362204923003102759058791,-1.6536811606702261740436392603744273047895744896459,10.029397035695231,52.415463080722006,126.16159280366088,16.35189946196282,7.152797116456394,23.778325541863886,-1.6536811606702262,0.27627621564657545,117.36523032014148,5.0,0.0038066772351557643,-0.19299789449873958,0.18919121726358382,14.4148122053577,145.0,-1.6536811606702262,-0.2775320425800359,0.009251068086001193,0.2682809744940347,True,False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20
