mechanism_id,scenario,activity_scale,calibration_mode,solver_success,solver_message,solver_nfev,solver_cost,solver_optimality,active_bound_count,initial_start_count,initial_start_seed,converged_root_count,distinct_converged_root_count,state,max_abs_raw_rhs,pH_i,cell_volume_pL,cl_i_mM,cl_target_z,pH_target_z,na_i_minus_published_mM,k_i_minus_published_mM,hco3_i_minus_published_mM,volume_minus_published_pL,quantified_rest_gate_pass,knockout_flow_target_read_by_solver,non_ae4_chassis_fingerprint,failure_reason,core_candidate_id,reference_volume_capacity,log10_capacity_offset,capacity_gate_margin,capacity_gate_pass,profile_kind,knockout_target_read_by_variant_selector,capacity_position,capacity_interval_lower,capacity_interval_upper,capacity_log_interval_fraction
C7_123_CAPACITY_PROFILE_-3.000,wt,1.8200364260893058e-06,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,12,2.1820775271619717e-21,1.3243831453022062e-06,0,3,,3,1,"[118.56582899921034, 5.5595140520380895, 64.12674455944978, 21.212049151656355, 123.62840395822249, 48.727175781610775, 58.07141452976585]",6.196405854458023e-14,7.373649243832323,2.9046957465952885,48.727175781610775,-0.9152161455928175,6.623560626176036,1.2120491516563554,3.628403958222492,46.07141452976585,1.6046957465952885,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 6.624 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-3.0,-11.343813435348373,False,posthoc_KO_blind_finite_scan,False,,,,
C7_123_CAPACITY_PROFILE_-2.000,wt,1.8200364260893057e-05,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,26,2.68079306986185e-20,5.197776583449404e-07,0,3,,3,1,"[118.57049539802655, 5.56093203888326, 55.21710854866741, 21.805277398966997, 123.04073288177274, 48.3305556491958, 52.33528902069258]",2.1725375823988205e-13,7.3388434835778025,2.5011233837375504,48.3305556491958,-1.1796295672027999,6.12633547968289,1.8052773989669966,3.0407328817727404,40.33528902069258,1.2011233837375503,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 6.126 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-2.0,-8.239410644135,False,posthoc_KO_blind_finite_scan,False,,,,
C7_123_CAPACITY_PROFILE_-1.500,wt,5.755460530914909e-05,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,21,1.6703783102383127e-20,9.757685471269158e-07,0,3,,3,1,"[118.57999672698531, 5.56381700296826, 46.367228756146645, 22.766237721371386, 122.09108702952612, 47.73237261301211, 44.51233763856188]",1.6785861959520503e-13,7.286194962342599,2.100257748536261,47.73237261301211,-1.5784182579919275,5.374213747751406,2.766237721371386,2.091087029526122,32.51233763856188,0.800257748536261,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 5.374 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-1.5,-5.155828834894314,False,posthoc_KO_blind_finite_scan,False,,,,
C7_123_CAPACITY_PROFILE_-1.250,wt,0.0001023481695741767,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,22,8.958181897109322e-21,1.2542442450029787e-06,0,3,,3,1,"[118.58890209065777, 5.566518307708698, 41.95833294957603, 23.516608573151743, 121.35131937834518, 47.29957822926736, 39.42730861948002]",1.1434736985838934e-13,7.248024579097834,1.9005516667055362,47.29957822926736,-1.8669478471550935,4.828922558540479,3.5166085731517427,1.3513193783451811,27.427308619480023,0.6005516667055362,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 4.829 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-1.25,-3.619628205427202,False,posthoc_KO_blind_finite_scan,False,,,,
C7_123_CAPACITY_PROFILE_-1.000,wt,0.00018200364260893058,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,18,3.437362632015844e-20,2.2899746507288325e-08,0,3,,3,1,"[118.60177572222081, 5.570418712341653, 38.07282636303507, 24.466902066761058, 120.41635052418312, 46.78929479842865, 34.01935711382828]",2.210903021331966e-13,7.203135675542267,1.7245531105207539,46.78929479842865,-2.207136801047568,4.18765250774667,4.466902066761058,0.416350524183116,22.019357113828278,0.42455311052075384,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.207 SEM from target; WT resting pH is 4.188 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-1.0,-2.265793157851953,False,posthoc_KO_blind_finite_scan,False,,,,
C7_123_CAPACITY_PROFILE_-0.975,wt,0.00019278803642934565,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,23,8.058639227965529e-22,2.5624791719637003e-06,0,3,,3,1,"[118.60331386048144, 5.570884367466414, 37.72001732226447, 24.573237174613435, 120.31184611370792, 46.73457359463268, 33.47659607972885]",2.7921103208539895e-14,7.198345886441043,1.7085722132036185,46.73457359463268,-2.2436176035782154,4.1192269491577544,4.5732371746134355,0.31184611370791515,21.47659607972885,0.4085722132036185,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.244 SEM from target; WT resting pH is 4.119 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-0.975,-2.1428631784893724,False,posthoc_KO_blind_finite_scan,False,,,,
C7_123_CAPACITY_PROFILE_-0.950,wt,0.00020421144575739927,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,18,5.003043026315075e-21,5.078495162622786e-07,0,3,,3,1,"[118.60490062990719, 5.571364663761392, 37.373994309433705, 24.681660982945864, 120.20531081788573, 46.67923650676836, 32.935045491920114]",8.381759518399807e-14,7.193509839126698,1.6928986969429918,46.67923650676836,-2.2805089954877595,4.050140558952821,4.681660982945864,0.20531081788573147,20.935045491920114,0.39289869694299173,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.281 SEM from target; WT resting pH is 4.050 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-0.95,-2.0222976687922443,False,posthoc_KO_blind_finite_scan,False,,,,
C7_123_CAPACITY_PROFILE_-0.925,wt,0.000216311734642365,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,18,8.652566180548048e-21,2.8939398738163057e-07,0,3,,3,1,"[118.60653672838633, 5.571859804835408, 37.03477707340729, 24.792183910779162, 120.09673504170824, 46.62329516341615, 32.39507386476938]",1.240541308879111e-13,7.188629797535714,1.677533456286743,46.62329516341615,-2.3178032243892326,3.980425679081621,4.792183910779162,0.09673504170824287,20.39507386476938,0.37753345628674295,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.318 SEM from target; WT resting pH is 3.980 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-0.925,-1.9041035098980217,False,posthoc_KO_blind_finite_scan,False,,,,
C7_123_CAPACITY_PROFILE_-0.900,wt,0.00022912901071948637,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,17,5.893012148997103e-20,9.875763468420177e-07,0,3,,3,1,"[118.60822283484352, 5.572369988177262, 36.702371952486295, 24.904817515042023, 119.98610802934759, 46.56676013504678, 31.85704089369002]",3.04182546849335e-13,7.183708066093479,1.6624767783356178,46.56676013504678,-2.355493243302149,3.9101152299068453,4.904817515042023,-0.013891970652409213,19.85704089369002,0.36247677833561776,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.355 SEM from target; WT resting pH is 3.910 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-0.9,-1.7882829102739826,False,posthoc_KO_blind_finite_scan,False,,,,
C7_123_CAPACITY_PROFILE_-0.875,wt,0.00024270575815080287,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,23,2.1743403738062945e-20,8.70030812572194e-07,0,3,,3,1,"[118.60995960976746, 5.572895405302591, 36.376772801359095, 25.01957469343984, 119.87341766190794, 46.509640792705696, 31.321297051679842]",1.780512983086285e-13,7.178746987829573,1.6477283847305528,46.509640792705696,-2.3935728048628704,3.8392426832796134,5.019574693439839,-0.12658233809206365,19.321297051679842,0.3477283847305528,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.394 SEM from target; WT resting pH is 3.839 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C7_123,0.0018200364260893057,-0.875,-1.6748337286965596,False,posthoc_KO_blind_finite_scan,False,,,,
