mechanism_id,round,scenario,time,na_l,k_l,height,na_i,k_i,cl_i,hco3_i,calcium,pka_activation,q_total,pH_i,ae4_cycle_flux,max_abs_raw_rhs,max_abs_conservation_check,solver_method,non_ae4_chassis_fingerprint
C1,1,ae4_knockout,0.0,118.7,5.6,28.7,25.0,120.0,50.0,10.0,0.05,0.0,0.0005314154767606833,6.910000000216041,0.0,0.0027096403272154363,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae4_knockout,50.0,118.67821255541007,5.56384986168932,60.042501715322416,21.47447494932945,123.48506518502992,48.3796325742343,55.95033944754428,0.05,0.0,0.0005104191180756151,7.360525811568973,0.0,1.5727683958401356e-05,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae4_knockout,100.0,118.59268696740394,5.56043248926294,64.15967747405041,21.215864828801944,123.65299038489225,48.683270544620036,58.16324858310311,0.05,0.0,0.0005111371706745183,7.374167015075932,0.0,3.821223296021636e-06,1.3877787807814457e-17,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae4_knockout,100.0000001,118.59282139400246,5.560442218433377,64.15967747697104,21.215864828801365,123.65298813817462,48.68326829696727,58.16324858599093,0.55,0.0,0.0005113089163143738,7.37416472859298,0.0,0.15940463191159138,2.842170943040401e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae4_knockout,149.99999999999716,124.57845310153094,6.955453609908703,28.770224785911715,33.3218073995644,118.29007980645112,32.39619137532663,34.42311158014008,0.55,0.0,0.0013581225198820296,7.198441431376855,0.0,1.4511865330012268e-07,2.7582103268031233e-16,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae4_knockout,199.99999999999432,124.57849349477075,6.955453947890111,28.76993661029377,33.32195035217142,118.28998037301702,32.396140329189436,34.42235681524503,0.55,0.0,0.0013581198854213375,7.19844203984743,0.0,4.7314069301337935e-08,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,wt,0.0,118.7,5.6,28.7,25.0,120.0,50.0,10.0,0.05,0.0,0.0005314154767606833,6.910000000216041,0.03888333867647999,1.781179185555778e-12,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,wt,50.0,118.7,5.600000000000001,28.699999999999992,24.999999999999957,120.00000000000004,50.00000000000004,10.00000000000001,0.05,0.0,0.0005314154767606426,6.910000000015379,0.03888333865924482,1.2956092732369495e-12,4.163336342344337e-17,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,wt,100.0,118.69999999999996,5.6000000000000005,28.699999999999996,24.999999999999986,120.0,50.000000000000036,10.000000000000005,0.05,0.0,0.0005314154767605758,6.909999999965214,0.03888333865924482,9.871483794864557e-13,2.842170943040401e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,wt,100.0000001,118.70013210236104,5.600009560424172,28.699999999276567,24.99999978994755,119.99999506387005,49.99999527240148,9.999999579934173,0.55,0.0,0.0005315876563243509,6.909997668282439,0.039082746085064825,0.15662469586118077,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,wt,149.99999999999716,124.59303742272569,6.958093631452871,21.890724140714788,36.93419776954093,114.69334543748998,33.45758836917227,6.73004587876801,0.55,0.0,0.001360083655558629,6.8316521023036785,0.037803513473530816,6.539350982777449e-09,2.3314683517128287e-15,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,wt,199.99999999999432,124.59303742326854,6.958093631536219,21.890724139648274,36.934197733340675,114.69334547423676,33.45758836184763,6.730045881347319,0.55,0.0,0.0013600836555092922,6.831651697152042,0.03780384447481172,2.633601768951763e-08,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae2_knockout,0.0,118.7,5.6,28.7,25.0,120.0,50.0,10.0,0.05,0.0,0.0005314154767606833,6.910000000216041,0.03888333867647999,0.0006807834084587881,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae2_knockout,50.0,118.66019031266428,5.588048723565543,28.608095165258078,24.01363597502596,120.93905546755347,49.524904933189376,10.154718512227634,0.05,0.0,0.0005255001622992282,6.91408992698602,0.04842571290194716,8.832130333577036e-08,3.469446951953614e-17,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae2_knockout,100.0,118.66019025295432,5.5880487215079375,28.60809527988872,24.013635847818907,120.93905553163178,49.52490516143504,10.154718562411865,0.05,0.0,0.0005255001631055065,6.91409037266965,0.048423673430790036,5.701387277075701e-08,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae2_knockout,100.0000001,118.66032285161864,5.588058317729723,28.608095279204637,24.01363563565356,120.93905056107654,49.52490040352579,10.154718132884271,0.55,0.0,0.0005256730128944374,6.914099912920737,0.048667634146075334,0.15720697484622354,9.731798700229888e-16,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae2_knockout,149.99999999999716,124.58349067173441,6.956361203102701,21.8028037646164,35.03592370931917,116.58131174555699,32.87808224764364,6.849857898101774,0.55,0.0,0.0013587946570591052,6.8358278423417325,0.05583499404613087,2.5971135272155067e-09,5.898059818321144e-16,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C1,1,ae2_knockout,199.99999999999432,124.58349067274165,6.956361203254148,21.8028037695449,35.03592381452336,116.5813116418418,32.87808228093127,6.8498578912504575,0.55,0.0,0.0013587946570716549,6.835828869554436,0.05583437240831781,6.63789596864907e-08,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae4_knockout,0.0,118.7,5.6,28.7,25.0,120.0,50.0,10.0,0.05,0.0,0.0005314154767606833,6.910000000216041,0.0,0.0027096403272154363,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae4_knockout,50.0,118.67821255541007,5.56384986168932,60.042501715322416,21.47447494932945,123.48506518502992,48.3796325742343,55.95033944754428,0.05,0.0,0.0005104191180756151,7.360525811568973,0.0,1.5727683958401356e-05,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae4_knockout,100.0,118.59268696740394,5.56043248926294,64.15967747405041,21.215864828801944,123.65299038489225,48.683270544620036,58.16324858310311,0.05,0.0,0.0005111371706745183,7.374167015075932,0.0,3.821223296021636e-06,1.3877787807814457e-17,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae4_knockout,100.0000001,118.59282139400246,5.560442218433377,64.15967747697104,21.215864828801365,123.65298813817462,48.68326829696727,58.16324858599093,0.55,0.0,0.0005113089163143738,7.37416472859298,0.0,0.15940463191159138,2.842170943040401e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae4_knockout,149.99999999999716,124.57845310153094,6.955453609908703,28.770224785911715,33.3218073995644,118.29007980645112,32.39619137532663,34.42311158014008,0.55,0.0,0.0013581225198820296,7.198441431376855,0.0,1.4511865330012268e-07,2.7582103268031233e-16,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae4_knockout,199.99999999999432,124.57849349477075,6.955453947890111,28.76993661029377,33.32195035217142,118.28998037301702,32.396140329189436,34.42235681524503,0.55,0.0,0.0013581198854213375,7.19844203984743,0.0,4.7314069301337935e-08,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,wt,0.0,118.7,5.6,28.7,25.0,120.0,50.0,10.0,0.05,0.0,0.0005314154767606833,6.910000000216041,0.035194033134142315,0.0011433937936618196,1.4210854715202004e-14,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,wt,50.0,118.75921762929839,5.617683103739485,27.555968988802753,30.303969324887042,114.76631793700386,46.35325805860366,10.188111037698244,0.05,0.0,0.0005402037828120146,6.907806825425834,0.03655400563814933,1.3330616746716473e-08,4.85722573273506e-17,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,wt,100.0,118.75921754036189,5.617683089918911,27.555968758031785,30.303967853569837,114.76631930899947,46.35325814614882,10.188110108990633,0.05,0.0,0.000540203777798095,6.907808381807412,0.036553998940067174,2.6238965008589973e-08,1.4210854715202004e-14,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,wt,100.0000001,118.75936216455621,5.617693554471861,27.555968757938363,30.303967853647503,114.76631368082586,46.35325251774376,10.188110109045622,0.55,0.0,0.0005403922695136271,6.907808220189438,0.0365539975262684,0.1446128502027079,1.124100812432971e-15,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,wt,149.99999999999716,124.29490994644058,6.903485158291429,22.2337103810437,40.61402517266073,110.69113266283097,32.47364714779574,9.110705915242546,0.55,0.0,0.0013197725571125684,6.879435564166546,0.030494229278531897,7.0109257030694706e-09,1.4210854715202004e-14,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,wt,199.99999999999432,124.29490994660159,6.903485158297476,22.233710381046755,40.614025174310505,110.69113266142621,32.47364714772256,9.110705915383596,0.55,0.0,0.0013197725572313918,6.879436196686144,0.030494229279526643,8.931209227207483e-12,2.842170943040401e-14,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae2_knockout,0.0,118.7,5.6,28.7,25.0,120.0,50.0,10.0,0.05,0.0,0.0005314154767606833,6.910000000216041,0.035194033134142315,0.0011433937936618196,1.4210854715202004e-14,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae2_knockout,50.0,118.71472886510415,5.604408755081397,27.4454421128472,30.253896717220258,114.76360115002218,44.78778694053284,11.344267386273719,0.05,0.0,0.0005336025433805632,6.928527808290374,0.04531765140834892,5.1506015154999545e-08,1.4210854715202004e-14,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae2_knockout,100.0,118.71472884637187,5.604408754007664,27.445442100901595,30.253896675423672,114.763601172216,44.787786930114336,11.344267340611585,0.05,0.0,0.0005336025405245528,6.92851966880036,0.04531765103703775,1.1999229636998685e-07,9.540979117872439e-18,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae2_knockout,100.0000001,118.71487118201668,5.604419052969289,27.445442100809643,30.253896675642206,114.76359561079667,44.787781368461005,11.344267340554364,0.55,0.0,0.000533788075480718,6.928520449667135,0.04531764930267366,0.14232448297785213,1.4210854715202004e-14,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae2_knockout,149.99999999999716,124.14679344781662,6.87595503881299,22.443110056103272,40.073653597758955,111.07097429285581,31.36089259425538,11.086642734762599,0.55,0.0,0.0012996994461408338,6.91655676690846,0.04512507193537727,2.8936602478893094e-08,6.106226635438361e-16,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C2,1,ae2_knockout,199.99999999999432,124.14679344923611,6.875955039340444,22.44311003341122,40.07365344927674,111.07097444226204,31.360892583815517,11.086642635598293,0.55,0.0,0.0012996994480154883,6.916559007821196,0.04512507112784562,5.229749529121181e-08,3.7643499428696714e-16,Radau,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C3,1,ae4_knockout,0.0,118.7,5.6,28.7,25.0,120.0,50.0,10.0,0.05,0.0,0.0005314154767606833,6.910000000216041,0.0,0.0027096403272154363,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C3,1,ae4_knockout,50.0,118.67821255541007,5.56384986168932,60.042501715322416,21.47447494932945,123.48506518502992,48.3796325742343,55.95033944754428,0.05,0.0,0.0005104191180756151,7.360525811568973,0.0,1.5727683958401356e-05,1.4210854715202004e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C3,1,ae4_knockout,100.0,118.59268696740394,5.56043248926294,64.15967747405041,21.215864828801944,123.65299038489225,48.683270544620036,58.16324858310311,0.05,0.0,0.0005111371706745183,7.374167015075932,0.0,3.821223296021636e-06,1.3877787807814457e-17,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
C3,1,ae4_knockout,100.0000001,118.59282139400246,5.560442218433377,64.15967747697104,21.215864828801365,123.65298813817462,48.68326829696727,58.16324858599093,0.55,0.0,0.0005113089163143738,7.37416472859298,0.0,0.15940463191159138,2.842170943040401e-14,BDF,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50
