background,genotype,ae4_expression,admissible,nhe1_model,nhe1_na_in_h_out_fmol_s,nkcc1_cycle_in_fmol_s,nkcc1_cl_in_fmol_s,ae2_cl_in_hco3_out_fmol_s,ae4_na_cell_fmol_s,ae4_k_cell_fmol_s,ae4_cl_cell_fmol_s,ae4_hco3_cell_fmol_s,pump_apical_cycles_fmol_s,pump_basolateral_cycles_fmol_s,k_apical_cell_to_lumen_fmol_s,k_basolateral_cell_to_bath_fmol_s,cacc_cl_cell_to_lumen_fmol_s,co2_bath_to_cell_fmol_s,co2_lumen_to_cell_fmol_s,water_bath_to_cell_pL_s,water_cell_to_lumen_pL_s,water_bath_to_lumen_pL_s,water_lumen_outflow_pL_s,residual_cell_bulk_charge_rate_fmol_s,residual_lumen_bulk_charge_rate_minus_outflow_fmol_s,residual_carbon_accounting_fmol_s,residual_buffer_site_accounting_fmol_s,residual_water_volume_accounting_pL_s,residual_homeostasis_charge_fmol_s,residual_ae4_charge_fmol_s,residual_apical_current_A,residual_basolateral_current_A,residual_cell_speciation_alkalinity_mM,residual_lumen_speciation_alkalinity_mM,capacity_utilisation_nhe1_fmol_s,capacity_utilisation_nkcc1_cycle_fmol_s,capacity_utilisation_ae2_cycle_fmol_s,capacity_utilisation_pump_cycle_fmol_s
R09,WT,1.0,True,cha_2009_eight_state_mod2,0.007890580489555009,0.1281222023866353,0.2562444047732706,-0.001983554393538192,-0.00044741927631419,-0.004489648165232279,0.004937067441546469,-0.009874134883092939,0.003661555226404882,0.04152689930688717,0.03917708701720211,0.17483237627078485,0.2591979178212792,0.008627352435529976,-0.0007367719459750211,0.0010098322614000778,0.0010098322614005882,6.587512394893224e-05,0.0010757073853493032,2.0990154059319366e-16,1.8214596497756474e-17,1.0842021724855044e-19,0.0,0.0,4.336808689942018e-17,0.0,6.462348535570529e-27,1.6155871338926322e-26,4.014566457044566e-13,8.881784197001252e-16,0.032123343221373835,0.4003818824582353,0.3967108787076384,0.5648556816661506
R10,WT,1.0,False,cha_2009_eight_state_mod2,0.003461280606286864,0.14135126466439357,0.28270252932878714,-0.0008859258797988648,-0.00012639725800603978,-0.0020472059850367647,0.0021736032430428043,-0.0043472064860856086,0.003910136847620168,0.04431857915660464,0.045893174016779184,0.18986831667102724,0.2839902066920315,0.004490636847996066,-0.0010293562417094271,0.00111944909343066,0.0011194490934323584,7.302583864976895e-05,0.00119247493208193,2.402592014227878e-16,8.239936510889834e-17,0.0,0.0,0.0,9.540979117872439e-18,0.0,6.462348535570529e-27,1.9387045606711586e-26,0.0,9.14823772291129e-14,0.014091219910679643,0.4417227020762299,0.17718517595977296,0.30142947502640505
R09,AE4_NULL,0.0,False,cha_2009_eight_state_mod2,0.0029848793746083827,0.12991530437927173,0.25983060875854347,-0.00019302593923111515,0.0,0.0,0.0,0.0,0.003562151061811069,0.04039640239587288,0.03957645276145381,0.17714842020395988,0.26068342642309766,0.0010053127478635428,-0.001180627669286789,0.001018245072169492,0.0010178699584983133,6.64013466799406e-05,0.0010843002828179239,2.0816681711721685e-17,2.931682674400804e-16,6.505213034913027e-19,0.0,0.0,6.938893903907228e-18,0.0,2.261821987449685e-26,2.908056841006738e-26,0.0,3.277378368693462e-13,0.012151742796600277,0.40598532618522415,0.03860518784622303,0.5494819182210494
R10,AE4_NULL,0.0,False,cha_2009_eight_state_mod2,0.0018942112075631392,0.14191997557875088,0.28383995115750177,-2.94078147223933e-05,0.0,0.0,0.0,0.0,0.0038694655212926903,0.04385673341537422,0.046036919859004904,0.19068038036037488,0.28444349915604655,0.0012035935512571471,-0.0012275601370105105,0.0011222398153597907,0.001122232847053774,7.320746845856773e-05,0.0011954408686765756,1.491862189340054e-16,1.3617579286417936e-16,2.168404344971009e-19,0.0,0.0,3.8163916471489756e-17,0.0,1.6155871338926322e-26,0.0,1.971756091734278e-12,0.0,0.007711523484852669,0.44349992368359653,0.00588156294447866,0.2982887433541682
