background,root_id,routing_family,genotype,ae4_expression,label,nhe1_model,optimizer_success,optimizer_nfev,actual_residual_evaluations,max_abs_scaled_independent_rhs,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_omitted_rhs_fmol_s,max_abs_regulatory_rhs_s_inv,max_abs_bulk_charge_fmol,max_abs_current_residual_A,max_dimensionless_conservation_ratio,independent_jacobian_rank,independent_jacobian_nullity,full_rhs_pass,conservation_pass,numerical_pass,ordinary_na_pass,ph_diagnostic_centre,ph_diagnostic_pass,volume_pass,exact_ae4_zero,physiological_pass,admissible,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,na_l_mM,k_l_mM,cl_l_mM,tic_l_mM,hco3_l_mM,ph_l,volume_l_pL,osm_cell_mOsm,osm_lumen_mOsm,osm_bath_mOsm,v_apical_mV,v_basolateral_mV,v_transepithelial_mV,carrier_amount_fmol,chloride_context_pass,potassium_pass,carbon_sanity_pass
R09,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,WT,1.0,R09_WT_density_5,cha_2009_eight_state_mod2,True,5,47,5.104423828061755e-12,3.3306690738754696e-16,5.104423828061755e-16,2.6194324487249787e-16,0.0,6.661338147750939e-16,1.6155871338926322e-26,0.0004014566457044566,10,0,True,True,True,True,6.91,True,True,True,True,True,11.636125748680639,116.76320932871538,60.30496692587399,5.671746232991451,4.909374551508538,6.910000223494689,1.4484260832245268,124.68503924961041,25.67998080632129,145.91441438704814,5.1355242220230615,4.447012642264572,6.911304792909554,0.10537853692674652,301.1812011970861,301.4149586650029,301.1615928036609,-31.531295131004576,-67.10109365819838,-35.56979852719381,2.339370005697548e-05,False,True,True
R10,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,WT,1.0,R10_WT_frozen_density,cha_2009_eight_state_mod2,True,140,1312,1.6985111234157912e-11,4.718447854656915e-16,1.6985111234157912e-15,2.393918396847994e-16,0.0,1.4210854715202004e-14,1.9387045606711586e-26,9.14823772291129e-05,10,0,True,True,True,True,6.91,False,True,True,False,False,7.854773719155028,127.22063771506242,66.87051358396411,9.781665132376077,8.809395067579166,7.059426441476984,1.5843372475315287,121.88209914537545,28.407526580172995,146.27621105374854,4.876624634555308,4.011178171689021,6.7666215836681785,0.10596237466040966,301.1833296792615,301.4424614138523,301.1615928036609,-29.592566260567903,-67.9223439404712,-38.329777679903295,2.339370005697548e-05,False,True,True
R09,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,AE4NA05,AE4_NULL,0.0,R09_exact_AE4_null,cha_2009_eight_state_mod2,False,,2400,0.022150766584518866,0.0031779053138394978,3.7511367117874783e-07,0.0031779053138394978,0.0,1.4210854715202004e-14,2.908056841006738e-26,0.0003277378368693462,10,0,False,True,False,True,6.89,False,True,True,False,False,11.369285588289458,119.2806541118153,59.95877694091259,11.608159836824436,10.460637616382119,7.062092254312222,1.5631806153973984,124.22049325870397,25.976833219733965,145.7644381279236,5.455217992222183,4.430596828553772,6.736412187515429,0.10542150141408962,301.18136455263505,301.41698259858373,301.1615928036609,-31.70304586385026,-67.4445848315652,-35.74153896771493,2.339370005697548e-05,False,True,True
R10,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,AE4NA20,AE4_NULL,0.0,R10_exact_AE4_null,cha_2009_eight_state_mod2,False,,2400,0.013101464654098893,0.0019236190222855325,6.968306016626527e-09,0.0019236190222855325,0.0,2.1649348980190553e-15,1.6155871338926322e-26,0.001971756091734278,10,0,False,True,False,True,6.89,False,True,True,False,False,7.814260861521296,128.36309808297554,66.59725831031375,13.545282295510042,12.405141887931633,7.139924286316103,1.670071188807137,121.70871230812912,28.50889304711658,146.20857998480926,5.016974649985046,4.007166710465004,6.699030775099924,0.10597720434338288,301.1833838680368,301.44315999004,301.1615928036609,-29.703486883477314,-68.08182391486957,-38.378337031392256,2.339370005697548e-05,False,True,True
