time_s,WT_pH
0.0,6.9109830678074875
1e-06,6.9109830678074875
1.0,6.912882359430803
5.0,6.919997918365045
10.0,6.9278903283146835
15.0,6.934813880218299
20.0,6.940917938381131
25.0,6.946334130690087
30.0,6.951174135830648
35.0,6.955530947115107
40.0,6.959481272621077
45.0,6.963088130581979
50.0,6.9664032481060145
55.0,6.969469130584939
60.0,6.972320781686869
65.0,6.974987108587313
70.0,6.977492058116864
75.0,6.979855533597839
80.0,6.982094133571124
85.0,6.984221749021472
90.0,6.9862500467631685
95.0,6.988188862536907
100.0,6.990046521123163
105.0,6.991830098212206
110.0,6.993545634789012
115.0,6.995198313338394
120.0,6.996792602667955
125.0,6.998332377340024
130.0,6.999821016100458
135.0,7.001261483239434
140.0,7.002656395770748
145.0,7.004008079056297
150.0,7.005318612801244
155.0,7.006589869193569
160.0,7.007823544483871
165.0,7.009021185212475
170.0,7.010184209960017
175.0,7.011313927447061
180.0,7.012411551576023
185.0,7.013478213981929
190.0,7.014514974493405
195.0,7.015522829892213
200.0,7.016502721247844
205.0,7.017455540083229
210.0,7.018382133569172
215.0,7.01928330892156
220.0,7.020159837127124
225.0,7.021012456126234
230.0,7.021841873532348
235.0,7.0226487689786365
240.0,7.023433796143478
245.0,7.024197584518729
250.0,7.024940740953643
255.0,7.025663851020088
260.0,7.026367480219301
265.0,7.027052175063246
270.0,7.027718464042787
275.0,7.028366858505961
280.0,7.028997853454616
285.0,7.0296119282759
290.0,7.030209547412452
295.0,7.030791160985198
300.0,7.031357205369132
305.0,7.031908103733463
310.0,7.032444266544961
315.0,7.032966092043808
320.0,7.033473966689896
325.0,7.0339682655873546
330.0,7.034449352884743
335.0,7.034917582157578
340.0,7.035373296770353
345.0,7.0358168302238875
350.0,7.036248506484208
355.0,7.036668640303245
360.0,7.037077537515576
365.0,7.037475495332938
370.0,7.03786280262107
375.0,7.038239740167875
380.0,7.038606580939158
385.0,7.038963590326327
390.0,7.039311026383025
395.0,7.039649140054311
400.0,7.039978175395864
405.0,7.040298369786502
410.0,7.040609954131599
415.0,7.040913153060448
420.0,7.041208185115292
425.0,7.041495262934873
430.0,7.0417745934303175
435.0,7.0420463779560265
440.0,7.042310812473529
445.0,7.042568087710761
450.0,7.042818389314853
455.0,7.043061898000748
460.0,7.043298789693817
465.0,7.043529235668644
470.0,7.043753402682276
475.0,7.043971453103942
480.0,7.044183545039657
485.0,7.0443898324535885
490.0,7.0445904652846485
495.0,7.044785589560147
500.0,7.044975347504993
505.0,7.045159877648185
510.0,7.045339314925183
515.0,7.045513790777761
520.0,7.045683433250046
525.0,7.045848367082224
530.0,7.046008713800696
535.0,7.046164591806084
540.0,7.046316116457917
545.0,7.046463400157345
550.0,7.046606552426747
555.0,7.046745679987513
560.0,7.046880886834934
565.0,7.047012274311394
570.0,7.047139941176859
575.0,7.0472639836778
580.0,7.047384495613582
585.0,7.047501568401398
590.0,7.047615291138838
595.0,7.047725750665099
600.0,7.047833031619992
